rank,score
1,0.56898
2,0.570092
3,0.570977
4,0.572083
5,0.572187
6,0.572241
7,0.572884
8,0.573273
9,0.573556
10,0.573574
11,0.574257
12,0.574338
13,0.574502
14,0.574602
15,0.57473
16,0.574734
17,0.574847
18,0.57492
19,0.57493
20,0.574987
21,0.575008
22,0.575175
23,0.575316
24,0.575358
25,0.575423
26,0.575625
27,0.575646
28,0.575804
29,0.576026
30,0.576184
31,0.576225
32,0.576482
33,0.576484
34,0.576515
35,0.576557
36,0.57657
37,0.576608
38,0.576686
39,0.576689
40,0.576696
41,0.576739
42,0.57677
43,0.576838
44,0.57684
45,0.576951
46,0.576976
47,0.576989
48,0.577008
49,0.577041
50,0.577114
51,0.577124
52,0.577128
53,0.57725
54,0.577253
55,0.577263
56,0.577362
57,0.577374
58,0.577385
59,0.577389
60,0.5774
61,0.577441
62,0.577444
63,0.577456
64,0.57748
65,0.577504
66,0.577517
67,0.577528
68,0.577533
69,0.577547
70,0.577557
71,0.577564
72,0.577582
73,0.577609
74,0.57763
75,0.577656
76,0.577659
77,0.577664
78,0.577665
79,0.577666
80,0.577681
81,0.577687
82,0.577689
83,0.577697
84,0.577699
85,0.577717
86,0.577718
87,0.577724
88,0.577726
89,0.577731
90,0.577733
91,0.577754
92,0.577796
93,0.577805
94,0.577817
95,0.57784
96,0.57784
97,0.577842
98,0.577845
99,0.577872
100,0.577874
101,0.577877
102,0.577881
103,0.577901
104,0.577908
105,0.577938
106,0.577941
107,0.577943
108,0.577946
109,0.577952
110,0.577955
111,0.577958
112,0.577963
113,0.577967
114,0.577977
115,0.577981
116,0.577983
117,0.577987
118,0.577994
119,0.578009
120,0.578022
121,0.578026
122,0.578031
123,0.578052
124,0.578053
125,0.578058
126,0.578064
127,0.578074
128,0.578074
129,0.578075
130,0.578099
131,0.578109
132,0.578124
133,0.578132
134,0.578149
135,0.578156
136,0.57816
137,0.578162
138,0.578164
139,0.578164
140,0.578168
141,0.578176
142,0.578186
143,0.578187
144,0.578192
145,0.578209
146,0.578235
147,0.578238
148,0.578238
149,0.578247
150,0.578261
151,0.578262
152,0.578265
153,0.578275
154,0.578288
155,0.578291
156,0.578298
157,0.5783
158,0.578301
159,0.578315
160,0.578326
161,0.578336
162,0.578343
163,0.57837
164,0.578373
165,0.578381
166,0.5784
167,0.578414
168,0.578416
169,0.578421
170,0.578431
171,0.578433
172,0.578434
173,0.578447
174,0.578456
175,0.578464
176,0.578466
177,0.578475
178,0.578483
179,0.578515
180,0.57853
181,0.578531
182,0.578532
183,0.578543
184,0.578561
185,0.578577
186,0.578579
187,0.578585
188,0.578595
189,0.578603
190,0.578616
191,0.578635
192,0.578638
193,0.578639
194,0.578644
