rank,score
1,0.98509
2,0.95824
3,0.94568
4,0.9456
5,0.94555
6,0.94552
7,0.94545
8,0.94539
9,0.94526
10,0.94526
11,0.94515
12,0.94513
13,0.94509
14,0.94502
15,0.94499
16,0.94495
17,0.94494
18,0.9449
19,0.94488
20,0.94481
21,0.9448
22,0.94478
23,0.94476
24,0.94475
25,0.94474
26,0.94473
27,0.94471
28,0.94467
29,0.94466
30,0.94463
31,0.94463
32,0.94462
33,0.94462
34,0.94462
35,0.9446
36,0.9446
37,0.9446
38,0.94457
39,0.94456
40,0.94455
41,0.94455
42,0.94455
43,0.94455
44,0.94455
45,0.94455
46,0.94455
47,0.94455
48,0.94455
49,0.94455
50,0.94454
51,0.94454
52,0.94453
53,0.94453
54,0.94453
55,0.94452
56,0.94452
57,0.94451
58,0.94448
59,0.94447
60,0.94447
61,0.94446
62,0.94445
63,0.94445
64,0.94444
65,0.94444
66,0.94443
67,0.94443
68,0.94442
69,0.94442
70,0.94441
71,0.9444
72,0.94438
73,0.94437
74,0.94437
75,0.94436
76,0.94434
77,0.94433
78,0.94433
79,0.94433
80,0.94432
81,0.94432
82,0.94431
83,0.94431
84,0.94429
85,0.94429
86,0.94428
87,0.94428
88,0.94427
89,0.94427
90,0.94426
91,0.94426
92,0.94424
93,0.94423
94,0.94423
95,0.94422
96,0.94422
97,0.94421
98,0.94419
99,0.94419
100,0.94418
101,0.94417
102,0.94417
103,0.94415
104,0.94415
105,0.94414
106,0.94414
107,0.94414
108,0.94413
109,0.94413
110,0.94413
111,0.94412
112,0.94412
113,0.94412
114,0.94411
115,0.94411
116,0.94411
117,0.9441
118,0.94409
119,0.94409
120,0.94409
121,0.94409
122,0.94408
123,0.94408
124,0.94408
125,0.94408
126,0.94408
127,0.94407
128,0.94406
129,0.94405
130,0.94405
131,0.94404
132,0.94404
133,0.94403
134,0.94403
135,0.94403
136,0.94403
137,0.94402
138,0.94402
139,0.94402
140,0.94402
141,0.94401
142,0.94401
143,0.94401
144,0.944
145,0.944
146,0.944
147,0.94399
148,0.94399
149,0.94398
150,0.94398
151,0.94398
152,0.94398
153,0.94397
154,0.94397
155,0.94397
156,0.94397
157,0.94397
158,0.94397
159,0.94397
160,0.94397
161,0.94397
162,0.94397
163,0.94397
164,0.94397
165,0.94397
166,0.94397
167,0.94397
168,0.94397
169,0.94397
170,0.94397
171,0.94397
172,0.94397
173,0.94397
174,0.94397
175,0.94397
176,0.94397
177,0.94397
178,0.94397
179,0.94397
180,0.94397
181,0.94397
182,0.94397
183,0.94397
184,0.94397
185,0.94397
186,0.94397
187,0.94397
188,0.94397
189,0.94397
190,0.94397
191,0.94397
192,0.94397
193,0.94397
194,0.94397
195,0.94397
196,0.94397
197,0.94397
198,0.94397
199,0.94397
200,0.94397
201,0.94397
202,0.94397
203,0.94397
204,0.94397
205,0.94397
206,0.94397
207,0.94397
208,0.94397
209,0.94397
210,0.94397
211,0.94397
212,0.94397
213,0.94397
214,0.94397
215,0.94397
216,0.94397
217,0.94397
218,0.94397
219,0.94397
220,0.94397
221,0.94397
222,0.94397
223,0.94397
224,0.94397
225,0.94397
226,0.94397
227,0.94397
228,0.94397
229,0.94396
230,0.94396
231,0.94396
232,0.94396
233,0.94395
234,0.94395
235,0.94395
236,0.94395
237,0.94395
238,0.94394
239,0.94393
240,0.94392
241,0.94392
242,0.94392
243,0.94392
244,0.94392
245,0.94392
246,0.94392
247,0.94391
248,0.94391
249,0.9439
250,0.9439
251,0.94389
252,0.94389
253,0.94388
254,0.94388
255,0.94388
256,0.94388
257,0.94387
258,0.94387
259,0.94386
260,0.94386
261,0.94386
262,0.94386
263,0.94385
264,0.94385
265,0.94385
266,0.94385
267,0.94384
268,0.94384
269,0.94384
270,0.94384
271,0.94384
272,0.94383
273,0.94383
274,0.94382
275,0.94382
276,0.94382
277,0.94382
278,0.94382
279,0.94381
280,0.94381
281,0.94381
282,0.94381
283,0.94381
284,0.94378
285,0.94377
286,0.94377
287,0.94376
288,0.94376
289,0.94376
290,0.94376
291,0.94376
292,0.94375
293,0.94375
294,0.94374
295,0.94374
296,0.94374
297,0.94373
298,0.94373
299,0.94373
300,0.94373
301,0.94373
302,0.94373
303,0.94373
304,0.94372
305,0.94371
306,0.94371
307,0.94371
308,0.94371
309,0.9437
310,0.9437
311,0.9437
312,0.94369
313,0.94369
314,0.94369
315,0.94368
316,0.94368
317,0.94367
318,0.94366
319,0.94365
320,0.94365
321,0.94365
322,0.94364
323,0.94364
324,0.94364
325,0.94364
326,0.94363
327,0.94363
328,0.94362
329,0.94362
330,0.94359
331,0.94358
332,0.94358
333,0.94358
334,0.94357
335,0.94357
336,0.94357
337,0.94356
338,0.94355
339,0.94355
340,0.94354
341,0.94354
342,0.94354
343,0.94351
344,0.94351
345,0.9435
346,0.9435
347,0.9435
348,0.94348
349,0.94347
350,0.94346
351,0.94346
352,0.94346
353,0.94345
354,0.94345
355,0.94343
356,0.94342
357,0.94342
358,0.94342
359,0.94341
360,0.9434
361,0.9434
362,0.94339
363,0.94339
364,0.94339
365,0.94339
366,0.94338
367,0.94338
368,0.94338
369,0.94337
370,0.94336
371,0.94334
372,0.94334
373,0.94334
374,0.94333
375,0.94333
376,0.94333
377,0.94332
378,0.94332
379,0.94332
380,0.94331
381,0.94328
382,0.94328
383,0.94326
384,0.94326
385,0.94325
386,0.94325
387,0.94325
388,0.94325
389,0.94324
390,0.94322
391,0.94322
392,0.94321
393,0.94321
394,0.94321
395,0.9432
396,0.94318
