rank,score
1,0.94709
2,0.94702
3,0.94695
4,0.94694
5,0.94693
6,0.94688
7,0.94685
8,0.9468
9,0.94675
10,0.94672
11,0.9467
12,0.94661
13,0.94656
14,0.94641
15,0.9464
16,0.94602
17,0.94602
18,0.94595
19,0.9459
20,0.94587
21,0.94585
22,0.94578
23,0.94578
24,0.94576
25,0.94575
26,0.94572
27,0.94569
28,0.94569
29,0.94565
30,0.94564
31,0.94562
32,0.94559
33,0.94558
34,0.94557
35,0.94556
36,0.94555
37,0.94553
38,0.94552
39,0.94552
40,0.94551
41,0.94551
42,0.9455
43,0.94548
44,0.94547
45,0.94547
46,0.94545
47,0.94545
48,0.94545
49,0.94545
50,0.94544
51,0.94541
52,0.94541
53,0.94541
54,0.94539
55,0.94538
56,0.94537
57,0.94535
58,0.94534
59,0.94533
60,0.94533
61,0.94531
62,0.94529
63,0.94529
64,0.94529
65,0.94528
66,0.94528
67,0.94524
68,0.94523
69,0.94522
70,0.94522
71,0.94521
72,0.94521
73,0.9452
74,0.94519
75,0.94518
76,0.94517
77,0.94516
78,0.94516
79,0.94516
80,0.94515
81,0.94515
82,0.94515
83,0.94515
84,0.94515
85,0.94515
86,0.94515
87,0.94515
88,0.94515
89,0.94515
90,0.94515
91,0.94515
92,0.94515
93,0.94515
94,0.94513
95,0.94512
96,0.94511
97,0.94511
98,0.9451
99,0.9451
100,0.9451
101,0.9451
102,0.94508
103,0.94508
104,0.94507
105,0.94507
106,0.94506
107,0.94505
108,0.94504
109,0.94504
110,0.94504
111,0.94503
112,0.94503
113,0.94501
114,0.945
115,0.94499
116,0.94498
117,0.94498
118,0.94497
119,0.94497
120,0.94497
121,0.94496
122,0.94496
123,0.94495
124,0.94495
125,0.94494
126,0.94492
127,0.94492
128,0.94492
129,0.94492
130,0.94491
131,0.9449
132,0.9449
133,0.9449
134,0.94489
135,0.94487
136,0.94487
137,0.94486
138,0.94486
139,0.94484
140,0.94484
141,0.94484
142,0.94483
143,0.94483
144,0.94483
145,0.94483
146,0.94482
147,0.94482
148,0.94481
149,0.94481
150,0.94481
151,0.94481
152,0.9448
