rank,score
1,0.82982
2,0.83084
3,0.83088
4,0.83096
5,0.83098
6,0.83198
7,0.85811
8,0.85975
9,0.85975
10,0.85975
11,0.85975
12,0.98245
13,0.98936
14,1.00808
15,1.01048
16,1.01426
17,1.01426
18,1.01426
19,1.01452
20,1.01596
21,1.01686
22,1.02361
23,1.02687
24,1.02839
25,1.02839
26,1.02938
27,1.03392
28,1.03462
29,1.03462
30,1.03482
31,1.03523
32,1.03583
33,1.03588
34,1.03595
35,1.03603
36,1.03605
37,1.0362
38,1.03631
39,1.03636
40,1.03659
41,1.03668
42,1.03679
43,1.0373
44,1.03919
45,1.04145
46,1.04225
47,1.04245
48,1.04398
49,1.04439
50,1.04508
51,1.04658
52,1.04883
53,1.04907
54,1.05173
55,1.05493
56,1.05527
57,1.05577
58,1.05587
59,1.05695
60,1.05737
61,1.06036
62,1.06191
63,1.06465
64,1.0662
65,1.0668
66,1.06915
67,1.07092
68,1.07832
69,1.07832
70,1.08193
71,1.08431
72,1.08471
73,1.08626
74,1.08726
75,1.08993
76,1.09005
77,1.09015
78,1.09122
79,1.09273
80,1.09293
81,1.09535
82,1.09774
83,1.09781
84,1.09861
85,1.09861
86,1.09861
87,1.09926
88,1.09931
89,1.09935
90,1.09984
91,1.09995
92,1.10017
93,1.1005
94,1.10064
95,1.10127
96,1.10234
97,1.1068
98,1.10717
99,1.11068
100,1.11516
101,1.11516
102,1.11516
103,1.11516
104,1.11516
105,1.11516
106,1.13328
107,1.141
108,1.1431
109,1.1431
110,1.15988
111,1.16626
112,1.18168
113,1.19559
114,1.19748
115,1.30864
116,1.31005
117,1.36147
118,1.60582
119,1.8709
120,1.97053
121,10.74999
122,21.45463
123,22.06734
124,22.12364
125,22.18325
