rank,score
1,0.987824
2,0.983412
3,0.974994
4,0.973915
5,0.972147
6,0.969132
7,0.965133
8,0.956501
9,0.94771
10,0.947353
11,0.944266
12,0.942678
13,0.938988
14,0.936732
15,0.935624
16,0.934437
17,0.933942
18,0.933833
19,0.932794
20,0.932606
21,0.932421
22,0.928495
23,0.927947
24,0.927934
25,0.927176
26,0.927085
27,0.923519
28,0.922898
29,0.92171
30,0.921529
31,0.921364
32,0.92111
33,0.920812
34,0.920708
35,0.920608
36,0.920487
37,0.920342
38,0.920257
39,0.919841
40,0.91967
41,0.918701
42,0.918594
43,0.918579
44,0.917835
45,0.917801
46,0.91686
47,0.916737
48,0.916682
49,0.916015
50,0.915798
51,0.915305
52,0.915207
53,0.915137
54,0.915021
55,0.914888
56,0.914858
57,0.914854
58,0.914732
59,0.914394
60,0.914316
61,0.914051
62,0.913896
63,0.913789
64,0.913641
65,0.913518
66,0.913387
67,0.913326
68,0.913063
69,0.913038
70,0.912805
71,0.912796
72,0.912765
73,0.912736
74,0.912732
75,0.912474
76,0.911983
77,0.911936
78,0.911933
79,0.911881
80,0.91186
81,0.911753
82,0.911463
83,0.911459
84,0.911344
85,0.911216
86,0.911108
87,0.911029
88,0.910843
89,0.910758
90,0.910754
91,0.910741
92,0.910737
93,0.910439
94,0.910304
95,0.910301
96,0.910269
97,0.910087
98,0.909978
99,0.909966
100,0.909956
101,0.90995
102,0.90994
103,0.909919
104,0.909609
105,0.909575
106,0.909449
107,0.909374
108,0.909326
109,0.909248
110,0.909242
111,0.909113
112,0.909109
113,0.909072
114,0.909037
115,0.908926
116,0.908914
117,0.90889
118,0.908858
119,0.908793
120,0.908715
121,0.908698
122,0.908663
123,0.908657
124,0.908613
125,0.90858
126,0.908569
127,0.908516
128,0.908476
129,0.908382
130,0.908344
131,0.908341
132,0.908206
133,0.908171
134,0.908105
135,0.90807
136,0.907936
137,0.90784
138,0.907791
139,0.907748
140,0.907722
141,0.907711
142,0.907695
143,0.907694
144,0.907679
145,0.907558
146,0.907558
147,0.907558
148,0.90751
149,0.907467
150,0.907378
151,0.907365
152,0.907361
153,0.907223
154,0.907155
155,0.907073
156,0.907034
157,0.906941
158,0.906934
159,0.906932
160,0.906899
161,0.906787
162,0.906741
163,0.9067
164,0.906618
165,0.906527
166,0.906442
167,0.906376
168,0.90629
169,0.906287
170,0.906247
171,0.906205
172,0.906202
173,0.906201
174,0.906068
175,0.906063
176,0.906063
177,0.906063
178,0.906063
179,0.906063
180,0.906029
181,0.905987
182,0.905895
183,0.905878
184,0.905873
185,0.905863
186,0.905853
187,0.905823
188,0.905701
189,0.905693
190,0.905639
191,0.905579
192,0.905579
193,0.905562
194,0.905466
195,0.905408
196,0.905407
197,0.90535
198,0.905281
199,0.905269
200,0.90515
201,0.905138
202,0.905116
203,0.905113
204,0.904995
205,0.904933
206,0.904927
207,0.90491
208,0.904888
209,0.904867
210,0.904752
211,0.904631
212,0.90462
213,0.904576
214,0.904547
215,0.904525
216,0.904411
217,0.904351
218,0.904324
219,0.904274
220,0.90426
221,0.90425
222,0.904209
223,0.904192
224,0.904159
225,0.904159
226,0.904152
227,0.9041
228,0.903979
229,0.903915
230,0.903881
231,0.903877
232,0.903798
233,0.903773
234,0.90377
235,0.90376
236,0.903759
237,0.903759
238,0.903759
239,0.903759
240,0.903759
241,0.903759
242,0.903759
243,0.903759
244,0.903759
245,0.903759
246,0.903759
247,0.903759
248,0.903759
249,0.903759
250,0.903759
251,0.903759
252,0.903759
253,0.903759
254,0.903759
255,0.903759
256,0.903759
257,0.903759
258,0.903759
259,0.903759
260,0.903759
261,0.903759
262,0.903759
263,0.903759
264,0.903759
265,0.903759
266,0.903759
267,0.903759
268,0.903759
269,0.903759
270,0.903759
271,0.903759
272,0.903759
273,0.903759
274,0.903759
275,0.903759
276,0.903759
277,0.903759
278,0.903759
279,0.903712
280,0.903703
281,0.903699
282,0.903688
283,0.90367
284,0.903581
285,0.90358
286,0.903575
287,0.903535
288,0.903513
289,0.903499
290,0.903488
291,0.903472
292,0.903394
293,0.903382
294,0.903366
295,0.903363
296,0.903356
297,0.903303
298,0.903293
299,0.90329
300,0.903262
301,0.903242
302,0.903213
303,0.903142
304,0.903092
305,0.903086
306,0.903063
307,0.90306
308,0.903044
309,0.903036
310,0.903026
311,0.902982
312,0.902914
313,0.902883
314,0.902862
315,0.902809
316,0.902804
317,0.902737
318,0.902671
319,0.902657
320,0.902636
321,0.902636
322,0.902595
323,0.902498
324,0.902421
325,0.902419
326,0.902367
327,0.902351
328,0.902343
329,0.902302
330,0.902261
331,0.902198
332,0.902118
333,0.902098
334,0.902096
335,0.902096
336,0.902082
337,0.902075
338,0.902017
339,0.901997
340,0.901989
341,0.901967
342,0.901892
343,0.901889
344,0.901855
345,0.901827
346,0.901724
347,0.901703
348,0.901682
349,0.901647
350,0.901644
351,0.901618
352,0.901604
353,0.901588
354,0.901567
355,0.901561
356,0.901555
357,0.9015
358,0.901458
359,0.901441
360,0.901412
361,0.901339
362,0.901339
363,0.901339
364,0.901339
365,0.901339
366,0.901339
367,0.901339
368,0.901339
369,0.901339
370,0.901339
371,0.901339
372,0.901339
373,0.901339
374,0.901339
375,0.901339
376,0.901339
377,0.901339
378,0.901339
379,0.901339
380,0.901339
381,0.901339
382,0.901339
383,0.901316
384,0.901301
385,0.901267
386,0.901252
387,0.901248
388,0.901243
389,0.90123
390,0.901203
391,0.901169
392,0.901132
393,0.90113
394,0.901088
395,0.901082
396,0.901081
397,0.901077
398,0.901058
399,0.90105
400,0.901039
401,0.901008
402,0.900962
403,0.900939
404,0.900911
405,0.900889
406,0.900876
407,0.90085
408,0.90085
409,0.900817
410,0.900781
411,0.900746
412,0.900678
413,0.900666
414,0.900625
415,0.900614
416,0.900603
417,0.900602
418,0.900593
419,0.900561
420,0.900541
421,0.900521
422,0.900499
423,0.900465
424,0.900456
425,0.90043
426,0.900418
427,0.900418
428,0.900418
429,0.900418
430,0.900418
431,0.900418
432,0.900418
433,0.900418
434,0.900418
435,0.900418
436,0.900418
437,0.900384
438,0.900384
439,0.900362
440,0.900326
441,0.900311
442,0.900246
443,0.900237
444,0.900228
445,0.90022
446,0.900177
447,0.900144
448,0.900136
449,0.900111
450,0.900057
451,0.900053
452,0.900047
453,0.900025
454,0.899977
455,0.899963
456,0.899959
457,0.899947
458,0.899934
459,0.899881
460,0.899844
461,0.89979
462,0.899693
463,0.899688
464,0.899655
465,0.899562
466,0.899559
467,0.899507
468,0.899472
469,0.899471
470,0.899434
471,0.899417
472,0.899354
473,0.89933
474,0.899292
475,0.899257
476,0.899214
477,0.899191
478,0.899145
479,0.899145
480,0.899139
481,0.899128
482,0.899063
483,0.899047
484,0.899039
485,0.898992
486,0.898878
487,0.898866
488,0.898842
489,0.898806
490,0.898796
491,0.898784
492,0.898784
493,0.898778
494,0.898772
495,0.898767
496,0.898758
497,0.898755
498,0.898745
499,0.898717
500,0.898703
501,0.898699
502,0.898693
503,0.898666
504,0.898636
505,0.898593
506,0.898565
507,0.898486
508,0.898485
509,0.898468
510,0.898429
511,0.8984
512,0.89832
513,0.898298
514,0.898296
515,0.898261
516,0.898251
517,0.898173
518,0.898159
519,0.8981
520,0.898096
521,0.898091
522,0.898091
523,0.897978
524,0.897966
525,0.897936
526,0.897926
527,0.897911
528,0.897907
529,0.8979
530,0.897899
531,0.897898
532,0.897877
533,0.897874
534,0.89781
535,0.897763
536,0.897762
537,0.897741
538,0.897731
539,0.897672
540,0.897671
541,0.89767
542,0.89767
543,0.897651
544,0.897618
545,0.897574
546,0.897542
547,0.897533
548,0.897532
549,0.897526
550,0.897471
551,0.897466
552,0.897463
553,0.897429
554,0.897386
555,0.897386
556,0.897383
557,0.897379
558,0.897281
559,0.897262
560,0.897256
561,0.897252
562,0.897222
563,0.897218
564,0.897213
565,0.897113
566,0.897095
567,0.897074
568,0.897064
569,0.897047
570,0.897046
571,0.897045
572,0.897023
573,0.897022
574,0.896996
575,0.896992
576,0.896982
577,0.89697
578,0.896965
579,0.896925
580,0.8969
581,0.896893
582,0.896887
583,0.896878
584,0.896863
585,0.896854
586,0.896847
587,0.896823
588,0.896792
589,0.89679
590,0.896789
591,0.896765
592,0.896711
593,0.896574
594,0.896573
595,0.896567
596,0.896566
597,0.896566
598,0.896562
599,0.896562
600,0.896554
601,0.896552
602,0.896551
603,0.896549
604,0.896545
605,0.896545
606,0.896543
607,0.896542
608,0.89654
609,0.896539
610,0.896534
611,0.896533
612,0.896533
613,0.89653
614,0.896529
615,0.896527
616,0.896526
617,0.896521
618,0.89652
619,0.89652
620,0.896519
621,0.896519
622,0.896518
623,0.896517
624,0.896515
625,0.896515
626,0.896513
627,0.896512
628,0.89651
629,0.89651
630,0.896506
631,0.896505
632,0.896505
633,0.896505
634,0.896504
635,0.896502
636,0.896499
637,0.896496
638,0.896495
639,0.896492
640,0.896492
641,0.896492
642,0.896487
643,0.896485
644,0.896485
645,0.896483
646,0.896481
647,0.896476
648,0.896473
649,0.896467
650,0.896467
651,0.896462
652,0.896462
653,0.896462
654,0.896461
655,0.896458
656,0.896452
657,0.896451
658,0.896433
659,0.896418
660,0.896406
661,0.8964
662,0.8964
663,0.896356
664,0.896347
665,0.896343
666,0.89634
667,0.896335
668,0.896327
669,0.896312
670,0.896293
671,0.896291
672,0.896289
673,0.896286
674,0.89627
675,0.896242
676,0.896231
677,0.896229
678,0.896177
679,0.89615
680,0.896144
681,0.896112
682,0.896078
683,0.896052
684,0.896036
685,0.896017
686,0.896005
687,0.895994
688,0.895994
689,0.895987
690,0.895968
691,0.895948
692,0.895926
693,0.895925
694,0.895922
695,0.895921
696,0.895905
697,0.895893
698,0.895889
699,0.895873
700,0.895855
701,0.895852
702,0.89583
703,0.895828
704,0.895803
705,0.895801
706,0.895727
707,0.895725
708,0.895723
709,0.895722
710,0.895714
711,0.895684
712,0.895577
713,0.895563
714,0.89556
715,0.895559
716,0.895547
717,0.895498
718,0.895495
719,0.895478
720,0.895478
721,0.895474
722,0.895458
723,0.895443
724,0.895441
725,0.895417
726,0.895405
727,0.895391
728,0.895383
729,0.895373
730,0.895358
731,0.895357
732,0.895357
733,0.895357
734,0.895346
735,0.895346
736,0.895341
737,0.895336
738,0.895323
739,0.895322
740,0.895317
741,0.895314
742,0.895299
743,0.895291
744,0.895275
745,0.895275
746,0.895275
747,0.895275
748,0.895275
749,0.895275
750,0.895272
751,0.895271
752,0.895261
753,0.895242
754,0.895235
755,0.89522
756,0.895216
757,0.895216
758,0.895214
759,0.895195
760,0.895192
761,0.895186
762,0.895177
763,0.895176
764,0.895175
765,0.895155
766,0.895143
767,0.895141
768,0.89512
769,0.895118
770,0.895105
771,0.895095
772,0.895094
773,0.895092
774,0.895066
775,0.895057
776,0.895057
777,0.895051
778,0.89505
779,0.895049
780,0.895047
781,0.895037
782,0.895033
783,0.895031
784,0.895021
785,0.895021
786,0.895017
787,0.895017
788,0.895012
789,0.895007
790,0.895002
791,0.895002
792,0.894998
793,0.894993
794,0.894989
795,0.894988
796,0.894987
797,0.894986
798,0.894986
799,0.894981
800,0.894974
801,0.894963
802,0.894961
803,0.894955
804,0.894954
805,0.894954
806,0.894954
807,0.894954
808,0.894954
809,0.894954
810,0.894954
811,0.894954
812,0.894954
813,0.894954
814,0.894954
815,0.894954
816,0.894954
817,0.894954
818,0.894954
819,0.894954
820,0.894954
821,0.894954
822,0.894954
823,0.894954
824,0.894954
825,0.894954
826,0.894954
827,0.894954
828,0.894954
829,0.894954
830,0.894954
831,0.894954
832,0.894954
833,0.894954
834,0.894954
835,0.894954
836,0.894954
837,0.894954
838,0.894954
839,0.894954
840,0.894954
841,0.894954
842,0.894954
843,0.894954
844,0.894954
845,0.894954
846,0.894954
847,0.894954
848,0.894954
849,0.894954
850,0.894954
851,0.894954
852,0.894954
853,0.894954
854,0.894954
855,0.894954
856,0.894954
857,0.894954
858,0.894954
859,0.894954
860,0.894954
861,0.894954
862,0.894954
863,0.894954
864,0.894954
865,0.894954
866,0.894954
867,0.894954
868,0.894954
869,0.894954
870,0.894954
871,0.894954
872,0.894954
873,0.894954
874,0.894954
875,0.894954
876,0.894954
877,0.894954
878,0.894954
879,0.894954
880,0.894954
881,0.894954
882,0.894954
883,0.894954
884,0.894954
885,0.894954
886,0.894954
887,0.894954
888,0.894954
889,0.894954
890,0.894954
891,0.894954
892,0.894954
893,0.894954
894,0.894954
895,0.894954
896,0.894954
897,0.894954
898,0.894954
899,0.894954
900,0.894954
901,0.894954
902,0.894954
903,0.894954
904,0.894954
905,0.894954
906,0.894954
907,0.894954
908,0.894954
909,0.894954
910,0.894954
911,0.894954
912,0.894954
913,0.894954
914,0.894954
915,0.894954
916,0.894954
917,0.894954
918,0.894954
919,0.894954
920,0.894954
921,0.894954
922,0.894954
923,0.894954
924,0.894954
925,0.894954
926,0.894954
927,0.894954
928,0.894954
929,0.894954
930,0.894954
931,0.894954
932,0.894954
933,0.894954
934,0.894954
935,0.894954
936,0.894954
937,0.894954
938,0.894954
939,0.894954
940,0.894954
941,0.894954
942,0.894954
943,0.894954
944,0.894954
945,0.894954
946,0.894954
947,0.894954
948,0.894954
949,0.894954
950,0.894954
951,0.894954
952,0.894954
953,0.894954
954,0.894954
955,0.894954
956,0.894954
957,0.894954
958,0.894954
959,0.894954
960,0.894954
961,0.894954
962,0.894954
963,0.894954
964,0.894954
965,0.894954
966,0.894954
967,0.894954
968,0.894954
969,0.894954
970,0.894954
971,0.894954
972,0.894954
973,0.894954
974,0.894954
975,0.894954
976,0.894954
977,0.894954
978,0.894954
979,0.894954
980,0.894954
981,0.894954
982,0.894954
983,0.894954
984,0.894954
985,0.894954
986,0.894954
987,0.894954
988,0.894954
989,0.894954
990,0.894954
991,0.894954
992,0.894954
993,0.894954
994,0.894954
995,0.894954
996,0.894954
997,0.894954
998,0.894954
999,0.894954
1000,0.894954
1001,0.894954
1002,0.894954
1003,0.894954
1004,0.894954
1005,0.894954
1006,0.894954
1007,0.894954
1008,0.894954
1009,0.894954
1010,0.894954
1011,0.894954
1012,0.894954
1013,0.894954
1014,0.894954
1015,0.894954
1016,0.894954
1017,0.894954
1018,0.894954
1019,0.894954
1020,0.894954
1021,0.894954
1022,0.894954
1023,0.894954
1024,0.894954
1025,0.894954
1026,0.894954
1027,0.894954
1028,0.894954
1029,0.894954
1030,0.894954
1031,0.894954
1032,0.894954
1033,0.894954
1034,0.894954
1035,0.894954
1036,0.894954
1037,0.894954
1038,0.894954
1039,0.894954
1040,0.894954
1041,0.894954
1042,0.894954
1043,0.894954
1044,0.894954
1045,0.894954
1046,0.894954
1047,0.894954
1048,0.894954
1049,0.894954
1050,0.894954
1051,0.894954
1052,0.894954
1053,0.894954
1054,0.894954
1055,0.894954
1056,0.894954
1057,0.894954
1058,0.894954
1059,0.894954
1060,0.894954
1061,0.894954
1062,0.894954
1063,0.894954
1064,0.894954
1065,0.894954
1066,0.894954
1067,0.894954
1068,0.894954
1069,0.894954
1070,0.894954
1071,0.894954
1072,0.894954
1073,0.894954
1074,0.894954
1075,0.894954
1076,0.894954
1077,0.894954
1078,0.894954
1079,0.894954
1080,0.894954
1081,0.894954
1082,0.894954
1083,0.894954
1084,0.894954
1085,0.894954
1086,0.894954
1087,0.894954
1088,0.894954
1089,0.894954
1090,0.894954
1091,0.894954
1092,0.894954
1093,0.894954
1094,0.894954
1095,0.894954
1096,0.894954
1097,0.894954
1098,0.894954
1099,0.894954
1100,0.894954
1101,0.894954
1102,0.894954
1103,0.894954
1104,0.894954
1105,0.894954
1106,0.894954
1107,0.894954
1108,0.894954
1109,0.894954
1110,0.894954
1111,0.894954
1112,0.894954
1113,0.894954
1114,0.894954
1115,0.894954
1116,0.894954
1117,0.894954
1118,0.894954
