rank,score
1,0.990206
2,0.986926
3,0.985198
4,0.982436
5,0.981597
6,0.981101
7,0.980941
8,0.980337
9,0.979485
10,0.978857
11,0.978587
12,0.977878
13,0.977844
14,0.97705
15,0.976738
16,0.976548
17,0.976187
18,0.974234
19,0.973915
20,0.973748
21,0.973366
22,0.972763
23,0.972521
24,0.972491
25,0.972352
26,0.972323
27,0.972211
28,0.972155
29,0.972019
30,0.971941
31,0.971916
32,0.971839
33,0.971006
34,0.970944
35,0.970902
36,0.970711
37,0.970619
38,0.970573
39,0.97027
40,0.97024
41,0.970224
42,0.970082
43,0.969989
44,0.969805
45,0.969175
46,0.969033
47,0.968632
48,0.96863
49,0.968597
50,0.968496
51,0.968461
52,0.968381
53,0.968161
54,0.968135
55,0.96811
56,0.968056
57,0.968049
58,0.967998
59,0.967887
60,0.967865
61,0.967825
62,0.967824
63,0.967813
64,0.967759
65,0.967754
66,0.967692
67,0.967679
68,0.967673
69,0.967597
70,0.967562
71,0.967466
72,0.967446
73,0.967434
74,0.967425
75,0.967415
76,0.967376
77,0.967374
78,0.96737
79,0.967293
80,0.967268
81,0.967211
82,0.967174
83,0.967163
84,0.967143
85,0.96714
86,0.967088
87,0.967024
88,0.96701
89,0.966916
90,0.966863
91,0.966825
92,0.966822
93,0.966806
94,0.966806
95,0.966754
96,0.966706
97,0.966696
98,0.966669
99,0.966614
100,0.966562
101,0.966546
102,0.966456
103,0.966445
104,0.966357
105,0.966347
106,0.966281
107,0.966263
108,0.966235
109,0.966208
110,0.966091
111,0.96606
112,0.966042
113,0.966022
114,0.965941
115,0.965922
116,0.9659
117,0.965899
118,0.965845
119,0.965837
120,0.965831
121,0.965819
122,0.96576
123,0.965719
124,0.965704
125,0.965695
126,0.965681
127,0.965653
128,0.965644
129,0.965607
130,0.965603
131,0.965596
132,0.965596
133,0.96557
134,0.965512
135,0.965511
136,0.965502
137,0.965499
138,0.965456
139,0.965371
140,0.965358
141,0.965331
142,0.965296
143,0.965295
144,0.965294
145,0.965291
146,0.96528
147,0.965236
148,0.965233
149,0.965218
150,0.965214
151,0.965159
152,0.965152
153,0.965118
154,0.965113
155,0.965112
156,0.965105
157,0.965091
158,0.965083
159,0.965081
160,0.965056
161,0.965055
162,0.965032
163,0.96503
164,0.965014
165,0.964948
166,0.964936
167,0.964935
168,0.964925
169,0.964916
170,0.964903
171,0.964895
172,0.964889
173,0.964878
174,0.964836
175,0.964822
176,0.964811
177,0.964804
178,0.964798
179,0.964786
180,0.964742
181,0.964739
182,0.96468
183,0.964678
184,0.964652
185,0.96465
186,0.964624
187,0.964621
188,0.964601
189,0.964596
190,0.964594
191,0.964594
192,0.964594
193,0.964591
194,0.964577
195,0.964526
196,0.964525
197,0.964517
198,0.964478
199,0.964428
200,0.96442
201,0.964411
202,0.96441
203,0.964406
204,0.964404
205,0.964403
206,0.964402
207,0.964396
208,0.964391
209,0.964379
210,0.964355
211,0.964322
212,0.964297
213,0.964275
214,0.964267
215,0.964266
216,0.964247
217,0.964228
218,0.964223
219,0.964206
220,0.964187
221,0.964184
222,0.964182
223,0.964173
224,0.964171
225,0.964152
226,0.964149
227,0.964146
228,0.964127
229,0.964121
230,0.9641
231,0.964065
232,0.964053
233,0.964041
234,0.96403
235,0.964018
236,0.963998
237,0.96399
238,0.96398
239,0.96397
240,0.963967
241,0.963962
242,0.963955
243,0.96393
244,0.96388
245,0.963877
246,0.963872
247,0.963864
248,0.963861
249,0.96384
250,0.963836
251,0.963835
252,0.963832
253,0.963826
254,0.963826
255,0.963823
256,0.963813
257,0.963811
258,0.963806
259,0.963804
260,0.963792
261,0.963791
262,0.963789
263,0.963789
264,0.963774
265,0.96377
266,0.963765
267,0.96376
268,0.96376
269,0.963755
