rank,score
1,0.96898
2,0.97425
3,0.9777
4,0.98031
5,0.98129
6,0.98156
7,0.98162
8,0.98274
9,0.9828
10,0.9831
11,0.98353
12,0.98379
13,0.98392
14,0.98392
15,0.98427
16,0.98532
17,0.98541
18,0.98551
19,0.98564
20,0.98585
21,0.98614
22,0.98624
23,0.98691
24,0.987
25,0.98715
26,0.98728
27,0.98739
28,0.98743
29,0.98743
30,0.9877
31,0.98775
32,0.98822
33,0.98849
34,0.98853
35,0.98853
36,0.9895
37,0.98952
38,0.98975
39,0.99032
40,0.99035
41,0.99036
42,0.99045
43,0.99045
44,0.99048
45,0.99049
46,0.99051
47,0.99059
48,0.99065
49,0.99076
50,0.99084
51,0.99085
52,0.99086
53,0.99086
54,0.99093
55,0.99094
56,0.99099
57,0.991
58,0.99101
59,0.99103
60,0.99104
61,0.99106
62,0.99107
63,0.99107
64,0.99107
65,0.99112
66,0.99116
67,0.99119
68,0.99121
69,0.99121
70,0.99122
71,0.99125
72,0.99126
73,0.99126
74,0.99135
75,0.99141
76,0.99151
77,0.99159
78,0.99175
79,0.99189
80,0.99226
81,0.99232
82,0.99254
83,0.99268
84,0.99277
85,0.99291
86,0.99292
87,0.99298
88,0.9934
89,0.99341
90,0.99341
91,0.99369
92,0.9941
93,0.99412
94,0.99421
95,0.99426
96,0.99469
97,0.99473
98,0.99485
99,0.99487
100,0.9949
101,0.99524
102,0.99554
103,0.99562
104,0.99579
105,0.9959
106,0.9964
107,0.99666
108,0.9967
109,0.99672
110,0.99693
111,0.99703
112,0.99718
113,0.99734
114,0.99737
115,0.99754
116,0.99767
117,0.99777
118,0.99777
119,0.99795
120,0.998
121,0.99803
122,0.99813
123,0.99816
124,0.99823
125,0.99828
126,0.99832
127,0.99834
128,0.99835
129,0.9984
130,0.99852
131,0.9986
132,0.99874
133,0.99905
134,0.9991
135,0.99919
136,0.99948
137,0.9995
138,0.9998
139,1.00005
140,1.00007
141,1.00051
142,1.00057
143,1.00058
144,1.0006
145,1.00061
146,1.00089
147,1.00128
148,1.00131
149,1.0014
150,1.00148
151,1.00155
152,1.0016
153,1.00163
154,1.00169
155,1.00182
156,1.00187
157,1.00195
158,1.00199
159,1.00202
160,1.00217
161,1.0022
162,1.0023
163,1.00232
164,1.00239
165,1.00256
166,1.00266
167,1.00283
168,1.00283
169,1.00292
170,1.00329
171,1.00344
172,1.00352
173,1.0036
174,1.00361
175,1.00379
176,1.00386
177,1.00399
178,1.00409
179,1.00418
180,1.00458
181,1.00465
182,1.00465
183,1.00466
184,1.00472
185,1.00484
186,1.00494
187,1.00514
188,1.00535
189,1.00552
190,1.00569
191,1.00574
192,1.00575
193,1.00593
194,1.006
195,1.00603
196,1.00616
197,1.00617
198,1.00626
199,1.00628
200,1.00654
201,1.00658
202,1.00662
203,1.00664
204,1.00665
205,1.00673
206,1.00678
207,1.00685
208,1.00697
209,1.00698
210,1.00711
211,1.00714
212,1.00716
213,1.00763
214,1.00767
215,1.00774
216,1.0079
217,1.00797
218,1.00835
219,1.0085
220,1.00851
221,1.00861
222,1.00875
223,1.00885
224,1.00943
225,1.00946
226,1.00951
227,1.00963
228,1.00966
229,1.00967
230,1.00983
231,1.0099
232,1.00994
233,1.00996
234,1.00997
235,1.00999
236,1.01014
237,1.01018
238,1.01023
239,1.01023
240,1.01024
241,1.01026
242,1.0103
243,1.01038
244,1.01043
245,1.01064
246,1.01072
247,1.01077
248,1.01077
249,1.01077
250,1.01086
251,1.01086
252,1.01086
253,1.01088
254,1.01089
255,1.0109
256,1.0109
257,1.01094
258,1.01095
259,1.01096
260,1.01098
261,1.01098
262,1.01098
263,1.01098
264,1.01098
265,1.01099
266,1.011
267,1.011
268,1.011
269,1.011
270,1.011
271,1.011
272,1.011
273,1.011
274,1.011
275,1.011
276,1.011
277,1.011
278,1.011
279,1.011
280,1.011
281,1.011
282,1.011
283,1.011
284,1.011
285,1.011
286,1.011
287,1.011
288,1.011
289,1.011
290,1.011
291,1.01107
292,1.01109
293,1.01115
294,1.01122
295,1.01124
296,1.01125
297,1.01131
298,1.01132
299,1.01135
300,1.01148
301,1.01149
302,1.01154
303,1.01173
304,1.01178
305,1.01186
306,1.01201
307,1.01205
308,1.01213
309,1.01221
310,1.01227
311,1.01229
312,1.0123
313,1.01251
314,1.01282
315,1.01297
316,1.01297
317,1.013
318,1.01306
319,1.01313
320,1.01314
321,1.01317
322,1.01387
323,1.01402
324,1.0142
325,1.01425
326,1.0144
327,1.01468
328,1.01492
329,1.01521
330,1.01524
331,1.0153
332,1.01532
333,1.01545
334,1.01563
335,1.01568
336,1.01571
337,1.01581
338,1.01594
339,1.01596
340,1.01599
341,1.016
342,1.016
343,1.01608
344,1.01608
345,1.0161
346,1.01611
347,1.01613
348,1.0163
349,1.0165
350,1.01653
351,1.01653
352,1.01655
353,1.01669
354,1.01672
355,1.01677
356,1.01679
357,1.01679
