rank,score
1,0.29588
2,0.65211
3,0.82622
4,0.83043
5,0.83101
6,0.83705
7,0.84121
8,0.84122
9,0.84169
10,0.84477
11,0.84602
12,0.84825
13,0.84827
14,0.84982
15,0.85301
16,0.8534
17,0.85525
18,0.85617
19,0.85705
20,0.85717
21,0.85893
22,0.85937
23,0.86078
24,0.86084
25,0.86108
26,0.86127
27,0.86127
28,0.86167
29,0.86218
30,0.86274
31,0.86298
32,0.86364
33,0.86367
34,0.86381
35,0.86383
36,0.86395
37,0.86403
38,0.86426
39,0.8643
40,0.86435
41,0.86463
42,0.86466
43,0.86466
44,0.86481
45,0.86482
46,0.86486
47,0.86531
48,0.86547
49,0.86561
50,0.86579
51,0.8658
52,0.86605
53,0.86608
54,0.86627
55,0.86635
56,0.86648
57,0.86657
58,0.86672
59,0.86682
60,0.86687
61,0.8672
62,0.86777
63,0.86805
64,0.86814
65,0.86823
66,0.86826
67,0.86845
68,0.86855
69,0.86864
70,0.86879
71,0.86883
72,0.86884
73,0.86893
74,0.86899
75,0.86909
76,0.86914
77,0.86935
78,0.86941
79,0.86942
80,0.86951
81,0.86965
82,0.87037
83,0.87038
84,0.87089
85,0.87144
86,0.87172
87,0.87176
88,0.87193
89,0.8722
90,0.87254
91,0.87267
92,0.8735
93,0.87378
94,0.87437
95,0.87534
96,0.87582
97,0.87586
98,0.87639
99,0.87659
100,0.87703
101,0.87713
102,0.87807
103,0.87872
104,0.87897
105,0.87939
106,0.87955
107,0.87968
108,0.88025
109,0.88028
110,0.8806
111,0.8807
112,0.88146
113,0.88146
114,0.88171
115,0.88216
116,0.8823
117,0.88269
118,0.88284
119,0.883
120,0.88391
121,0.88392
122,0.88402
123,0.8845
124,0.8849
125,0.88493
126,0.88509
127,0.88597
128,0.88636
129,0.88677
130,0.88739
131,0.88741
132,0.88749
133,0.8875
134,0.88756
135,0.88759
136,0.88793
137,0.88825
138,0.88854
139,0.88854
140,0.88874
141,0.88895
142,0.88911
143,0.8892
144,0.88925
145,0.88961
146,0.88993
147,0.89005
148,0.89009
149,0.8902
150,0.89032
151,0.89067
152,0.89075
153,0.89079
154,0.89119
155,0.89139
156,0.89163
157,0.89167
158,0.89188
159,0.89223
160,0.89248
161,0.89309
162,0.8931
163,0.89327
164,0.89392
165,0.89394
166,0.89436
167,0.89441
168,0.89457
169,0.89462
170,0.89464
171,0.89553
172,0.89568
173,0.89621
174,0.89622
175,0.89637
176,0.89664
177,0.89691
178,0.89691
179,0.89701
180,0.89735
181,0.8976
182,0.89769
183,0.89792
184,0.8981
185,0.89846
186,0.89857
187,0.89932
188,0.89958
189,0.8996
190,0.89966
191,0.89979
192,0.89989
193,0.89993
194,0.89995
195,0.89998
196,0.89999
197,0.90011
198,0.90017
199,0.90025
200,0.90026
201,0.90028
202,0.9003
203,0.90051
204,0.90069
205,0.90093
206,0.90107
207,0.90114
208,0.9012
209,0.90125
210,0.90157
211,0.90193
212,0.90196
213,0.90228
214,0.90237
215,0.90239
216,0.90244
217,0.9025
218,0.90255
219,0.90267
220,0.90283
221,0.90329
222,0.9034
223,0.90344
224,0.90348
225,0.90373
226,0.90379
227,0.90389
228,0.90401
229,0.90406
230,0.90409
231,0.90411
232,0.90497
233,0.90518
234,0.9056
235,0.90578
236,0.90601
237,0.90625
238,0.90656
239,0.90686
240,0.90721
241,0.90745
242,0.90767
243,0.90778
244,0.90795
245,0.90824
246,0.90826
247,0.90878
248,0.90889
249,0.9091
250,0.90911
251,0.90912
252,0.9092
253,0.90939
254,0.90952
255,0.9099
256,0.90998
257,0.91009
258,0.91014
259,0.91017
260,0.91018
261,0.91018
262,0.91022
263,0.91026
264,0.91027
265,0.91032
266,0.91033
267,0.91033
268,0.91034
269,0.9104
270,0.91041
271,0.91041
272,0.91043
273,0.91043
274,0.91051
275,0.91051
276,0.91055
277,0.91062
278,0.91062
279,0.91063
280,0.91063
281,0.91063
282,0.91063
283,0.91063
284,0.91065
285,0.91066
286,0.91066
287,0.91066
288,0.91067
289,0.91067
290,0.91067
291,0.91067
292,0.91067
293,0.91067
294,0.91067
295,0.91067
296,0.91067
297,0.91067
298,0.91067
299,0.91067
300,0.91067
301,0.91067
302,0.91067
303,0.91067
304,0.91067
305,0.91067
306,0.91067
307,0.91067
308,0.91067
309,0.91071
310,0.91085
311,0.91086
312,0.91102
313,0.91121
314,0.91127
315,0.91135
316,0.9114
317,0.91151
318,0.91171
319,0.91222
320,0.91234
321,0.91277
322,0.9129
323,0.91309
324,0.91316
325,0.91356
326,0.91366
327,0.91376
328,0.91389
329,0.91403
330,0.91419
331,0.91419
332,0.91437
333,0.91446
334,0.91446
335,0.91468
336,0.91519
337,0.9158
338,0.91699
339,0.91706
340,0.91741
341,0.91771
342,0.9178
343,0.91781
344,0.91784
345,0.91834
346,0.91854
347,0.91915
348,0.91948
349,0.91952
350,0.92004
351,0.92024
352,0.92044
353,0.92068
354,0.92092
355,0.92108
356,0.92109
357,0.92111
358,0.92135
359,0.92137
360,0.92143
361,0.92174
362,0.92188
363,0.92214
364,0.92218
365,0.92241
366,0.9225
367,0.92251
368,0.92251
369,0.92257
370,0.92273
371,0.92273
372,0.92276
373,0.92282
374,0.92284
375,0.92292
376,0.92297
377,0.92313
378,0.92315
379,0.92315
380,0.92334
381,0.92349
382,0.92355
383,0.92376
384,0.92384
385,0.92392
386,0.92396
387,0.92404
388,0.92412
389,0.92414
390,0.92445
391,0.92451
392,0.92461
393,0.92486
394,0.92498
395,0.92499
396,0.92499
397,0.92501
398,0.92505
399,0.92506
400,0.92508
401,0.92511
402,0.92514
403,0.92514
404,0.92514
405,0.92535
406,0.92536
407,0.92539
408,0.9254
409,0.9254
410,0.9254
411,0.9254
412,0.9254
413,0.92541
414,0.92541
415,0.92542
416,0.92544
417,0.92547
418,0.92548
419,0.9255
420,0.9255
421,0.92551
422,0.92551
423,0.92551
424,0.92551
425,0.92551
426,0.92553
427,0.92555
428,0.92555
429,0.92555
430,0.92555
431,0.92555
432,0.92555
433,0.92555
434,0.92556
435,0.92559
436,0.92561
437,0.92562
438,0.92562
439,0.92564
440,0.92567
441,0.92571
442,0.92575
443,0.92575
444,0.92575
445,0.92575
446,0.92575
447,0.92577
448,0.92577
449,0.92577
450,0.92577
451,0.92578
452,0.92578
453,0.92578
454,0.92579
455,0.92579
456,0.92579
457,0.92579
458,0.92579
459,0.92579
460,0.92579
461,0.92579
462,0.92579
463,0.92579
464,0.92579
465,0.92579
466,0.92579
467,0.92579
468,0.92579
469,0.92579
470,0.92579
471,0.92579
472,0.92579
473,0.92579
474,0.92579
475,0.92579
476,0.92579
477,0.92579
478,0.92579
479,0.92579
480,0.92579
481,0.92579
482,0.92579
483,0.92579
484,0.92579
485,0.92579
486,0.92579
487,0.92579
488,0.92579
489,0.92579
490,0.92579
491,0.92579
492,0.92579
493,0.92579
494,0.92579
495,0.92579
496,0.92579
497,0.92579
498,0.92579
499,0.92579
500,0.92579
501,0.92579
502,0.92579
503,0.92579
504,0.92579
505,0.92579
506,0.92579
507,0.92579
508,0.92579
509,0.92579
510,0.92579
511,0.92579
512,0.92579
513,0.92579
514,0.92579
515,0.92579
516,0.92579
517,0.92579
518,0.92579
519,0.92579
520,0.92579
521,0.92579
522,0.92579
523,0.92579
524,0.92579
525,0.92579
526,0.92579
527,0.92579
528,0.92579
529,0.92579
530,0.92579
531,0.92579
532,0.92579
533,0.92579
534,0.92579
535,0.92579
536,0.92579
537,0.92579
538,0.92579
539,0.92579
540,0.92579
541,0.92579
542,0.92579
543,0.92579
544,0.92579
545,0.92579
546,0.92579
547,0.92579
548,0.92579
549,0.92579
550,0.92579
551,0.92579
552,0.92579
553,0.92579
554,0.92579
