rank,score
1,0.5555
2,0.55498
3,0.5545
4,0.55449
5,0.55438
6,0.55424
7,0.55421
8,0.55416
9,0.5541
10,0.55395
11,0.5539
12,0.55389
13,0.55388
14,0.55386
15,0.55385
16,0.55378
17,0.55377
18,0.55375
19,0.55375
20,0.5537
21,0.55368
22,0.55367
23,0.55366
24,0.55364
25,0.55363
26,0.5536
27,0.55359
28,0.55357
29,0.55351
30,0.55351
31,0.55349
32,0.55348
33,0.55347
34,0.55341
35,0.5534
36,0.55339
37,0.55337
38,0.55332
39,0.55331
40,0.55331
41,0.55326
42,0.55326
43,0.55322
44,0.55322
45,0.5532
46,0.55319
47,0.55318
48,0.55317
49,0.55315
50,0.55313
51,0.55311
52,0.5531
53,0.5531
54,0.55309
55,0.55307
56,0.55307
57,0.55306
58,0.55303
59,0.55302
60,0.55301
61,0.55298
62,0.55298
63,0.55295
64,0.55294
65,0.55294
66,0.55293
67,0.55292
68,0.5529
69,0.5529
70,0.55289
71,0.55289
72,0.55288
73,0.55288
74,0.55285
75,0.55285
76,0.55283
77,0.55279
78,0.55279
79,0.55279
80,0.55278
81,0.55277
82,0.55277
83,0.55275
84,0.55274
85,0.55274
86,0.55273
87,0.55272
88,0.55272
89,0.5527
90,0.5527
91,0.5527
92,0.55269
93,0.55269
94,0.55265
95,0.55264
96,0.55264
97,0.55263
98,0.55262
99,0.55261
100,0.55259
101,0.55259
102,0.55258
103,0.55257
104,0.55257
105,0.55257
106,0.55254
107,0.55253
108,0.55252
109,0.55252
110,0.55251
111,0.55251
112,0.55251
113,0.5525
114,0.5525
115,0.5525
116,0.55249
117,0.55249
118,0.55248
119,0.55248
120,0.55248
121,0.55248
122,0.55248
123,0.55246
124,0.55246
125,0.55245
126,0.55244
127,0.55244
128,0.55244
129,0.55243
130,0.55243
131,0.55241
132,0.55241
133,0.55239
134,0.55239
135,0.55238
136,0.55237
137,0.55237
138,0.55237
139,0.55235
140,0.55234
141,0.55234
142,0.55233
143,0.55233
144,0.55233
145,0.55233
146,0.55232
147,0.55232
148,0.55229
149,0.55229
150,0.55229
151,0.55229
152,0.55229
153,0.55228
154,0.55228
155,0.55228
156,0.55227
157,0.55227
158,0.55227
159,0.55227
160,0.55227
161,0.55227
162,0.55227
