rank,score
1,0.63045
2,0.60409
3,0.60103
4,0.59692
5,0.59676
6,0.59516
7,0.59508
8,0.59488
9,0.59438
10,0.59436
11,0.59434
12,0.59427
13,0.59423
14,0.59419
15,0.59411
16,0.59393
17,0.59386
18,0.59377
19,0.59375
20,0.59366
21,0.59357
22,0.59347
23,0.59322
24,0.59316
25,0.59293
26,0.59292
27,0.59278
28,0.59274
29,0.59266
30,0.59263
31,0.59259
32,0.5925
33,0.59235
34,0.5922
35,0.59203
36,0.59202
37,0.59192
38,0.59178
39,0.59172
40,0.59162
41,0.59158
42,0.59151
43,0.59133
44,0.59127
45,0.59122
46,0.5912
47,0.59114
48,0.59111
49,0.59105
50,0.59105
51,0.59091
52,0.59083
53,0.59077
54,0.59074
55,0.59052
56,0.59051
57,0.59048
58,0.59035
59,0.59002
60,0.58991
61,0.58976
62,0.58961
63,0.5896
64,0.58959
65,0.58953
66,0.58927
67,0.58926
68,0.58903
69,0.58868
70,0.58864
71,0.58857
72,0.58832
73,0.58816
74,0.58815
75,0.58814
76,0.58813
77,0.58806
78,0.58804
79,0.58803
80,0.58785
81,0.58781
82,0.58781
83,0.58769
84,0.58766
85,0.58745
86,0.58734
87,0.58706
88,0.58696
89,0.58691
90,0.58679
91,0.58678
92,0.58677
93,0.58674
94,0.58672
95,0.58661
96,0.58658
97,0.58651
98,0.5864
99,0.58635
100,0.58633
101,0.58602
102,0.586
103,0.58593
104,0.58592
105,0.58585
106,0.58576
107,0.58569
108,0.58556
109,0.58556
110,0.58555
111,0.58555
112,0.58547
113,0.58499
114,0.58498
115,0.58493
116,0.58493
117,0.58493
118,0.58484
119,0.58481
120,0.58479
121,0.58475
122,0.58465
123,0.58446
124,0.58428
125,0.58415
126,0.5841
127,0.58406
128,0.58397
129,0.58391
130,0.58384
131,0.58374
132,0.58367
133,0.58363
134,0.58363
135,0.58361
136,0.58361
137,0.58345
138,0.58345
139,0.58345
140,0.58343
141,0.58341
142,0.58341
143,0.58335
144,0.58334
145,0.58331
146,0.58327
147,0.58326
148,0.58323
149,0.58323
150,0.58316
151,0.58312
152,0.58312
153,0.58304
154,0.58298
155,0.58296
156,0.58293
157,0.58293
158,0.58289
159,0.58289
160,0.58288
161,0.58288
162,0.58288
163,0.58283
164,0.5828
165,0.58277
166,0.58277
167,0.58276
168,0.5827
169,0.5827
170,0.58267
171,0.58266
172,0.58266
173,0.58265
174,0.5826
175,0.58256
176,0.58254
177,0.58253
178,0.58249
179,0.58247
180,0.58247
181,0.58242
182,0.58238
183,0.58232
184,0.5823
185,0.58227
186,0.58226
187,0.58221
188,0.5822
189,0.58219
190,0.58216
191,0.58215
192,0.58214
193,0.58213
194,0.58213
195,0.58213
196,0.58211
197,0.58211
198,0.5821
199,0.5821
200,0.58209
201,0.58208
202,0.58208
203,0.58208
204,0.58208
205,0.58208
206,0.58208
207,0.58208
208,0.58208
209,0.58208
210,0.58208
211,0.58206
212,0.58206
213,0.58205
214,0.58204
215,0.58204
216,0.58204
217,0.58202
218,0.58202
219,0.58201
220,0.58198
221,0.58197
222,0.58192
223,0.58192
224,0.58192
225,0.5819
226,0.58189
227,0.58189
228,0.58189
229,0.58188
230,0.58187
231,0.58185
232,0.58183
233,0.58183
234,0.58181
235,0.5818
236,0.5818
237,0.5818
238,0.58179
239,0.58178
240,0.58175
241,0.5817
242,0.58168
243,0.58168
244,0.58167
245,0.58167
246,0.58166
247,0.58164
248,0.58163
249,0.58161
250,0.5816
251,0.58159
252,0.58159
253,0.58158
254,0.58156
255,0.58155
256,0.58151
257,0.5815
258,0.5815
259,0.58143
260,0.5814
261,0.58139
262,0.58138
263,0.58137
264,0.58137
265,0.58133
266,0.58128
267,0.58125
268,0.58124
269,0.58108
270,0.58104
271,0.581
272,0.58097
273,0.58096
274,0.5809
275,0.58089
276,0.5808
277,0.58079
278,0.58076
279,0.58068
280,0.58067
281,0.58066
282,0.58065
283,0.58059
284,0.58058
285,0.58056
286,0.58053
287,0.5805
288,0.58047
289,0.58042
290,0.5804
291,0.58039
292,0.58036
293,0.58036
294,0.58026
295,0.5802
296,0.5801
297,0.5801
298,0.58007
299,0.57997
300,0.57995
301,0.57987
302,0.57985
303,0.5798
304,0.5798
305,0.57976
306,0.57973
307,0.57959
308,0.57953
309,0.57952
310,0.57949
311,0.57948
312,0.57946
313,0.57943
314,0.57942
315,0.57941
316,0.57932
317,0.57928
318,0.57922
319,0.5792
320,0.57919
321,0.57918
322,0.57915
323,0.57911
324,0.57911
325,0.57907
326,0.57906
327,0.57901
328,0.57898
329,0.57894
330,0.57889
331,0.57888
332,0.57883
333,0.57881
334,0.57876
335,0.57871
336,0.57871
337,0.5787
338,0.57867
339,0.57867
340,0.57863
341,0.57861
342,0.5786
343,0.57857
344,0.57854
345,0.57852
346,0.57852
347,0.57851
348,0.57834
349,0.57831
350,0.57827
351,0.57825
352,0.57818
353,0.57818
354,0.57814
355,0.57798
356,0.57797
357,0.57794
358,0.57793
359,0.57787
