rank,score
1,0.79605
2,0.78301
3,0.77986
4,0.77719
5,0.77201
6,0.77151
7,0.77151
8,0.76975
9,0.76921
10,0.76821
11,0.76738
12,0.76709
13,0.76705
14,0.76648
15,0.76646
16,0.76631
17,0.76617
18,0.76613
19,0.76604
20,0.76597
21,0.76596
22,0.76581
23,0.76577
24,0.76511
25,0.7651
26,0.76508
27,0.765
28,0.76493
29,0.76489
30,0.76489
31,0.76487
32,0.76475
33,0.7646
34,0.76453
35,0.76452
36,0.76451
37,0.76443
38,0.76442
39,0.76435
40,0.76426
41,0.76424
42,0.76405
43,0.76403
44,0.76395
45,0.76392
46,0.76386
47,0.76384
48,0.76378
49,0.76376
50,0.76374
51,0.7637
52,0.76368
53,0.76353
54,0.76348
55,0.76343
56,0.76341
57,0.76335
58,0.76326
59,0.76319
60,0.76318
61,0.76312
62,0.76309
63,0.76299
64,0.76297
65,0.76293
66,0.76291
67,0.76286
68,0.76283
69,0.76277
70,0.76276
71,0.76268
72,0.76265
73,0.76265
74,0.76264
75,0.76263
76,0.76261
77,0.76259
78,0.76256
79,0.76256
80,0.76253
81,0.76252
82,0.76246
83,0.76245
84,0.76244
85,0.76241
86,0.7624
87,0.76235
88,0.76233
89,0.76228
90,0.76227
91,0.76222
92,0.76218
93,0.76218
94,0.76218
95,0.76215
96,0.76215
97,0.76211
98,0.76211
99,0.76209
100,0.76205
101,0.76203
102,0.76203
103,0.762
104,0.76199
105,0.7619
106,0.76187
107,0.76185
108,0.76183
109,0.7618
110,0.76175
111,0.76167
112,0.76166
113,0.76163
114,0.76159
115,0.76153
116,0.76151
117,0.76148
118,0.76147
119,0.76146
120,0.76144
121,0.76143
122,0.7614
123,0.76139
124,0.76138
125,0.76137
126,0.76135
127,0.76135
128,0.76133
129,0.76133
130,0.76131
131,0.76129
132,0.76128
133,0.76128
134,0.76128
135,0.76126
136,0.76126
137,0.76123
138,0.76122
139,0.7612
140,0.76118
141,0.76118
142,0.76117
143,0.76115
144,0.76113
145,0.76111
146,0.76111
147,0.76111
148,0.76108
149,0.76107
150,0.76105
151,0.76105
152,0.76103
153,0.76097
154,0.76096
155,0.76096
156,0.76095
157,0.76095
158,0.76094
159,0.76094
160,0.76094
161,0.76094
162,0.76093
163,0.76093
164,0.76088
165,0.76085
166,0.76079
167,0.76078
168,0.76077
169,0.76077
170,0.76077
171,0.76076
172,0.76075
173,0.76073
174,0.7607
175,0.76069
176,0.76066
177,0.76064
178,0.76062
179,0.76058
180,0.76055
181,0.76051
182,0.76051
183,0.7605
184,0.76049
185,0.76041
186,0.7604
187,0.7604
188,0.76039
189,0.76036
190,0.76024
191,0.76022
192,0.76022
193,0.7602
194,0.76016
195,0.76016
196,0.76016
197,0.76013
198,0.76013
199,0.76009
200,0.76009
201,0.76008
202,0.76008
203,0.76008
204,0.76008
205,0.76004
206,0.76003
207,0.76002
208,0.76001
209,0.75997
210,0.75997
211,0.75995
212,0.75994
213,0.75993
214,0.75991
215,0.75989
216,0.75988
217,0.75987
218,0.75987
219,0.75986
220,0.75984
221,0.75982
222,0.75981
223,0.7598
224,0.75978
225,0.75978
226,0.75977
227,0.75976
228,0.75975
229,0.75975
230,0.75975
231,0.75973
232,0.75972
233,0.75971
234,0.75971
235,0.75971
236,0.7597
237,0.75968
238,0.75967
239,0.75967
240,0.75966
241,0.75962
242,0.75961
243,0.7596
244,0.75959
245,0.75958
246,0.75956
247,0.75955
248,0.75952
249,0.7595
250,0.7595
251,0.75949
252,0.75948
253,0.75948
254,0.75944
255,0.75942
256,0.75942
257,0.75938
258,0.75937
259,0.75936
260,0.75933
261,0.75933
262,0.75932
263,0.75931
264,0.75929
265,0.75928
266,0.75928
267,0.75919
268,0.75913
269,0.75909
270,0.75909
271,0.75908
272,0.75908
273,0.759
274,0.759
275,0.75895
276,0.75894
277,0.75892
278,0.75892
279,0.7589
280,0.75877
281,0.75872
282,0.75863
283,0.75862
284,0.75857
285,0.75855
286,0.75852
287,0.7585
288,0.75844
289,0.75843
290,0.75835
291,0.75829
292,0.75827
293,0.75824
294,0.75815
295,0.75809
296,0.75807
297,0.75794
298,0.75764
299,0.75749
300,0.75748
301,0.75748
302,0.75743
303,0.75743
304,0.75739
305,0.75728
306,0.75719
307,0.75713
308,0.75709
309,0.75709
310,0.75695
311,0.75679
312,0.75671
313,0.75665
314,0.75659
315,0.75657
316,0.75657
317,0.75644
318,0.75642
319,0.75634
320,0.75624
321,0.75622
322,0.7562
323,0.75613
324,0.75611
325,0.7561
326,0.75608
327,0.756
328,0.75589
329,0.75576
330,0.75569
331,0.75553
332,0.75547
333,0.75542
334,0.75533
335,0.75515
336,0.75511
337,0.75504
338,0.755
339,0.7548
340,0.75471
341,0.75469
342,0.75466
343,0.75465
344,0.75461
345,0.75457
346,0.7545
347,0.7545
348,0.75449
349,0.75444
350,0.7544
351,0.7544
352,0.75436
353,0.75427
354,0.75417
355,0.75415
356,0.75411
357,0.75399
358,0.75395
359,0.75392
360,0.75391
361,0.75386
362,0.75384
363,0.75384
364,0.75381
365,0.75368
366,0.75367
367,0.75364
368,0.75364
369,0.75354
370,0.75345
371,0.75339
372,0.75324
373,0.75318
374,0.75309
375,0.75308
376,0.75304
377,0.75301
378,0.753
379,0.75296
380,0.75264
381,0.75257
382,0.75256
383,0.75249
384,0.7524
385,0.75219
386,0.75215
387,0.7521
388,0.75209
389,0.75209
390,0.75209
391,0.75194
392,0.7517
393,0.75165
394,0.75164
395,0.7516
396,0.75139
397,0.75139
398,0.75136
399,0.75114
400,0.75079
401,0.75058
402,0.75041
403,0.75039
404,0.7501
405,0.74987
406,0.74985
407,0.74983
408,0.74976
409,0.74957
410,0.74955
411,0.74929
412,0.7492
413,0.74876
414,0.74874
415,0.74867
416,0.74857
417,0.74852
418,0.7485
419,0.74846
420,0.74845
421,0.74837
422,0.74832
423,0.74824
424,0.74823
425,0.74819
426,0.74817
427,0.74796
428,0.74791
429,0.74769
430,0.74767
431,0.74761
432,0.74759
433,0.74734
434,0.74734
435,0.74723
436,0.7472
437,0.74702
438,0.74698
439,0.74697
440,0.74693
441,0.74677
442,0.7467
443,0.74661
444,0.74653
445,0.74639
446,0.74638
447,0.74638
448,0.74623
449,0.74617
450,0.74602
451,0.74572
452,0.74561
453,0.74552
454,0.74544
455,0.74535
456,0.74519
457,0.74516
458,0.74507
459,0.74499
460,0.74489
461,0.74484
462,0.74479
463,0.74457
464,0.74441
465,0.74436
466,0.74415
467,0.74409
468,0.74405
469,0.74402
470,0.74402
471,0.74401
472,0.74401
473,0.74394
474,0.7439
475,0.74384
476,0.74373
477,0.74372
478,0.7437
479,0.74367
480,0.74363
481,0.7436
482,0.74356
483,0.74349
484,0.74345
485,0.74337
486,0.74314
487,0.7431
488,0.7429
489,0.74286
490,0.74262
491,0.74262
492,0.74262
493,0.74262
494,0.74261
495,0.74255
496,0.74253
497,0.74248
498,0.74241
499,0.74234
500,0.74231
501,0.74215
502,0.7421
503,0.74209
504,0.74203
505,0.74198
506,0.74196
507,0.74186
508,0.74183
509,0.74183
510,0.74179
511,0.74179
512,0.74168
513,0.74146
514,0.74143
515,0.7414
516,0.74126
517,0.74123
518,0.7412
519,0.74114
520,0.74109
521,0.74107
522,0.74105
523,0.74096
524,0.74092
525,0.74083
526,0.74081
527,0.74077
528,0.74061
529,0.74059
530,0.74049
531,0.74035
532,0.74034
533,0.7403
534,0.74026
535,0.74026
536,0.74025
537,0.74024
538,0.74011
539,0.7401
540,0.7401
541,0.74008
542,0.73999
543,0.73998
544,0.73996
545,0.73995
546,0.73971
547,0.73969
548,0.73969
549,0.73968
550,0.7396
551,0.73938
552,0.73929
553,0.73922
554,0.73921
555,0.73905
556,0.73896
557,0.73882
558,0.7388
559,0.73871
560,0.7387
561,0.73859
562,0.73857
563,0.73848
564,0.73838
565,0.73837
566,0.73836
567,0.73824
568,0.73803
569,0.73803
570,0.73795
571,0.73781
572,0.73775
573,0.73772
574,0.73765
575,0.7376
576,0.73748
577,0.73734
578,0.73733
579,0.73723
580,0.73723
581,0.7372
582,0.73716
583,0.73715
584,0.73711
585,0.73708
586,0.73699
587,0.73681
588,0.73673
589,0.73673
590,0.73673
591,0.73668
592,0.73652
593,0.7365
594,0.73649
595,0.73643
596,0.73642
597,0.73638
598,0.73636
599,0.73636
600,0.73636
601,0.73634
602,0.73633
603,0.73633
604,0.73624
605,0.73621
606,0.73619
607,0.73603
608,0.73596
609,0.73591
610,0.73583
611,0.73579
612,0.73578
613,0.7357
614,0.73562
615,0.73533
616,0.73533
617,0.73527
618,0.73524
619,0.73522
620,0.73496
621,0.73486
622,0.73464
623,0.73455
624,0.73448
625,0.7344
626,0.73439
627,0.73438
628,0.73433
629,0.73424
630,0.73419
631,0.73402
632,0.734
633,0.73398
634,0.73394
635,0.73392
636,0.73379
637,0.73365
638,0.73362
639,0.73354
640,0.73342
641,0.73335
642,0.73324
643,0.73317
644,0.73316
645,0.73315
646,0.73312
647,0.73306
648,0.73299
649,0.73283
650,0.73281
651,0.7328
652,0.73279
653,0.73275
654,0.73269
655,0.7326
656,0.73257
657,0.7324
658,0.73233
659,0.73231
660,0.73225
661,0.73223
662,0.73221
663,0.73211
664,0.73211
665,0.73208
666,0.73206
667,0.73199
668,0.73196
669,0.73195
670,0.73185
671,0.73182
672,0.73178
673,0.73162
674,0.73153
675,0.73152
676,0.73145
677,0.73143
678,0.73143
679,0.73119
680,0.73118
681,0.73088
682,0.7308
683,0.73076
684,0.73074
685,0.73073
686,0.73071
687,0.73067
688,0.73054
689,0.73054
690,0.73048
691,0.73044
692,0.73026
693,0.73025
694,0.73019
695,0.73016
696,0.73008
697,0.72999
698,0.72995
699,0.72994
700,0.72986
701,0.72985
702,0.72972
703,0.72958
704,0.7295
705,0.72943
706,0.7294
707,0.72939
708,0.72926
709,0.72926
710,0.72919
711,0.72918
712,0.72914
713,0.72909
714,0.72897
715,0.72893
716,0.72891
717,0.72882
718,0.72874
719,0.72868
720,0.72866
721,0.72864
722,0.72854
723,0.72853
724,0.72844
725,0.72843
726,0.72842
727,0.72835
728,0.72834
729,0.72833
730,0.72823
731,0.72809
732,0.72808
733,0.72803
734,0.728
735,0.72799
736,0.72791
737,0.72782
738,0.72774
739,0.72773
740,0.72773
741,0.72772
742,0.72754
743,0.7275
744,0.72745
745,0.7274
746,0.72737
747,0.72714
748,0.7271
749,0.72707
750,0.72673
751,0.72668
752,0.72648
753,0.72637
754,0.72632
755,0.72622
756,0.72621
757,0.72614
758,0.7261
759,0.72604
760,0.72589
761,0.7257
762,0.72562
763,0.7256
764,0.72534
765,0.72529
766,0.7252
767,0.72513
768,0.72506
769,0.72498
770,0.72493
771,0.72467
772,0.72466
773,0.72457
774,0.72457
775,0.72451
776,0.72408
777,0.72408
778,0.72403
779,0.72397
780,0.72385
781,0.72385
782,0.72378
783,0.7237
784,0.72362
785,0.72358
786,0.72341
787,0.7234
788,0.72294
789,0.72289
790,0.72283
791,0.72277
792,0.72257
793,0.72257
794,0.72242
795,0.72239
796,0.72238
797,0.72236
798,0.72229
799,0.72228
800,0.7222
801,0.72218
802,0.72209
803,0.72184
804,0.72181
805,0.72161
806,0.7215
807,0.7214
808,0.72138
809,0.72132
810,0.72121
811,0.72117
812,0.72114
813,0.72085
814,0.72069
815,0.72027
816,0.72018
817,0.72011
818,0.72008
819,0.72006
820,0.72006
821,0.72001
822,0.71989
823,0.71982
824,0.71973
825,0.71956
826,0.71942
827,0.7194
828,0.7194
829,0.71933
830,0.7191
831,0.71904
832,0.71839
833,0.71829
834,0.71814
835,0.71807
836,0.71786
837,0.71783
838,0.71758
839,0.71749
840,0.71729
841,0.71712
842,0.71675
843,0.71667
844,0.71655
845,0.7164
846,0.71638
847,0.71622
848,0.71616
849,0.71611
850,0.71589
851,0.71576
852,0.71566
853,0.71549
854,0.71528
855,0.71515
856,0.71475
857,0.71469
858,0.71467
859,0.71461
860,0.71461
861,0.71442
862,0.71416
863,0.71394
864,0.71379
865,0.71358
866,0.71345
867,0.71309
868,0.71306
869,0.71295
870,0.7128
871,0.71253
872,0.71225
873,0.71201
874,0.712
875,0.712
876,0.712
877,0.71187
878,0.71183
879,0.71121
880,0.71089
881,0.71088
882,0.71081
883,0.71072
884,0.71068
885,0.71061
886,0.71054
887,0.71054
888,0.71036
889,0.71031
890,0.7103
891,0.71028
892,0.71016
893,0.71005
894,0.71005
895,0.71005
896,0.70964
897,0.70961
898,0.70953
899,0.70945
900,0.70914
901,0.70911
902,0.7091
903,0.70909
904,0.70901
905,0.70896
906,0.70894
907,0.70891
908,0.70881
909,0.70875
910,0.70866
911,0.7085
912,0.70838
913,0.70833
914,0.70808
915,0.70806
916,0.70803
917,0.70801
918,0.70796
919,0.70775
920,0.70775
921,0.70764
922,0.70762
923,0.70759
924,0.70759
925,0.70759
926,0.70751
927,0.7073
928,0.70723
929,0.70721
930,0.70713
931,0.7071
932,0.70707
933,0.70701
934,0.70678
935,0.70633
936,0.70632
937,0.70625
938,0.70616
939,0.70596
940,0.70587
941,0.70585
942,0.70579
943,0.70552
944,0.70551
945,0.70527
946,0.70525
947,0.70523
948,0.7052
949,0.70517
950,0.70511
951,0.70503
952,0.70495
953,0.70495
954,0.70485
955,0.70483
956,0.70481
957,0.70479
958,0.70474
959,0.70452
960,0.70438
961,0.70434
962,0.70432
963,0.70431
964,0.7043
965,0.70427
966,0.70427
967,0.70426
968,0.70426
969,0.70422
970,0.70414
971,0.70413
972,0.70409
973,0.70398
974,0.70397
975,0.70396
976,0.70392
977,0.70384
978,0.70367
979,0.70363
980,0.70345
981,0.7034
982,0.70332
983,0.70325
984,0.70322
985,0.70321
986,0.70308
987,0.7029
988,0.70265
989,0.70265
990,0.70264
991,0.70259
992,0.70255
993,0.70236
994,0.70234
995,0.70232
996,0.70228
997,0.70227
998,0.70222
999,0.7021
1000,0.70207
1001,0.70193
1002,0.7019
1003,0.70185
1004,0.70185
1005,0.70172
1006,0.7017
1007,0.70169
1008,0.70168
1009,0.70161
1010,0.7015
1011,0.70149
1012,0.70145
1013,0.70126
1014,0.70126
1015,0.7012
1016,0.70111
1017,0.70102
1018,0.70084
1019,0.70075
1020,0.70063
1021,0.7004
1022,0.70024
1023,0.70022
1024,0.70016
1025,0.70016
1026,0.70003
1027,0.69997
1028,0.69983
1029,0.69957
1030,0.69955
1031,0.69952
1032,0.69952
1033,0.69952
1034,0.69952
1035,0.69952
1036,0.69952
1037,0.69952
1038,0.69947
1039,0.69944
1040,0.69942
1041,0.69936
1042,0.6993
1043,0.6993
1044,0.69904
1045,0.69894
1046,0.69891
1047,0.69885
1048,0.69885
