rank,score
1,0.79778
2,0.78315
3,0.77991
4,0.779
5,0.77333
6,0.7731
7,0.77222
8,0.77168
9,0.77166
10,0.77113
11,0.77002
12,0.76959
13,0.76856
14,0.76826
15,0.76824
16,0.76801
17,0.76739
18,0.76727
19,0.76718
20,0.76707
21,0.76686
22,0.76685
23,0.76676
24,0.76674
25,0.76652
26,0.76649
27,0.76649
28,0.76605
29,0.76593
30,0.76569
31,0.76561
32,0.7656
33,0.76555
34,0.76553
35,0.76545
36,0.76536
37,0.76527
38,0.76524
39,0.76515
40,0.76504
41,0.76502
42,0.76497
43,0.76492
44,0.76487
45,0.76483
46,0.76481
47,0.76464
48,0.76462
49,0.76454
50,0.7645
51,0.7645
52,0.76446
53,0.76444
54,0.76444
55,0.7644
56,0.76427
57,0.76422
58,0.7642
59,0.76407
60,0.764
61,0.764
62,0.76398
63,0.76396
64,0.76387
65,0.76383
66,0.76383
67,0.7638
68,0.76378
69,0.76376
70,0.76375
71,0.76374
72,0.76365
73,0.76363
74,0.76363
75,0.76349
76,0.76348
77,0.76339
78,0.76338
79,0.76336
80,0.76333
81,0.76332
82,0.7633
83,0.7633
84,0.76329
85,0.76327
86,0.76324
87,0.76324
88,0.76323
89,0.76319
90,0.76316
91,0.76315
92,0.76313
93,0.76313
94,0.76311
95,0.76304
96,0.76299
97,0.76296
98,0.76295
99,0.76291
100,0.7629
101,0.76288
102,0.76288
103,0.76286
104,0.76285
105,0.76284
106,0.76284
107,0.7628
108,0.76279
109,0.76276
110,0.76276
111,0.76276
112,0.76275
113,0.76274
114,0.76269
115,0.76265
116,0.76261
117,0.7626
118,0.76257
119,0.76252
120,0.76245
121,0.76244
122,0.76241
123,0.76241
124,0.76238
125,0.76238
126,0.76237
127,0.76236
128,0.76232
129,0.76231
130,0.76229
131,0.76227
132,0.76226
133,0.76224
134,0.76223
135,0.7622
136,0.76219
137,0.76214
138,0.76214
139,0.76209
140,0.76209
141,0.76208
142,0.76202
143,0.76202
144,0.76199
145,0.76195
146,0.76194
147,0.76193
148,0.76184
149,0.76183
150,0.76181
151,0.76181
152,0.76173
153,0.76173
154,0.76172
155,0.76169
156,0.76167
157,0.76167
158,0.76166
159,0.76166
160,0.76164
161,0.76159
162,0.76159
163,0.76159
164,0.76156
165,0.76156
166,0.76155
167,0.76152
168,0.76152
169,0.76151
170,0.7615
171,0.76149
172,0.76148
173,0.76148
174,0.76148
175,0.76145
176,0.76144
177,0.76141
178,0.7614
179,0.76139
180,0.76136
181,0.76136
182,0.76136
183,0.76132
184,0.76132
185,0.76131
186,0.76128
187,0.76124
188,0.76124
189,0.76121
190,0.76121
191,0.7612
192,0.76119
193,0.76117
194,0.76115
195,0.76115
196,0.76115
197,0.76114
198,0.76114
199,0.76114
200,0.76113
201,0.76111
202,0.76109
203,0.76109
204,0.76108
205,0.76108
206,0.76108
207,0.76107
208,0.76107
209,0.76106
210,0.76105
211,0.76104
212,0.76094
213,0.76094
214,0.7609
215,0.7609
216,0.76089
217,0.76086
218,0.76086
219,0.76085
220,0.76085
221,0.76084
222,0.76083
223,0.76082
224,0.76081
225,0.76078
226,0.76078
227,0.76078
228,0.76073
229,0.76072
230,0.76072
231,0.7607
232,0.7607
233,0.76068
234,0.76067
235,0.76061
236,0.76061
237,0.7606
238,0.7606
239,0.76059
240,0.76056
241,0.76055
242,0.76055
243,0.76053
244,0.76052
245,0.76052
246,0.76051
247,0.76051
248,0.76051
249,0.76051
250,0.76048
251,0.76047
252,0.76046
253,0.76046
254,0.76045
255,0.76044
256,0.76039
257,0.76038
258,0.76038
259,0.76036
260,0.76036
261,0.76036
262,0.76035
263,0.76032
264,0.76031
265,0.76031
266,0.76031
267,0.76029
268,0.76028
269,0.76026
270,0.76023
271,0.76022
272,0.76009
273,0.76008
274,0.76004
275,0.75999
276,0.75985
277,0.75984
278,0.75983
279,0.75982
280,0.75982
281,0.75978
282,0.75977
283,0.75971
284,0.75968
285,0.75967
286,0.75967
287,0.75965
288,0.75959
289,0.75958
290,0.75954
291,0.75954
292,0.75949
293,0.75934
294,0.75926
295,0.75926
296,0.75924
297,0.7591
298,0.759
299,0.75898
300,0.75879
301,0.75878
302,0.75873
303,0.75873
304,0.75872
305,0.75861
306,0.75854
307,0.75841
308,0.75834
309,0.75832
310,0.75816
