rank,score
1,0.95611
2,0.95049
3,0.94487
4,0.94134
5,0.94061
6,0.93764
7,0.93759
8,0.93527
9,0.93013
10,0.92544
11,0.92389
12,0.92237
13,0.91985
14,0.91558
15,0.91461
16,0.90038
17,0.89944
18,0.89899
19,0.89803
20,0.89295
21,0.8879
22,0.88438
23,0.88413
24,0.88321
25,0.8831
26,0.88095
27,0.88039
28,0.87987
29,0.87627
30,0.87598
31,0.8745
32,0.87372
33,0.87161
34,0.87098
35,0.87082
36,0.87022
37,0.87008
38,0.86976
39,0.86941
40,0.86672
41,0.86572
42,0.8638
43,0.86327
44,0.8612
45,0.85674
46,0.84581
47,0.84508
48,0.83592
49,0.82842
50,0.82726
51,0.82675
52,0.82624
53,0.81126
54,0.80484
55,0.79699
56,0.79135
57,0.78668
58,0.73055
59,0.7167
60,0.71478
61,0.71336
62,0.71228
63,0.70798
64,0.70579
65,0.70026
66,0.6924
67,0.64471
68,0.58313
69,0.55969
70,0.5465
71,0.53518
72,0.51347
73,0.50032
74,0.5
75,0.5
76,0.5
77,0.5
78,0.47507
79,0.42235
