rank,score
1,0.96008
2,0.95379
3,0.94262
4,0.93735
5,0.93545
6,0.93012
7,0.92371
8,0.92133
9,0.92108
10,0.92042
11,0.91196
12,0.90672
13,0.90558
14,0.89898
15,0.89881
16,0.88876
17,0.88028
18,0.8789
19,0.87725
20,0.87619
21,0.87612
22,0.87256
23,0.87161
24,0.87046
25,0.86929
26,0.86337
27,0.86019
28,0.85798
29,0.85771
30,0.85728
31,0.8571
32,0.85426
33,0.85222
34,0.85194
35,0.85192
36,0.85063
37,0.84997
38,0.84709
39,0.84666
40,0.84582
41,0.84527
42,0.84436
43,0.84235
44,0.83788
45,0.83488
46,0.82895
47,0.82284
48,0.82149
49,0.81921
50,0.8125
51,0.79654
52,0.79423
53,0.77946
54,0.77885
55,0.77581
56,0.76767
57,0.76479
58,0.70476
59,0.69767
60,0.69697
61,0.69635
62,0.68872
63,0.68314
64,0.67934
65,0.67593
66,0.65478
67,0.64792
68,0.59356
69,0.57945
70,0.56065
71,0.54
72,0.52159
73,0.50764
74,0.5
75,0.5
76,0.5
77,0.5
78,0.47198
79,0.46173
