rank,score
1,0.99284
2,0.71468
3,0.70172
4,0.6997
5,0.69948
6,0.69748
7,0.69676
8,0.69435
9,0.69418
10,0.69344
11,0.69323
12,0.69293
13,0.69293
14,0.6927
15,0.69189
16,0.69088
17,0.69086
18,0.69077
19,0.69062
20,0.69032
21,0.69005
22,0.68978
23,0.68931
24,0.68929
25,0.68922
26,0.68911
27,0.68896
28,0.68896
29,0.68893
30,0.68852
31,0.68845
32,0.68839
33,0.68798
34,0.68792
35,0.68751
36,0.68729
37,0.68703
38,0.68667
39,0.68576
40,0.68323
41,0.683
42,0.68285
43,0.68226
44,0.68223
45,0.68189
46,0.68181
47,0.68178
48,0.68116
49,0.68098
50,0.68095
51,0.68085
52,0.68056
53,0.6805
54,0.68012
55,0.68
56,0.67999
57,0.6799
58,0.67978
59,0.67967
60,0.6794
61,0.67916
62,0.6791
63,0.67892
64,0.6789
65,0.67857
66,0.67833
67,0.67831
68,0.67827
69,0.67827
70,0.6781
71,0.67806
72,0.678
73,0.67769
74,0.67768
75,0.67748
76,0.67727
77,0.67714
78,0.67667
79,0.67634
80,0.6762
81,0.67612
82,0.67587
83,0.67581
84,0.67576
85,0.6757
86,0.67557
87,0.67525
88,0.67487
89,0.67484
90,0.67474
91,0.67459
92,0.67459
93,0.67438
94,0.67436
95,0.67397
96,0.67365
97,0.67355
98,0.67345
99,0.67321
100,0.6732
101,0.67318
102,0.67232
103,0.67231
104,0.67216
105,0.67127
106,0.66985
107,0.66947
108,0.66894
109,0.66845
110,0.66836
111,0.66834
112,0.66822
113,0.66821
114,0.66653
115,0.66647
116,0.6664
117,0.66546
118,0.66535
119,0.66522
120,0.66514
121,0.66475
122,0.66466
123,0.66424
124,0.66415
125,0.66403
126,0.6638
127,0.66312
128,0.66252
129,0.66247
130,0.66211
131,0.66201
132,0.66198
133,0.66158
134,0.66102
135,0.66075
136,0.66062
137,0.66036
138,0.65985
139,0.65888
140,0.6586
141,0.65857
142,0.65845
143,0.65839
144,0.65819
145,0.65742
146,0.65737
147,0.65734
148,0.65731
149,0.65695
150,0.65635
151,0.65629
152,0.65623
153,0.65575
154,0.6557
155,0.65562
156,0.6555
157,0.65522
158,0.65505
159,0.65486
160,0.65422
161,0.65422
162,0.65395
163,0.65378
164,0.65371
165,0.6533
166,0.65311
167,0.65223
168,0.65149
169,0.6514
170,0.65131
171,0.65116
172,0.65059
173,0.65022
174,0.65001
175,0.64927
176,0.64843
177,0.64814
178,0.64798
179,0.64771
180,0.64733
181,0.64725
182,0.64701
183,0.64694
184,0.64688
185,0.64609
186,0.64568
187,0.64532
188,0.64522
189,0.64493
190,0.6449
191,0.64448
192,0.64442
193,0.64418
194,0.64392
195,0.64368
196,0.64353
197,0.64326
198,0.64306
199,0.64286
200,0.64232
201,0.64229
202,0.64224
203,0.64197
204,0.64166
205,0.64134
206,0.64134
207,0.64128
208,0.64101
209,0.64062
210,0.64057
211,0.64036
212,0.64004
213,0.63983
214,0.63947
215,0.63871
216,0.63859
217,0.63814
218,0.63757
219,0.63725
220,0.63718
221,0.63716
222,0.63689
223,0.63671
224,0.63659
225,0.63633
226,0.63607
227,0.63505
228,0.63487
229,0.63454
230,0.6341
231,0.63401
232,0.63392
233,0.63339
234,0.63334
235,0.63279
236,0.63239
237,0.63203
238,0.63167
239,0.6314
240,0.63131
241,0.63126
242,0.6307
243,0.63015
244,0.62969
245,0.62969
246,0.62969
247,0.62948
248,0.62879
249,0.62831
250,0.62785
251,0.62752
252,0.62558
253,0.62556
254,0.62552
255,0.62546
256,0.62518
257,0.6247
258,0.62469
259,0.62393
260,0.62389
261,0.62275
262,0.62241
263,0.62137
264,0.61965
265,0.61963
266,0.61962
267,0.618
268,0.61716
269,0.61714
270,0.61646
271,0.61631
272,0.61619
273,0.61613
274,0.61613
275,0.61613
276,0.61563
277,0.61541
278,0.61512
279,0.61411
280,0.61357
281,0.61256
282,0.61242
283,0.61211
284,0.61209
285,0.61082
286,0.61081
287,0.61081
288,0.61057
289,0.61042
290,0.6099
291,0.60987
292,0.60987
293,0.60956
294,0.60948
