rank,score
1,0.13304
2,0.1641
3,0.1769
4,0.17763
5,0.17872
6,0.18347
7,0.24926
8,0.26608
9,0.29751
10,0.322
11,0.37719
12,0.64071
13,0.75255
14,0.80153
15,0.84722
16,0.88413
17,0.93019
18,1.71089
19,1.96198
20,999999.0
21,999999.0
22,999999.0
23,999999.0
24,999999.0
25,999999.0
26,999999.0
27,999999.0
28,999999.0
29,999999.0
30,999999.0
31,999999.0
32,999999.0
33,999999.0
34,999999.0
35,999999.0
36,999999.0
37,999999.0
38,999999.0
39,999999.0
40,999999.0
41,999999.0
42,999999.0
43,999999.0
44,999999.0
45,999999.0
46,999999.0
47,999999.0
48,999999.0
49,999999.0
50,999999.0
51,999999.0
52,999999.0
53,999999.0
