rank,score
1,0.15199
2,0.18114
3,0.23081
4,0.25996
5,0.31528
6,0.32123
7,0.3361
8,0.42117
9,0.43991
10,0.46162
11,0.48542
12,0.49137
13,0.4994
14,0.50743
15,0.51844
16,0.58447
17,0.64931
18,0.6505
19,0.68441
20,0.82034
21,0.8596
22,0.86049
23,0.87834
24,0.92088
25,0.92266
26,0.93396
27,0.98393
28,0.99672
29,1.00684
30,1.03807
31,1.05383
32,1.2317
33,1.23854
34,1.2552
35,1.33194
36,1.43426
37,1.47293
38,1.47352
39,1.47471
40,1.47471
41,1.47471
42,1.47471
43,1.47471
44,1.47471
45,1.47471
46,1.47471
47,1.47471
48,1.47709
49,1.57852
50,1.58477
51,1.59577
52,1.74538
53,999999.0
