rank,score
1,0.89456
2,0.89432
3,0.89384
4,0.89341
5,0.89341
6,0.89326
7,0.89322
8,0.89318
9,0.89313
10,0.89297
11,0.89289
12,0.89288
13,0.89285
14,0.89283
15,0.89278
16,0.89268
17,0.89265
18,0.89255
19,0.89254
20,0.89252
21,0.89238
22,0.89238
23,0.89237
24,0.89231
25,0.89223
26,0.89223
27,0.89213
28,0.89212
29,0.89204
30,0.89196
31,0.89182
32,0.89182
33,0.89179
34,0.89165
35,0.89154
36,0.89153
37,0.89151
38,0.89151
39,0.89149
40,0.89148
41,0.89146
42,0.89143
43,0.89141
44,0.89141
45,0.89138
46,0.89136
47,0.89132
48,0.89127
49,0.89118
50,0.89118
51,0.89112
52,0.89106
53,0.89105
54,0.89103
55,0.89103
56,0.89095
57,0.89094
58,0.89091
59,0.8909
60,0.89089
61,0.89077
62,0.89077
63,0.89075
64,0.89073
65,0.89067
66,0.89067
67,0.89062
68,0.89062
69,0.8906
70,0.89055
71,0.89054
72,0.89052
73,0.8905
74,0.89045
75,0.89039
76,0.89035
77,0.89032
78,0.89029
79,0.89028
80,0.89017
81,0.89013
82,0.89013
83,0.89008
84,0.89004
85,0.88996
86,0.88996
87,0.88994
88,0.88989
89,0.88989
90,0.8897
91,0.88969
92,0.88959
93,0.88957
94,0.88951
95,0.88949
96,0.88936
97,0.88932
98,0.88931
99,0.88928
100,0.88926
101,0.88922
102,0.88921
103,0.88921
104,0.8892
105,0.88918
106,0.88905
107,0.88904
108,0.88903
109,0.88901
110,0.889
111,0.88896
112,0.88894
113,0.88894
114,0.88892
115,0.8889
116,0.88889
117,0.88877
118,0.88876
119,0.88876
120,0.88875
121,0.88874
122,0.88873
123,0.88872
124,0.88872
125,0.88869
126,0.88867
127,0.88867
128,0.88865
129,0.88865
130,0.88864
131,0.88862
132,0.88861
133,0.8886
134,0.88859
135,0.88854
136,0.88848
137,0.88844
138,0.8884
139,0.88837
140,0.88837
141,0.88835
142,0.88834
143,0.88832
144,0.88827
145,0.88826
146,0.88825
147,0.88822
148,0.8882
149,0.88819
150,0.88816
151,0.88814
152,0.88811
153,0.88811
154,0.8881
155,0.88805
156,0.88804
157,0.88803
158,0.88803
159,0.888
160,0.88797
161,0.88797
162,0.88797
163,0.88796
164,0.88795
165,0.88793
166,0.88793
167,0.8879
168,0.88789
169,0.88789
170,0.88788
171,0.88787
172,0.88786
173,0.88786
174,0.88785
175,0.88784
176,0.88782
177,0.88779
178,0.88778
179,0.88774
180,0.88774
181,0.88774
182,0.88774
183,0.88774
184,0.88772
185,0.88772
186,0.88771
187,0.88763
188,0.88762
189,0.8876
190,0.88756
191,0.88756
192,0.88753
193,0.88751
194,0.88749
195,0.88743
196,0.88743
197,0.88743
198,0.88743
199,0.88743
200,0.88741
201,0.88738
202,0.88736
203,0.88733
204,0.88733
205,0.8873
206,0.88729
207,0.88724
208,0.88724
209,0.8872
210,0.8872
211,0.88715
212,0.88712
213,0.88711
214,0.88708
215,0.88708
216,0.88708
217,0.887
218,0.88699
219,0.88698
220,0.88696
221,0.88696
222,0.88696
223,0.88696
224,0.88694
225,0.88694
226,0.88689
227,0.88688
228,0.88685
229,0.88683
230,0.88683
231,0.88681
232,0.88681
233,0.88679
234,0.88679
235,0.88679
236,0.88679
237,0.88679
238,0.88678
239,0.88676
240,0.88676
241,0.88674
242,0.88674
243,0.88674
244,0.88673
245,0.88672
246,0.88672
247,0.88671
248,0.8867
249,0.88669
250,0.88669
251,0.88668
252,0.88666
253,0.88666
254,0.88666
255,0.88666
256,0.88664
257,0.88664
258,0.88664
259,0.88663
260,0.88663
261,0.88659
262,0.88659
263,0.88659
264,0.88658
265,0.88658
266,0.88657
267,0.88657
268,0.88656
269,0.88656
270,0.88656
271,0.88656
272,0.88656
273,0.88656
274,0.88653
275,0.88653
276,0.88653
277,0.88653
278,0.88651
279,0.88651
280,0.8865
281,0.88648
282,0.88648
283,0.88648
284,0.88648
285,0.88648
286,0.88648
287,0.88648
288,0.88648
289,0.88648
290,0.88648
291,0.88648
292,0.88648
293,0.88648
294,0.88648
295,0.88648
296,0.88648
297,0.88648
298,0.88648
299,0.88648
300,0.88648
301,0.88648
302,0.88648
303,0.88648
304,0.88648
305,0.88648
306,0.88648
307,0.88648
308,0.88648
309,0.88648
310,0.88648
311,0.88648
312,0.88648
313,0.88648
314,0.88648
315,0.88648
316,0.88648
317,0.88648
318,0.88648
319,0.88648
320,0.88648
321,0.88648
322,0.88648
323,0.88648
324,0.88648
325,0.88648
326,0.88648
327,0.88648
328,0.88648
329,0.88648
330,0.88648
331,0.88648
332,0.88648
333,0.88648
334,0.88648
335,0.88648
336,0.88648
337,0.88648
338,0.88648
339,0.88648
340,0.88648
341,0.88648
342,0.88648
343,0.88648
344,0.88648
345,0.88648
346,0.88648
347,0.88648
348,0.88648
349,0.88648
350,0.88648
351,0.88648
352,0.88648
353,0.88648
354,0.88648
355,0.88648
356,0.88648
357,0.88648
358,0.88648
359,0.88648
360,0.88648
361,0.88648
362,0.88648
363,0.88648
364,0.88648
365,0.88648
366,0.88648
367,0.88648
368,0.88648
369,0.88648
370,0.88648
371,0.88648
372,0.88648
373,0.88648
374,0.88648
375,0.88648
376,0.88648
377,0.88648
378,0.88648
379,0.88648
380,0.88648
381,0.88648
382,0.88648
383,0.88648
384,0.88648
385,0.88648
386,0.88648
387,0.88648
388,0.88648
389,0.88648
390,0.88648
391,0.88648
392,0.88648
393,0.88648
394,0.88648
