rank,score
1,0.89592
2,0.89547
3,0.89538
4,0.89489
5,0.89478
6,0.89431
7,0.89409
8,0.89402
9,0.89399
10,0.89396
11,0.89378
12,0.8937
13,0.89364
14,0.89361
15,0.8936
16,0.89358
17,0.89349
18,0.89338
19,0.89324
20,0.89312
21,0.89303
22,0.89303
23,0.89299
24,0.89293
25,0.89286
26,0.89278
27,0.89277
28,0.89275
29,0.89265
30,0.89247
31,0.89245
32,0.8923
33,0.89226
34,0.89222
35,0.89217
36,0.89216
37,0.89215
38,0.89182
39,0.89182
40,0.89169
41,0.89162
42,0.89154
43,0.89144
44,0.89144
45,0.8914
46,0.89139
47,0.89133
48,0.89128
49,0.89125
50,0.89124
51,0.89112
52,0.89105
53,0.89091
54,0.89087
55,0.89086
56,0.89083
57,0.89082
58,0.89079
59,0.89076
60,0.8907
61,0.89066
62,0.89061
63,0.89053
64,0.89048
65,0.89041
66,0.89037
67,0.89031
68,0.89029
69,0.89022
70,0.89018
71,0.89011
72,0.89009
73,0.89007
74,0.89002
75,0.88998
76,0.88997
77,0.88989
78,0.8898
79,0.88957
80,0.88953
81,0.88952
82,0.88951
83,0.88931
84,0.88926
85,0.88923
86,0.88922
87,0.88917
88,0.88911
89,0.88907
90,0.88904
91,0.88901
92,0.8889
93,0.8889
94,0.88886
95,0.88885
96,0.88882
97,0.88878
98,0.88872
99,0.88871
100,0.88871
101,0.8887
102,0.88866
103,0.88856
104,0.88854
105,0.88847
106,0.88842
107,0.88835
108,0.88833
109,0.88828
110,0.88827
111,0.88824
112,0.88823
113,0.88817
114,0.88816
115,0.88815
116,0.88814
117,0.88813
118,0.88812
119,0.88809
120,0.88807
121,0.88804
122,0.88795
123,0.88791
124,0.88791
125,0.88778
126,0.88777
127,0.88774
128,0.8877
129,0.88769
130,0.88769
131,0.88768
132,0.88764
133,0.88757
134,0.88756
135,0.88755
136,0.88754
137,0.88748
138,0.88746
139,0.88742
140,0.88741
141,0.8873
142,0.8873
143,0.88726
144,0.88725
145,0.88723
146,0.88722
147,0.88721
148,0.88717
149,0.88715
150,0.8871
151,0.88707
152,0.88704
153,0.88703
154,0.88701
155,0.88701
156,0.88699
157,0.88697
158,0.88696
159,0.88695
160,0.88679
161,0.88674
162,0.88668
163,0.88662
164,0.88661
165,0.88658
166,0.88655
167,0.88655
168,0.88654
169,0.88653
170,0.88649
171,0.8864
172,0.8864
173,0.88637
174,0.88628
175,0.88625
176,0.88616
