rank,score
1,0.79817
2,0.79628
3,0.79558
4,0.79378
5,0.79135
6,0.78845
7,0.78714
8,0.78529
9,0.78328
10,0.78289
11,0.78167
12,0.77931
13,0.77615
14,0.7744
15,0.77439
16,0.7705
17,0.7705
18,0.77004
19,0.76741
20,0.76653
21,0.75603
22,0.7553
23,0.75363
24,0.75086
25,0.74676
26,0.74625
27,0.74559
28,0.74432
29,0.7443
30,0.74392
31,0.74274
32,0.74251
33,0.74202
34,0.74048
35,0.73938
36,0.73902
37,0.73874
38,0.73547
39,0.73252
40,0.73227
41,0.7302
42,0.72936
43,0.72905
44,0.72852
45,0.72829
46,0.72713
47,0.72672
48,0.72263
49,0.72235
50,0.72203
51,0.72187
52,0.72157
53,0.71801
54,0.71742
55,0.7164
56,0.71605
57,0.71549
58,0.71492
59,0.71458
60,0.71305
61,0.71187
62,0.71112
63,0.71086
64,0.71052
65,0.71036
66,0.71029
67,0.71003
68,0.70992
69,0.70922
70,0.70915
71,0.70915
72,0.70897
73,0.708
74,0.70769
75,0.70683
76,0.70605
77,0.70555
78,0.7047
79,0.70469
80,0.70416
81,0.70398
82,0.70371
83,0.70357
84,0.70273
85,0.70266
86,0.70217
87,0.70181
88,0.70106
89,0.70087
90,0.70062
91,0.70036
92,0.70021
93,0.69986
94,0.69975
95,0.69956
96,0.69807
97,0.69779
98,0.69742
99,0.69686
100,0.69652
101,0.69596
102,0.6959
103,0.69552
104,0.69541
105,0.69477
106,0.69467
107,0.69462
108,0.69422
109,0.69419
110,0.69417
111,0.6939
112,0.6939
113,0.69387
114,0.69383
115,0.69378
116,0.69375
117,0.69375
118,0.69375
119,0.69366
120,0.69343
121,0.69338
122,0.69328
123,0.69326
124,0.69326
125,0.69326
126,0.69326
127,0.69326
128,0.69325
129,0.69319
130,0.69315
131,0.69308
132,0.69301
133,0.69285
134,0.69283
135,0.69282
136,0.69277
137,0.69276
138,0.69276
139,0.69276
140,0.69276
141,0.69276
142,0.69276
143,0.69276
144,0.69276
145,0.69276
146,0.69276
147,0.69276
148,0.69276
149,0.69276
150,0.69276
151,0.69276
152,0.69276
153,0.69276
154,0.69276
155,0.69276
156,0.69276
157,0.69276
158,0.69276
159,0.69276
160,0.69276
161,0.69276
162,0.69276
163,0.69276
164,0.69276
165,0.69276
166,0.69276
167,0.69276
168,0.69276
169,0.69276
170,0.69276
171,0.69276
172,0.69276
173,0.69276
174,0.69276
175,0.69276
176,0.69276
177,0.69276
178,0.69276
179,0.69276
180,0.69276
181,0.69276
182,0.69276
183,0.69276
184,0.69276
185,0.69276
186,0.69276
187,0.69276
188,0.69276
189,0.69276
190,0.69276
191,0.69276
192,0.69276
193,0.69276
194,0.69276
195,0.69276
196,0.69265
197,0.69265
198,0.6926
199,0.69237
200,0.69237
201,0.69237
202,0.69237
203,0.69237
204,0.69237
205,0.69237
206,0.69237
207,0.69237
208,0.69237
209,0.69237
210,0.69237
211,0.69237
212,0.69237
213,0.69237
214,0.69237
215,0.69237
216,0.69237
217,0.69237
218,0.69237
219,0.69237
220,0.69237
221,0.69237
222,0.69237
223,0.69237
224,0.69237
225,0.69237
226,0.69237
227,0.69237
228,0.69236
229,0.69228
230,0.69227
231,0.69216
232,0.69213
233,0.69192
234,0.69184
235,0.69184
236,0.69184
237,0.69182
238,0.6918
239,0.6918
240,0.6918
241,0.6918
242,0.6918
243,0.6918
244,0.6918
245,0.6918
246,0.6918
247,0.6918
248,0.6918
249,0.6918
250,0.6918
251,0.6918
252,0.6918
253,0.6918
254,0.6918
255,0.6918
256,0.6918
257,0.6918
258,0.6918
259,0.6918
260,0.6918
261,0.6918
262,0.6918
263,0.6918
264,0.6918
265,0.6918
266,0.6918
267,0.6918
268,0.6918
269,0.6918
270,0.6918
271,0.6918
272,0.6918
273,0.6918
274,0.6918
275,0.6918
276,0.6918
277,0.6918
278,0.6918
279,0.6918
280,0.6918
281,0.6918
282,0.6918
283,0.6918
284,0.6918
285,0.6918
286,0.6918
287,0.6918
288,0.6918
289,0.6918
290,0.6918
291,0.6918
292,0.6918
293,0.6918
294,0.6918
295,0.6918
296,0.6918
297,0.6918
298,0.6918
299,0.6918
300,0.6918
301,0.6918
302,0.6918
303,0.6918
304,0.6918
305,0.6918
306,0.6918
307,0.6918
308,0.6918
309,0.6918
310,0.6918
311,0.6918
312,0.6918
313,0.6918
314,0.6918
315,0.6918
316,0.6918
317,0.6918
318,0.6918
319,0.6918
320,0.6918
321,0.6918
322,0.6918
323,0.6918
324,0.6918
325,0.6918
326,0.6918
327,0.6918
328,0.6918
329,0.6918
330,0.6918
331,0.6918
332,0.6918
333,0.6918
334,0.6918
335,0.6918
336,0.6918
337,0.6918
338,0.6918
339,0.6918
340,0.6918
341,0.6918
342,0.6918
343,0.6918
344,0.6918
345,0.6918
346,0.6918
347,0.6918
348,0.6918
349,0.6918
350,0.6918
351,0.6918
352,0.6918
353,0.6918
354,0.6918
355,0.6918
356,0.6918
357,0.6918
358,0.6918
359,0.6918
360,0.6918
361,0.6918
362,0.6918
363,0.6918
364,0.6918
365,0.6918
366,0.6918
367,0.6918
368,0.6918
369,0.6918
370,0.6918
371,0.6918
372,0.6918
373,0.6918
374,0.6918
375,0.6918
376,0.6918
377,0.6918
378,0.6918
379,0.6918
380,0.6918
381,0.6918
382,0.6918
383,0.6918
384,0.6918
385,0.6918
386,0.6918
387,0.6918
388,0.69177
389,0.69176
390,0.69176
391,0.69176
392,0.69167
393,0.69163
394,0.69159
395,0.69159
396,0.69155
397,0.69147
398,0.69147
399,0.69144
400,0.69142
401,0.69139
402,0.69139
403,0.69139
404,0.69139
405,0.69139
406,0.69139
407,0.69139
408,0.69139
409,0.69139
410,0.69139
411,0.69139
412,0.69139
413,0.69139
414,0.69139
415,0.69139
416,0.69139
417,0.69139
418,0.69139
419,0.69139
420,0.69139
421,0.69139
422,0.69139
423,0.69139
424,0.69139
425,0.69139
426,0.69139
427,0.69139
428,0.69139
429,0.69139
430,0.69139
431,0.69139
432,0.69139
433,0.69139
434,0.69139
435,0.69139
436,0.69139
437,0.69139
438,0.69139
439,0.69139
440,0.69139
441,0.69139
442,0.69139
443,0.69139
444,0.69139
445,0.69139
446,0.69139
447,0.69139
448,0.69139
449,0.69139
450,0.69139
451,0.69139
452,0.69139
453,0.69139
454,0.69139
455,0.69139
456,0.69139
457,0.69139
458,0.69139
459,0.69139
460,0.69139
461,0.69139
462,0.69139
463,0.69139
464,0.69139
465,0.69139
466,0.69139
467,0.69139
468,0.69139
469,0.69139
470,0.69139
471,0.69139
472,0.69139
473,0.69139
474,0.69139
475,0.69139
476,0.69139
477,0.69139
478,0.69139
479,0.69139
480,0.69139
481,0.69139
482,0.69139
483,0.69139
484,0.69139
485,0.69139
486,0.69139
487,0.69139
488,0.69139
489,0.69139
490,0.69139
491,0.69139
492,0.69139
493,0.69139
494,0.69139
495,0.69139
496,0.69139
497,0.69139
498,0.69139
499,0.69139
500,0.69139
501,0.69139
502,0.69139
503,0.69139
504,0.69139
505,0.69139
506,0.69139
507,0.69139
508,0.69139
509,0.69139
510,0.69139
511,0.69139
512,0.69139
513,0.69139
514,0.69139
515,0.69139
516,0.69139
517,0.69139
518,0.69139
519,0.69139
520,0.69139
521,0.69139
522,0.69139
523,0.69139
524,0.69139
525,0.69139
526,0.69139
527,0.69139
528,0.69139
529,0.69139
530,0.69139
531,0.69139
532,0.69139
533,0.69139
534,0.69139
535,0.69139
536,0.69139
537,0.69139
538,0.69139
539,0.69139
540,0.69139
541,0.69139
542,0.69139
543,0.69139
544,0.69139
545,0.69139
546,0.69139
547,0.69139
548,0.69139
549,0.69139
550,0.69139
551,0.69139
552,0.69139
553,0.69139
554,0.69139
555,0.69139
556,0.69139
557,0.69139
558,0.69139
559,0.69139
560,0.69139
561,0.69139
562,0.69139
563,0.69139
564,0.69139
565,0.69139
566,0.69139
567,0.69139
568,0.69139
569,0.69139
570,0.69139
571,0.69139
572,0.69139
573,0.69139
574,0.69139
575,0.69139
576,0.69139
577,0.69139
578,0.69139
579,0.69139
580,0.69139
581,0.69139
582,0.69139
583,0.69139
584,0.69139
585,0.69139
586,0.69139
587,0.69139
588,0.69139
589,0.69139
