rank,score
1,0.7975
2,0.79728
3,0.79693
4,0.79586
5,0.79482
6,0.79475
7,0.79395
8,0.79273
9,0.78913
10,0.78883
11,0.7869
12,0.78653
13,0.78629
14,0.78429
15,0.78373
16,0.78086
17,0.77195
18,0.77151
19,0.76935
20,0.76356
21,0.76265
22,0.76219
23,0.76108
24,0.76105
25,0.75981
26,0.75299
27,0.75038
28,0.75027
29,0.74976
30,0.74731
31,0.74693
32,0.74385
33,0.74268
34,0.74036
35,0.74003
36,0.73797
37,0.73752
38,0.73709
39,0.73663
40,0.73541
41,0.73481
42,0.73132
43,0.73002
44,0.72984
45,0.72922
46,0.72654
47,0.72566
48,0.72565
49,0.72544
50,0.72489
51,0.72406
52,0.72296
53,0.72162
54,0.72137
55,0.72015
56,0.71875
57,0.71859
58,0.71573
59,0.71455
60,0.71434
61,0.71312
62,0.71308
63,0.71287
64,0.71185
65,0.71151
66,0.71068
67,0.70912
68,0.70863
69,0.70741
70,0.70698
71,0.70694
72,0.70676
73,0.70606
74,0.70601
75,0.70545
76,0.70513
77,0.70497
78,0.70392
79,0.70258
80,0.70231
81,0.70127
82,0.70101
83,0.70069
84,0.70065
85,0.69996
86,0.69971
87,0.69917
88,0.69895
89,0.6982
90,0.69792
91,0.69745
92,0.69732
93,0.69605
94,0.69583
95,0.69581
96,0.69577
97,0.69526
98,0.69314
99,0.6931
100,0.69262
101,0.692
102,0.69122
103,0.69108
104,0.68948
105,0.68903
106,0.68852
107,0.6872
108,0.68493
109,0.68431
110,0.68307
111,0.68271
112,0.68249
113,0.68229
114,0.68151
115,0.68135
116,0.68117
117,0.67986
118,0.67974
119,0.67938
120,0.67933
121,0.67922
122,0.67893
123,0.6789
124,0.67866
125,0.67861
126,0.67841
127,0.67776
128,0.67762
129,0.67713
130,0.67658
131,0.67649
132,0.67593
133,0.67577
134,0.67432
135,0.67398
136,0.67397
137,0.67392
138,0.67375
139,0.67249
140,0.67247
141,0.67241
142,0.67207
143,0.67188
144,0.67184
145,0.67166
146,0.67166
147,0.6716
148,0.67152
149,0.6715
150,0.67147
151,0.67142
152,0.67142
153,0.67141
154,0.6714
155,0.67137
156,0.67137
157,0.67137
158,0.67136
159,0.67133
160,0.67132
161,0.67132
162,0.67122
163,0.67119
164,0.67119
165,0.67118
166,0.67116
167,0.67111
168,0.67111
169,0.67109
170,0.67109
171,0.67106
172,0.67106
173,0.67106
174,0.67106
175,0.67106
176,0.67106
177,0.67106
178,0.67106
179,0.67106
180,0.67106
181,0.67106
182,0.67106
183,0.67106
184,0.67106
185,0.67106
186,0.67106
187,0.67106
188,0.67106
189,0.67106
190,0.67106
191,0.67106
192,0.67106
193,0.67106
194,0.67106
195,0.67106
196,0.67106
197,0.67106
198,0.67106
199,0.67106
200,0.67106
201,0.67106
202,0.67106
203,0.67106
204,0.67106
205,0.67106
206,0.67106
207,0.67106
208,0.67106
209,0.67106
210,0.67106
211,0.67106
212,0.67106
213,0.67106
214,0.67106
215,0.67106
216,0.67106
217,0.67106
218,0.67106
219,0.67106
220,0.67106
221,0.67106
222,0.67106
223,0.67106
224,0.67106
225,0.67106
226,0.67106
227,0.67106
228,0.67106
229,0.67106
230,0.67106
231,0.67106
232,0.67106
233,0.67106
234,0.67106
235,0.67106
236,0.67106
237,0.67106
238,0.67106
239,0.67106
240,0.67106
241,0.67106
242,0.67106
243,0.67106
244,0.67106
245,0.67106
246,0.67106
247,0.67106
248,0.67106
249,0.67106
250,0.67106
251,0.67106
252,0.67106
253,0.67106
254,0.67106
255,0.67106
256,0.67106
257,0.67106
258,0.67106
259,0.67106
260,0.67106
261,0.67106
262,0.67106
263,0.67106
264,0.67106
265,0.67106
266,0.67106
267,0.67106
268,0.67106
269,0.67106
270,0.67106
271,0.67106
272,0.67106
273,0.67106
274,0.67106
275,0.67106
276,0.67106
277,0.67106
278,0.67106
279,0.67106
280,0.67106
281,0.67106
282,0.67106
