rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.99877
16,0.92675
17,0.86975
18,0.85749
19,0.85473
20,0.84829
21,0.84737
22,0.84737
23,0.84707
24,0.84707
25,0.84615
26,0.84431
27,0.844
28,0.84308
29,0.84247
30,0.84155
31,0.84155
32,0.84155
33,0.84155
34,0.84125
35,0.84125
36,0.84094
37,0.84094
38,0.84063
39,0.84033
40,0.84033
41,0.84033
42,0.84002
43,0.84002
44,0.83971
45,0.83971
46,0.83971
47,0.83941
48,0.8391
49,0.83879
50,0.83879
51,0.83849
52,0.83787
53,0.83757
54,0.83757
55,0.83757
56,0.83726
57,0.83726
58,0.83726
59,0.83695
60,0.83665
61,0.83665
62,0.83634
63,0.83604
64,0.83604
65,0.83604
66,0.83604
67,0.83604
68,0.83604
69,0.83573
70,0.83542
71,0.83542
72,0.83512
73,0.83512
74,0.83512
75,0.83512
76,0.83481
77,0.83481
78,0.8345
79,0.8345
80,0.8345
81,0.8345
82,0.8342
83,0.8342
84,0.8342
85,0.8342
86,0.8342
87,0.8342
88,0.83389
89,0.83389
90,0.83358
91,0.83358
92,0.83358
93,0.83328
94,0.83328
95,0.83328
96,0.83328
97,0.83328
98,0.83328
99,0.83297
100,0.83297
101,0.83297
102,0.83297
103,0.83266
104,0.83266
105,0.83236
106,0.83205
107,0.83205
108,0.83205
109,0.83174
110,0.83174
111,0.83174
112,0.83174
113,0.83144
114,0.83113
115,0.83113
116,0.83113
117,0.83113
118,0.83083
119,0.82991
120,0.82991
121,0.8296
122,0.8296
123,0.8296
124,0.82929
125,0.82899
126,0.82899
127,0.82868
128,0.82837
129,0.82837
130,0.82837
131,0.82807
132,0.82807
133,0.82807
134,0.82745
135,0.82745
136,0.82715
137,0.82715
138,0.82684
139,0.82684
140,0.82684
141,0.82653
142,0.82653
143,0.82623
144,0.82592
145,0.82592
146,0.82592
147,0.82562
148,0.82562
149,0.82531
150,0.82531
151,0.825
152,0.825
153,0.8247
154,0.82439
155,0.82439
156,0.82439
157,0.82439
158,0.82347
159,0.82316
160,0.82316
161,0.82286
162,0.82286
163,0.82286
164,0.82255
165,0.82255
166,0.82255
167,0.82224
168,0.82224
169,0.82224
170,0.82224
171,0.82224
172,0.82224
173,0.82133
174,0.82133
175,0.82133
176,0.82102
