rank,score
1,0.051
2,0.05211
3,0.05232
4,0.05304
5,0.05471
6,0.05506
7,0.05537
8,0.05558
9,0.05581
10,0.05587
11,0.05589
12,0.05653
13,0.05659
14,0.05693
15,0.05701
16,0.05729
17,0.05734
18,0.05747
19,0.0581
20,0.05828
21,0.05829
22,0.05847
23,0.05853
24,0.05869
25,0.05915
26,0.05915
27,0.05928
28,0.05928
29,0.05956
30,0.05982
31,0.06001
32,0.06008
33,0.06008
34,0.06052
35,0.06068
36,0.06088
37,0.06094
38,0.061
39,0.06103
40,0.06111
41,0.06115
42,0.06161
43,0.0617
44,0.06186
45,0.06201
46,0.06202
47,0.06224
48,0.06224
49,0.06224
50,0.06229
51,0.06239
52,0.06241
53,0.06275
54,0.06279
55,0.06293
56,0.06336
57,0.06338
58,0.06349
59,0.06358
60,0.06368
61,0.06377
62,0.06377
63,0.06381
64,0.06382
65,0.06387
66,0.06388
67,0.06393
68,0.06397
69,0.06412
70,0.06412
71,0.06414
72,0.06419
73,0.06419
74,0.06419
75,0.06433
76,0.06436
77,0.06436
78,0.06445
79,0.06447
80,0.06461
81,0.06469
82,0.06483
83,0.0649
84,0.06491
85,0.06508
86,0.06514
87,0.06519
88,0.06521
89,0.06526
90,0.06537
91,0.06538
92,0.06538
93,0.06541
94,0.06541
95,0.06553
96,0.06559
97,0.06568
98,0.06574
99,0.06581
100,0.06582
101,0.06584
102,0.06593
103,0.06599
104,0.06608
105,0.0661
106,0.06612
107,0.06615
108,0.06617
109,0.06621
110,0.06624
111,0.06625
112,0.06626
113,0.06633
114,0.06636
115,0.06659
116,0.06661
117,0.06662
118,0.06676
119,0.06686
120,0.06715
121,0.06715
122,0.06719
123,0.06726
124,0.06729
125,0.0673
126,0.0673
127,0.06733
128,0.06737
129,0.06739
130,0.0674
131,0.06744
132,0.06748
133,0.06753
134,0.06753
135,0.06755
136,0.06758
137,0.06759
138,0.06766
139,0.06767
140,0.06768
141,0.06771
142,0.06773
143,0.06774
144,0.06774
145,0.06775
146,0.06775
147,0.06775
148,0.06776
149,0.06776
150,0.06776
151,0.06776
152,0.06779
153,0.06779
154,0.0678
155,0.0678
156,0.06783
157,0.06784
158,0.06786
159,0.0679
160,0.0679
161,0.06791
162,0.06791
163,0.06791
164,0.06791
165,0.06791
166,0.06791
167,0.06791
168,0.06791
169,0.06791
170,0.06791
171,0.06791
172,0.06791
173,0.06791
174,0.06791
175,0.06791
176,0.06791
177,0.06791
178,0.06791
179,0.06791
180,0.06791
