rank,score
1,0.03689
2,0.03811
3,0.03868
4,0.039
5,0.04017
6,0.0411
7,0.04229
8,0.04297
9,0.04307
10,0.04318
11,0.04325
12,0.04354
13,0.04369
14,0.04374
15,0.04379
16,0.04387
17,0.0439
18,0.04394
19,0.04436
20,0.04456
21,0.04468
22,0.04476
23,0.04479
24,0.0456
25,0.04572
26,0.04575
27,0.04575
28,0.04598
29,0.04615
30,0.04625
31,0.04635
32,0.04636
33,0.04637
34,0.04645
35,0.04657
36,0.04659
37,0.04674
38,0.04684
39,0.04702
40,0.0472
41,0.04728
42,0.04773
43,0.04779
44,0.04787
45,0.04788
46,0.04795
47,0.04797
48,0.04815
49,0.04815
50,0.04817
51,0.04824
52,0.04834
53,0.04835
54,0.04838
55,0.04846
56,0.04854
57,0.04864
58,0.04866
59,0.04867
60,0.0488
61,0.0488
62,0.04881
63,0.04884
64,0.04884
65,0.04886
66,0.0489
67,0.04892
68,0.04898
69,0.049
70,0.04904
71,0.04908
72,0.04912
73,0.04912
74,0.04912
75,0.04918
76,0.04925
77,0.04926
78,0.04927
79,0.04929
80,0.04929
81,0.04929
82,0.04929
83,0.0493
84,0.04933
85,0.04933
86,0.04935
87,0.04937
88,0.04937
89,0.04942
90,0.04951
91,0.04951
92,0.04953
93,0.04956
94,0.04957
95,0.04962
96,0.04964
97,0.04965
98,0.04969
99,0.04972
100,0.04974
101,0.04977
102,0.04979
103,0.04981
104,0.04982
105,0.04982
106,0.04985
107,0.04987
108,0.04991
109,0.04992
110,0.04994
111,0.04994
112,0.04996
113,0.04996
114,0.04997
115,0.04998
116,0.04999
117,0.05001
118,0.05001
119,0.05003
120,0.05003
121,0.05005
122,0.05005
123,0.05005
124,0.05005
125,0.05007
126,0.05008
127,0.0501
128,0.0501
129,0.05012
130,0.05013
131,0.05013
132,0.05013
133,0.05014
134,0.05016
135,0.05017
136,0.05018
137,0.05022
138,0.05023
139,0.05025
140,0.05026
141,0.05027
142,0.05028
143,0.05028
144,0.05031
145,0.05031
146,0.05034
147,0.05035
148,0.05038
149,0.05039
150,0.0504
151,0.05041
152,0.05044
153,0.05044
154,0.05046
155,0.05046
156,0.05046
157,0.05046
158,0.05046
159,0.05046
160,0.05046
161,0.05046
162,0.05046
163,0.05046
164,0.05046
165,0.05046
166,0.05046
167,0.05046
168,0.05046
169,0.05046
170,0.05046
171,0.05046
172,0.05046
173,0.05046
174,0.05046
175,0.05046
176,0.05046
177,0.05046
178,0.05046
179,0.05046
180,0.05046
181,0.05046
182,0.05046
183,0.05046
184,0.05047
185,0.05049
186,0.05055
187,0.05058
188,0.05059
189,0.05061
190,0.05066
191,0.05066
192,0.05068
193,0.05078
194,0.0508
195,0.05082
196,0.05083
197,0.05083
198,0.05084
199,0.05085
200,0.05085
201,0.05085
202,0.05085
203,0.05085
204,0.05085
205,0.05085
206,0.05085
207,0.05085
208,0.05085
209,0.05085
210,0.05085
211,0.05085
212,0.05085
213,0.05085
214,0.05085
215,0.05085
216,0.05085
217,0.05085
218,0.05085
219,0.05087
220,0.05089
221,0.05092
222,0.05092
223,0.05092
224,0.05092
225,0.05092
226,0.05092
227,0.05092
228,0.05092
229,0.05092
230,0.05092
231,0.05092
232,0.05092
233,0.05094
234,0.05095
235,0.05096
236,0.05098
237,0.05102
238,0.05103
239,0.05109
240,0.05113
241,0.05114
242,0.05117
243,0.05118
244,0.05124
245,0.05131
246,0.05136
247,0.05136
248,0.05146
249,0.05153
250,0.05154
251,0.05154
252,0.05155
253,0.05155
254,0.05155
255,0.05155
256,0.05155
257,0.05155
258,0.05155
259,0.05155
260,0.05155
261,0.05155
262,0.05159
263,0.0517
264,0.05171
265,0.05172
266,0.05173
267,0.05174
268,0.05174
269,0.05174
270,0.05174
271,0.05178
272,0.05185
273,0.05185
274,0.05185
275,0.05185
276,0.05185
277,0.05185
278,0.05185
279,0.05185
280,0.05185
281,0.05185
282,0.05185
283,0.05185
284,0.05185
285,0.05195
286,0.05199
287,0.052
288,0.05205
289,0.05206
290,0.05212
291,0.05212
292,0.05212
293,0.0522
294,0.05221
295,0.05223
296,0.05226
297,0.05228
298,0.05229
299,0.0523
300,0.05231
301,0.05233
302,0.05233
303,0.05234
304,0.05237
305,0.05237
306,0.05237
307,0.05243
308,0.05246
309,0.05246
310,0.05252
311,0.05253
312,0.05258
313,0.05258
314,0.05258
315,0.05259
316,0.05262
317,0.05262
318,0.05264
319,0.05266
320,0.05267
321,0.05269
322,0.05273
323,0.05274
324,0.05275
325,0.05277
326,0.05278
327,0.05279
328,0.05282
329,0.05285
330,0.05285
331,0.05285
332,0.05285
333,0.05285
334,0.05286
335,0.05286
336,0.05286
337,0.05286
338,0.05286
339,0.05286
340,0.05286
341,0.05286
342,0.05286
343,0.05286
344,0.05286
345,0.05286
346,0.05288
347,0.05291
348,0.05291
349,0.05292
350,0.05293
351,0.05302
352,0.05304
353,0.05305
354,0.05311
355,0.05312
356,0.05323
357,0.05325
358,0.05329
359,0.05332
360,0.05333
361,0.05334
362,0.05335
363,0.05337
364,0.05338
365,0.05339
366,0.05341
367,0.05351
368,0.05354
369,0.05357
370,0.05357
371,0.05359
372,0.05362
373,0.05362
374,0.05362
375,0.05362
376,0.05366
377,0.05367
378,0.05368
379,0.05373
380,0.05379
381,0.0538
382,0.05381
383,0.05381
384,0.05381
385,0.05386
386,0.05387
387,0.05388
388,0.05391
389,0.05393
390,0.05394
391,0.05394
392,0.05396
393,0.05396
394,0.05403
395,0.05403
396,0.05403
397,0.05406
398,0.05408
399,0.0541
400,0.0541
401,0.05414
402,0.05414
403,0.05414
404,0.05414
405,0.05414
406,0.05418
407,0.05419
408,0.05421
409,0.05422
410,0.05422
411,0.05426
412,0.05427
413,0.05427
414,0.05427
415,0.05428
416,0.05438
417,0.05439
418,0.05441
419,0.05442
420,0.05443
421,0.05446
422,0.05459
423,0.05461
424,0.05465
425,0.05467
426,0.05468
427,0.05469
428,0.0547
429,0.0547
430,0.05471
431,0.05472
432,0.05473
433,0.05479
434,0.05483
435,0.05483
436,0.05486
437,0.05487
438,0.05489
439,0.05492
440,0.05494
441,0.05499
442,0.05501
443,0.05501
444,0.05503
445,0.05503
446,0.05506
447,0.05508
448,0.0551
449,0.05512
450,0.05514
451,0.05518
452,0.0552
453,0.05523
454,0.05525
455,0.0553
456,0.05532
457,0.05535
458,0.05536
459,0.0554
460,0.05541
461,0.05541
462,0.05546
463,0.05553
464,0.05554
465,0.05555
466,0.05556
467,0.05559
468,0.05564
469,0.05565
470,0.05571
471,0.05572
472,0.05578
473,0.05581
474,0.05582
475,0.05585
476,0.05585
477,0.05587
478,0.05593
479,0.05596
480,0.05601
481,0.05601
482,0.05605
483,0.05606
484,0.05607
485,0.0561
486,0.05612
487,0.05614
488,0.0562
489,0.05622
490,0.05624
491,0.05626
492,0.05627
493,0.05628
494,0.05629
495,0.0563
496,0.05631
497,0.05635
498,0.05637
499,0.05638
500,0.05639
501,0.05655
502,0.05656
503,0.05659
504,0.05663
505,0.05667
506,0.05667
507,0.0567
508,0.05671
509,0.05673
510,0.05676
511,0.05679
512,0.05689
513,0.05689
514,0.05689
515,0.0569
516,0.05693
517,0.05695
518,0.05696
519,0.05696
520,0.05696
521,0.05696
522,0.05696
523,0.05699
524,0.05701
525,0.05702
526,0.05704
527,0.05709
528,0.0571
529,0.0571
530,0.05717
531,0.05719
532,0.05719
533,0.05726
534,0.05732
535,0.05732
536,0.05736
537,0.05738
538,0.05739
539,0.05741
540,0.05742
541,0.05743
542,0.05743
543,0.05743
544,0.05744
545,0.05745
546,0.05746
547,0.05746
548,0.05751
549,0.05763
550,0.05766
551,0.05766
552,0.05767
553,0.05772
554,0.05777
555,0.05785
556,0.05789
557,0.05797
558,0.05798
559,0.05804
560,0.05805
561,0.05807
562,0.05813
563,0.05816
564,0.0582
565,0.05823
566,0.0583
567,0.0583
568,0.05833
569,0.05835
570,0.05836
571,0.05836
572,0.05836
573,0.05842
