rank,score
1,0.28976
2,0.30664
3,0.30942
4,0.31044
5,0.31074
6,0.31095
7,0.3112
8,0.31152
9,0.31157
10,0.31157
11,0.31181
12,0.31193
13,0.31205
14,0.31274
15,0.31346
16,0.31442
17,0.31546
18,0.31607
19,0.31645
20,0.31693
21,0.31852
22,0.3207
23,0.322
24,0.33683
25,0.34324
26,0.36185
27,0.36235
28,0.36261
29,0.36331
30,0.3636
31,0.36416
32,0.36418
33,0.3642
34,0.3646
35,0.36519
36,0.36544
37,0.36562
38,0.36596
39,0.36604
40,0.36623
41,0.36635
42,0.36636
43,0.36659
44,0.36666
45,0.3668
46,0.36698
47,0.36703
48,0.36703
49,0.36724
50,0.3673
51,0.36741
52,0.3676
53,0.36786
54,0.36802
55,0.36813
56,0.36861
57,0.36874
58,0.36879
59,0.36896
60,0.36898
61,0.36901
62,0.36907
63,0.36908
64,0.36915
65,0.36922
66,0.36929
67,0.36936
68,0.36944
69,0.36955
70,0.36962
71,0.3697
72,0.3697
73,0.36974
74,0.36997
75,0.37063
76,0.37071
77,0.37072
78,0.37073
79,0.37076
80,0.37084
81,0.37091
82,0.37103
83,0.37106
84,0.37107
85,0.37116
86,0.37121
87,0.37125
88,0.37126
89,0.37142
90,0.37143
91,0.37149
92,0.37154
93,0.37155
94,0.37157
95,0.37162
96,0.3717
97,0.37175
98,0.37187
99,0.3719
100,0.37195
101,0.37205
102,0.37212
103,0.37215
104,0.37218
105,0.37229
106,0.37236
107,0.37237
108,0.37238
109,0.37252
110,0.37293
111,0.37299
112,0.37299
113,0.37308
114,0.37311
115,0.37335
116,0.37369
117,0.37371
118,0.37373
119,0.37375
120,0.37389
121,0.37395
122,0.37398
123,0.37418
124,0.37419
125,0.37434
126,0.37448
127,0.37456
128,0.37465
129,0.37495
130,0.37503
131,0.37504
132,0.37507
133,0.37513
134,0.37522
135,0.37525
136,0.37538
137,0.37554
138,0.37558
139,0.37563
140,0.37563
141,0.37572
142,0.37587
143,0.37594
144,0.37596
145,0.37607
146,0.37608
147,0.37615
148,0.37617
149,0.37625
150,0.37638
151,0.37639
152,0.3764
153,0.37656
154,0.37658
155,0.37659
156,0.3766
157,0.37676
158,0.37685
159,0.37696
160,0.377
161,0.37703
162,0.37708
163,0.3771
164,0.37715
165,0.37715
166,0.3772
167,0.37729
168,0.37731
169,0.37746
170,0.37748
171,0.37757
172,0.37762
173,0.37772
174,0.37791
175,0.37796
176,0.37802
177,0.37806
178,0.37817
179,0.3782
180,0.3783
181,0.37836
182,0.37839
183,0.3787
184,0.37876
185,0.37892
186,0.37893
187,0.37895
188,0.37895
189,0.379
190,0.379
191,0.37903
192,0.37905
193,0.37923
194,0.37927
195,0.37961
196,0.37994
197,0.3801
198,0.3801
199,0.38023
200,0.38024
201,0.38031
202,0.38031
203,0.38033
204,0.38045
205,0.38063
206,0.38074
207,0.38081
208,0.38084
209,0.38088
210,0.3809
211,0.38091
212,0.38094
213,0.38103
214,0.38112
215,0.38115
216,0.38124
217,0.38124
218,0.38134
219,0.38138
220,0.38139
221,0.38162
222,0.38162
223,0.38179
224,0.38183
225,0.38185
226,0.38199
227,0.38208
228,0.38226
229,0.38256
230,0.38258
231,0.38267
232,0.38281
233,0.38284
234,0.38285
235,0.38285
236,0.38321
237,0.38321
238,0.38321
239,0.38322
240,0.38329
241,0.38332
242,0.38343
243,0.38349
244,0.38351
245,0.38382
246,0.38382
247,0.38385
248,0.38393
249,0.38397
250,0.38397
251,0.38405
252,0.38413
253,0.38425
254,0.38441
255,0.38442
256,0.38442
257,0.38456
258,0.38464
259,0.38465
260,0.38469
261,0.38473
262,0.38474
263,0.38484
264,0.38488
265,0.38494
266,0.38512
267,0.38513
268,0.38528
269,0.38531
270,0.38531
271,0.38541
272,0.38542
273,0.38549
274,0.38549
275,0.38559
276,0.38566
277,0.38571
278,0.38571
279,0.38585
280,0.38585
281,0.38588
282,0.3859
283,0.38594
284,0.38596
285,0.38612
286,0.38613
287,0.38614
288,0.38625
289,0.38626
290,0.38641
291,0.38649
292,0.38649
293,0.38649
294,0.38649
295,0.38649
296,0.38649
297,0.38649
298,0.38649
299,0.38649
300,0.38649
301,0.38649
302,0.38649
303,0.38649
304,0.38649
305,0.38649
306,0.38649
307,0.38649
308,0.38649
309,0.38649
310,0.38649
311,0.38649
312,0.38649
313,0.38649
314,0.38649
315,0.38649
316,0.38649
317,0.38649
318,0.38649
319,0.38649
320,0.38649
321,0.38649
322,0.38649
323,0.38649
324,0.38649
325,0.38649
326,0.38649
327,0.38649
328,0.38649
329,0.38649
330,0.38649
331,0.38649
332,0.38649
333,0.38649
334,0.38649
335,0.38649
336,0.38649
337,0.38649
338,0.38649
339,0.38649
340,0.38649
341,0.38649
342,0.38649
343,0.38649
344,0.38649
345,0.38649
346,0.38649
347,0.38649
348,0.38649
349,0.38655
350,0.38661
351,0.38661
352,0.38663
353,0.3868
354,0.3868
355,0.3868
356,0.3868
357,0.38687
358,0.38687
359,0.38687
360,0.38687
361,0.38687
362,0.38687
363,0.38687
364,0.38698
365,0.387
366,0.38705
367,0.38706
368,0.38715
369,0.38721
370,0.38727
371,0.38748
372,0.38775
373,0.38779
374,0.38816
375,0.38839
376,0.38863
377,0.38882
378,0.38884
379,0.38903
380,0.38907
381,0.38943
382,0.38943
383,0.38943
384,0.38943
385,0.38956
386,0.39002
387,0.39015
388,0.39029
389,0.39035
390,0.39048
391,0.39066
392,0.39098
393,0.39101
394,0.39114
395,0.39139
396,0.39156
397,0.39156
398,0.39156
399,0.39156
400,0.39169
401,0.39169
402,0.3918
403,0.39193
404,0.39196
405,0.39198
406,0.39199
407,0.39209
408,0.39216
409,0.39222
410,0.39231
411,0.39236
412,0.39243
413,0.39246
414,0.39251
415,0.39256
416,0.39257
417,0.39257
418,0.39257
419,0.39257
420,0.39257
421,0.39257
422,0.3926
423,0.3926
424,0.39273
425,0.39277
426,0.39286
427,0.39288
428,0.39292
429,0.39293
430,0.39351
431,0.39357
432,0.39378
433,0.39385
434,0.39396
435,0.39417
436,0.39426
437,0.39426
438,0.39434
439,0.3945
440,0.39485
441,0.39489
442,0.39498
443,0.39512
444,0.39521
445,0.39545
446,0.39559
447,0.39585
448,0.39585
449,0.39588
450,0.39595
451,0.39605
452,0.39621
453,0.39638
454,0.39658
455,0.39664
456,0.39669
457,0.39674
458,0.39717
459,0.39742
460,0.39744
461,0.39752
462,0.39766
463,0.39769
464,0.39774
465,0.39788
466,0.39832
467,0.39855
468,0.39866
469,0.39918
470,0.39932
471,0.39968
472,0.3997
473,0.39988
474,0.39992
475,0.4
476,0.4
477,0.40007
478,0.40041
479,0.40053
480,0.40063
481,0.40133
482,0.40135
483,0.40138
484,0.40141
485,0.40141
486,0.40141
487,0.40141
488,0.40145
489,0.40148
490,0.40153
491,0.40206
492,0.40252
493,0.40274
494,0.40307
495,0.40325
496,0.40332
497,0.40341
498,0.404
499,0.4041
500,0.40416
501,0.40446
502,0.40447
503,0.40488
504,0.40508
505,0.40542
506,0.40551
507,0.40562
508,0.40575
509,0.40596
510,0.406
511,0.40602
512,0.40604
513,0.40627
514,0.40627
515,0.40627
516,0.40627
517,0.40627
518,0.40668
519,0.40671
520,0.40687
521,0.40745
522,0.40786
523,0.40802
524,0.40869
525,0.40874
526,0.40901
527,0.40926
528,0.40943
529,0.40953
530,0.40953
531,0.40959
532,0.40982
533,0.4099
534,0.41
535,0.41002
536,0.41032
537,0.41083
538,0.41162
539,0.41178
540,0.41182
541,0.41208
542,0.41275
543,0.41286
544,0.41318
545,0.41362
546,0.41429
547,0.41536
548,0.41567
