rank,score
1,0.28882
2,0.30566
3,0.30831
4,0.30837
5,0.30899
6,0.30903
7,0.30909
8,0.30932
9,0.30961
10,0.30995
11,0.31017
12,0.31041
13,0.31058
14,0.31162
15,0.31198
16,0.31261
17,0.313
18,0.31306
19,0.31373
20,0.31495
21,0.315
22,0.31543
23,0.3165
24,0.3182
25,0.32003
26,0.33451
27,0.33457
28,0.34101
29,0.36521
30,0.3653
31,0.36628
32,0.36676
33,0.36699
34,0.36708
35,0.36722
36,0.36777
37,0.36826
38,0.36852
39,0.36858
40,0.36866
41,0.36889
42,0.36931
43,0.36932
44,0.36947
45,0.36989
46,0.37024
47,0.37033
48,0.37039
49,0.37043
50,0.3705
51,0.37072
52,0.37099
53,0.37113
54,0.37113
55,0.37122
56,0.37149
57,0.37157
58,0.37199
59,0.372
60,0.37209
61,0.37214
62,0.37231
63,0.37246
64,0.37248
65,0.37249
66,0.37268
67,0.3727
68,0.37271
69,0.37275
70,0.37276
71,0.37277
72,0.37293
73,0.37297
74,0.37317
75,0.37328
76,0.37329
77,0.3733
78,0.3735
79,0.37359
80,0.37367
81,0.37385
82,0.37396
83,0.37401
84,0.37402
85,0.37418
86,0.37423
87,0.37432
88,0.37435
89,0.37436
90,0.37446
91,0.37449
92,0.3745
93,0.37454
94,0.37456
95,0.37461
96,0.37465
97,0.37475
98,0.37479
99,0.37481
100,0.37481
101,0.37487
102,0.37504
103,0.37516
104,0.37524
105,0.37525
106,0.37528
107,0.37534
108,0.37541
109,0.37556
110,0.37569
111,0.37575
112,0.37577
113,0.37589
114,0.37589
115,0.37591
116,0.37641
117,0.3765
118,0.37664
119,0.37673
120,0.37683
121,0.37685
122,0.37719
123,0.37728
124,0.3773
125,0.37732
126,0.37742
127,0.37745
128,0.37745
129,0.37746
130,0.37747
131,0.37748
132,0.37765
133,0.37806
134,0.37821
135,0.37825
136,0.37827
137,0.37828
138,0.3784
139,0.37847
140,0.3785
141,0.37851
142,0.37866
143,0.37905
144,0.37906
145,0.37909
146,0.37915
147,0.37918
148,0.37925
149,0.37926
150,0.37926
151,0.37932
152,0.37938
153,0.37938
154,0.37948
155,0.37957
156,0.37968
157,0.37975
158,0.37981
159,0.37985
160,0.37987
161,0.37989
162,0.37997
163,0.38
164,0.38001
