rank,score
1,-6.8305
2,-6.8311
3,-6.8336
4,-6.8347
5,-6.8362
6,-6.8363
7,-6.8363
8,-6.8374
9,-6.8385
10,-6.8388
11,-6.8402
12,-6.8406
13,-6.8408
14,-6.8412
15,-6.8416
16,-6.8419
17,-6.8419
18,-6.8421
19,-6.8421
20,-6.8422
21,-6.8424
22,-6.8425
23,-6.8425
24,-6.8434
25,-6.8434
26,-6.8434
27,-6.8435
28,-6.8438
29,-6.8439
30,-6.8442
31,-6.8447
32,-6.8452
33,-6.8452
34,-6.8453
35,-6.8456
36,-6.8456
37,-6.8459
38,-6.8462
39,-6.8462
40,-6.8462
41,-6.8462
42,-6.8464
43,-6.8465
44,-6.8466
45,-6.8468
46,-6.8468
47,-6.847
48,-6.847
49,-6.847
50,-6.847
51,-6.847
52,-6.847
53,-6.847
54,-6.847
55,-6.847
56,-6.847
57,-6.847
58,-6.847
59,-6.847
60,-6.8474
61,-6.8474
62,-6.8479
63,-6.848
64,-6.848
65,-6.8483
66,-6.8485
67,-6.8487
68,-6.8491
69,-6.8492
70,-6.8492
71,-6.8494
72,-6.8495
73,-6.8495
74,-6.8496
75,-6.8497
76,-6.8498
77,-6.8498
78,-6.8501
79,-6.8502
80,-6.8503
81,-6.8503
82,-6.8504
83,-6.8504
84,-6.8506
85,-6.8506
86,-6.8507
87,-6.8507
88,-6.8511
89,-6.8514
90,-6.8514
91,-6.8515
92,-6.8518
93,-6.8521
94,-6.8521
95,-6.8522
96,-6.8523
97,-6.8525
98,-6.8525
99,-6.8525
100,-6.8526
101,-6.8526
102,-6.8526
103,-6.8533
104,-6.8533
105,-6.8537
106,-6.8543
107,-6.8543
108,-6.8543
109,-6.8543
110,-6.8543
111,-6.8543
112,-6.8546
113,-6.8547
114,-6.8548
115,-6.8554
116,-6.8555
117,-6.8557
118,-6.8558
119,-6.8559
120,-6.8562
121,-6.8562
122,-6.8562
123,-6.8562
124,-6.8562
125,-6.8562
126,-6.8562
127,-6.8562
128,-6.8562
129,-6.8562
130,-6.8562
131,-6.8562
132,-6.8562
133,-6.8562
134,-6.8563
135,-6.8563
136,-6.8564
137,-6.857
138,-6.8577
139,-6.8578
140,-6.858
141,-6.8582
142,-6.8587
143,-6.8588
144,-6.8589
145,-6.859
146,-6.8591
147,-6.8591
148,-6.8593
149,-6.8595
150,-6.8595
151,-6.8597
152,-6.8598
153,-6.8601
154,-6.8601
155,-6.8601
156,-6.8602
157,-6.8609
158,-6.8611
159,-6.8611
160,-6.8612
161,-6.8616
162,-6.8618
163,-6.8618
164,-6.8621
165,-6.8624
166,-6.8624
167,-6.8626
168,-6.8629
169,-6.8629
170,-6.8629
171,-6.8629
172,-6.863
173,-6.863
174,-6.8633
175,-6.8633
176,-6.8636
177,-6.8636
178,-6.8637
179,-6.864
180,-6.8643
181,-6.8643
182,-6.8644
183,-6.8645
184,-6.8646
185,-6.8646
186,-6.8646
187,-6.8646
188,-6.8647
189,-6.8649
190,-6.865
191,-6.8651
192,-6.8653
193,-6.8653
194,-6.8659
195,-6.8659
196,-6.866
197,-6.8662
198,-6.8662
199,-6.8666
200,-6.8666
201,-6.8668
202,-6.8674
203,-6.8676
204,-6.8676
205,-6.8678
206,-6.8678
207,-6.868
208,-6.8682
209,-6.8683
210,-6.8685
211,-6.8685
212,-6.8685
213,-6.8685
214,-6.8685
215,-6.8686
216,-6.8686
217,-6.8686
218,-6.8687
219,-6.8688
220,-6.8691
221,-6.8691
222,-6.8692
223,-6.8695
224,-6.8695
225,-6.8695
226,-6.8695
227,-6.8696
228,-6.8697
229,-6.8698
230,-6.8698
231,-6.8705
232,-6.8706
233,-6.8709
234,-6.8713
235,-6.8718
236,-6.872
237,-6.872
238,-6.8723
239,-6.8726
240,-6.8728
241,-6.873
242,-6.8733
243,-6.8737
244,-6.8738
245,-6.8738
246,-6.8742
247,-6.8743
248,-6.8745
249,-6.8745
250,-6.8746
251,-6.8748
252,-6.8749
253,-6.8751
254,-6.8751
255,-6.8754
256,-6.8757
257,-6.876
258,-6.8761
