rank,score
1,-6.7465
2,-6.7471
3,-6.748
4,-6.7521
5,-6.7692
6,-6.7713
7,-6.774
8,-6.7747
9,-6.7767
10,-6.7793
11,-6.7805
12,-6.7815
13,-6.7819
14,-6.7844
15,-6.7849
16,-6.7863
17,-6.787
18,-6.7879
19,-6.7911
20,-6.7924
21,-6.7948
22,-6.7957
23,-6.7976
24,-6.7986
25,-6.8005
26,-6.8006
27,-6.8009
28,-6.8012
29,-6.8013
30,-6.8014
31,-6.8015
32,-6.8018
33,-6.8019
34,-6.8024
35,-6.8024
36,-6.8024
37,-6.8031
38,-6.8032
39,-6.8032
40,-6.804
41,-6.804
42,-6.8041
43,-6.8042
44,-6.8042
45,-6.8042
46,-6.8043
47,-6.8044
48,-6.8045
49,-6.8046
50,-6.8047
51,-6.8048
52,-6.8049
53,-6.805
54,-6.8051
55,-6.8051
56,-6.8051
57,-6.8053
58,-6.8054
59,-6.8054
60,-6.8055
61,-6.8056
62,-6.8056
63,-6.8056
64,-6.8057
65,-6.8057
66,-6.8057
67,-6.8057
68,-6.8057
69,-6.8058
70,-6.8058
71,-6.8059
72,-6.8059
73,-6.806
74,-6.806
75,-6.806
76,-6.806
77,-6.806
78,-6.806
79,-6.8061
80,-6.8061
81,-6.8061
82,-6.8061
83,-6.8061
84,-6.8061
85,-6.8061
86,-6.8061
87,-6.8061
88,-6.8061
89,-6.8061
90,-6.8061
91,-6.8062
92,-6.8062
93,-6.8062
94,-6.8062
95,-6.8062
96,-6.8062
97,-6.8062
98,-6.8062
99,-6.8062
100,-6.8062
101,-6.8062
102,-6.8062
103,-6.8062
104,-6.8062
105,-6.8063
106,-6.8063
107,-6.8063
108,-6.8063
109,-6.8063
110,-6.8063
111,-6.8063
112,-6.8063
113,-6.8063
114,-6.8063
115,-6.8063
116,-6.8063
117,-6.8063
118,-6.8063
119,-6.8063
120,-6.8063
121,-6.8063
122,-6.8063
123,-6.8063
124,-6.8063
125,-6.8063
126,-6.8064
127,-6.8064
128,-6.8064
129,-6.8064
130,-6.8064
131,-6.8064
132,-6.8064
133,-6.8064
134,-6.8064
135,-6.8064
136,-6.8064
137,-6.8064
138,-6.8064
139,-6.8064
140,-6.8064
141,-6.8064
142,-6.8064
143,-6.8064
144,-6.8064
145,-6.8064
146,-6.8064
147,-6.8064
148,-6.8064
149,-6.8064
150,-6.8064
151,-6.8064
152,-6.8064
153,-6.8064
154,-6.8064
155,-6.8064
156,-6.8064
157,-6.8064
158,-6.8064
159,-6.8064
160,-6.8064
161,-6.8064
162,-6.8064
163,-6.8065
164,-6.8065
165,-6.8065
166,-6.8065
167,-6.8065
168,-6.8065
169,-6.8065
170,-6.8065
171,-6.8065
172,-6.8065
173,-6.8065
174,-6.8065
175,-6.8065
176,-6.8065
177,-6.8065
178,-6.8065
179,-6.8065
180,-6.8065
181,-6.8065
182,-6.8065
183,-6.8065
184,-6.8065
185,-6.8065
186,-6.8065
187,-6.8065
188,-6.8065
189,-6.8065
190,-6.8065
191,-6.8065
192,-6.8065
193,-6.8065
194,-6.8065
195,-6.8065
196,-6.8065
197,-6.8065
198,-6.8065
199,-6.8065
200,-6.8066
201,-6.8066
202,-6.8066
203,-6.8066
204,-6.8066
205,-6.8066
206,-6.8066
207,-6.8066
208,-6.8066
209,-6.8066
210,-6.8066
211,-6.8066
212,-6.8066
213,-6.8066
214,-6.8066
215,-6.8066
216,-6.8066
217,-6.8066
218,-6.8066
219,-6.8066
220,-6.8066
221,-6.8066
222,-6.8066
223,-6.8066
224,-6.8066
225,-6.8066
226,-6.8066
227,-6.8066
228,-6.8066
229,-6.8066
230,-6.8066
231,-6.8066
232,-6.8066
233,-6.8066
234,-6.8066
235,-6.8067
236,-6.8067
237,-6.8067
238,-6.8067
239,-6.8067
240,-6.8067
241,-6.8067
242,-6.8067
243,-6.8067
244,-6.8067
245,-6.8067
246,-6.8067
247,-6.8067
248,-6.8067
249,-6.8067
250,-6.8067
251,-6.8067
252,-6.8067
253,-6.8067
254,-6.8067
255,-6.8067
256,-6.8067
257,-6.8067
258,-6.8067
259,-6.8067
260,-6.8067
261,-6.8067
