rank,score
1,0.98963
2,0.98847
3,0.98847
4,0.98847
5,0.98847
6,0.98847
7,0.98847
8,0.98732
9,0.98732
10,0.98732
11,0.98732
12,0.98732
13,0.98732
14,0.98732
15,0.98732
16,0.98732
17,0.98732
18,0.98732
19,0.98732
20,0.98732
21,0.98732
22,0.98732
23,0.98732
24,0.98732
25,0.98732
26,0.98732
27,0.98617
28,0.98617
29,0.98617
30,0.98617
31,0.98617
32,0.98617
33,0.98617
34,0.98617
35,0.98617
36,0.98617
37,0.98617
38,0.98617
39,0.98617
40,0.98617
41,0.98617
42,0.98617
43,0.98617
44,0.98617
45,0.98617
46,0.98617
47,0.98617
48,0.98617
49,0.98617
50,0.98617
51,0.98617
52,0.98617
53,0.98617
54,0.98617
55,0.98617
56,0.98617
57,0.98617
58,0.98617
59,0.98502
60,0.98502
61,0.98502
62,0.98502
63,0.98502
64,0.98502
65,0.98502
66,0.98502
67,0.98502
68,0.98502
69,0.98502
70,0.98502
71,0.98502
72,0.98502
73,0.98502
74,0.98502
75,0.98502
76,0.98502
77,0.98502
78,0.98502
79,0.98502
80,0.98502
81,0.98502
82,0.98502
83,0.98502
84,0.98502
85,0.98502
86,0.98502
87,0.98502
88,0.98502
89,0.98502
90,0.98502
91,0.98502
92,0.98502
93,0.98502
94,0.98502
95,0.98502
96,0.98387
97,0.98387
98,0.98387
99,0.98387
100,0.98387
101,0.98387
102,0.98387
103,0.98387
104,0.98387
105,0.98387
106,0.98387
107,0.98387
108,0.98387
109,0.98387
110,0.98387
111,0.98387
112,0.98387
113,0.98387
114,0.98387
115,0.98387
116,0.98387
117,0.98387
118,0.98387
119,0.98387
120,0.98387
121,0.98387
122,0.98387
123,0.98387
124,0.98387
125,0.98387
126,0.98387
127,0.98387
128,0.98271
129,0.98271
130,0.98271
131,0.98271
132,0.98271
133,0.98271
134,0.98271
135,0.98271
136,0.98271
137,0.98271
138,0.98271
139,0.98271
140,0.98271
141,0.98271
142,0.98271
143,0.98271
144,0.98271
145,0.98271
146,0.98271
147,0.98271
148,0.98271
149,0.98271
150,0.98271
151,0.98271
152,0.98271
153,0.98271
154,0.98271
155,0.98271
156,0.98156
157,0.98156
158,0.98156
159,0.98156
160,0.98156
161,0.98156
162,0.98156
163,0.98156
164,0.98156
165,0.98156
166,0.98156
167,0.98156
168,0.98156
169,0.98156
170,0.98156
171,0.98156
172,0.98156
173,0.98156
174,0.98156
175,0.98156
176,0.98156
177,0.98156
178,0.98041
179,0.98041
180,0.98041
181,0.98041
182,0.98041
183,0.98041
184,0.98041
185,0.98041
186,0.98041
187,0.98041
188,0.98041
189,0.98041
190,0.98041
191,0.98041
192,0.98041
193,0.98041
194,0.98041
195,0.98041
196,0.98041
197,0.98041
198,0.98041
199,0.98041
200,0.98041
201,0.98041
202,0.98041
203,0.97926
204,0.97926
205,0.97926
206,0.97926
207,0.97926
208,0.97926
209,0.97926
210,0.97926
211,0.97926
212,0.97926
213,0.97926
214,0.97926
215,0.97926
216,0.97926
217,0.97926
218,0.97926
219,0.97926
220,0.97926
221,0.97926
222,0.97926
223,0.97926
224,0.97811
225,0.97811
226,0.97811
227,0.97811
228,0.97811
229,0.97811
230,0.97811
231,0.97811
232,0.97811
233,0.97811
234,0.97811
235,0.97811
236,0.97811
237,0.97811
238,0.97811
239,0.97811
240,0.97811
241,0.97695
242,0.97695
243,0.97695
244,0.97695
245,0.97695
246,0.97695
247,0.97695
248,0.97695
249,0.97695
250,0.97695
251,0.97695
252,0.97695
253,0.97695
254,0.97695
255,0.97695
256,0.97695
257,0.97695
258,0.97695
259,0.97695
260,0.97695
261,0.97695
262,0.97695
263,0.97695
264,0.97695
265,0.97695
266,0.97695
267,0.97695
268,0.97695
269,0.97695
270,0.97695
271,0.97695
272,0.97695
273,0.97695
274,0.9758
275,0.9758
276,0.9758
277,0.9758
278,0.9758
279,0.9758
280,0.9758
281,0.9758
282,0.9758
283,0.9758
284,0.9758
285,0.9758
286,0.9758
287,0.9758
288,0.9758
289,0.9758
290,0.97465
291,0.97465
292,0.97465
293,0.97465
294,0.97465
295,0.97465
296,0.97465
297,0.97465
298,0.97465
299,0.9735
300,0.9735
301,0.9735
302,0.9735
303,0.9735
304,0.9735
305,0.9735
306,0.9735
307,0.9735
308,0.9735
309,0.97235
310,0.97235
311,0.97235
312,0.97235
313,0.97235
314,0.97235
315,0.97235
316,0.97119
317,0.97119
318,0.97119
319,0.97119
320,0.97119
321,0.97119
322,0.97119
323,0.97119
324,0.97119
325,0.97004
326,0.97004
327,0.97004
328,0.96889
329,0.96889
330,0.96889
331,0.96889
332,0.96889
333,0.96774
334,0.96774
335,0.96774
336,0.96774
337,0.96774
338,0.96774
339,0.96774
340,0.96774
341,0.96774
342,0.96774
343,0.96658
344,0.96658
345,0.96658
346,0.96543
347,0.96543
348,0.96543
349,0.96543
350,0.96543
351,0.96543
352,0.96543
353,0.96428
354,0.96428
355,0.96428
356,0.96313
357,0.96313
358,0.96313
359,0.96198
360,0.96198
361,0.96198
362,0.96198
363,0.96198
364,0.96082
365,0.96082
366,0.95967
367,0.95967
368,0.95967
369,0.95967
370,0.95967
371,0.95967
372,0.95967
373,0.95852
374,0.95737
375,0.95622
376,0.95622
377,0.95622
378,0.95506
379,0.95391
380,0.95391
381,0.95391
382,0.95391
383,0.95391
384,0.95276
385,0.95276
386,0.95276
387,0.95161
388,0.95046
389,0.95046
390,0.95046
391,0.95046
392,0.94815
393,0.947
394,0.947
395,0.947
396,0.947
397,0.94585
398,0.94585
399,0.94585
400,0.94354
401,0.94354
402,0.94354
403,0.94239
404,0.94239
405,0.94239
406,0.94239
407,0.94239
408,0.94124
409,0.94124
410,0.94124
411,0.94009
412,0.94009
413,0.94009
414,0.94009
415,0.93894
416,0.93663
417,0.93663
418,0.93663
419,0.93663
420,0.93548
421,0.93548
422,0.93433
423,0.93433
424,0.93433
425,0.93433
426,0.93433
427,0.93317
428,0.93317
429,0.93202
430,0.93202
431,0.93202
432,0.93087
433,0.93087
434,0.92972
435,0.92972
436,0.92972
437,0.92857
438,0.92626
439,0.92626
440,0.92396
441,0.92396
442,0.92396
443,0.92396
444,0.92396
445,0.92396
446,0.92281
447,0.92281
448,0.92281
449,0.92281
450,0.92281
451,0.92165
452,0.9205
453,0.9205
454,0.9205
455,0.9205
456,0.91935
457,0.91935
458,0.9182
459,0.9182
460,0.91705
461,0.91474
462,0.91359
463,0.91359
464,0.91244
465,0.91244
466,0.90898
467,0.90898
468,0.90783
469,0.90783
470,0.90783
471,0.90783
472,0.90668
473,0.90668
474,0.90668
475,0.90552
476,0.90552
477,0.90437
478,0.90322
479,0.90207
480,0.90207
481,0.90092
482,0.89976
483,0.89861
484,0.89746
485,0.89631
486,0.89631
487,0.89631
488,0.894
489,0.89285
490,0.89285
491,0.8917
492,0.8917
493,0.89055
494,0.89055
495,0.89055
496,0.89055
497,0.89055
498,0.89055
499,0.89055
500,0.89055
501,0.89055
502,0.89055
503,0.89055
504,0.89055
505,0.8894
506,0.88824
507,0.88594
508,0.88594
509,0.88594
510,0.88479
511,0.88479
512,0.88364
513,0.88248
514,0.88248
515,0.88248
516,0.88248
517,0.88133
518,0.88133
519,0.88018
520,0.87903
521,0.87788
522,0.87788
523,0.87788
524,0.87788
525,0.87788
526,0.87672
527,0.87672
528,0.87672
529,0.87557
530,0.87442
531,0.87442
532,0.87442
533,0.87327
534,0.87211
535,0.87096
536,0.87096
537,0.87096
538,0.86866
539,0.86751
540,0.86635
541,0.86635
542,0.86635
543,0.86635
544,0.8652
545,0.8629
546,0.85829
547,0.85483
548,0.85483
549,0.85138
550,0.85138
551,0.84677
552,0.84331
553,0.8387
554,0.83179
555,0.83064
556,0.82949
557,0.82834
558,0.82258
559,0.82142
560,0.82027
561,0.81566
562,0.81566
563,0.81336
564,0.8076
565,0.79838
566,0.79608
567,0.79262
568,0.79262
569,0.79147
570,0.79147
571,0.7788
572,0.7788
573,0.77649
574,0.77419
575,0.77419
576,0.76728
577,0.76036
578,0.75921
579,0.75691
580,0.75
581,0.75
582,0.73963
583,0.72119
584,0.70506
585,0.70391
586,0.67741
587,0.65322
588,0.61635
589,0.59447
590,0.59447
591,0.58179
592,0.57373
593,0.5576
594,0.55645
595,0.54608
596,0.53801
597,0.49423
598,0.4735
599,0.46082
600,0.45737
601,0.45622
602,0.45161
603,0.43778
604,0.43778
605,0.43202
606,0.41705
607,0.40437
608,0.35253
609,0.30645
610,0.25806
611,0.21198
612,0.1705
613,0.16935
614,0.16935
615,0.16935
616,0.16935
617,0.16935
618,0.16935
619,0.16935
620,0.16935
621,0.15322
622,0.14746
623,0.14516
624,0.144
625,0.144
626,0.144
627,0.14285
628,0.1417
629,0.1417
630,0.1417
631,0.14055
632,0.13709
633,0.13594
634,0.13594
635,0.13364
636,0.13364
637,0.13133
638,0.12788
639,0.12442
640,0.11405
641,0.11405
642,0.11175
643,0.10829
644,0.09792
645,0.08755
646,0.03686
647,0.01267
648,0.01036
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
