rank,score
1,0.99461
2,0.99154
3,0.99115
4,0.99115
5,0.99038
6,0.99038
7,0.99038
8,0.99
9,0.99
10,0.99
11,0.98961
12,0.98961
13,0.98961
14,0.98961
15,0.98961
16,0.98961
17,0.98923
18,0.98923
19,0.98923
20,0.98923
21,0.98923
22,0.98923
23,0.98923
24,0.98885
25,0.98885
26,0.98885
27,0.98885
28,0.98885
29,0.98885
30,0.98885
31,0.98885
32,0.98885
33,0.98846
34,0.98846
35,0.98846
36,0.98846
37,0.98846
38,0.98846
39,0.98846
40,0.98846
41,0.98846
42,0.98846
43,0.98846
44,0.98846
45,0.98846
46,0.98846
47,0.98808
48,0.98808
49,0.98808
50,0.98808
51,0.98808
52,0.98808
53,0.98808
54,0.98808
55,0.98808
56,0.98808
57,0.98808
58,0.98808
59,0.98808
60,0.98808
61,0.98808
62,0.98808
63,0.98808
64,0.98808
65,0.98808
66,0.98808
67,0.98808
68,0.98808
69,0.98808
70,0.98808
71,0.98808
72,0.98808
73,0.98808
74,0.98769
75,0.98769
76,0.98769
77,0.98769
78,0.98769
79,0.98769
80,0.98769
81,0.98769
82,0.98769
83,0.98769
84,0.98769
85,0.98769
86,0.98731
87,0.98731
88,0.98731
89,0.98731
90,0.98731
91,0.98731
92,0.98731
93,0.98731
94,0.98731
95,0.98731
96,0.98731
97,0.98731
98,0.98731
99,0.98731
100,0.98731
101,0.98731
102,0.98731
103,0.98692
104,0.98692
105,0.98692
106,0.98692
107,0.98692
108,0.98692
109,0.98692
110,0.98692
111,0.98692
112,0.98654
113,0.98654
114,0.98654
115,0.98654
116,0.98654
117,0.98654
118,0.98654
119,0.98615
120,0.98615
121,0.98615
122,0.98615
123,0.98615
124,0.98615
125,0.98615
126,0.98615
127,0.98615
128,0.98615
129,0.98577
130,0.98577
131,0.98577
132,0.98577
133,0.98577
134,0.98577
135,0.98577
136,0.98577
137,0.98577
138,0.98577
139,0.98577
140,0.98577
141,0.98577
142,0.98577
143,0.98539
144,0.98539
145,0.98539
146,0.98539
147,0.98539
148,0.985
149,0.985
150,0.985
151,0.985
152,0.985
153,0.985
154,0.985
155,0.985
156,0.98462
157,0.98462
158,0.98462
159,0.98462
160,0.98462
161,0.98423
162,0.98423
163,0.98423
164,0.98423
165,0.98385
166,0.98385
167,0.98385
168,0.98385
169,0.98385
170,0.98385
171,0.98346
172,0.98346
173,0.98346
174,0.98346
175,0.98346
176,0.98346
177,0.98346
178,0.98346
179,0.98346
180,0.98346
181,0.98346
182,0.98346
183,0.98346
184,0.98346
185,0.98346
186,0.98346
187,0.98346
188,0.98346
189,0.98346
190,0.98346
191,0.98346
