rank,score
1,16.82256
2,16.84597
3,16.85314
4,16.89096
5,16.89257
6,16.90208
7,16.90383
8,16.90851
9,16.9165
10,16.92795
11,16.93531
12,16.9367
13,16.93684
14,16.94009
15,16.94135
16,16.94625
17,16.95041
18,16.95422
19,16.96487
20,16.97146
21,16.97356
22,16.9757
23,16.97746
24,16.9778
25,16.98335
26,16.98638
27,16.98924
28,16.99164
29,16.99253
30,16.9932
31,16.99492
32,16.99509
33,16.99586
34,16.99594
35,16.99628
36,16.9972
37,16.99733
38,16.99818
39,16.99853
40,16.9991
41,16.9992
42,16.9999
43,17.0011
44,17.00334
45,17.00485
46,17.00655
47,17.00766
48,17.0093
49,17.00963
50,17.00967
51,17.01001
52,17.01165
53,17.0122
54,17.01239
55,17.01257
56,17.01281
57,17.01287
58,17.01457
59,17.01487
60,17.01501
61,17.01762
62,17.01784
63,17.01953
64,17.01954
65,17.02131
66,17.02131
67,17.02142
68,17.02192
69,17.02288
70,17.02312
71,17.02332
72,17.02559
73,17.02599
74,17.02606
75,17.02678
76,17.02738
77,17.02745
78,17.02767
79,17.02772
80,17.02839
81,17.02857
82,17.0309
83,17.03123
84,17.03126
85,17.03142
86,17.03189
87,17.03232
88,17.03364
89,17.03419
90,17.03501
91,17.03522
92,17.03527
93,17.03553
94,17.03584
95,17.03602
96,17.03609
97,17.03621
98,17.03655
99,17.03666
100,17.03701
101,17.03721
102,17.03728
103,17.03774
104,17.0378
105,17.03804
106,17.03877
107,17.03928
108,17.04009
109,17.04152
110,17.04205
111,17.04216
112,17.0426
113,17.04359
114,17.04382
115,17.04432
116,17.04482
117,17.04544
118,17.04554
119,17.0457
120,17.04606
121,17.04615
122,17.04677
123,17.04702
124,17.04716
125,17.0475
126,17.04787
127,17.04847
128,17.04854
129,17.04859
130,17.04873
131,17.04985
132,17.05007
133,17.05062
134,17.05066
135,17.05143
136,17.05177
137,17.05199
138,17.05248
139,17.05251
140,17.05297
141,17.0535
142,17.05358
143,17.05427
144,17.05466
145,17.05478
146,17.05566
147,17.05645
148,17.05718
149,17.05749
150,17.05757
151,17.05783
152,17.05812
153,17.05919
154,17.05928
155,17.05965
156,17.05987
157,17.06033
158,17.06068
159,17.0613
160,17.06195
161,17.0622
162,17.06302
163,17.06314
164,17.06327
165,17.06331
166,17.06409
167,17.06415
168,17.06429
169,17.06461
170,17.06495
171,17.06533
172,17.06543
173,17.06551
174,17.06604
175,17.06623
176,17.06636
177,17.06696
178,17.06703
179,17.06707
180,17.06757
181,17.06766
182,17.06771
183,17.06872
184,17.06883
185,17.06891
186,17.06896
187,17.06898
188,17.06961
189,17.06973
190,17.06992
191,17.07002
192,17.07062
193,17.07077
194,17.07115
195,17.07122
196,17.07156
197,17.07213
198,17.07232
199,17.07248
200,17.07271
201,17.07294
202,17.07306
203,17.07314
204,17.07335
205,17.07346
206,17.07398
207,17.07403
208,17.07404
209,17.07438
210,17.07447
211,17.07529
212,17.07588
213,17.07642
214,17.0779
215,17.07798
216,17.07827
217,17.0785
218,17.07865
219,17.07869
220,17.07872
221,17.07896
222,17.07936
223,17.07962
224,17.07967
225,17.08125
226,17.08132
227,17.0817
228,17.08214
229,17.0823
230,17.0833
231,17.0834
232,17.08341
233,17.08371
234,17.0839
235,17.08391
236,17.08392
237,17.08412
238,17.08435
239,17.08436
240,17.08442
241,17.08489
242,17.08519
243,17.08546
244,17.08577
245,17.08672
246,17.08683
247,17.08687
248,17.0869
249,17.08714
250,17.08732
251,17.08755
252,17.08777
253,17.08821
254,17.08823
255,17.08823
256,17.08855
257,17.08889
258,17.08893
259,17.08916
260,17.08936
261,17.08949
262,17.08956
263,17.08985
264,17.08988
265,17.08996
266,17.09062
267,17.09093
268,17.09093
269,17.09093
270,17.09093
271,17.09093
272,17.09093
273,17.09093
274,17.09093
275,17.09093
276,17.09093
277,17.09093
278,17.09093
279,17.09093
280,17.09093
281,17.09093
282,17.09093
283,17.09093
284,17.09093
285,17.09093
286,17.09093
287,17.09093
288,17.09093
289,17.09093
290,17.09093
291,17.09093
292,17.09103
293,17.09105
294,17.09121
295,17.09125
296,17.09125
297,17.09131
298,17.09168
299,17.09236
300,17.09256
301,17.09264
302,17.09269
303,17.09282
304,17.09293
305,17.0931
306,17.09337
307,17.09352
308,17.09374
309,17.09376
310,17.09379
311,17.09379
312,17.09414
313,17.09461
314,17.09478
315,17.09503
316,17.09508
317,17.0955
318,17.09605
319,17.09605
320,17.09605
321,17.09605
322,17.09605
323,17.09605
324,17.09605
325,17.09612
326,17.09622
327,17.0964
328,17.09701
329,17.0971
330,17.0971
331,17.0971
332,17.0971
333,17.0971
334,17.0971
335,17.0971
336,17.0971
337,17.0971
338,17.0971
339,17.0971
340,17.0971
341,17.0971
342,17.0971
343,17.0971
344,17.0971
345,17.0971
346,17.0971
347,17.0971
348,17.0971
349,17.0971
350,17.0971
351,17.0971
352,17.0971
353,17.0971
354,17.0971
355,17.0971
356,17.0971
357,17.0971
358,17.0971
359,17.0971
360,17.0971
361,17.0971
362,17.0971
363,17.0971
364,17.0971
365,17.0971
366,17.0971
367,17.0971
368,17.0971
369,17.0971
370,17.0971
371,17.0971
372,17.0971
373,17.0971
374,17.0971
375,17.0971
376,17.0971
377,17.0971
378,17.0971
379,17.0971
380,17.0971
381,17.0971
382,17.0971
383,17.0971
384,17.0971
385,17.0971
386,17.0971
387,17.0971
388,17.0971
389,17.0971
390,17.0971
391,17.0971
392,17.0971
393,17.0971
394,17.0971
395,17.0971
396,17.0971
397,17.09732
398,17.09746
399,17.09778
400,17.09802
401,17.09807
402,17.0984
403,17.09945
404,17.09986
405,17.0999
406,17.09998
407,17.10022
408,17.10067
409,17.10078
410,17.10111
411,17.10129
412,17.10153
413,17.10159
414,17.10179
415,17.10184
416,17.10196
417,17.10218
418,17.10233
419,17.10262
420,17.10283
421,17.10301
422,17.10305
423,17.10334
424,17.10334
425,17.10343
426,17.10343
427,17.10343
428,17.10343
429,17.10343
430,17.10343
431,17.10343
432,17.10343
433,17.10343
434,17.10343
435,17.10343
436,17.10343
437,17.10343
438,17.10343
439,17.10343
440,17.10343
441,17.10343
442,17.10343
443,17.10343
444,17.10343
445,17.10343
446,17.10343
447,17.10343
448,17.10343
449,17.10343
450,17.10343
451,17.10343
452,17.10343
453,17.10343
454,17.10343
455,17.10343
456,17.10343
457,17.10343
458,17.10343
459,17.10343
460,17.10343
461,17.10343
462,17.10343
463,17.10343
464,17.10343
465,17.10343
466,17.10343
467,17.10343
468,17.10343
469,17.10343
470,17.10343
471,17.10343
472,17.10343
473,17.10343
474,17.10343
475,17.10343
476,17.10343
477,17.10343
478,17.10343
479,17.10343
480,17.10343
481,17.10343
482,17.10343
483,17.10343
484,17.10343
485,17.10343
486,17.10343
487,17.10343
488,17.10343
489,17.10343
490,17.10343
491,17.10343
492,17.10343
493,17.10343
494,17.10343
495,17.10343
496,17.10343
497,17.10343
498,17.10343
499,17.10343
500,17.10343
501,17.10343
502,17.10343
503,17.10343
504,17.10343
505,17.10343
506,17.10343
507,17.10343
508,17.10343
509,17.10343
510,17.10343
511,17.10343
512,17.10343
513,17.10343
514,17.10343
515,17.10343
516,17.10343
517,17.10343
518,17.10343
519,17.10343
520,17.10343
521,17.10343
522,17.10343
523,17.10343
524,17.10343
525,17.10343
526,17.10343
527,17.10357
528,17.10363
529,17.10414
530,17.10427
531,17.10455
532,17.1047
533,17.10518
534,17.10519
535,17.10553
536,17.10566
537,17.10568
538,17.10568
539,17.10568
540,17.10573
541,17.10577
542,17.10584
543,17.10615
544,17.10734
545,17.10735
546,17.10804
547,17.10812
548,17.10863
549,17.10867
550,17.1087
551,17.10884
552,17.10887
553,17.10893
554,17.10901
555,17.10901
556,17.10901
557,17.10901
558,17.10901
559,17.10901
560,17.10901
561,17.10901
562,17.10901
563,17.10901
564,17.10901
565,17.10901
566,17.10901
567,17.10901
568,17.10901
569,17.10901
570,17.10901
571,17.10901
572,17.10931
573,17.10942
574,17.10979
575,17.1103
576,17.11081
577,17.11147
578,17.11147
579,17.11169
580,17.11169
581,17.11169
582,17.11169
583,17.11169
584,17.1119
585,17.11201
586,17.11243
587,17.1132
588,17.11356
589,17.11358
590,17.11362
591,17.11378
592,17.1143
593,17.11454
594,17.11512
595,17.11515
596,17.11539
597,17.1158
598,17.11582
599,17.11606
600,17.11624
601,17.1163
602,17.1163
603,17.1163
604,17.11647
605,17.11656
606,17.1166
607,17.1167
608,17.11671
609,17.11709
610,17.11724
611,17.11727
612,17.11732
613,17.11742
614,17.11765
615,17.11774
616,17.11874
617,17.11921
618,17.11948
619,17.11954
620,17.11979
621,17.11979
622,17.11981
623,17.11994
624,17.12002
625,17.12038
626,17.12042
627,17.12052
628,17.12063
629,17.12063
630,17.12076
631,17.1209
632,17.12092
633,17.12092
634,17.12098
635,17.12107
636,17.12111
637,17.12113
638,17.12151
639,17.12167
640,17.12182
641,17.12182
642,17.12182
643,17.12182
644,17.12182
645,17.12182
646,17.12264
647,17.12266
648,17.12319
649,17.12371
650,17.12429
651,17.12437
652,17.12457
653,17.12508
654,17.12515
655,17.12545
656,17.12552
657,17.12553
658,17.12614
659,17.12616
660,17.12622
661,17.12622
662,17.12623
663,17.12644
664,17.12644
665,17.12647
666,17.12684
667,17.12713
668,17.12724
669,17.1273
670,17.1273
671,17.12741
672,17.12756
673,17.12759
674,17.12794
675,17.12818
676,17.1282
677,17.12822
678,17.12854
679,17.12857
680,17.12866
681,17.12908
682,17.12918
683,17.12955
684,17.12958
685,17.12971
686,17.12979
687,17.1298
688,17.13036
689,17.13056
690,17.13094
691,17.13099
692,17.13107
693,17.13112
694,17.1315
695,17.13167
696,17.13188
697,17.13215
698,17.1323
699,17.13236
700,17.13267
701,17.13267
702,17.13267
703,17.13267
704,17.13267
705,17.13267
706,17.13267
707,17.13267
708,17.13267
709,17.13267
710,17.13267
711,17.13267
712,17.13267
713,17.13267
714,17.13267
715,17.13267
716,17.13267
717,17.13272
718,17.13287
719,17.13298
720,17.13301
721,17.13368
722,17.1341
723,17.13411
724,17.13411
725,17.13418
726,17.13431
727,17.13442
728,17.13482
729,17.13525
730,17.13539
731,17.1355
732,17.13567
733,17.13578
734,17.13579
735,17.13584
736,17.13598
737,17.13607
738,17.13655
739,17.13658
740,17.13714
741,17.13722
742,17.13734
743,17.13734
744,17.13744
745,17.13791
746,17.13808
747,17.13808
748,17.13836
749,17.13855
750,17.13884
751,17.13892
752,17.13955
753,17.13965
754,17.13965
755,17.13965
756,17.13965
757,17.13979
758,17.1398
759,17.1398
760,17.1398
761,17.1398
762,17.1398
763,17.1398
764,17.1398
765,17.1398
766,17.1398
767,17.1398
768,17.1398
769,17.1398
770,17.1398
771,17.1398
772,17.1398
773,17.1398
774,17.1398
775,17.1398
776,17.1398
777,17.1398
778,17.1398
779,17.1398
780,17.1398
781,17.1398
782,17.1398
783,17.14007
784,17.14013
785,17.1407
786,17.14125
787,17.14128
788,17.14144
789,17.14151
790,17.14156
791,17.14209
792,17.14225
793,17.14272
794,17.14348
795,17.14366
796,17.14375
797,17.14377
798,17.14397
799,17.14405
800,17.14407
801,17.14422
802,17.14435
803,17.1446
804,17.14464
805,17.14464
806,17.14538
807,17.14562
808,17.14567
809,17.14594
810,17.14617
811,17.14626
812,17.14638
813,17.14638
814,17.14657
815,17.14657
816,17.14657
817,17.14657
818,17.14657
819,17.14657
820,17.14657
821,17.14657
822,17.14657
823,17.14657
824,17.14657
825,17.14657
826,17.14657
827,17.14657
828,17.14657
829,17.14657
830,17.14657
831,17.14657
832,17.14657
833,17.14657
834,17.14657
835,17.14657
836,17.14657
837,17.14657
838,17.14657
839,17.14657
840,17.14657
841,17.14657
842,17.14657
843,17.14657
844,17.14657
845,17.14657
846,17.14657
847,17.14657
848,17.14657
849,17.14657
850,17.14657
851,17.14657
852,17.14657
853,17.14657
854,17.14657
855,17.14657
856,17.14657
857,17.14657
858,17.14657
859,17.14657
860,17.14657
861,17.14657
862,17.14657
863,17.14671
864,17.14671
865,17.14671
866,17.14671
867,17.14671
868,17.14671
869,17.14678
870,17.14683
871,17.14713
872,17.14738
873,17.14748
874,17.14753
875,17.14756
876,17.14764
877,17.14777
878,17.14789
879,17.14792
880,17.14793
881,17.14813
882,17.14842
883,17.14864
884,17.14906
885,17.14906
886,17.14911
887,17.14911
888,17.14962
889,17.1501
890,17.15023
891,17.15074
892,17.1508
893,17.15126
894,17.15133
895,17.15167
896,17.15178
897,17.15235
898,17.15252
899,17.15255
900,17.15353
901,17.15449
902,17.15456
903,17.15456
904,17.15472
905,17.15481
906,17.15488
907,17.15507
908,17.15563
909,17.15663
910,17.15663
911,17.15663
912,17.15663
913,17.15663
914,17.15663
915,17.15663
916,17.15663
917,17.15663
918,17.15676
919,17.15735
920,17.15773
921,17.15785
922,17.15792
923,17.15817
924,17.15854
925,17.15917
926,17.15941
927,17.15949
928,17.15949
929,17.15952
930,17.15957
931,17.15975
932,17.15979
933,17.16075
934,17.16075
935,17.16082
936,17.16158
937,17.16158
938,17.16158
939,17.16158
940,17.16172
941,17.16192
942,17.16299
943,17.16299
944,17.16299
945,17.16299
946,17.16299
947,17.16299
948,17.16299
949,17.16299
950,17.16299
951,17.16299
952,17.16299
953,17.16299
954,17.16299
955,17.16299
956,17.16299
957,17.16299
958,17.16299
959,17.16299
960,17.16299
961,17.16299
962,17.16299
963,17.16299
964,17.16299
965,17.16299
966,17.16299
967,17.16299
968,17.16299
969,17.16299
970,17.16299
971,17.16299
972,17.16299
973,17.16299
974,17.16299
975,17.16299
976,17.16299
977,17.16305
978,17.16305
979,17.16305
980,17.16331
981,17.16348
982,17.16357
983,17.16417
984,17.16463
985,17.16539
986,17.16558
987,17.16561
988,17.16561
989,17.16565
990,17.16578
991,17.1658
992,17.16603
993,17.16609
994,17.16627
995,17.16636
996,17.1664
997,17.1664
998,17.1664
999,17.1664
1000,17.16707
1001,17.16721
1002,17.16733
1003,17.16762
1004,17.16774
1005,17.16778
1006,17.16784
1007,17.16901
1008,17.16942
1009,17.16955
1010,17.17069
1011,17.17069
1012,17.17131
1013,17.17152
1014,17.17162
1015,17.17185
1016,17.17197
1017,17.17204
1018,17.17205
1019,17.17205
1020,17.17205
1021,17.17205
1022,17.17205
1023,17.17205
1024,17.17205
1025,17.17205
1026,17.17205
1027,17.17205
1028,17.17205
1029,17.17205
1030,17.17205
1031,17.17205
1032,17.17205
1033,17.17205
1034,17.17205
1035,17.17205
1036,17.17205
1037,17.17205
1038,17.17205
1039,17.17205
1040,17.17205
1041,17.17205
1042,17.17205
1043,17.17205
1044,17.17205
1045,17.17205
1046,17.17205
1047,17.17205
1048,17.17255
1049,17.17321
1050,17.17369
1051,17.17397
1052,17.17401
1053,17.1741
1054,17.1747
1055,17.17494
1056,17.17538
1057,17.17538
1058,17.17538
1059,17.17538
1060,17.17538
1061,17.17538
1062,17.17538
1063,17.17538
1064,17.17538
1065,17.17538
1066,17.17538
1067,17.17538
1068,17.17538
1069,17.17538
1070,17.17538
1071,17.17538
1072,17.17538
1073,17.17538
1074,17.17538
1075,17.17538
1076,17.17538
1077,17.17538
1078,17.17538
1079,17.17538
1080,17.17538
1081,17.17538
1082,17.17538
1083,17.17538
1084,17.17538
1085,17.17538
1086,17.17538
1087,17.17538
1088,17.17538
1089,17.17538
1090,17.17538
1091,17.17538
1092,17.17538
1093,17.17538
1094,17.17538
1095,17.17588
1096,17.17685
1097,17.1769
1098,17.17693
1099,17.177
1100,17.17753
1101,17.17802
1102,17.17818
1103,17.17837
1104,17.17874
1105,17.17877
1106,17.17894
1107,17.17904
1108,17.17918
1109,17.17934
1110,17.17957
1111,17.17987
1112,17.18009
1113,17.18023
1114,17.1804
1115,17.18048
1116,17.18081
1117,17.18153
1118,17.1816
1119,17.18205
1120,17.18218
1121,17.18218
1122,17.18224
1123,17.18256
1124,17.18268
1125,17.18312
1126,17.18367
1127,17.18395
1128,17.18412
1129,17.18412
