rank,score
1,17.486
2,17.59291
3,17.59617
4,17.6117
5,17.6164
6,17.64165
7,17.64218
8,17.64569
9,17.64656
10,17.66762
11,17.66764
12,17.68104
13,17.68121
14,17.68954
15,17.69577
16,17.70585
17,17.7172
18,17.71876
19,17.72912
20,17.73121
21,17.7321
22,17.73363
23,17.73668
24,17.7368
25,17.73707
26,17.73778
27,17.73784
28,17.73919
29,17.74026
30,17.7415
31,17.74193
32,17.74279
33,17.74385
34,17.74496
35,17.7467
36,17.74674
37,17.7471
38,17.74723
39,17.74758
40,17.74789
41,17.74812
42,17.74842
43,17.74862
44,17.7496
45,17.74996
46,17.75081
47,17.75161
48,17.75185
49,17.75209
50,17.7521
51,17.75341
52,17.75444
53,17.75458
54,17.75474
55,17.75478
56,17.75529
57,17.75543
58,17.75566
59,17.75604
60,17.75779
61,17.7594
62,17.75997
63,17.75997
64,17.76181
65,17.76181
66,17.76268
67,17.76289
68,17.76335
69,17.76417
70,17.76435
71,17.76452
72,17.76481
73,17.76491
74,17.76527
75,17.76603
76,17.76621
77,17.76632
78,17.767
79,17.7673
80,17.76863
81,17.76891
82,17.76928
83,17.76969
84,17.7698
85,17.77032
86,17.77138
87,17.77177
88,17.77191
89,17.77203
90,17.77246
91,17.77295
92,17.77372
93,17.77391
94,17.77491
95,17.77563
96,17.77596
97,17.77636
98,17.77644
99,17.7766
100,17.77688
101,17.777
102,17.77706
103,17.77712
104,17.77751
105,17.77759
106,17.77769
107,17.77776
108,17.77826
109,17.77934
110,17.77969
111,17.77987
112,17.78006
113,17.7804
114,17.7805
115,17.78053
116,17.7806
117,17.78069
118,17.78225
119,17.78231
120,17.78237
121,17.78242
122,17.78248
123,17.78269
124,17.78307
125,17.78314
126,17.78333
127,17.78381
128,17.78436
129,17.78491
130,17.78517
131,17.78527
132,17.78588
133,17.7871
134,17.78747
135,17.78861
136,17.78885
137,17.78895
138,17.78901
139,17.78918
140,17.79015
141,17.79028
142,17.79039
143,17.79134
144,17.79136
145,17.79153
146,17.79153
147,17.7918
148,17.79183
149,17.7921
150,17.79245
151,17.79248
152,17.79271
153,17.79272
154,17.79323
155,17.79386
156,17.79416
157,17.79449
158,17.79451
159,17.79461
160,17.79536
161,17.79564
162,17.79625
163,17.79648
164,17.79761
165,17.79825
166,17.79825
167,17.79839
168,17.79839
169,17.79843
170,17.79853
171,17.79854
172,17.79857
