rank,score
1,0.98445
2,0.98182
3,0.98089
4,0.98064
5,0.9806
6,0.98045
7,0.98045
8,0.97985
9,0.97906
10,0.97883
11,0.97878
12,0.97836
13,0.9783
14,0.97804
15,0.97772
16,0.97751
17,0.97749
18,0.97727
19,0.9771
20,0.97705
21,0.97704
22,0.97697
23,0.97692
24,0.97679
25,0.97669
26,0.97668
27,0.97664
28,0.97662
29,0.97655
30,0.97647
31,0.97638
32,0.97633
33,0.97624
34,0.97615
35,0.97612
36,0.97599
37,0.9759
38,0.97581
39,0.97572
40,0.97561
41,0.97559
42,0.97556
43,0.97555
44,0.97545
45,0.97543
46,0.97541
47,0.97536
48,0.97522
49,0.97506
50,0.97502
51,0.97499
52,0.97496
53,0.97485
54,0.97482
55,0.97476
56,0.9747
57,0.97465
58,0.97465
59,0.97465
60,0.97465
61,0.97465
62,0.97465
63,0.97465
64,0.97465
65,0.97465
66,0.97465
67,0.97465
68,0.97465
69,0.97465
70,0.97465
71,0.97465
72,0.97465
73,0.97465
74,0.97464
75,0.9746
76,0.9746
77,0.97454
78,0.9745
79,0.97441
80,0.97434
81,0.97422
82,0.97421
83,0.97419
84,0.97419
85,0.97412
86,0.97406
87,0.974
88,0.974
89,0.97396
90,0.97395
91,0.97394
92,0.97392
93,0.97391
94,0.97389
95,0.97389
96,0.97389
97,0.97389
98,0.97389
99,0.97389
100,0.97389
101,0.97389
102,0.97389
103,0.97389
104,0.97389
105,0.97389
106,0.97389
107,0.97389
108,0.97389
109,0.97389
110,0.97389
111,0.97389
112,0.97389
113,0.97388
114,0.97384
115,0.97384
116,0.97383
117,0.97383
118,0.97381
119,0.97381
120,0.97375
121,0.97374
122,0.97368
123,0.97366
124,0.97366
125,0.97365
126,0.97365
127,0.97365
128,0.97365
129,0.97365
130,0.97365
131,0.97361
132,0.9736
133,0.97353
134,0.97351
135,0.97349
136,0.97348
137,0.97347
138,0.97343
139,0.97338
140,0.97337
141,0.97335
142,0.97334
143,0.97333
144,0.97333
145,0.97327
146,0.97318
147,0.97316
148,0.97316
149,0.97315
150,0.97314
151,0.97314
152,0.97313
153,0.97307
154,0.97307
155,0.97303
156,0.97303
157,0.97301
158,0.97295
159,0.9729
160,0.97286
161,0.97284
162,0.97283
163,0.97282
164,0.97281
165,0.9728
166,0.97278
167,0.97278
168,0.97269
169,0.97268
170,0.97266
171,0.97262
172,0.97259
173,0.97253
174,0.9725
175,0.97249
176,0.97249
177,0.97246
178,0.97245
179,0.97242
180,0.97234
181,0.97234
182,0.97233
183,0.97231
184,0.97231
185,0.97231
186,0.97229
187,0.97229
188,0.97229
189,0.97227
190,0.97226
191,0.97225
192,0.97224
193,0.97221
194,0.97221
195,0.97221
196,0.97221
197,0.97221
198,0.97221
199,0.97221
200,0.97221
201,0.97221
202,0.97221
203,0.97221
204,0.97221
205,0.97221
206,0.9722
207,0.97217
208,0.97212
209,0.97204
210,0.97202
211,0.97202
212,0.97195
213,0.97193
214,0.97191
215,0.97189
216,0.97186
217,0.97179
218,0.97173
219,0.97165
220,0.97165
221,0.97158
222,0.97158
223,0.97156
224,0.97156
225,0.97154
226,0.97151
227,0.97145
228,0.97144
229,0.97142
230,0.97101
231,0.97096
232,0.97095
233,0.97095
234,0.97095
235,0.97095
236,0.97095
237,0.97092
238,0.97092
239,0.97092
240,0.97092
241,0.97092
242,0.97088
243,0.97084
244,0.97077
245,0.97069
246,0.97054
247,0.97048
248,0.97044
249,0.97044
250,0.97044
251,0.9704
252,0.9704
253,0.97035
254,0.97031
255,0.9702
256,0.9702
257,0.9702
258,0.9702
259,0.97019
260,0.97007
261,0.97005
262,0.96992
263,0.96992
264,0.96977
265,0.96976
266,0.96976
267,0.96976
268,0.96976
269,0.96976
270,0.96976
271,0.96976
272,0.96976
273,0.96976
274,0.96976
275,0.96976
276,0.96973
277,0.96972
278,0.96972
279,0.96965
280,0.96958
281,0.96942
282,0.96942
283,0.96941
284,0.96939
285,0.96939
286,0.9693
287,0.96928
288,0.96927
289,0.96923
290,0.96916
291,0.96911
292,0.96902
293,0.96901
294,0.96896
295,0.96892
296,0.96892
297,0.96888
298,0.96888
299,0.96887
300,0.96886
301,0.96884
302,0.96884
303,0.9688
304,0.96879
305,0.96877
306,0.96877
307,0.96874
308,0.96872
309,0.96872
310,0.96868
311,0.96867
312,0.96861
313,0.96858
314,0.96858
315,0.96858
316,0.96858
317,0.96858
318,0.96857
319,0.9685
320,0.96847
321,0.96838
322,0.96829
323,0.96829
324,0.96825
325,0.96818
326,0.96818
327,0.96814
328,0.96811
329,0.96808
330,0.96799
331,0.96791
332,0.96783
333,0.96783
334,0.96783
335,0.96781
336,0.96779
337,0.96773
338,0.96772
339,0.96772
340,0.96769
341,0.96765
342,0.96762
343,0.96754
344,0.96749
345,0.96736
346,0.96723
347,0.96703
348,0.96701
349,0.96699
350,0.96694
351,0.96694
352,0.96694
353,0.96694
354,0.96684
355,0.96677
356,0.96672
357,0.96671
358,0.96662
359,0.9666
360,0.96658
361,0.96655
362,0.9665
363,0.96643
364,0.9664
365,0.96634
366,0.96629
367,0.96614
368,0.96612
369,0.96607
370,0.96605
371,0.96599
372,0.96594
373,0.96593
374,0.96592
375,0.96589
376,0.96584
377,0.96579
378,0.96577
379,0.96558
380,0.96557
381,0.96557
382,0.96556
383,0.96539
384,0.96537
385,0.96533
386,0.96526
387,0.96524
388,0.96523
389,0.96517
390,0.96515
391,0.9651
392,0.96509
393,0.96499
394,0.96484
395,0.96482
396,0.96463
397,0.96459
398,0.96444
399,0.96442
400,0.96438
401,0.96436
402,0.96436
403,0.96421
404,0.96412
405,0.96397
406,0.9639
407,0.96372
408,0.96368
409,0.9635
410,0.96336
411,0.96335
412,0.96327
413,0.96316
414,0.96314
415,0.96312
416,0.9631
417,0.9631
418,0.96299
419,0.96291
420,0.96291
421,0.96291
422,0.96276
423,0.96269
424,0.96263
425,0.96255
426,0.96245
427,0.96244
428,0.96232
429,0.96226
430,0.96216
431,0.96202
432,0.96194
433,0.96194
434,0.96192
435,0.96181
436,0.96179
437,0.96177
438,0.96176
439,0.96174
440,0.96168
441,0.96158
442,0.9615
443,0.96141
444,0.96139
445,0.96134
446,0.96122
447,0.9612
448,0.9611
449,0.96107
450,0.96105
451,0.96084
452,0.96078
453,0.96076
454,0.96073
455,0.96071
456,0.96071
457,0.96065
458,0.96064
459,0.96059
460,0.96057
461,0.96053
462,0.96039
463,0.96036
464,0.96036
465,0.96036
466,0.96015
467,0.96007
468,0.96006
469,0.96003
470,0.95986
471,0.95983
472,0.95982
473,0.95978
474,0.95958
475,0.95958
476,0.95954
477,0.95949
478,0.95947
479,0.95941
480,0.95922
481,0.95919
482,0.95915
483,0.95909
484,0.959
485,0.95897
486,0.95895
487,0.95882
488,0.95877
489,0.95871
490,0.9587
491,0.9586
492,0.95859
493,0.95853
494,0.9585
495,0.95845
496,0.95838
497,0.95837
498,0.95834
499,0.95832
500,0.95831
501,0.95829
502,0.95827
503,0.95825
504,0.95822
505,0.95822
506,0.9578
507,0.95778
508,0.95768
509,0.95764
510,0.95753
511,0.95737
512,0.95733
513,0.95731
514,0.95719
515,0.95719
516,0.95718
517,0.95717
518,0.95708
519,0.95706
520,0.95692
521,0.95691
522,0.95688
523,0.95679
524,0.95678
525,0.95665
526,0.95663
527,0.95649
528,0.95648
529,0.95631
530,0.95628
531,0.95627
532,0.95627
533,0.95623
534,0.95616
535,0.95606
536,0.95597
537,0.95596
538,0.95596
539,0.95594
540,0.95576
541,0.95573
542,0.95567
543,0.95567
544,0.95561
545,0.95547
546,0.95542
547,0.95531
548,0.95531
549,0.95526
550,0.95515
551,0.95514
552,0.95496
553,0.95494
554,0.9549
555,0.95483
556,0.95479
557,0.95475
558,0.95471
559,0.95456
560,0.95448
561,0.95428
562,0.95428
563,0.95426
564,0.95418
565,0.95415
566,0.95414
567,0.954
568,0.95394
569,0.95388
570,0.9538
571,0.95375
572,0.95373
573,0.95361
574,0.95354
575,0.95354
576,0.95352
577,0.95351
578,0.95347
579,0.95346
580,0.95342
581,0.95338
582,0.95337
583,0.95322
584,0.95311
585,0.95305
586,0.953
587,0.95293
588,0.95291
589,0.95277
590,0.95276
591,0.95276
592,0.95268
593,0.9526
594,0.95225
595,0.95223
596,0.95219
597,0.95218
598,0.95212
599,0.95204
600,0.95197
601,0.95195
602,0.95192
603,0.95189
604,0.95182
605,0.95178
606,0.95156
607,0.9514
608,0.95132
609,0.95117
610,0.95115
611,0.95115
612,0.9511
613,0.95087
614,0.95086
615,0.9508
616,0.95072
617,0.95064
618,0.95061
619,0.95054
620,0.95052
621,0.95043
622,0.95036
623,0.95035
624,0.95028
625,0.95021
626,0.95013
627,0.95008
628,0.95004
629,0.94995
630,0.94968
631,0.94964
632,0.94954
633,0.94947
634,0.94947
635,0.94947
636,0.94947
637,0.94947
638,0.94944
639,0.94941
640,0.9494
641,0.94937
642,0.94928
643,0.94926
644,0.94925
645,0.94923
646,0.94922
647,0.94918
648,0.94914
649,0.9491
650,0.94908
651,0.94904
652,0.94904
653,0.94903
654,0.94901
655,0.94885
656,0.94878
657,0.9487
658,0.94869
659,0.94858
660,0.94846
661,0.94844
662,0.9483
663,0.9483
664,0.94826
665,0.94822
666,0.94819
667,0.94816
668,0.94809
669,0.94799
670,0.94791
671,0.94787
672,0.94786
673,0.94786
674,0.9478
675,0.94775
676,0.94773
677,0.9477
678,0.94766
679,0.94759
680,0.94759
681,0.94746
682,0.94737
683,0.94734
684,0.94731
685,0.94729
686,0.94683
687,0.94682
688,0.94681
689,0.94679
690,0.94671
691,0.9467
692,0.94666
693,0.94657
694,0.94656
695,0.94654
696,0.94648
697,0.94641
698,0.94639
699,0.94629
700,0.94627
701,0.94624
702,0.94616
703,0.94614
704,0.94603
705,0.94598
706,0.94594
707,0.94593
708,0.94577
709,0.94571
710,0.94559
711,0.94549
712,0.94548
713,0.94544
714,0.94538
715,0.94538
716,0.94535
717,0.94533
718,0.94526
719,0.94499
720,0.94497
721,0.94486
722,0.94482
723,0.94458
724,0.9445
725,0.94445
726,0.94432
727,0.94431
728,0.94427
729,0.94413
730,0.94407
731,0.94403
732,0.94403
733,0.94402
734,0.94401
735,0.94396
736,0.94395
737,0.94391
738,0.94384
739,0.94365
740,0.94364
741,0.94346
742,0.94343
743,0.94331
744,0.94329
745,0.94322
746,0.94312
747,0.943
748,0.94297
749,0.94284
750,0.94282
751,0.94281
752,0.94273
753,0.94261
754,0.94249
755,0.94242
756,0.94234
757,0.94224
758,0.94221
759,0.94217
760,0.94209
761,0.94202
762,0.9418
763,0.94177
764,0.94172
765,0.9417
766,0.94162
767,0.94159
768,0.94146
769,0.94133
770,0.94121
771,0.94116
772,0.94108
773,0.94104
774,0.94101
775,0.94099
776,0.94088
777,0.94082
778,0.94079
779,0.94079
780,0.94044
781,0.94035
782,0.9402
783,0.94015
784,0.94009
785,0.94003
786,0.93979
787,0.93979
788,0.93963
789,0.93953
790,0.9394
791,0.93934
792,0.93927
793,0.93911
794,0.93896
795,0.93883
796,0.9388
797,0.93879
798,0.93876
799,0.93848
800,0.93848
801,0.93815
802,0.93804
803,0.93792
804,0.93786
805,0.93775
806,0.93769
807,0.93761
808,0.93761
809,0.93749
810,0.93743
811,0.93723
812,0.93719
813,0.93719
814,0.93707
815,0.93707
816,0.93706
817,0.93706
818,0.93704
819,0.93698
820,0.93698
821,0.93695
822,0.93693
823,0.93688
824,0.93683
825,0.93681
826,0.93669
827,0.93653
828,0.93653
829,0.93637
830,0.93632
831,0.93612
832,0.93605
833,0.93591
834,0.93589
835,0.9358
836,0.93572
837,0.93571
838,0.93569
839,0.93536
840,0.93533
841,0.93524
842,0.93524
843,0.93507
844,0.93492
845,0.93484
846,0.9342
847,0.93414
848,0.93409
849,0.93407
850,0.93402
851,0.93395
852,0.93377
853,0.93364
854,0.9336
855,0.93359
856,0.93353
857,0.93328
858,0.93311
859,0.93306
860,0.93306
861,0.93299
862,0.93234
863,0.93232
864,0.93226
865,0.93224
866,0.93222
867,0.9321
868,0.93205
869,0.93194
870,0.93178
871,0.93174
872,0.93152
873,0.93149
874,0.93149
875,0.93145
876,0.93137
877,0.93097
878,0.92996
879,0.92986
880,0.92957
881,0.92953
882,0.92951
883,0.92923
884,0.9291
885,0.92908
886,0.92895
887,0.92892
888,0.92884
889,0.92883
890,0.92873
891,0.92864
892,0.92849
893,0.9282
894,0.92808
895,0.92785
896,0.92769
897,0.92753
898,0.92736
899,0.92724
900,0.92716
901,0.92712
902,0.92679
903,0.92678
904,0.92667
905,0.9265
906,0.92616
907,0.92611
908,0.92607
909,0.92559
910,0.92553
911,0.92527
912,0.9251
913,0.92468
914,0.92451
915,0.92416
916,0.92398
917,0.92397
918,0.92347
919,0.92334
920,0.92309
921,0.92297
922,0.92269
923,0.9225
924,0.92243
925,0.92218
926,0.92211
927,0.92183
928,0.92169
929,0.92168
930,0.92159
931,0.92146
932,0.92118
933,0.92067
934,0.92059
935,0.92018
936,0.91958
937,0.91946
938,0.91924
939,0.91916
940,0.91913
941,0.9191
942,0.91903
943,0.91884
944,0.9188
945,0.91878
946,0.91877
947,0.91791
948,0.91775
949,0.91761
950,0.91728
951,0.91711
952,0.91694
