rank,score
1,0.87813
2,0.86596
3,0.86352
4,0.86259
5,0.8583
6,0.85719
7,0.85246
8,0.8509
9,0.85089
10,0.85064
11,0.85005
12,0.84898
13,0.84868
14,0.84861
15,0.84768
16,0.84724
17,0.84691
18,0.84654
19,0.84628
20,0.84594
21,0.84524
22,0.84472
23,0.84413
24,0.84402
25,0.84391
26,0.84365
27,0.84361
28,0.84258
29,0.8425
30,0.84243
31,0.84199
32,0.84199
33,0.84199
34,0.84199
35,0.84199
36,0.84199
37,0.84199
38,0.84199
39,0.84199
40,0.84199
41,0.84199
42,0.84199
43,0.84199
44,0.84199
45,0.84199
46,0.84199
47,0.84199
48,0.84199
49,0.84199
50,0.84199
51,0.84199
52,0.84199
53,0.8408
54,0.84028
55,0.8401
56,0.83984
57,0.83903
58,0.8384
59,0.83762
60,0.83747
61,0.83729
62,0.83692
63,0.83684
64,0.83684
65,0.83684
66,0.83684
67,0.83684
68,0.83684
69,0.83684
70,0.83684
71,0.83662
72,0.83503
73,0.83451
74,0.83418
75,0.83414
76,0.83355
77,0.83314
78,0.83311
79,0.83207
80,0.8314
81,0.83133
82,0.83048
83,0.82985
84,0.82963
85,0.82885
86,0.82767
87,0.82756
88,0.82752
89,0.82719
90,0.82637
91,0.82637
92,0.8263
93,0.82574
94,0.82549
95,0.82508
96,0.82504
97,0.82475
98,0.82456
99,0.82438
100,0.82401
101,0.82397
102,0.82389
103,0.82378
104,0.82319
105,0.82223
106,0.82193
107,0.82049
108,0.82012
109,0.81994
110,0.81982
111,0.81957
112,0.8192
113,0.81905
114,0.81857
115,0.81794
116,0.81794
117,0.81746
118,0.81627
119,0.81546
120,0.81527
121,0.8152
122,0.81435
123,0.8142
124,0.81346
125,0.81335
126,0.8132
127,0.81309
128,0.81302
129,0.81302
130,0.8115
131,0.81143
132,0.81113
133,0.8108
134,0.8108
135,0.81061
136,0.81054
137,0.8105
138,0.81046
139,0.81032
140,0.80961
141,0.80924
142,0.80895
143,0.8088
144,0.80747
145,0.80739
146,0.80702
147,0.8068
148,0.80632
149,0.8058
150,0.80532
151,0.8051
152,0.80488
153,0.80414
154,0.80369
155,0.80321
