rank,score
1,1.0
2,1.0
3,1.0
4,0.99622
5,0.99496
6,0.99496
7,0.99496
8,0.99244
9,0.99244
10,0.99244
11,0.99244
12,0.99244
13,0.99118
14,0.99118
15,0.99118
16,0.99118
17,0.99118
18,0.99118
19,0.98992
20,0.98992
21,0.98992
22,0.98866
23,0.98866
24,0.98866
25,0.98866
26,0.98866
27,0.98866
28,0.98866
29,0.98866
30,0.9874
31,0.9874
32,0.9874
33,0.9874
34,0.9874
35,0.9874
36,0.9874
37,0.9874
38,0.9874
39,0.9874
40,0.98614
41,0.98614
42,0.98614
43,0.98614
44,0.98614
45,0.98614
46,0.98614
47,0.98614
48,0.98614
49,0.98614
50,0.98614
51,0.98614
52,0.98614
53,0.98614
54,0.98488
55,0.98488
56,0.98488
57,0.98488
58,0.98488
59,0.98488
60,0.98488
61,0.98488
62,0.98488
63,0.98488
64,0.98488
65,0.98488
66,0.98488
67,0.98488
68,0.98488
69,0.98488
70,0.98488
71,0.98488
72,0.98488
73,0.98488
74,0.98488
75,0.98488
76,0.98488
77,0.98362
78,0.98362
79,0.98362
80,0.98362
81,0.98362
82,0.98362
83,0.98362
84,0.98362
85,0.98362
86,0.98362
87,0.98362
88,0.98362
89,0.98236
90,0.98236
91,0.98236
92,0.98236
93,0.98236
94,0.98236
95,0.98236
96,0.98236
97,0.98236
98,0.98236
99,0.98236
100,0.98236
101,0.98236
102,0.98236
103,0.98236
104,0.9811
105,0.9811
106,0.9811
107,0.9811
108,0.9811
109,0.9811
110,0.9811
111,0.9811
112,0.9811
113,0.9811
114,0.9811
115,0.9811
116,0.9811
117,0.9811
118,0.9811
119,0.9811
120,0.9811
121,0.9811
122,0.9811
123,0.9811
124,0.9811
125,0.97984
126,0.97984
127,0.97984
128,0.97984
129,0.97984
130,0.97984
131,0.97984
132,0.97984
133,0.97984
134,0.97984
135,0.97984
136,0.97984
137,0.97984
138,0.97984
139,0.97984
140,0.97984
141,0.97984
142,0.97984
143,0.97984
144,0.97984
145,0.97984
146,0.97984
147,0.97984
148,0.97984
149,0.97858
150,0.97858
151,0.97858
152,0.97858
153,0.97858
154,0.97858
155,0.97858
156,0.97858
157,0.97858
158,0.97858
159,0.97858
160,0.97858
161,0.97858
162,0.97858
163,0.97858
164,0.97858
165,0.97858
166,0.97858
167,0.97858
168,0.97858
169,0.97858
170,0.97858
171,0.97858
172,0.97858
173,0.97732
174,0.97732
