rank,score
1,327.38765
2,328.04455
3,328.30696
4,328.37945
5,328.44243
6,328.6041
7,328.60976
8,328.65515
9,328.66754
10,328.69518
11,328.71346
12,328.73667
13,328.75237
14,328.75923
15,328.76619
16,328.78249
17,328.79028
18,328.79169
19,328.79169
20,328.79705
21,328.8126
22,328.81574
23,328.81757
24,328.81828
25,328.81828
26,328.81828
27,328.81828
28,328.81828
29,328.81828
30,328.81828
31,328.81828
32,328.81828
33,328.81828
34,328.81828
35,328.81828
36,328.81828
37,328.81828
38,328.81828
39,328.81828
40,328.81828
41,328.81828
42,328.81828
43,328.81828
44,328.81828
45,328.81828
46,328.81828
47,328.81828
48,328.81828
49,328.81828
50,328.81828
51,328.81828
52,328.81828
53,328.81887
54,328.8189
55,328.81988
56,328.82073
57,328.82581
58,328.82639
59,328.82835
60,328.82986
61,328.83156
62,328.83601
63,328.83617
64,328.83654
65,328.83859
66,328.84117
67,328.84427
68,328.8444
69,328.8444
70,328.8444
71,328.8444
72,328.8444
73,328.8444
74,328.8444
75,328.8444
76,328.8444
77,328.8444
78,328.8444
79,328.8444
80,328.8444
81,328.8444
82,328.8444
83,328.8444
84,328.8444
85,328.8444
86,328.84456
87,328.84808
88,328.85719
89,328.85736
90,328.86021
91,328.86075
92,328.86631
93,328.88133
94,328.89881
95,328.90402
96,328.90455
97,328.90654
98,328.90686
99,328.9252
100,328.93491
101,328.93503
102,328.95241
103,328.96808
104,329.02957
105,329.03512
106,329.09761
107,329.10301
108,329.1058
109,329.19825
110,329.26589
111,329.28067
112,329.31317
113,329.31349
114,329.32208
115,329.32335
116,329.34063
117,329.38498
118,329.39248
119,329.41289
120,329.43017
121,329.46999
122,329.47267
123,329.48241
124,329.48264
125,329.50162
126,329.50727
127,329.52372
128,329.5452
129,329.57137
130,329.58585
131,329.59306
132,329.60134
133,329.60634
134,329.60634
135,329.60634
136,329.60634
137,329.60634
138,329.60634
139,329.60634
140,329.60634
141,329.60634
142,329.60634
143,329.60634
144,329.60634
145,329.60634
146,329.60634
147,329.60634
148,329.60634
149,329.60634
150,329.60634
151,329.60781
152,329.62258
153,329.62605
154,329.62958
155,329.63348
156,329.63989
157,329.65389
158,329.67265
159,329.73098
160,329.78459
161,329.79344
162,329.79706
163,329.81847
164,329.84361
165,329.86009
166,329.87641
167,329.91009
168,329.98422
169,330.00787
170,330.067
171,330.06856
172,330.08064
173,330.10493
174,330.11545
175,330.13004
176,330.23147
177,330.24024
178,330.24683
179,330.26098
180,330.27878
181,330.3046
182,330.3046
183,330.3046
184,330.31759
185,330.31772
186,330.39524
187,330.41467
188,330.47857
189,330.56247
190,330.60642
191,330.62376
192,330.63973
193,330.67066
194,330.73374
195,330.75548
196,330.8306
197,330.83434
198,330.85507
199,330.87326
200,330.94169
201,330.96876
202,330.98604
203,330.98802
204,330.98844
205,330.98844
206,330.98844
207,330.98844
208,330.98881
209,331.0273
210,331.03236
211,331.07324
212,331.0904
213,331.10481
214,331.10912
215,331.11023
216,331.11554
217,331.12013
218,331.12408
219,331.14395
220,331.14528
221,331.14662
222,331.1487
223,331.14899
224,331.15204
225,331.16125
226,331.16746
227,331.17281
228,331.18999
229,331.19204
230,331.19204
231,331.22635
232,331.25465
233,331.26075
234,331.26726
235,331.27021
236,331.27408
237,331.27408
238,331.27783
239,331.29334
240,331.3007
241,331.3007
242,331.30722
243,331.30803
244,331.32465
245,331.32465
246,331.32465
247,331.32553
248,331.32553
249,331.33007
250,331.33406
251,331.34809
252,331.34809
253,331.35441
254,331.35441
255,331.39665
256,331.41164
257,331.42255
258,331.42741
259,331.45948
260,331.46785
261,331.47515
262,331.47515
263,331.49824
264,331.49824
265,331.49824
266,331.49824
267,331.49824
268,331.49824
269,331.50253
270,331.50253
271,331.50278
272,331.50278
273,331.50278
274,331.50278
275,331.50339
276,331.50999
277,331.5187
278,331.52061
279,331.52233
280,331.52712
281,331.52892
282,331.53495
283,331.55
284,331.5706
285,331.62522
286,331.62849
287,331.63897
288,331.64667
289,331.65763
290,331.66461
291,331.66959
292,331.68432
293,331.68672
294,331.70198
295,331.70882
296,331.74772
297,331.77011
298,331.77468
299,331.8022
300,331.80338
301,331.82493
302,331.84181
303,331.86074
304,331.8609
305,331.87916
306,331.88035
307,331.88337
308,331.88337
309,331.92316
310,331.93661
311,331.93834
312,331.95025
313,331.97129
314,331.97548
315,331.99136
316,331.99746
317,332.01419
318,332.02282
319,332.04145
320,332.04565
321,332.04626
322,332.05118
323,332.10984
324,332.11426
325,332.11426
326,332.1357
327,332.14943
328,332.18006
329,332.19128
330,332.19944
331,332.2086
332,332.21665
333,332.21679
334,332.25725
335,332.28284
336,332.31065
337,332.31309
338,332.31797
339,332.31876
340,332.342
341,332.39101
342,332.39101
343,332.39101
344,332.39223
345,332.43005
346,332.44173
347,332.44832
348,332.47498
349,332.48115
350,332.49877
351,332.51184
352,332.52562
353,332.53998
354,332.57978
355,332.58151
356,332.61148
357,332.62826
358,332.64745
359,332.75341
360,332.76839
361,332.76885
362,332.78068
363,332.78068
364,332.78068
365,332.78068
366,332.78681
367,332.78825
368,332.80838
369,332.8179
370,332.8386
371,332.85452
372,332.86403
373,332.86555
374,332.8948
375,332.90069
376,332.90105
377,332.90434
378,332.90736
379,332.91434
380,332.91726
381,332.92816
382,332.92998
383,332.93509
384,332.95682
385,332.96291
386,332.96761
387,332.9791
388,332.98337
389,332.98651
390,332.99304
391,333.00131
392,333.00455
393,333.00659
394,333.00856
395,333.00856
396,333.03066
397,333.03066
398,333.03066
399,333.03066
400,333.03066
401,333.03066
402,333.03066
403,333.03066
404,333.03066
405,333.03066
406,333.03066
407,333.03066
408,333.03256
409,333.04052
410,333.05546
411,333.06866
412,333.07258
413,333.08456
414,333.08584
415,333.08676
416,333.08772
417,333.10603
418,333.10603
419,333.10603
420,333.11778
421,333.13532
422,333.16382
423,333.16501
424,333.17934
425,333.19755
426,333.19838
427,333.20417
428,333.24024
429,333.29202
430,333.29728
431,333.29916
432,333.30564
433,333.3272
434,333.34697
435,333.34697
436,333.45433
437,333.47022
438,333.53195
439,333.55246
440,333.56696
441,333.60856
442,333.61739
443,333.62543
444,333.65075
445,333.65075
446,333.6678
447,333.67038
448,333.67183
449,333.6861
450,333.6861
451,333.69525
452,333.71197
453,333.71563
454,333.72071
455,333.74254
456,333.74254
457,333.74254
458,333.75616
459,333.78962
460,333.86378
461,333.89298
462,333.89556
463,333.896
464,333.896
465,333.94472
466,333.9551
467,333.96757
468,333.98071
469,333.98905
470,334.02128
471,334.04242
472,334.0613
473,334.06656
474,334.08077
475,334.0942
476,334.12316
477,334.12579
478,334.14768
479,334.14768
480,334.14768
481,334.14768
482,334.14768
483,334.1541
484,334.15835
485,334.16597
486,334.17609
487,334.17692
488,334.17712
489,334.18458
490,334.18741
491,334.19608
492,334.23205
493,334.24976
494,334.25547
495,334.25857
496,334.31184
497,334.3267
498,334.34252
499,334.35631
500,334.3622
501,334.37209
502,334.37209
503,334.38839
504,334.42748
505,334.44738
506,334.44748
507,334.44769
508,334.44769
509,334.44769
510,334.44769
511,334.44769
512,334.44769
513,334.44791
514,334.45962
515,334.47438
516,334.51782
517,334.54377
518,334.60455
519,334.64111
520,334.64405
521,334.6512
522,334.67254
523,334.67448
524,334.67673
525,334.68868
526,334.71283
527,334.71298
528,334.71474
529,334.71474
530,334.77641
531,334.80013
532,334.80869
533,334.80869
534,334.81444
535,334.8509
536,334.86514
537,334.90111
538,334.90933
539,334.93425
540,334.93909
541,334.93956
542,334.9598
543,334.96049
544,334.96575
545,334.97923
546,334.99317
547,334.99576
548,335.00809
549,335.06012
550,335.07587
551,335.0874
552,335.12311
553,335.16529
554,335.17081
555,335.18081
556,335.21917
557,335.22798
558,335.2491
559,335.26533
560,335.26647
561,335.26972
562,335.26972
563,335.26983
564,335.27252
565,335.28136
566,335.28178
567,335.28477
568,335.2956
569,335.29624
570,335.29705
571,335.30654
572,335.35726
573,335.48987
574,335.49677
575,335.49831
576,335.53192
577,335.54281
578,335.54354
579,335.54415
580,335.54489
581,335.54538
582,335.54538
583,335.5513
584,335.55951
585,335.56146
586,335.5631
587,335.57046
588,335.60171
589,335.62009
590,335.63513
591,335.63513
592,335.65356
593,335.69854
594,335.70967
595,335.71154
596,335.71311
597,335.71866
598,335.72192
599,335.74338
600,335.76676
601,335.78418
602,335.789
603,335.80508
604,335.81738
605,335.82005
606,335.82246
607,335.82382
608,335.8349
609,335.83956
610,335.84893
611,335.84893
612,335.85191
613,335.86817
614,335.87925
615,335.88028
616,335.88626
617,335.89378
618,335.9254
619,335.93448
620,335.93525
621,335.93636
622,335.96129
623,335.997
624,336.04677
625,336.09239
626,336.09378
627,336.10473
628,336.10526
629,336.12566
630,336.13034
631,336.16058
632,336.17502
633,336.17576
634,336.18047
635,336.20817
636,336.21328
637,336.21779
