rank,score
1,0.84248
2,0.84218
3,0.84218
4,0.84218
5,0.84208
6,0.84208
7,0.84208
8,0.84199
9,0.84199
10,0.84199
11,0.84189
12,0.84189
13,0.84189
14,0.84189
15,0.84189
16,0.84179
17,0.84179
18,0.84179
19,0.84179
20,0.84179
21,0.84179
22,0.84179
23,0.84179
24,0.84179
25,0.84179
26,0.84179
27,0.84179
28,0.84179
29,0.84179
30,0.84179
31,0.84179
32,0.84179
33,0.84179
34,0.84179
35,0.84179
36,0.84179
37,0.84179
38,0.84179
39,0.84179
40,0.84179
41,0.84169
42,0.84169
43,0.84169
44,0.84169
45,0.84169
46,0.84169
47,0.84169
48,0.84169
49,0.84169
50,0.84169
51,0.84169
52,0.84169
53,0.84169
54,0.84169
55,0.84169
56,0.84169
57,0.84169
58,0.84169
59,0.84169
60,0.84169
61,0.84169
62,0.84169
63,0.84169
64,0.84169
65,0.84169
66,0.84169
67,0.84169
68,0.84169
69,0.84169
70,0.84169
71,0.84169
72,0.84169
73,0.84169
74,0.84169
75,0.84169
76,0.84169
77,0.84169
78,0.84169
79,0.84169
80,0.84169
81,0.84159
82,0.84159
83,0.84159
84,0.84159
85,0.84159
86,0.84159
87,0.84159
88,0.84159
89,0.84159
90,0.84159
91,0.84159
92,0.84159
93,0.84159
94,0.84159
95,0.84159
96,0.84159
97,0.84159
98,0.84159
99,0.84159
100,0.84159
101,0.84159
102,0.84159
103,0.84159
104,0.84159
105,0.84159
106,0.84159
107,0.84159
108,0.8415
109,0.8415
110,0.8415
111,0.8415
112,0.8415
113,0.8415
114,0.8415
115,0.8415
116,0.8415
117,0.8415
118,0.8415
119,0.8415
120,0.8415
121,0.8415
122,0.8414
123,0.8414
124,0.8414
125,0.8414
126,0.8414
127,0.8414
128,0.8414
129,0.8414
130,0.8414
131,0.8414
132,0.8413
133,0.8413
134,0.8412
135,0.8412
136,0.8411
137,0.84101
138,0.84101
139,0.84101
140,0.84101
141,0.84101
142,0.84101
143,0.84101
144,0.84101
145,0.84101
146,0.84101
147,0.84101
148,0.84101
149,0.84101
150,0.84081
151,0.84081
152,0.84081
153,0.84081
154,0.84081
155,0.84081
156,0.84081
157,0.84081
158,0.84071
159,0.84052
160,0.84052
161,0.84052
162,0.84052
163,0.84052
164,0.84052
