rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,0.99999
48,0.99999
49,0.99999
50,0.99999
51,0.99998
52,0.99998
53,0.99998
54,0.99998
55,0.99995
56,0.99995
57,0.99994
58,0.99993
59,0.99989
60,0.99989
61,0.99984
62,0.9998
63,0.99976
64,0.99974
65,0.99973
66,0.99961
67,0.99961
68,0.99958
69,0.99957
70,0.99943
71,0.99941
72,0.9994
73,0.9994
74,0.99939
75,0.99937
76,0.99932
77,0.99898
78,0.99874
79,0.99867
80,0.99857
81,0.9985
82,0.99848
83,0.9984
84,0.99813
85,0.998
86,0.9976
87,0.99746
88,0.99737
89,0.99726
90,0.99601
91,0.99587
92,0.99584
93,0.99548
94,0.9954
95,0.99523
96,0.99519
97,0.99486
98,0.99465
99,0.99445
100,0.99444
101,0.99234
102,0.99229
103,0.99035
104,0.98998
105,0.98966
106,0.98802
107,0.98503
108,0.98501
109,0.98099
110,0.97804
111,0.96986
112,0.96907
113,0.96907
114,0.96763
115,0.96142
116,0.95542
117,0.95345
118,0.94835
119,0.94602
120,0.93093
121,0.9276
122,0.9237
123,0.9237
124,0.92154
125,0.92087
126,0.91272
127,0.91271
128,0.89527
129,0.89159
130,0.88554
131,0.8616
132,0.85769
133,0.83646
134,0.82
135,0.81872
136,0.818
137,0.81086
138,0.79717
139,0.79475
140,0.75822
141,0.75514
142,0.75318
143,0.75094
144,0.74026
145,0.73098
146,0.72162
147,0.71978
148,0.70498
149,0.68458
150,0.67683
151,0.67584
152,0.67187
153,0.66651
154,0.66386
155,0.6455
156,0.64524
157,0.64423
158,0.63976
159,0.63199
160,0.6295
161,0.6263
162,0.62474
163,0.62467
164,0.62402
165,0.62336
166,0.62242
167,0.62149
168,0.62039
169,0.61787
170,0.61701
171,0.61687
172,0.61532
173,0.61397
174,0.60917
175,0.59005
176,0.58474
177,0.58088
178,0.58044
179,0.58033
180,0.5717
181,0.56903
182,0.56835
183,0.55984
184,0.55678
185,0.5012
186,0.5012
187,0.5012
188,0.5012
189,0.5012
190,0.5012
191,0.5012
192,0.5012
193,0.5012
194,0.5012
195,0.5012
196,0.5012
197,0.49918
198,0.49157
199,0.47932
200,0.42249
201,0.42101
202,0.3158
203,0.29798
204,0.24689
205,0.04624
206,0.04409
207,0.00197
