rank,score
1,3438191.0
2,3518342.0
3,3528755.0
4,3668808.0
5,3713938.0
6,3752362.0
7,3839505.0
8,3867646.0
9,3928087.0
10,3957355.0
11,3971366.0
12,3999705.0
13,4123245.0
14,4136056.0
15,4172425.0
16,4182842.0
17,4184185.0
18,4202343.0
19,4229392.0
20,4238601.0
21,4299144.0
22,4330169.0
23,4395264.0
24,4421208.0
25,4460872.0
26,4480365.0
27,4524603.0
28,4525688.0
29,4542157.0
30,4574971.0
31,4592192.0
32,4594921.0
33,4596613.0
34,4597126.0
35,4621778.0
36,4630189.0
37,4661829.0
38,4665609.0
39,4677872.0
40,4690582.0
41,4694379.0
42,4729201.0
43,4732925.0
44,4739919.0
45,4766325.0
46,4767647.0
47,4789049.0
48,4798917.0
49,4799116.0
50,4808057.0
51,4816262.0
52,4824507.0
53,4831654.0
54,4834384.0
55,4847787.0
56,4850971.0
57,4852683.0
58,4854128.0
59,4857549.0
60,4862207.0
61,4865805.0
62,4867801.0
63,4870920.0
64,4877271.0
65,4907240.0
66,4950653.0
67,4955588.0
68,4960681.0
69,4961149.0
70,4966004.0
71,4971540.0
72,4976959.0
73,4976959.0
74,4976959.0
75,4976959.0
76,4976959.0
77,4976959.0
78,4976959.0
79,4976959.0
80,4977179.0
81,4979785.0
82,4982491.0
83,4983963.0
84,4987955.0
85,4989760.0
86,4990341.0
87,4994906.0
88,4995696.0
89,4996990.0
90,4996990.0
91,4996990.0
92,4999121.0
93,4999121.0
94,4999177.0
95,4999276.0
96,4999330.0
97,4999330.0
98,4999330.0
99,4999330.0
100,4999330.0
101,4999330.0
102,4999330.0
103,4999330.0
104,4999330.0
105,4999330.0
106,4999330.0
107,4999330.0
108,4999330.0
109,4999330.0
110,4999330.0
111,4999330.0
112,4999330.0
113,4999330.0
114,4999330.0
115,4999330.0
116,4999330.0
117,4999330.0
118,4999330.0
119,4999330.0
120,4999330.0
121,4999330.0
122,4999330.0
123,4999330.0
124,4999330.0
125,4999330.0
126,4999330.0
127,4999330.0
128,4999330.0
129,4999330.0
130,4999330.0
131,4999330.0
132,4999330.0
133,4999330.0
134,4999330.0
135,4999330.0
136,4999330.0
137,4999330.0
138,4999695.0
139,5000663.0
140,5009121.0
141,5009493.0
