rank,score
1,3634869.0
2,3638066.0
3,3641873.0
4,3690163.0
5,3726151.0
6,3754265.0
7,3763503.0
8,3850123.0
9,3949086.0
10,4077662.0
11,4084201.0
12,4138136.0
13,4184166.0
14,4184614.0
15,4305555.0
16,4330542.0
17,4330542.0
18,4350351.0
19,4395695.0
20,4423339.0
21,4442855.0
22,4497201.0
23,4507453.0
24,4521414.0
25,4557270.0
26,4578597.0
27,4578670.0
28,4579925.0
29,4582493.0
30,4591515.0
31,4622960.0
32,4643972.0
33,4645179.0
34,4649457.0
35,4701024.0
36,4703019.0
37,4714015.0
38,4719397.0
39,4740120.0
40,4742117.0
41,4752585.0
42,4761999.0
43,4770909.0
44,4785457.0
45,4791571.0
46,4798106.0
47,4806029.0
48,4815344.0
49,4820500.0
50,4832516.0
51,4834910.0
52,4836750.0
53,4847813.0
54,4848562.0
55,4850315.0
56,4868850.0
57,4915508.0
58,4927134.0
59,4936321.0
60,4943909.0
61,4944488.0
62,4955132.0
63,4956078.0
64,4958395.0
65,4959396.0
66,4960810.0
67,4960907.0
68,4970042.0
69,4970801.0
70,4971427.0
71,4976532.0
72,4976532.0
73,4976640.0
74,4978322.0
75,4980370.0
76,4987174.0
77,4987596.0
78,4987596.0
79,4987596.0
80,4988485.0
81,4988601.0
82,4988843.0
83,4988884.0
84,4988884.0
85,4989183.0
86,4989239.0
87,4989282.0
88,4989282.0
89,4989282.0
90,4989282.0
91,4989282.0
92,4989282.0
93,4989282.0
94,4989282.0
95,4989282.0
96,4989282.0
97,4989282.0
98,4989282.0
99,4989282.0
100,4989282.0
101,4989282.0
102,4989282.0
103,4989282.0
104,4989282.0
105,4989282.0
106,4989282.0
107,4989282.0
108,4989282.0
109,4989282.0
110,4989282.0
111,4989282.0
112,4989282.0
113,4989282.0
114,4989282.0
115,4989282.0
116,4989282.0
117,4989282.0
118,4989282.0
119,4989282.0
120,4989282.0
121,4989282.0
122,4989282.0
123,4989282.0
124,4989282.0
125,4989282.0
126,4989282.0
127,4989282.0
128,4989282.0
129,4989282.0
130,4989282.0
131,4989282.0
132,4989282.0
133,4989710.0
134,4989895.0
135,5007652.0
136,5011732.0
137,5014543.0
138,5029784.0
139,5046098.0
140,5046098.0
141,5046098.0
142,5058005.0
143,5058307.0
144,5058307.0
145,5058307.0
146,5058307.0
147,5058755.0
148,5065386.0
149,5083804.0
150,5085094.0
151,5085239.0
152,5085589.0
153,5090595.0
154,5093599.0
155,5093979.0
156,5101188.0
157,5111148.0
158,5124476.0
159,5124538.0
160,5126143.0
161,5142079.0
162,5155275.0
163,5169974.0
164,5177043.0
165,5179517.0
166,5183355.0
167,5197157.0
168,5198959.0
169,5205374.0
170,5221438.0
171,5230016.0
172,5232321.0
173,5242491.0
174,5244599.0
175,5245865.0
176,5249804.0
177,5253631.0
178,5253909.0
179,5253909.0
180,5261806.0
181,5261806.0
182,5268535.0
183,5269852.0
184,5270536.0
185,5272454.0
186,5272454.0
187,5272454.0
188,5272454.0
189,5272454.0
190,5272454.0
191,5272454.0
192,5272454.0
193,5272454.0
194,5296366.0
195,5306000.0
196,5306000.0
197,5316050.0
198,5316992.0
199,5316994.0
200,5324723.0
201,5332262.0
202,5335536.0
203,5369028.0
204,5376236.0
205,5399747.0
206,5404334.0
207,5409144.0
208,5414696.0
209,5422244.0
210,5443874.0
211,5443874.0
212,5451098.0
213,5457915.0
214,5458165.0
215,5468163.0
216,5469154.0
217,5471778.0
218,5494585.0
219,5494960.0
220,5504535.0
221,5508195.0
222,5509479.0
223,5509479.0
224,5511047.0
225,5511047.0
226,5527161.0
227,5539385.0
228,5540874.0
229,5608602.0
230,5614688.0
231,5635566.0
232,5646057.0
233,5647861.0
234,5667716.0
235,5672081.0
236,5672930.0
237,5676332.0
238,5689939.0
239,5695445.0
240,5717933.0
241,5734215.0
242,5734215.0
243,5736047.0
244,5743146.0
245,5747537.0
246,5751518.0
247,5762537.0
248,5765320.0
249,5766010.0
250,5766328.0
251,5779000.0
252,5783856.0
253,5817312.0
254,5821067.0
255,5821542.0
256,5837827.0
257,5858530.0
258,5884268.0
259,5892002.0
260,5894306.0
261,5903389.0
262,5945768.0
263,5947706.0
264,5956165.0
265,5958794.0
266,5958794.0
267,5983267.0
268,5987944.0
269,5997980.0
270,6011111.0
271,6018186.0
272,6029168.0
273,6031561.0
274,6042470.0
275,6046359.0
276,6085309.0
277,6097243.0
278,6106243.0
279,6111316.0
280,6117907.0
281,6121763.0
282,6129580.0
283,6131358.0
284,6131792.0
285,6140424.0
286,6150598.0
287,6191142.0
288,6191142.0
289,6213018.0
290,6226409.0
291,6229445.0
292,6238192.0
293,6258712.0
294,6261545.0
295,6263414.0
296,6264361.0
297,6264723.0
298,6264762.0
299,6265658.0
300,6265712.0
301,6269105.0
302,6270300.0
303,6270367.0
304,6272800.0
305,6273034.0
306,6273284.0
307,6276771.0
308,6278300.0
309,6280963.0
310,6281044.0
311,6284950.0
312,6286972.0
313,6287436.0
314,6292322.0
315,6292422.0
316,6313925.0
317,6315278.0
318,6318978.0
319,6322503.0
320,6323599.0
321,6326015.0
322,6342713.0
323,6354915.0
324,6359234.0
325,6364361.0
326,6367692.0
327,6376324.0
328,6390130.0
329,6398503.0
330,6424304.0
331,6443378.0
332,6445358.0
333,6446062.0
334,6468006.0
335,6468006.0
336,6468006.0
337,6468455.0
338,6468789.0
339,6479173.0
340,6488118.0
341,6497511.0
342,6501921.0
343,6502957.0
344,6513047.0
345,6513735.0
346,6519891.0
347,6524716.0
348,6541083.0
349,6555212.0
350,6572584.0
351,6584051.0
352,6591799.0
353,6596532.0
354,6596608.0
355,6605504.0
356,6614776.0
357,6614776.0
358,6614776.0
359,6614974.0
360,6630895.0
361,6642172.0
362,6650944.0
363,6653735.0
364,6654990.0
365,6655542.0
366,6663885.0
367,6666644.0
368,6672419.0
369,6678007.0
370,6681121.0
371,6683694.0
372,6684976.0
373,6686382.0
374,6688104.0
375,6690214.0
376,6691281.0
377,6691566.0
378,6696480.0
379,6701953.0
380,6707763.0
381,6726507.0
382,6736314.0
383,6751878.0
384,6764547.0
385,6772935.0
386,6774003.0
387,6777397.0
388,6792584.0
389,6793661.0
390,6811655.0
391,6817160.0
392,6834302.0
393,6850438.0
394,6850438.0
395,6860526.0
396,6866542.0
397,6881763.0
398,6895899.0
399,6908796.0
400,6911023.0
401,6913558.0
402,6930422.0
403,6941193.0
404,6959919.0
405,6976324.0
406,6977365.0
407,6993769.0
408,6997036.0
409,7002804.0
