rank,score
1,0.99509
2,0.9949
3,0.99461
4,0.99391
5,0.99373
6,0.99372
7,0.99361
8,0.9935
9,0.99346
10,0.99343
11,0.99342
12,0.99342
13,0.99336
14,0.99334
15,0.99331
16,0.99329
17,0.99328
18,0.99322
19,0.99314
20,0.99311
21,0.99305
22,0.99302
23,0.99299
24,0.99295
25,0.99294
26,0.99293
27,0.99293
28,0.99291
29,0.99289
30,0.99282
31,0.99276
32,0.99275
33,0.99272
34,0.9927
35,0.99267
36,0.99264
37,0.99263
38,0.99256
39,0.99256
40,0.99256
41,0.99255
42,0.99252
43,0.99252
44,0.99252
45,0.99248
46,0.99247
47,0.99245
48,0.99243
49,0.99242
50,0.99233
51,0.99232
52,0.99232
53,0.99228
54,0.99227
55,0.99226
56,0.99226
57,0.99225
58,0.99224
59,0.99223
60,0.99223
61,0.99222
62,0.99222
63,0.9922
64,0.9922
65,0.9922
66,0.99219
67,0.99218
68,0.99215
69,0.99215
70,0.99214
71,0.99214
72,0.99213
73,0.99212
74,0.99212
75,0.99212
76,0.99211
77,0.99211
78,0.99211
79,0.99209
80,0.99209
81,0.99208
82,0.99208
83,0.99207
84,0.99207
85,0.99207
86,0.99207
87,0.99207
88,0.99206
89,0.99206
90,0.99206
91,0.99206
92,0.99206
93,0.99205
94,0.99204
95,0.99204
96,0.99203
97,0.99202
98,0.99201
99,0.992
100,0.99199
101,0.99199
102,0.99198
103,0.99198
104,0.99198
105,0.99197
106,0.99197
107,0.99197
108,0.99197
109,0.99197
110,0.99196
111,0.99196
112,0.99196
113,0.99196
114,0.99196
115,0.99196
116,0.99195
117,0.99195
118,0.99195
119,0.99194
120,0.99194
121,0.99194
122,0.99193
123,0.99193
124,0.99193
125,0.99193
126,0.99192
127,0.99192
128,0.99191
129,0.99191
130,0.99191
131,0.99191
132,0.99191
133,0.99191
134,0.9919
135,0.9919
136,0.9919
137,0.99189
138,0.99188
139,0.99188
140,0.99188
141,0.99187
142,0.99187
143,0.99186
144,0.99186
145,0.99186
146,0.99185
147,0.99185
148,0.99185
149,0.99185
150,0.99185
151,0.99184
152,0.99184
153,0.99183
154,0.99182
155,0.99182
156,0.99182
157,0.99182
158,0.99182
159,0.99182
160,0.99181
161,0.99181
162,0.99181
163,0.99181
164,0.99181
165,0.9918
166,0.99179
167,0.99179
168,0.99179
169,0.99179
170,0.99179
171,0.99178
172,0.99178
173,0.99178
174,0.99177
175,0.99177
176,0.99177
177,0.99177
178,0.99177
179,0.99177
180,0.99177
181,0.99177
182,0.99176
183,0.99176
184,0.99176
185,0.99176
186,0.99176
187,0.99176
188,0.99176
189,0.99175
190,0.99175
191,0.99175
192,0.99175
193,0.99175
194,0.99175
195,0.99175
196,0.99175
197,0.99175
198,0.99175
199,0.99175
200,0.99175
201,0.99174
202,0.99174
203,0.99174
204,0.99174
205,0.99174
206,0.99174
207,0.99174
208,0.99174
209,0.99174
210,0.99174
211,0.99174
212,0.99174
213,0.99174
214,0.99174
215,0.99174
216,0.99174
217,0.99173
218,0.99173
219,0.99173
220,0.99173
221,0.99173
222,0.99173
223,0.99173
224,0.99173
225,0.99173
226,0.99173
227,0.99173
228,0.99173
229,0.99173
230,0.99173
231,0.99173
232,0.99172
233,0.99172
234,0.99172
235,0.99172
236,0.99172
237,0.99172
238,0.99172
239,0.99172
240,0.99172
241,0.99172
242,0.99172
243,0.99172
244,0.99172
245,0.99172
246,0.99172
247,0.99172
248,0.99172
249,0.99172
250,0.99172
251,0.99172
252,0.99172
253,0.99172
254,0.99172
255,0.99172
256,0.99172
257,0.99172
258,0.99172
259,0.99172
260,0.99172
261,0.99172
262,0.99172
263,0.99172
264,0.99172
265,0.99172
266,0.99172
267,0.99172
268,0.99172
269,0.99172
270,0.99172
271,0.99172
272,0.99172
273,0.99172
274,0.99172
275,0.99172
276,0.99172
277,0.99172
278,0.99172
279,0.99172
280,0.99172
281,0.99172
282,0.99172
283,0.99172
284,0.99172
285,0.99172
286,0.99172
