rank,score
1,0.67938
2,0.67921
3,0.67861
4,0.67856
5,0.67819
6,0.67813
7,0.67791
8,0.6779
9,0.67763
10,0.67754
11,0.67753
12,0.67745
13,0.67733
14,0.67726
15,0.67708
16,0.677
17,0.67699
18,0.67693
19,0.67689
20,0.67683
21,0.67681
22,0.67671
23,0.67651
24,0.67637
25,0.67618
26,0.67616
27,0.67613
28,0.67607
29,0.67605
30,0.67604
31,0.67589
32,0.67582
33,0.67571
34,0.67568
35,0.67566
36,0.67566
37,0.67563
38,0.67555
39,0.67554
40,0.67552
41,0.67552
42,0.6755
43,0.67546
44,0.67542
45,0.67541
46,0.67535
47,0.67521
48,0.67512
49,0.67509
50,0.675
51,0.67499
52,0.67491
53,0.67481
54,0.6748
55,0.6748
56,0.67471
57,0.6747
58,0.6747
59,0.67469
60,0.67466
61,0.67463
62,0.6746
63,0.67459
64,0.67456
65,0.67451
66,0.67448
67,0.67448
68,0.67443
69,0.67442
70,0.67441
71,0.6744
72,0.67436
73,0.67429
74,0.67428
75,0.67427
76,0.67422
77,0.67419
78,0.67413
79,0.67403
80,0.67398
81,0.67393
82,0.67384
83,0.67382
84,0.67381
85,0.6737
86,0.6737
87,0.67364
88,0.67364
89,0.67363
90,0.67363
91,0.67361
92,0.67357
93,0.67351
94,0.6735
95,0.67349
96,0.67344
97,0.67337
98,0.67335
99,0.67332
100,0.67332
101,0.67331
102,0.67329
103,0.67325
104,0.67323
105,0.67322
106,0.6732
107,0.67317
108,0.67315
109,0.67311
110,0.67308
111,0.67308
112,0.67308
113,0.67307
114,0.67307
115,0.67297
116,0.67293
117,0.67293
118,0.67291
119,0.67289
120,0.67287
121,0.67286
122,0.67284
123,0.67284
124,0.67278
125,0.67278
126,0.67273
127,0.67267
128,0.67265
129,0.67265
130,0.67264
131,0.67262
132,0.67259
133,0.67258
134,0.67258
135,0.67258
136,0.67258
137,0.67252
138,0.67249
139,0.67246
140,0.67245
141,0.67245
142,0.67243
143,0.67241
144,0.67241
145,0.6724
146,0.67238
147,0.67234
148,0.6723
149,0.67227
150,0.67223
151,0.67223
152,0.67219
153,0.67216
154,0.67211
155,0.67208
156,0.67208
157,0.67207
158,0.67203
159,0.672
160,0.67198
161,0.67197
162,0.67197
163,0.67195
164,0.67194
165,0.67192
166,0.67191
167,0.67191
168,0.67188
169,0.67185
170,0.67182
171,0.67178
172,0.67177
173,0.67177
174,0.67175
175,0.67173
176,0.67172
177,0.67171
178,0.6717
179,0.67167
180,0.67165
181,0.67159
182,0.67158
183,0.67157
184,0.67157
185,0.67157
186,0.67157
187,0.67155
188,0.67154
189,0.67154
190,0.67153
191,0.67153
