rank,score
1,0.68325
2,0.68187
3,0.68135
4,0.68107
5,0.68097
6,0.68059
7,0.68049
8,0.68017
9,0.68011
10,0.67989
11,0.67984
12,0.67982
13,0.67938
14,0.67936
15,0.67935
16,0.67933
17,0.67932
18,0.67931
19,0.67924
20,0.67911
21,0.67903
22,0.67893
23,0.67881
24,0.67879
25,0.67869
26,0.67862
27,0.67838
28,0.67832
29,0.67828
30,0.67823
31,0.67819
32,0.67808
33,0.67804
34,0.67785
35,0.67777
36,0.67774
37,0.67774
38,0.6777
39,0.67766
40,0.6776
41,0.6776
42,0.67758
43,0.67756
44,0.67747
45,0.67746
46,0.67739
47,0.67729
48,0.67725
49,0.67717
50,0.67708
51,0.67705
52,0.67699
53,0.67697
54,0.67693
55,0.67692
56,0.67689
57,0.67684
58,0.67682
59,0.67681
60,0.67676
61,0.67674
62,0.67663
63,0.67662
64,0.67655
65,0.67649
66,0.67643
67,0.67639
68,0.67639
69,0.67636
70,0.67634
71,0.67631
72,0.6763
73,0.67624
74,0.67616
75,0.67613
76,0.67612
77,0.67604
78,0.67603
79,0.67602
80,0.67598
81,0.67597
82,0.67596
83,0.67594
84,0.67592
85,0.67592
86,0.67591
87,0.67591
88,0.67588
89,0.67587
90,0.67587
91,0.67581
92,0.67581
93,0.67581
94,0.67579
95,0.67578
96,0.67577
97,0.67575
98,0.67574
99,0.67572
100,0.67569
101,0.67568
102,0.67566
103,0.67564
104,0.67563
105,0.67561
106,0.67561
107,0.6756
108,0.6756
109,0.6756
110,0.67559
111,0.67557
112,0.67556
113,0.67554
114,0.67552
115,0.67552
116,0.6755
117,0.67548
118,0.67544
119,0.67544
120,0.67543
121,0.67541
122,0.67541
123,0.67539
124,0.67539
125,0.67539
126,0.67538
127,0.67535
128,0.67535
129,0.67534
130,0.67531
131,0.6753
132,0.67528
133,0.67528
134,0.67527
135,0.67526
136,0.67524
137,0.67523
138,0.67522
139,0.67522
140,0.67521
141,0.67521
142,0.67521
143,0.67521
144,0.67519
145,0.67518
146,0.67518
147,0.67517
148,0.67516
149,0.67514
150,0.67513
151,0.67511
152,0.67509
153,0.67509
154,0.67508
155,0.67507
156,0.67507
157,0.67505
158,0.67504
159,0.67504
160,0.67504
161,0.67502
162,0.67498
163,0.67495
164,0.67494
165,0.67494
166,0.67493
167,0.67493
168,0.67491
169,0.67489
170,0.67486
171,0.67482
172,0.67481
173,0.67481
174,0.6748
175,0.6748
176,0.67479
177,0.67479
178,0.67477
179,0.67475
180,0.67475
181,0.67475
182,0.67475
183,0.67474
184,0.67474
185,0.67473
186,0.67472
187,0.6747
188,0.67469
189,0.67469
190,0.67467
191,0.67467
192,0.67466
193,0.67466
194,0.67466
195,0.67464
196,0.67464
197,0.67463
198,0.67463
