rank,score
1,0.71323
2,0.71275
3,0.71157
4,0.71143
5,0.71134
6,0.71106
7,0.7107
8,0.7105
9,0.70999
10,0.70964
11,0.70902
12,0.70899
13,0.70897
14,0.70831
15,0.70818
16,0.70777
17,0.70774
18,0.70766
19,0.7075
20,0.7075
21,0.70748
22,0.70736
23,0.70732
24,0.7072
25,0.70709
26,0.70705
27,0.70693
28,0.70682
29,0.70679
30,0.70669
31,0.70667
32,0.70664
33,0.70658
34,0.70654
35,0.70654
36,0.70652
37,0.70647
38,0.70644
39,0.70639
40,0.70639
41,0.70628
42,0.70621
43,0.70617
44,0.70598
45,0.70589
46,0.70587
47,0.70576
48,0.7057
49,0.70568
50,0.70547
51,0.70546
52,0.70539
53,0.70532
54,0.70531
55,0.70525
56,0.70521
57,0.70515
58,0.70504
59,0.70489
60,0.70484
61,0.70473
62,0.70473
63,0.7047
64,0.70469
65,0.70467
66,0.70466
67,0.70463
68,0.70463
69,0.70462
70,0.70456
71,0.70445
72,0.70443
73,0.70442
74,0.70441
75,0.70436
76,0.70435
77,0.70434
78,0.7042
79,0.70417
80,0.70416
81,0.70413
82,0.70413
83,0.70407
84,0.70405
85,0.70404
86,0.70402
87,0.70397
88,0.70391
89,0.70389
90,0.70386
91,0.70385
92,0.70381
93,0.70381
94,0.7038
95,0.70377
96,0.70376
97,0.70375
98,0.70374
99,0.70374
100,0.70374
101,0.70374
102,0.70373
103,0.70371
104,0.70371
105,0.70368
106,0.70366
107,0.70366
108,0.70364
109,0.70364
110,0.70363
111,0.70362
112,0.70361
113,0.7036
114,0.70358
115,0.70358
116,0.70354
117,0.70354
118,0.70354
119,0.70351
120,0.70351
121,0.70351
122,0.70351
123,0.70348
124,0.70348
125,0.70348
126,0.70347
127,0.70346
128,0.70345
129,0.70343
130,0.7034
131,0.7034
132,0.70339
133,0.70339
134,0.70338
135,0.70337
136,0.70336
137,0.70336
138,0.70334
139,0.70333
140,0.70333
141,0.70331
142,0.7033
143,0.7033
144,0.7033
145,0.7033
146,0.70329
147,0.70327
148,0.70324
149,0.7032
150,0.70319
151,0.70319
152,0.70318
153,0.70318
154,0.70317
155,0.70317
156,0.70316
157,0.70316
158,0.70314
159,0.70314
160,0.70314
161,0.70312
162,0.70312
163,0.70311
164,0.70311
165,0.7031
166,0.70307
167,0.70306
168,0.70304
169,0.703
170,0.70299
171,0.70299
172,0.70299
173,0.70299
174,0.70298
175,0.70298
176,0.70298
177,0.70298
178,0.70297
179,0.70297
180,0.70296
181,0.70296
182,0.70294
183,0.70293
184,0.70293
185,0.70293
186,0.70291
187,0.70291
188,0.7029
189,0.70289
190,0.70287
191,0.70287
192,0.70285
193,0.70283
194,0.70282
195,0.70278
196,0.70278
197,0.70278
198,0.70276
199,0.70275
200,0.70275
201,0.70272
202,0.70272
203,0.70272
204,0.70271
205,0.70271
206,0.7027
207,0.7027
208,0.70269
209,0.70269
210,0.70268
211,0.70267
212,0.70267
213,0.70267
214,0.70263
215,0.70263
216,0.70262
217,0.70262
218,0.70262
219,0.70259
220,0.70258
221,0.70258
222,0.70257
223,0.70256
224,0.70256
225,0.70254
226,0.70253
227,0.70252
228,0.70252
229,0.70252
230,0.70252
231,0.70252
232,0.70252
233,0.70252
234,0.70252
235,0.70252
236,0.70252
237,0.70252
238,0.70252
239,0.70252
240,0.70252
241,0.70252
242,0.70252
243,0.70251
244,0.70251
245,0.7025
246,0.7025
247,0.7025
248,0.70249
249,0.70248
250,0.70247
251,0.70247
252,0.70246
253,0.70246
254,0.70245
255,0.70245
256,0.70245
257,0.70244
258,0.70244
259,0.70244
260,0.70244
261,0.70243
262,0.70243
263,0.70242
264,0.70242
265,0.70242
266,0.70241
267,0.7024
268,0.7024
269,0.70239
270,0.70239
271,0.70238
272,0.70237
273,0.70236
274,0.70236
275,0.70235
276,0.70235
277,0.70235
278,0.70235
279,0.70235
280,0.70235
281,0.70235
282,0.70235
283,0.70235
284,0.70235
285,0.70235
286,0.70235
287,0.70235
288,0.70235
289,0.70235
290,0.70235
291,0.70235
292,0.70235
293,0.70235
294,0.70235
295,0.70235
296,0.70235
297,0.70235
298,0.70235
299,0.70235
300,0.70235
301,0.70235
302,0.70235
303,0.70235
304,0.70235
305,0.70235
306,0.70235
307,0.70235
308,0.70235
309,0.70235
310,0.70235
311,0.70235
312,0.70235
313,0.70235
314,0.70235
315,0.70235
316,0.70235
317,0.70235
318,0.70235
319,0.70235
320,0.70235
321,0.70235
322,0.70235
323,0.70235
324,0.70235
325,0.70235
326,0.70235
327,0.70235
328,0.70235
329,0.70235
330,0.70235
331,0.70235
332,0.70235
333,0.70235
334,0.70235
335,0.70235
336,0.70235
337,0.70235
338,0.70235
339,0.70235
340,0.70235
341,0.70235
342,0.70235
343,0.70235
344,0.70235
345,0.70235
346,0.70235
347,0.70235
348,0.70235
349,0.70235
350,0.70235
351,0.70235
352,0.70235
353,0.70235
354,0.70235
355,0.70235
356,0.70235
357,0.70235
358,0.70235
359,0.70235
360,0.70235
361,0.70235
362,0.70235
363,0.70235
364,0.70235
365,0.70235
366,0.70235
367,0.70235
368,0.70235
369,0.70235
370,0.70235
371,0.70235
372,0.70235
373,0.70235
374,0.70235
375,0.70235
376,0.70235
377,0.70235
378,0.70235
379,0.70235
380,0.70235
381,0.70235
382,0.70235
383,0.70235
384,0.70235
385,0.70235
386,0.70235
387,0.70235
388,0.70235
389,0.70235
390,0.70235
391,0.70235
392,0.70235
393,0.70235
394,0.70235
395,0.70235
396,0.70235
397,0.70235
398,0.70235
399,0.70235
400,0.70235
401,0.70235
402,0.70235
403,0.70235
404,0.70235
405,0.70235
406,0.70235
407,0.70235
408,0.70235
409,0.70235
410,0.70235
411,0.70235
412,0.70235
413,0.70235
414,0.70235
415,0.70235
416,0.70235
417,0.70235
418,0.70235
419,0.70235
420,0.70235
421,0.70235
422,0.70235
423,0.70235
424,0.70235
425,0.70235
426,0.70235
427,0.70235
428,0.70235
429,0.70235
430,0.70235
431,0.70235
432,0.70235
433,0.70235
434,0.70235
435,0.70235
436,0.70235
437,0.70235
438,0.70235
439,0.70235
440,0.70235
441,0.70235
442,0.70235
443,0.70235
444,0.70235
445,0.70235
446,0.70235
447,0.70235
448,0.70235
449,0.70235
450,0.70235
451,0.70235
452,0.70235
453,0.70235
454,0.70235
455,0.70235
456,0.70235
457,0.70235
458,0.70235
459,0.70235
460,0.70235
461,0.70235
462,0.70235
463,0.70235
464,0.70235
465,0.70235
466,0.70235
467,0.70235
468,0.70235
469,0.70235
470,0.70235
471,0.70235
472,0.70235
473,0.70235
474,0.70235
475,0.70235
476,0.70235
477,0.70235
478,0.70235
479,0.70235
480,0.70235
481,0.70235
482,0.70235
483,0.70235
484,0.70235
485,0.70235
486,0.70235
487,0.70235
488,0.70235
489,0.70235
490,0.70235
491,0.70235
492,0.70235
493,0.70235
494,0.70235
495,0.70235
496,0.70235
497,0.70235
498,0.70235
499,0.70235
500,0.70235
501,0.70235
502,0.70235
503,0.70235
504,0.70235
505,0.70233
506,0.70233
507,0.70232
508,0.70231
509,0.70231
510,0.70229
511,0.70227
512,0.70227
513,0.70227
514,0.70227
515,0.70226
516,0.70225
517,0.70225
518,0.70225
519,0.70225
520,0.70224
521,0.70223
522,0.70223
523,0.70222
524,0.70221
525,0.70221
526,0.7022
527,0.70219
528,0.70219
529,0.70218
530,0.70218
531,0.70217
532,0.70217
533,0.70216
534,0.70215
535,0.70215
536,0.70215
537,0.70213
538,0.70213
539,0.70213
540,0.70213
541,0.70212
542,0.70211
543,0.70209
544,0.70209
545,0.70208
546,0.70208
547,0.70206
548,0.70206
549,0.70206
550,0.70206
551,0.70205
552,0.70205
553,0.70205
554,0.70205
555,0.70205
556,0.70203
557,0.70203
558,0.70203
559,0.702
560,0.70198
561,0.70198
562,0.70197
563,0.70197
564,0.70197
565,0.70196
566,0.70196
567,0.70196
568,0.70195
569,0.70194
570,0.70194
