rank,score
1,0.78259
2,0.71311
3,0.71271
4,0.71123
5,0.7092
6,0.70897
7,0.70841
8,0.70836
9,0.70795
10,0.70739
11,0.70705
12,0.70655
13,0.70573
14,0.70573
15,0.70573
16,0.70573
17,0.70573
18,0.70573
19,0.70573
20,0.70573
21,0.70573
22,0.70573
23,0.70573
24,0.70573
25,0.70573
26,0.70573
27,0.70573
28,0.70573
29,0.70573
30,0.70573
31,0.70573
32,0.70573
33,0.70573
34,0.70573
35,0.70573
36,0.70573
37,0.7056
38,0.70551
39,0.70551
40,0.70542
41,0.70503
42,0.70493
43,0.7043
44,0.70402
45,0.70389
46,0.70384
47,0.70382
48,0.70371
49,0.70367
50,0.70365
51,0.70358
52,0.70357
53,0.70356
54,0.70352
55,0.70319
56,0.70319
57,0.70319
58,0.70314
59,0.70309
60,0.70308
61,0.70299
62,0.70289
63,0.70278
64,0.70272
65,0.70272
66,0.70268
67,0.70267
68,0.70259
69,0.70257
70,0.70256
71,0.70256
72,0.70255
73,0.70252
74,0.70248
75,0.70243
76,0.70243
77,0.70242
78,0.70241
79,0.7024
80,0.70238
81,0.70236
82,0.70224
83,0.70221
84,0.70221
85,0.7022
86,0.70218
87,0.70215
88,0.70215
89,0.70215
90,0.70215
91,0.70215
92,0.70215
93,0.70215
94,0.70215
95,0.70215
96,0.70215
97,0.70215
98,0.70215
99,0.70215
100,0.70215
101,0.70205
102,0.70198
103,0.70188
104,0.70185
105,0.70184
106,0.70179
107,0.70175
108,0.70174
109,0.70174
110,0.7017
111,0.7017
112,0.70169
113,0.70168
114,0.70167
115,0.70165
116,0.70156
117,0.70149
118,0.70145
119,0.70144
120,0.7014
121,0.70138
122,0.70138
123,0.70136
124,0.70136
125,0.70135
126,0.70133
127,0.70127
128,0.70125
129,0.70123
130,0.70123
131,0.70122
132,0.70121
133,0.70119
134,0.70117
135,0.70115
136,0.70114
137,0.70112
138,0.70111
139,0.70108
140,0.70106
141,0.70105
142,0.70104
143,0.70104
144,0.70102
145,0.70101
146,0.701
147,0.70089
148,0.70087
149,0.70085
150,0.70084
151,0.70078
152,0.70078
153,0.70075
154,0.70071
155,0.7007
156,0.70067
157,0.70054
158,0.70054
159,0.70054
160,0.70051
161,0.70051
162,0.7005
163,0.70048
164,0.70047
165,0.70047
166,0.70046
167,0.70046
168,0.70043
169,0.70042
170,0.70041
171,0.70031
172,0.70031
173,0.70031
174,0.70029
175,0.70029
176,0.70029
177,0.70029
178,0.70029
179,0.70027
180,0.70024
181,0.70023
182,0.70022
183,0.70022
184,0.70019
185,0.70019
186,0.70017
187,0.70016
188,0.70016
189,0.70016
190,0.70011
191,0.70006
192,0.70006
193,0.70006
194,0.70006
195,0.7
196,0.69998
197,0.69997
198,0.69995
199,0.69994
200,0.69991
201,0.6999
202,0.6999
203,0.69986
204,0.69983
205,0.69983
206,0.69982
207,0.6998
208,0.69978
209,0.69976
210,0.69976
211,0.69976
212,0.69975
213,0.69972
214,0.69972
