rank,score
1,0.11579
2,0.11669
3,0.11755
4,0.11768
5,0.11851
6,0.11887
7,0.12072
8,0.12239
9,0.12247
10,0.12295
11,0.12372
12,0.12448
13,0.12513
14,0.12534
15,0.1259
16,0.12607
17,0.12651
18,0.12705
19,0.12878
20,0.12915
21,0.1294
22,0.12979
23,0.12988
24,0.13009
25,0.13026
26,0.13073
27,0.13218
28,0.13232
29,0.13245
30,0.13259
31,0.13318
32,0.13323
33,0.1334
34,0.13484
35,0.13496
36,0.13496
37,0.13497
38,0.13536
39,0.13559
40,0.13614
41,0.13634
42,0.13635
43,0.13684
44,0.13688
45,0.13697
46,0.13726
47,0.1373
48,0.13754
49,0.13774
50,0.13783
51,0.13786
52,0.13789
53,0.13797
54,0.13803
55,0.13858
56,0.13874
57,0.13876
58,0.13888
59,0.13923
60,0.13936
61,0.13948
62,0.13953
63,0.1396
64,0.13971
65,0.13975
66,0.13983
67,0.13993
68,0.13995
69,0.14022
70,0.14038
71,0.14079
72,0.14084
73,0.14094
74,0.14103
75,0.1411
76,0.14115
77,0.14133
78,0.14135
79,0.14136
80,0.14138
81,0.1414
82,0.14141
83,0.14156
84,0.14161
85,0.14177
86,0.14179
87,0.14201
88,0.14203
89,0.14205
90,0.14209
91,0.1422
92,0.14229
93,0.1424
94,0.14242
95,0.14243
96,0.14251
97,0.14254
98,0.14256
99,0.14256
100,0.14257
101,0.14272
102,0.14276
103,0.14282
104,0.14286
105,0.143
106,0.14317
107,0.1432
108,0.1433
109,0.14332
110,0.14347
111,0.14369
112,0.14371
113,0.14377
114,0.14379
115,0.14379
116,0.1438
117,0.14385
118,0.14388
119,0.14394
120,0.14395
121,0.14398
122,0.14414
123,0.14422
124,0.14426
125,0.14427
126,0.14431
127,0.14452
128,0.14456
129,0.1446
130,0.14462
131,0.14464
132,0.14467
133,0.14468
134,0.1447
135,0.14475
136,0.14478
137,0.1448
138,0.14483
139,0.14489
140,0.14496
141,0.14497
142,0.14521
143,0.14536
144,0.14541
145,0.14542
146,0.14543
147,0.14548
148,0.14559
149,0.14562
150,0.14563
151,0.14574
152,0.14585
153,0.14593
154,0.14598
155,0.14618
156,0.14621
157,0.14632
158,0.14655
159,0.14658
160,0.14661
161,0.14665
162,0.14671
163,0.14672
164,0.14674
165,0.14678
166,0.1469
167,0.14709
168,0.14715
169,0.14718
170,0.14719
171,0.1472
172,0.14722
173,0.14745
174,0.14755
175,0.14767
176,0.1478
177,0.14793
178,0.14794
179,0.14794
180,0.14798
181,0.14801
182,0.14843
183,0.14849
184,0.14852
185,0.14853
186,0.14862
187,0.14874
188,0.14878
189,0.14886
190,0.14901
191,0.14902
192,0.14907
193,0.14914
194,0.14917
195,0.14925
196,0.14929
197,0.1493
198,0.14935
199,0.14944
200,0.1495
201,0.14951
202,0.14953
203,0.14953
204,0.14964
205,0.14964
206,0.14982
207,0.14983
208,0.14989
209,0.14993
210,0.15004
211,0.15011
212,0.15019
213,0.15032
214,0.15035
215,0.15042
216,0.15047
217,0.15053
218,0.15057
219,0.15057
220,0.15063
221,0.15069
222,0.15069
223,0.15085
224,0.15089
225,0.15091
226,0.15093
227,0.15103
228,0.15104
229,0.15106
230,0.1511
231,0.15112
232,0.15112
233,0.15125
234,0.15126
235,0.15141
236,0.15145
237,0.1515
238,0.15154
239,0.15162
240,0.15199
241,0.15207
242,0.15211
243,0.1522
244,0.1522
245,0.15228
246,0.15232
247,0.15232
248,0.15236
249,0.15254
250,0.15256
251,0.15257
252,0.15264
253,0.15271
254,0.15276
255,0.15288
256,0.15291
257,0.15295
258,0.15305
259,0.15308
260,0.15308
261,0.15311
262,0.15312
263,0.15316
264,0.15318
265,0.15319
266,0.1532
267,0.15322
268,0.15331
269,0.15332
270,0.15333
271,0.15335
272,0.15337
273,0.15338
274,0.15342
275,0.15344
276,0.1536
277,0.15368
278,0.15373
279,0.15381
280,0.15391
281,0.15394
282,0.15405
283,0.15405
284,0.15406
285,0.15408
286,0.15411
287,0.15416
288,0.15418
289,0.1542
290,0.15424
291,0.1543
292,0.15432
293,0.15438
294,0.15441
295,0.1545
296,0.15458
297,0.15462
298,0.15465
299,0.15467
300,0.15467
301,0.15472
302,0.15479
303,0.1548
304,0.15489
305,0.1549
306,0.15501
307,0.15501
308,0.15507
309,0.15508
310,0.15508
311,0.15517
312,0.15522
313,0.15525
314,0.15531
315,0.15537
316,0.15541
317,0.15556
318,0.1556
319,0.15568
320,0.15568
321,0.15575
322,0.15576
323,0.15577
324,0.1558
325,0.15582
326,0.15599
327,0.15612
328,0.15612
329,0.15632
330,0.15632
331,0.1564
332,0.15662
333,0.15663
334,0.15663
335,0.15675
336,0.15684
337,0.15692
338,0.15692
339,0.15705
340,0.15709
341,0.15722
342,0.15732
343,0.15733
344,0.15738
345,0.15748
346,0.1575
347,0.15757
348,0.1576
349,0.15766
350,0.15768
351,0.15771
352,0.15771
353,0.15774
354,0.15779
355,0.15783
356,0.15785
357,0.15789
358,0.15794
359,0.15809
360,0.15813
361,0.15815
362,0.15816
363,0.15818
364,0.15827
365,0.15832
366,0.15832
367,0.15835
368,0.15839
369,0.15839
370,0.15844
371,0.15861
372,0.1587
373,0.15881
374,0.15882
375,0.15897
376,0.15898
377,0.159
378,0.15901
379,0.15934
380,0.15947
381,0.15948
382,0.15959
383,0.15975
384,0.15976
385,0.15978
386,0.1598
387,0.15984
388,0.1599
389,0.15993
390,0.16003
391,0.16011
392,0.16011
393,0.16016
394,0.16019
395,0.16028
396,0.16029
397,0.16034
398,0.16046
399,0.16046
400,0.16048
401,0.1605
402,0.16056
403,0.16059
404,0.16068
405,0.16076
406,0.16081
407,0.16084
408,0.16091
409,0.16096
410,0.16097
411,0.16098
412,0.16102
413,0.16109
414,0.16114
415,0.16116
416,0.16118
417,0.16118
418,0.16119
419,0.16122
420,0.16124
421,0.16128
422,0.16138
423,0.1614
424,0.16143
425,0.16148
426,0.16148
427,0.16149
428,0.16151
429,0.16154
430,0.16155
431,0.16159
432,0.16159
433,0.16161
434,0.16162
435,0.16166
436,0.16168
437,0.16168
438,0.16169
439,0.1617
440,0.16171
441,0.16171
442,0.16171
443,0.16171
444,0.16171
445,0.16172
446,0.16173
447,0.16175
448,0.16175
449,0.16178
450,0.16179
451,0.16181
452,0.16181
453,0.16182
454,0.16183
455,0.16185
456,0.16185
457,0.16187
458,0.16189
459,0.1619
460,0.1619
461,0.1619
462,0.1619
463,0.1619
464,0.1619
465,0.1619
466,0.1619
467,0.1619
468,0.1619
469,0.1619
470,0.1619
471,0.1619
472,0.1619
473,0.1619
474,0.1619
475,0.1619
476,0.1619
477,0.1619
478,0.1619
479,0.1619
480,0.1619
481,0.1619
482,0.1619
483,0.1619
484,0.1619
485,0.1619
486,0.16191
487,0.16192
488,0.16193
489,0.16194
490,0.16194
491,0.16194
492,0.16194
493,0.16194
494,0.16194
495,0.16194
496,0.16194
497,0.16194
498,0.16194
499,0.16194
500,0.16194
501,0.16194
502,0.16194
503,0.16194
504,0.16194
505,0.16194
506,0.16194
507,0.16194
508,0.16196
509,0.16197
510,0.162
511,0.16204
512,0.16206
513,0.16207
514,0.16213
515,0.16215
516,0.1623
517,0.16242
518,0.16242
519,0.16256
520,0.16259
521,0.16263
522,0.16278
523,0.1628
524,0.16291
525,0.16301
526,0.16307
527,0.16318
528,0.1632
529,0.16337
530,0.16339
531,0.16347
532,0.16355
533,0.16358
534,0.16361
535,0.16362
536,0.16374
537,0.16386
538,0.16413
539,0.16423
540,0.1645
541,0.1647
542,0.16493
543,0.16501
544,0.16534
545,0.16536
546,0.16549
547,0.16564
548,0.16572
549,0.1658
550,0.16583
551,0.1661
552,0.16682
553,0.16687
554,0.1669
555,0.16702
556,0.16736
557,0.16759
558,0.16766
559,0.16782
560,0.16782
561,0.16787
562,0.16788
563,0.16792
564,0.16805
565,0.16811
566,0.16816
567,0.16825
568,0.16827
569,0.16852
570,0.16877
571,0.16877
572,0.16877
573,0.16878
574,0.16879
575,0.16879
576,0.16879
577,0.16879
578,0.16879
579,0.16879
580,0.16879
581,0.16879
582,0.16879
583,0.16879
584,0.16879
585,0.16879
586,0.16879
587,0.16879
588,0.16879
589,0.16879
590,0.1688
591,0.16882
592,0.16882
593,0.16882
594,0.16888
595,0.16889
596,0.16893
597,0.169
598,0.16906
599,0.16967
600,0.16977
601,0.16979
602,0.16998
603,0.17005
604,0.17017
605,0.17052
606,0.17068
607,0.17069
608,0.17071
609,0.17083
610,0.17124
611,0.17124
612,0.17127
613,0.17137
614,0.17153
615,0.17205
616,0.17231
617,0.17233
618,0.17235
619,0.17245
620,0.17257
621,0.17273
622,0.17287
623,0.17293
624,0.17301
625,0.17422
626,0.1743
627,0.17435
628,0.17436
629,0.17437
630,0.17476
631,0.17491
632,0.17526
633,0.17539
634,0.17544
635,0.17551
636,0.17596
637,0.17667
638,0.17686
639,0.177
640,0.17733
641,0.17761
642,0.17795
643,0.17851
644,0.17879
645,0.17965
646,0.17998
647,0.18023
648,0.1804
649,0.18092
650,0.18109
651,0.18134
652,0.18135
653,0.18173
654,0.18185
655,0.18212
656,0.18222
657,0.18244
658,0.1825
659,0.18258
660,0.18267
661,0.18291
662,0.18394
663,0.184
664,0.18408
665,0.18411
666,0.1843
667,0.18447
668,0.18451
669,0.18457
670,0.18466
671,0.18477
672,0.18499
673,0.185
674,0.18522
675,0.18533
676,0.18546
677,0.18552
678,0.18591
679,0.18595
680,0.1867
681,0.18727
682,0.18769
683,0.18837
684,0.18838
685,0.18844
686,0.18848
687,0.18887
688,0.18894
689,0.18913
690,0.18913
691,0.18919
692,0.18948
693,0.18951
694,0.19031
695,0.19034
696,0.19051
697,0.1906
698,0.1909
699,0.19137
700,0.19168
701,0.1925
702,0.19372
703,0.19454
704,0.19485
705,0.1951
706,0.1953
707,0.19637
708,0.19641
709,0.19661
710,0.19713
711,0.19764
712,0.19805
713,0.19852
714,0.19965
715,0.19971
716,0.20009
717,0.20068
718,0.20101
719,0.20492
720,0.20537
721,0.20624
722,0.20787
723,0.20847
724,0.20883
725,0.21025
726,0.21051
727,0.21105
728,0.21115
729,0.2132
730,0.21355
731,0.21391
732,0.21447
733,0.21456
734,0.2169
735,0.21844
736,0.21962
737,0.22196
738,0.22197
739,0.22305
740,0.22324
741,0.22359
742,0.22407
743,0.22494
744,0.22706
745,0.22885
746,0.22981
747,0.23017
748,0.23111
749,0.23162
750,0.23163
751,0.23165
752,0.23262
753,0.23331
754,0.23473
755,0.23475
756,0.2358
757,0.2359
758,0.23596
759,0.23604
760,0.2363
761,0.23654
762,0.23801
763,0.23942
764,0.24029
765,0.24139
766,0.24148
767,0.24179
768,0.24244
769,0.24263
770,0.24515
771,0.24528
772,0.24575
773,0.24585
774,0.24626
775,0.24757
776,0.24757
777,0.2484
778,0.25144
779,0.25158
780,0.25177
781,0.25322
782,0.25511
783,0.25597
784,0.25733
785,0.25969
786,0.26006
787,0.26048
788,0.26114
789,0.26128
790,0.26161
791,0.26219
792,0.26362
793,0.26417
794,0.26479
795,0.26525
796,0.2658
797,0.26665
798,0.26686
799,0.26756
800,0.2677
801,0.2679
802,0.26797
803,0.26822
804,0.26961
805,0.26967
806,0.27001
807,0.2703
808,0.27062
809,0.27064
810,0.27094
811,0.27194
812,0.27257
813,0.27297
814,0.27298
815,0.27307
816,0.27337
817,0.27389
818,0.27441
819,0.27447
820,0.27453
821,0.27469
822,0.27502
823,0.27604
824,0.27623
825,0.2765
826,0.27701
827,0.27875
828,0.27889
829,0.27894
830,0.27905
831,0.2796
832,0.27995
833,0.27995
834,0.28026
835,0.28027
836,0.28138
837,0.2814
838,0.28149
839,0.28183
840,0.28187
841,0.28192
842,0.28197
843,0.28222
844,0.28272
845,0.28283
846,0.28308
847,0.28339
848,0.28406
849,0.28409
850,0.28417
851,0.28467
852,0.28475
853,0.28486
854,0.28486
855,0.28541
856,0.28543
857,0.28628
858,0.28633
859,0.28667
860,0.28684
861,0.28685
862,0.28689
863,0.28701
864,0.28725
865,0.28752
866,0.28754
867,0.2882
868,0.2885
869,0.28851
870,0.28871
871,0.28887
872,0.28954
873,0.28985
874,0.28994
875,0.2903
876,0.29073
877,0.29077
878,0.29077
879,0.29098
880,0.29123
881,0.29177
882,0.29223
883,0.29252
884,0.29255
885,0.29269
886,0.29297
887,0.29303
888,0.29303
889,0.29303
890,0.29303
891,0.29303
892,0.29303
893,0.29303
894,0.29303
895,0.29303
896,0.29303
897,0.29304
898,0.29308
899,0.29337
900,0.29364
901,0.29379
902,0.29385
903,0.29403
904,0.2941
905,0.29441
906,0.29444
907,0.29457
908,0.29459
909,0.29481
910,0.29495
911,0.29518
912,0.29597
913,0.29683
914,0.29684
915,0.29711
916,0.2972
917,0.29723
918,0.2973
919,0.29746
920,0.29803
921,0.29838
922,0.29853
923,0.2986
924,0.29884
925,0.29885
926,0.29899
927,0.29899
928,0.29903
929,0.29969
930,0.29971
931,0.29997
932,0.30003
933,0.30013
934,0.30058
935,0.3009
936,0.30128
937,0.30136
938,0.30181
939,0.30182
940,0.30188
941,0.30206
942,0.30227
943,0.30232
944,0.30248
945,0.30248
946,0.3025
947,0.30264
948,0.30268
949,0.30279
950,0.30286
951,0.30295
952,0.30298
953,0.30302
954,0.30302
955,0.30313
956,0.30321
957,0.30322
958,0.30322
959,0.30324
960,0.30352
961,0.30358
962,0.3036
963,0.3037
964,0.30385
965,0.3039
966,0.30406
967,0.3041
968,0.30425
969,0.30436
970,0.30441
