rank,score
1,0.11277
2,0.11366
3,0.11445
4,0.11449
5,0.11482
6,0.11532
7,0.11881
8,0.11884
9,0.11922
10,0.11971
11,0.11984
12,0.12101
13,0.12256
14,0.12258
15,0.1228
16,0.12311
17,0.12317
18,0.12357
19,0.12519
20,0.12537
21,0.1255
22,0.12568
23,0.12572
24,0.12587
25,0.12734
26,0.12742
27,0.12803
28,0.12818
29,0.12884
30,0.12923
31,0.12956
32,0.12977
33,0.13034
34,0.13143
35,0.13172
36,0.13183
37,0.132
38,0.13217
39,0.13236
40,0.13243
41,0.13252
42,0.13318
43,0.13328
44,0.13337
45,0.13345
46,0.13369
47,0.13371
48,0.13401
49,0.13414
50,0.1344
51,0.13447
52,0.13452
53,0.13454
54,0.13467
55,0.13482
56,0.13503
57,0.13522
58,0.13531
59,0.13547
60,0.13557
61,0.13557
62,0.13599
63,0.13625
64,0.13656
65,0.13662
66,0.13677
67,0.13682
68,0.13688
69,0.13691
70,0.1371
71,0.13737
72,0.13742
73,0.13756
74,0.13773
75,0.13785
76,0.13812
77,0.13812
78,0.13825
79,0.13835
80,0.1384
81,0.13847
82,0.13847
83,0.13851
84,0.13852
85,0.13856
86,0.13871
87,0.13873
88,0.13876
89,0.13885
90,0.13888
91,0.13893
92,0.13895
93,0.13901
94,0.13909
95,0.13909
96,0.13911
97,0.13921
98,0.13938
99,0.13944
100,0.1395
101,0.13951
102,0.13951
103,0.13951
104,0.13965
105,0.13968
106,0.13974
107,0.13974
108,0.13975
109,0.13987
110,0.13992
111,0.13994
112,0.13998
113,0.14012
114,0.14022
115,0.14029
116,0.14033
117,0.14037
118,0.14044
119,0.14049
120,0.14054
121,0.14055
122,0.14069
123,0.14076
124,0.14101
125,0.14106
126,0.14109
127,0.14122
128,0.14124
129,0.14128
130,0.14129
131,0.14129
132,0.14138
133,0.14144
134,0.14158
135,0.14167
136,0.14178
137,0.14184
138,0.14187
139,0.1419
140,0.14193
141,0.14195
142,0.14202
143,0.14218
144,0.14224
145,0.14226
146,0.14232
147,0.14236
148,0.14241
149,0.14243
150,0.14251
151,0.14276
152,0.14276
153,0.14287
154,0.14291
155,0.14294
156,0.14297
157,0.14309
158,0.14315
159,0.14321
160,0.14321
161,0.14329
162,0.14332
163,0.14349
164,0.1435
165,0.14357
166,0.14369
167,0.1437
168,0.14372
169,0.14377
170,0.14377
171,0.1439
172,0.14398
173,0.14406
174,0.14411
175,0.14412
176,0.14412
177,0.14414
178,0.1443
179,0.14448
180,0.14459
181,0.14477
182,0.14486
183,0.14488
184,0.14488
185,0.14492
186,0.14493
187,0.14518
188,0.14526
189,0.14532
190,0.14554
191,0.14561
192,0.14566
193,0.14566
194,0.14566
195,0.14579
196,0.1459
197,0.14596
198,0.14599
199,0.14599
200,0.14605
201,0.14605
202,0.14607
203,0.14612
204,0.1462
205,0.14624
206,0.14637
207,0.14639
208,0.14649
209,0.14658
210,0.14659
211,0.14663
212,0.14671
213,0.14672
214,0.14676
215,0.14677
216,0.14678
217,0.14682
218,0.14716
219,0.1472
220,0.14744
221,0.14751
222,0.14754
223,0.14758
224,0.14768
225,0.14772
226,0.14776
227,0.1478
228,0.14789
229,0.14791
230,0.14798
231,0.14798
232,0.14805
233,0.14806
234,0.1481
235,0.14813
236,0.14815
237,0.1482
238,0.14825
239,0.14835
240,0.14842
241,0.14854
242,0.14856
243,0.14857
244,0.14859
245,0.14862
246,0.14863
247,0.14867
248,0.14887
249,0.14898
250,0.14905
251,0.14906
252,0.14907
253,0.14909
254,0.14919
255,0.14923
256,0.14928
257,0.14938
258,0.14942
259,0.14949
260,0.14954
261,0.14962
262,0.14964
263,0.1497
264,0.14976
265,0.14979
266,0.14981
267,0.14994
268,0.14995
269,0.14996
270,0.14998
271,0.15001
272,0.15005
273,0.15008
274,0.1501
275,0.1501
276,0.1502
277,0.15023
278,0.15024
279,0.15026
280,0.15038
281,0.15041
282,0.1505
283,0.15057
284,0.1506
285,0.15075
286,0.15077
287,0.15088
288,0.15093
289,0.15102
290,0.15109
291,0.15111
292,0.15111
293,0.15113
294,0.15121
295,0.15122
296,0.15126
297,0.15131
298,0.15136
299,0.15138
300,0.15139
301,0.15141
302,0.15143
303,0.15146
304,0.15147
305,0.15151
306,0.15157
307,0.15157
308,0.15159
309,0.15171
310,0.15175
311,0.15185
312,0.15191
313,0.15193
314,0.15195
315,0.15198
316,0.152
317,0.15201
318,0.15205
319,0.15205
320,0.15206
321,0.15224
322,0.1524
323,0.15242
324,0.15243
325,0.15246
326,0.15246
327,0.15249
328,0.15253
329,0.15265
330,0.15274
331,0.15284
332,0.15294
333,0.15305
334,0.15313
335,0.1533
336,0.15333
337,0.15334
338,0.15336
339,0.15346
340,0.15354
341,0.1536
342,0.1537
343,0.15388
344,0.15396
345,0.15405
346,0.15416
347,0.15421
348,0.15421
349,0.15422
350,0.15429
351,0.15431
352,0.15432
353,0.15432
354,0.15436
355,0.15438
356,0.15448
357,0.15449
358,0.15449
359,0.15454
360,0.15454
361,0.15463
362,0.15472
363,0.15475
364,0.15479
365,0.15498
366,0.15504
367,0.1551
368,0.15511
369,0.15512
370,0.15522
371,0.15525
372,0.15532
373,0.15539
374,0.15541
375,0.15557
376,0.15568
377,0.15568
378,0.15581
379,0.15585
380,0.15585
381,0.1559
382,0.15594
383,0.15625
384,0.15629
385,0.15637
386,0.15638
387,0.15643
388,0.15644
389,0.15648
390,0.15651
391,0.15661
392,0.1567
393,0.15672
394,0.15675
395,0.15679
396,0.15693
397,0.15697
398,0.15702
399,0.15704
400,0.1571
401,0.15717
402,0.15717
403,0.15721
404,0.15724
405,0.15733
406,0.15734
407,0.15736
408,0.15745
409,0.15751
410,0.15751
411,0.15752
412,0.15761
413,0.15778
414,0.15779
415,0.15786
416,0.1579
417,0.15791
418,0.15793
419,0.15797
420,0.158
421,0.15803
422,0.15804
423,0.15806
424,0.15807
425,0.15817
426,0.15818
427,0.15819
428,0.15822
429,0.15823
430,0.15823
431,0.15824
432,0.15825
433,0.15827
434,0.1583
435,0.15831
436,0.15831
437,0.15835
438,0.15835
439,0.15836
440,0.15836
441,0.15837
442,0.15839
443,0.15839
444,0.15841
445,0.15841
