rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,0.99627
9,0.99007
10,0.97908
11,0.94295
12,0.89342
13,0.88567
14,0.87304
15,0.86828
16,0.86184
17,0.84202
18,0.84202
19,0.84202
20,0.84202
21,0.84202
22,0.83917
23,0.81554
24,0.81051
25,0.80878
26,0.80848
27,0.80671
28,0.80569
29,0.80441
30,0.80249
31,0.79986
32,0.79858
33,0.79734
34,0.79547
35,0.79445
36,0.79436
37,0.79184
38,0.79163
39,0.78834
40,0.78154
41,0.78107
42,0.77766
43,0.77651
44,0.77651
45,0.7729
46,0.77001
47,0.76973
48,0.76939
49,0.76606
50,0.76482
51,0.76425
52,0.76418
53,0.76289
54,0.76282
55,0.76148
56,0.75957
57,0.75891
58,0.75723
59,0.75701
60,0.75621
61,0.75479
62,0.75453
63,0.75429
64,0.75146
65,0.74986
66,0.74892
67,0.74855
68,0.74604
69,0.73726
70,0.73492
71,0.73437
72,0.72908
73,0.72719
74,0.72237
75,0.71632
76,0.71621
77,0.71374
78,0.71117
79,0.71023
80,0.70907
81,0.70853
82,0.70806
83,0.70644
84,0.70624
85,0.70289
86,0.70255
87,0.69882
88,0.69759
89,0.69702
90,0.69683
91,0.69629
92,0.6948
93,0.69473
94,0.69407
95,0.69294
96,0.69248
97,0.69246
98,0.69246
99,0.69229
100,0.6921
101,0.69063
102,0.68886
103,0.68754
104,0.68526
105,0.6852
106,0.6848
107,0.68397
108,0.68309
109,0.68213
110,0.67906
111,0.67848
112,0.67848
113,0.67708
114,0.67654
115,0.67625
116,0.6737
117,0.67273
118,0.67132
119,0.67095
120,0.67046
121,0.66976
122,0.66849
123,0.66811
124,0.66762
125,0.66542
126,0.6644
127,0.66381
128,0.66331
129,0.66215
130,0.66164
131,0.66138
132,0.66138
133,0.65945
134,0.65915
135,0.65899
136,0.65895
137,0.65876
138,0.65831
139,0.65818
140,0.65807
141,0.65604
142,0.6559
143,0.6556
144,0.65524
145,0.6535
146,0.65307
147,0.65275
148,0.6527
149,0.65196
150,0.65172
151,0.65168
152,0.64946
153,0.64938
154,0.64932
155,0.64853
156,0.64842
157,0.64722
158,0.64684
159,0.6466
160,0.64659
161,0.64646
162,0.64567
163,0.64499
164,0.64475
165,0.6445
166,0.64275
167,0.64267
168,0.64194
169,0.64135
170,0.64044
171,0.64042
172,0.64033
173,0.64019
174,0.64019
175,0.64019
