rank,score
1,0.97671
2,0.97641
3,0.97624
4,0.97564
5,0.97563
6,0.97516
7,0.97506
8,0.97487
9,0.97453
10,0.97405
11,0.974
12,0.97361
13,0.97357
14,0.97355
15,0.97352
16,0.97348
17,0.97342
18,0.97334
19,0.9733
20,0.97321
21,0.97311
22,0.97297
23,0.97291
24,0.9728
25,0.97272
26,0.97259
27,0.97257
28,0.97255
29,0.97251
30,0.9725
31,0.97248
32,0.97244
33,0.97241
34,0.9724
35,0.97239
36,0.97238
37,0.97236
38,0.97235
39,0.97232
40,0.97231
41,0.97218
42,0.97215
43,0.97214
44,0.97207
45,0.97204
46,0.97204
47,0.97203
48,0.97202
49,0.972
50,0.972
51,0.972
52,0.97199
53,0.97197
54,0.97195
55,0.97193
56,0.97192
57,0.97189
58,0.97186
59,0.97184
60,0.97184
61,0.97179
62,0.97173
63,0.97173
64,0.9717
65,0.97168
66,0.97167
67,0.97164
68,0.97163
69,0.97162
70,0.97161
71,0.97156
72,0.97155
73,0.97155
74,0.97154
75,0.97153
76,0.97153
77,0.97152
78,0.97152
79,0.97151
80,0.9715
81,0.9715
82,0.97149
83,0.97148
84,0.97147
85,0.97145
86,0.97144
87,0.97142
88,0.97142
89,0.97142
90,0.97142
91,0.97142
92,0.9714
93,0.9714
94,0.97139
95,0.97135
96,0.97135
97,0.97134
98,0.97134
99,0.97133
100,0.97132
101,0.97132
102,0.97132
103,0.97131
104,0.97127
105,0.97127
106,0.97127
107,0.97126
108,0.97123
109,0.97122
110,0.97122
111,0.97121
112,0.97121
113,0.97121
114,0.9712
115,0.9712
116,0.97119
117,0.97118
118,0.97118
119,0.97117
120,0.97115
121,0.97113
122,0.97112
123,0.9711
124,0.9711
125,0.9711
126,0.97109
127,0.97109
128,0.97106
129,0.97105
130,0.97105
131,0.97105
132,0.97105
133,0.97104
134,0.97104
135,0.97103
136,0.97102
137,0.97102
138,0.971
139,0.97098
140,0.97098
141,0.97098
142,0.97098
143,0.97098
144,0.97097
145,0.97097
146,0.97096
147,0.97095
148,0.97095
149,0.97095
150,0.97094
151,0.97093
152,0.97093
153,0.97092
154,0.9709
155,0.9709
156,0.9709
157,0.97089
158,0.97089
159,0.97087
160,0.97086
161,0.97084
162,0.97083
163,0.97083
164,0.97082
165,0.97082
166,0.97082
167,0.97082
168,0.97081
169,0.97081
170,0.9708
171,0.97079
172,0.97079
173,0.97079
174,0.97077
175,0.97076
176,0.97075
177,0.97075
178,0.97075
179,0.97074
180,0.97074
181,0.97074
182,0.97074
183,0.97074
184,0.97073
185,0.97073
186,0.97072
187,0.97071
188,0.97071
189,0.97071
190,0.9707
191,0.9707
192,0.97069
193,0.97069
194,0.97069
195,0.97067
196,0.97067
197,0.97067
198,0.97066
199,0.97062
200,0.97062
201,0.97062
202,0.97061
203,0.97058
204,0.97056
205,0.97055
206,0.97051
207,0.97051
208,0.97049
209,0.97049
210,0.97048
211,0.97047
212,0.97046
213,0.97045
214,0.97044
215,0.97044
216,0.97044
217,0.97038
218,0.97038
219,0.97037
220,0.97036
221,0.97036
222,0.97036
223,0.97035
224,0.97035
225,0.97035
226,0.97035
227,0.97035
228,0.97035
229,0.97035
230,0.97033
231,0.97033
232,0.97033
233,0.97032
234,0.9703
235,0.97029
236,0.97029
237,0.97027
238,0.97026
239,0.97026
240,0.97024
241,0.97023
242,0.97023
243,0.97022
244,0.97022
245,0.97022
246,0.97022
247,0.97022
248,0.9702
249,0.97019
250,0.97019
251,0.97019
252,0.97019
253,0.97019
254,0.97019
255,0.97016
256,0.97016
257,0.97016
258,0.97015
259,0.97015
260,0.97015
261,0.97014
262,0.97014
263,0.97014
264,0.97013
265,0.97013
266,0.97013
267,0.97013
268,0.97013
269,0.97013
270,0.97012
271,0.97012
272,0.97012
273,0.97012
274,0.97012
275,0.97012
276,0.97012
277,0.97012
278,0.97012
279,0.97011
280,0.97011
281,0.97011
282,0.97011
283,0.97011
284,0.97011
285,0.97011
286,0.97011
287,0.97011
288,0.97011
289,0.97011
290,0.97011
291,0.97011
292,0.97011
293,0.97011
294,0.97011
295,0.97011
296,0.97011
297,0.97011
298,0.97011
299,0.97011
300,0.97011
301,0.97011
302,0.97011
303,0.97011
304,0.97011
305,0.97011
306,0.97011
307,0.97011
308,0.97011
309,0.97011
310,0.97011
311,0.97011
312,0.97011
313,0.97011
314,0.97011
315,0.97011
316,0.97011
317,0.97011
318,0.97011
319,0.97011
320,0.97011
321,0.97011
322,0.97011
323,0.97011
324,0.97011
325,0.97011
326,0.97011
327,0.97011
328,0.97011
329,0.97011
330,0.97011
331,0.97011
332,0.97011
333,0.97011
334,0.97011
335,0.97011
336,0.97011
337,0.97011
338,0.97011
339,0.97011
340,0.97011
341,0.97011
342,0.97011
343,0.97011
344,0.97011
345,0.97011
346,0.97011
347,0.97011
348,0.97011
349,0.97011
350,0.97011
351,0.97011
352,0.97011
353,0.97011
354,0.97011
355,0.97011
356,0.97011
357,0.97011
358,0.97011
359,0.97011
360,0.97011
361,0.97011
362,0.97011
363,0.97011
364,0.97011
365,0.97011
366,0.97011
367,0.97011
368,0.97011
369,0.97011
370,0.97011
371,0.97011
372,0.97011
373,0.97011
374,0.97011
375,0.97011
376,0.97011
377,0.97011
378,0.97011
379,0.97011
380,0.97011
381,0.97011
382,0.97011
383,0.97011
384,0.97011
385,0.97011
386,0.97011
387,0.97011
388,0.97011
389,0.97011
390,0.97011
391,0.97011
392,0.97011
393,0.97011
394,0.97011
395,0.97011
396,0.97011
397,0.97011
398,0.97011
399,0.97011
400,0.97011
401,0.97011
402,0.97011
403,0.97011
404,0.97011
405,0.97011
406,0.97011
407,0.97011
408,0.97011
409,0.97011
410,0.97011
411,0.97011
412,0.97011
413,0.97011
414,0.97011
415,0.97011
416,0.97011
417,0.97011
418,0.97011
419,0.97011
420,0.97011
421,0.97011
422,0.97011
423,0.97011
424,0.97011
425,0.97011
426,0.97011
427,0.9701
428,0.9701
429,0.97009
430,0.97009
431,0.97009
432,0.97008
433,0.97008
434,0.97008
435,0.97008
436,0.97007
437,0.97007
438,0.97007
439,0.97007
440,0.97007
441,0.97006
442,0.97006
443,0.97006
444,0.97006
445,0.97006
446,0.97006
447,0.97006
448,0.97006
449,0.97006
450,0.97005
451,0.97003
452,0.97003
453,0.97003
454,0.97002
455,0.97002
456,0.97002
457,0.97002
458,0.97001
459,0.97001
460,0.97001
461,0.97001
462,0.97001
463,0.97001
464,0.97001
465,0.97001
466,0.97001
467,0.97001
468,0.97001
469,0.97001
470,0.97001
471,0.97001
472,0.96999
473,0.96999
474,0.96998
475,0.96998
476,0.96998
477,0.96997
478,0.96996
479,0.96994
480,0.96994
481,0.96993
482,0.96992
483,0.96992
484,0.96992
485,0.96991
486,0.96991
487,0.96991
488,0.96991
489,0.96991
490,0.96991
491,0.96991
492,0.96991
493,0.96991
494,0.96991
495,0.96991
496,0.96991
497,0.96991
498,0.96991
499,0.96991
500,0.96991
501,0.96991
502,0.96991
503,0.96991
504,0.96991
505,0.96991
506,0.96991
507,0.96991
508,0.96991
509,0.96991
510,0.96991
511,0.96991
512,0.96991
513,0.96991
514,0.96991
515,0.96991
516,0.96991
517,0.9699
518,0.96989
519,0.96989
520,0.96989
521,0.96989
522,0.96988
523,0.96988
524,0.96988
525,0.96988
526,0.96988
527,0.96988
528,0.96987
529,0.96987
530,0.96987
531,0.96984
532,0.96984
533,0.96983
534,0.96983
535,0.96983
536,0.96983
537,0.96983
538,0.96983
539,0.96983
540,0.96983
541,0.96983
542,0.96983
543,0.96983
544,0.96983
545,0.96983
546,0.96983
547,0.96983
548,0.96983
549,0.96983
550,0.96981
551,0.96981
552,0.9698
553,0.9698
554,0.96979
555,0.96979
556,0.96978
557,0.96977
558,0.96975
559,0.96975
560,0.96973
561,0.96973
562,0.96972
563,0.96972
564,0.96972
565,0.9697
566,0.96969
567,0.96969
568,0.96968
569,0.96964
570,0.96964
571,0.96962
572,0.96962
573,0.96961
574,0.9696
575,0.96959
576,0.96954
577,0.96954
578,0.96952
579,0.96952
580,0.96952
581,0.9695
582,0.96949
583,0.96944
584,0.96943
585,0.96941
586,0.96937
587,0.96936
588,0.96934
589,0.96929
590,0.96925
591,0.96923
592,0.96922
593,0.96922
594,0.9692
595,0.96919
596,0.96918
597,0.96917
598,0.96916
599,0.96916
600,0.96916
601,0.96916
602,0.96912
603,0.96911
604,0.96907
605,0.96901
606,0.969
607,0.96888
608,0.96887
609,0.96886
610,0.96884
611,0.96877
612,0.96876
613,0.96874
614,0.96873
615,0.9687
616,0.96868
617,0.96866
618,0.96862
619,0.96859
620,0.96854
621,0.96854
622,0.96851
623,0.9685
624,0.96847
625,0.96847
626,0.96846
627,0.96846
628,0.96846
629,0.96846
630,0.96846
631,0.96846
632,0.96846
633,0.96846
634,0.96846
635,0.96846
636,0.96846
637,0.96846
638,0.96846
639,0.96846
640,0.96846
641,0.96846
642,0.96846
643,0.96846
644,0.96846
645,0.96846
646,0.96846
647,0.96846
648,0.96846
649,0.96846
650,0.96846
651,0.96846
652,0.96846
653,0.96846
654,0.96846
655,0.96846
656,0.96846
657,0.96846
658,0.96846
659,0.96846
660,0.96846
661,0.96846
662,0.96846
663,0.96846
664,0.96846
665,0.96846
666,0.96846
667,0.96846
668,0.96846
669,0.96846
670,0.96846
671,0.96846
672,0.96846
673,0.96846
674,0.96846
675,0.96845
676,0.96845
677,0.96845
678,0.96845
679,0.96844
680,0.96843
681,0.96843
682,0.96843
683,0.96843
684,0.96841
685,0.9684
686,0.9684
687,0.9684
688,0.96838
689,0.96836
690,0.96835
691,0.96831
692,0.96829
693,0.96827
694,0.96827
695,0.96821
696,0.9682
697,0.96817
698,0.96805
699,0.96801
700,0.968
701,0.96795
702,0.96791
703,0.9679
704,0.9679
705,0.96789
706,0.96784
707,0.96781
708,0.96781
709,0.96781
710,0.96779
711,0.96772
712,0.96771
713,0.96771
714,0.9677
715,0.96769
716,0.96768
717,0.96766
718,0.96759
719,0.96759
720,0.96751
721,0.9675
722,0.9675
723,0.9675
724,0.9675
725,0.9675
726,0.9675
727,0.9675
728,0.9675
729,0.9675
730,0.9675
731,0.9675
732,0.9675
733,0.9675
734,0.9675
735,0.9675
736,0.9675
737,0.9675
738,0.9675
739,0.9675
740,0.9675
741,0.9675
742,0.9675
743,0.9675
744,0.9675
745,0.9675
746,0.9675
747,0.9675
748,0.9675
749,0.9675
750,0.9675
751,0.9675
752,0.9675
753,0.9675
754,0.9675
755,0.9675
756,0.9675
757,0.9675
758,0.9675
759,0.9675
760,0.9675
761,0.9675
762,0.9675
763,0.9675
764,0.9675
765,0.9675
766,0.9675
767,0.9675
768,0.9675
769,0.9675
770,0.9675
771,0.9675
772,0.9675
773,0.9675
774,0.9675
775,0.9675
776,0.9675
777,0.9675
778,0.9675
779,0.9675
780,0.9675
781,0.9675
782,0.9675
783,0.9675
784,0.9675
785,0.9675
786,0.9675
787,0.9675
788,0.9675
789,0.9675
790,0.9675
791,0.9675
792,0.9675
793,0.9675
794,0.9675
795,0.9675
796,0.9675
797,0.9675
798,0.9675
799,0.9675
800,0.9675
801,0.9675
802,0.9675
803,0.9675
804,0.9675
805,0.9675
806,0.9675
807,0.9675
808,0.9675
809,0.9675
810,0.9675
811,0.9675
812,0.9675
813,0.9675
814,0.9675
815,0.9675
816,0.9675
817,0.9675
818,0.9675
819,0.9675
820,0.9675
821,0.9675
822,0.9675
823,0.9675
824,0.9675
825,0.9675
826,0.9675
827,0.9675
828,0.96747
829,0.96746
830,0.96745
831,0.96745
832,0.96739
833,0.96736
834,0.96726
835,0.96718
836,0.96718
837,0.96718
838,0.96718
839,0.96718
840,0.96718
841,0.96718
842,0.96718
843,0.96718
844,0.96718
845,0.96718
846,0.96718
847,0.96718
848,0.96718
849,0.96718
850,0.96718
851,0.96718
852,0.96718
853,0.96718
854,0.96718
855,0.96718
856,0.96718
857,0.96718
858,0.96718
859,0.96718
860,0.96718
861,0.96718
862,0.96718
863,0.96718
864,0.96718
865,0.96718
866,0.96718
867,0.96718
868,0.96718
869,0.96718
870,0.96718
871,0.96718
872,0.96718
873,0.96718
874,0.96718
875,0.96718
876,0.96718
877,0.96718
878,0.96718
879,0.96718
880,0.96718
881,0.96718
882,0.96718
883,0.96718
884,0.96718
885,0.96718
886,0.96718
887,0.96718
888,0.96718
889,0.96718
890,0.96718
891,0.96718
892,0.96711
893,0.96707
894,0.96703
895,0.96703
896,0.96703
897,0.96701
898,0.9669
899,0.96683
900,0.96681
901,0.96675
902,0.96675
903,0.96675
904,0.96675
905,0.96675
906,0.96675
907,0.96675
908,0.96675
909,0.96675
910,0.96675
911,0.96675
912,0.96675
913,0.96675
914,0.96675
915,0.96669
916,0.96669
917,0.96669
918,0.96669
919,0.96666
920,0.96665
921,0.9666
922,0.96654
923,0.96645
924,0.96624
925,0.96623
926,0.96621
927,0.96619
928,0.9661
929,0.96605
930,0.96598
931,0.96594
932,0.96592
933,0.96583
934,0.96562
935,0.96542
936,0.96534
937,0.96532
938,0.96516
939,0.96496
940,0.96486
941,0.96477
942,0.96477
943,0.96465
944,0.96461
945,0.96458
946,0.96456
947,0.96447
948,0.96434
949,0.96404
950,0.96402
951,0.96402
952,0.96402
953,0.96402
954,0.96402
955,0.96401
956,0.96384
957,0.96364
958,0.96362
959,0.96349
960,0.96336
961,0.96319
962,0.96317
963,0.96312
964,0.96306
965,0.96306
966,0.96302
967,0.96302
968,0.96301
969,0.96289
970,0.96283
971,0.96281
972,0.9628
973,0.96279
974,0.96277
975,0.96272
976,0.96268
977,0.96264
978,0.96247
979,0.96246
980,0.96239
981,0.96228
982,0.96218
983,0.96211
984,0.96192
985,0.96186
986,0.9618
987,0.96167
988,0.96166
989,0.96163
990,0.96155
991,0.96148
992,0.96148
993,0.96139
994,0.96129
995,0.96128
996,0.9612
997,0.96119
998,0.96117
999,0.96108
1000,0.96107
1001,0.96107
1002,0.96097
1003,0.96092
1004,0.96083
1005,0.9608
1006,0.96078
1007,0.9607
1008,0.96067
1009,0.96064
1010,0.96062
1011,0.96038
1012,0.96022
1013,0.96018
1014,0.95995
1015,0.95986
1016,0.95977
1017,0.95972
1018,0.9596
1019,0.95938
1020,0.95935
1021,0.95924
1022,0.95881
1023,0.9588
1024,0.95868
1025,0.95868
1026,0.95849
1027,0.95846
1028,0.95844
1029,0.95839
1030,0.95831
1031,0.9583
1032,0.95827
1033,0.95809
1034,0.95807
1035,0.95782
1036,0.9578
1037,0.95774
1038,0.95759
1039,0.95757
1040,0.95745
1041,0.95737
1042,0.95719
1043,0.95708
1044,0.9569
1045,0.95688
1046,0.95684
1047,0.95678
1048,0.95673
1049,0.95658
1050,0.95645
1051,0.95639
1052,0.95634
1053,0.95633
1054,0.95628
1055,0.95627
1056,0.95596
1057,0.95592
1058,0.95584
1059,0.95583
1060,0.9558
1061,0.95579
1062,0.95575
1063,0.95562
1064,0.9556
1065,0.95558
1066,0.95546
1067,0.95534
1068,0.9553
1069,0.9553
1070,0.9553
1071,0.9553
1072,0.9553
1073,0.9553
1074,0.9553
1075,0.9553
1076,0.95527
1077,0.95513
1078,0.95512
1079,0.95506
1080,0.95496
1081,0.95488
1082,0.95488
1083,0.95488
1084,0.95488
1085,0.95484
1086,0.95479
1087,0.95476
1088,0.95466
1089,0.95465
1090,0.95463
1091,0.95461
1092,0.95433
1093,0.95431
1094,0.95424
1095,0.95422
1096,0.95415
1097,0.95415
1098,0.95403
1099,0.95402
1100,0.95401
1101,0.95401
1102,0.95401
1103,0.95401
1104,0.95401
1105,0.95401
1106,0.95394
1107,0.95393
1108,0.95393
1109,0.95389
1110,0.95387
1111,0.95384
1112,0.95383
1113,0.95375
1114,0.95374
1115,0.95369
1116,0.95369
1117,0.95362
1118,0.95358
1119,0.95356
1120,0.95355
1121,0.95347
1122,0.95315
1123,0.95309
1124,0.95305
1125,0.95277
1126,0.95268
1127,0.95259
1128,0.95258
1129,0.95252
1130,0.95252
1131,0.95252
1132,0.95252
1133,0.95252
1134,0.95252
1135,0.95252
1136,0.95252
1137,0.95252
1138,0.95252
1139,0.95249
1140,0.95238
1141,0.95232
1142,0.9523
1143,0.95188
1144,0.95168
1145,0.9516
1146,0.95154
1147,0.95147
1148,0.95146
1149,0.95134
1150,0.95118
1151,0.95117
1152,0.95088
1153,0.95083
1154,0.95079
1155,0.95073
1156,0.95064
1157,0.9506
1158,0.95057
1159,0.95037
1160,0.95037
1161,0.95035
1162,0.95015
1163,0.9501
1164,0.94984
1165,0.94974
1166,0.94951
1167,0.94938
1168,0.94916
1169,0.94916
1170,0.94911
1171,0.94909
1172,0.94906
1173,0.94901
1174,0.94828
1175,0.94827
1176,0.948
1177,0.94792
1178,0.94786
1179,0.9477
1180,0.94755
1181,0.94724
1182,0.94711
1183,0.94684
1184,0.94671
1185,0.94669
1186,0.94667
1187,0.94661
1188,0.94635
1189,0.94575
1190,0.94555
1191,0.94544
1192,0.94504
1193,0.94456
1194,0.94386
1195,0.94383
1196,0.94331
1197,0.94301
1198,0.94299
1199,0.94267
1200,0.94259
1201,0.94234
1202,0.94159
1203,0.941
1204,0.94092
1205,0.9406
1206,0.94028
1207,0.94021
1208,0.94002
1209,0.9397
1210,0.93959
1211,0.93943
1212,0.93938
1213,0.93933
1214,0.93902
1215,0.93882
1216,0.93832
1217,0.93795
1218,0.93772
1219,0.93763
1220,0.93753
1221,0.93709
1222,0.9367
1223,0.93592
1224,0.93562
1225,0.93457
1226,0.93445
1227,0.93382
1228,0.9337
1229,0.9332
1230,0.93229
1231,0.93185
1232,0.93174
1233,0.9315
1234,0.93146
1235,0.93032
1236,0.9301
1237,0.92989
1238,0.92961
1239,0.92949
1240,0.92946
1241,0.92942
1242,0.9294
1243,0.92932
1244,0.92932
1245,0.92932
1246,0.92932
1247,0.92932
1248,0.92932
1249,0.92932
1250,0.92932
1251,0.92932
1252,0.92932
1253,0.92932
1254,0.92932
1255,0.92932
1256,0.92932
1257,0.92932
1258,0.92932
1259,0.92932
1260,0.92932
1261,0.92932
1262,0.92925
1263,0.92911
1264,0.92906
1265,0.92878
1266,0.92452
1267,0.92427
1268,0.922
1269,0.92121
1270,0.92105
1271,0.92061
1272,0.92018
1273,0.92005
1274,0.91997
1275,0.91963
1276,0.91961
1277,0.91888
1278,0.91855
1279,0.91844
1280,0.91806
1281,0.91623
1282,0.91562
1283,0.91555
1284,0.91555
1285,0.91442
1286,0.91439
1287,0.91384
1288,0.91373
1289,0.91365
1290,0.91334
1291,0.91206
1292,0.91081
1293,0.91075
1294,0.91016
1295,0.91005
1296,0.91001
1297,0.90956
1298,0.90952
1299,0.90931
1300,0.9093
1301,0.90916
1302,0.90903
1303,0.90833
1304,0.9077
1305,0.90735
1306,0.90693
1307,0.90687
1308,0.90632
1309,0.90558
1310,0.90532
1311,0.90512
1312,0.90495
1313,0.90416
1314,0.90358
1315,0.90347
1316,0.90291
1317,0.90035
1318,0.90014
1319,0.89958
1320,0.8993
1321,0.89884
1322,0.89852
1323,0.8983
1324,0.89729
1325,0.89618
1326,0.89564
1327,0.8934
1328,0.88753
1329,0.88673
1330,0.88585
1331,0.88375
1332,0.88247
1333,0.87385
1334,0.87225
1335,0.87059
1336,0.86995
1337,0.86945
1338,0.8588
1339,0.85561
1340,0.85449
1341,0.85449
1342,0.85449
1343,0.85449
1344,0.85449
1345,0.85449
1346,0.85449
1347,0.85449
1348,0.85449
1349,0.85449
1350,0.85449
1351,0.85449
1352,0.85449
1353,0.85449
1354,0.85449
1355,0.85315
1356,0.85134
1357,0.85059
1358,0.84988
1359,0.84842
1360,0.84837
1361,0.84428
1362,0.84268
1363,0.84109
1364,0.83961
1365,0.83564
1366,0.83534
1367,0.83534
1368,0.83403
1369,0.83229
1370,0.83224
1371,0.82987
1372,0.82829
1373,0.82728
1374,0.82358
1375,0.82156
1376,0.82149
1377,0.8211
1378,0.82004
1379,0.81914
1380,0.81651
1381,0.81409
1382,0.81305
1383,0.80916
1384,0.80613
1385,0.80437
1386,0.80399
1387,0.80059
1388,0.80045
1389,0.79742
1390,0.79481
1391,0.79232
1392,0.79154
1393,0.79073
1394,0.79066
1395,0.78777
1396,0.78672
1397,0.78588
1398,0.78535
1399,0.78479
1400,0.78356
1401,0.78309
1402,0.78099
1403,0.7805
1404,0.78007
1405,0.77924
1406,0.77859
1407,0.77579
1408,0.7754
1409,0.77281
1410,0.76935
1411,0.76891
1412,0.7649
1413,0.76243
1414,0.75486
1415,0.75329
1416,0.75214
1417,0.75139
1418,0.75045
1419,0.74882
1420,0.74753
1421,0.74383
1422,0.74167
1423,0.73965
1424,0.73708
1425,0.73551
1426,0.73491
1427,0.73219
1428,0.73062
1429,0.72768
1430,0.72629
1431,0.7156
1432,0.71447
1433,0.70321
1434,0.70023
1435,0.70013
1436,0.6891
1437,0.68402
1438,0.68071
1439,0.67443
1440,0.67378
1441,0.67162
1442,0.66696
1443,0.66382
1444,0.6632
1445,0.65006
1446,0.64737
1447,0.6456
1448,0.6376
1449,0.62595
1450,0.61593
1451,0.61281
1452,0.60981
1453,0.60784
1454,0.60779
1455,0.60016
1456,0.59886
1457,0.59389
1458,0.592
1459,0.57205
1460,0.5687
1461,0.54626
1462,0.54327
1463,0.54234
1464,0.54064
1465,0.53371
1466,0.52273
1467,0.52065
1468,0.51601
1469,0.51513
1470,0.51362
1471,0.5117
1472,0.50962
1473,0.50602
1474,0.50584
1475,0.5056
1476,0.50555
1477,0.50555
1478,0.50447
1479,0.50317
1480,0.50281
1481,0.5022
1482,0.50199
1483,0.50172
1484,0.50142
1485,0.50078
1486,0.50039
1487,0.50031
1488,0.5003
1489,0.5
1490,0.5
1491,0.5
1492,0.5
1493,0.5
1494,0.5
1495,0.5
1496,0.5
1497,0.5
1498,0.5
1499,0.5
1500,0.5
1501,0.5
1502,0.5
1503,0.5
1504,0.5
1505,0.5
1506,0.5
1507,0.5
1508,0.5
1509,0.5
1510,0.5
1511,0.5
1512,0.5
1513,0.5
1514,0.5
1515,0.5
1516,0.5
1517,0.5
1518,0.5
1519,0.5
1520,0.5
1521,0.5
1522,0.5
1523,0.5
1524,0.5
1525,0.5
1526,0.5
1527,0.5
1528,0.5
1529,0.5
1530,0.5
1531,0.5
1532,0.5
1533,0.5
1534,0.5
1535,0.5
1536,0.5
1537,0.5
1538,0.5
1539,0.5
1540,0.5
1541,0.5
1542,0.5
1543,0.49953
1544,0.49874
1545,0.49655
1546,0.4898
1547,0.47778
