rank,score
1,0.97654
2,0.97561
3,0.97508
4,0.9746
5,0.97412
6,0.97375
7,0.97319
8,0.97309
9,0.97287
10,0.97282
11,0.97274
12,0.97268
13,0.97251
14,0.97236
15,0.97197
16,0.97187
17,0.97182
18,0.97127
19,0.97124
20,0.97123
21,0.97099
22,0.97077
23,0.97073
24,0.97073
25,0.97071
26,0.9707
27,0.97061
28,0.9706
29,0.9706
30,0.97058
31,0.97058
32,0.97058
33,0.97058
34,0.97058
35,0.97057
36,0.97057
37,0.97052
38,0.97048
39,0.97043
40,0.97036
41,0.97034
42,0.97032
43,0.9703
44,0.97024
45,0.97023
46,0.97023
47,0.97023
48,0.97021
49,0.97019
50,0.97019
51,0.97018
52,0.97014
53,0.97013
54,0.97012
55,0.97006
56,0.97003
57,0.97
58,0.96999
59,0.96998
60,0.96993
61,0.96991
62,0.9699
63,0.96986
64,0.96986
65,0.96985
66,0.96984
67,0.96983
68,0.96983
69,0.96983
70,0.96979
71,0.96975
72,0.96972
73,0.96972
74,0.96969
75,0.96966
76,0.96965
77,0.96965
78,0.96962
79,0.96962
80,0.96961
81,0.96959
82,0.96959
83,0.96958
84,0.96958
85,0.96957
86,0.96956
87,0.96955
88,0.96955
89,0.96953
90,0.96948
91,0.96946
92,0.96945
93,0.96944
94,0.96943
95,0.96941
96,0.96941
97,0.96939
98,0.96936
99,0.96934
100,0.96931
101,0.96931
102,0.9693
103,0.9693
104,0.96927
105,0.96927
106,0.96925
107,0.96923
108,0.96921
109,0.96919
110,0.96918
111,0.96917
112,0.96909
113,0.96906
114,0.96905
115,0.96903
116,0.969
117,0.96898
118,0.96898
119,0.96895
120,0.96894
121,0.96894
122,0.96893
123,0.96892
124,0.96892
125,0.96891
126,0.96889
127,0.96888
128,0.96888
129,0.96888
130,0.96887
131,0.96886
132,0.96885
133,0.96885
134,0.96878
135,0.96876
136,0.96876
137,0.96872
138,0.96871
139,0.96871
140,0.9687
141,0.96869
142,0.96864
143,0.96863
144,0.96862
145,0.96859
146,0.96858
147,0.96857
148,0.96857
149,0.96854
150,0.96853
151,0.96851
152,0.9685
153,0.96849
154,0.96849
155,0.96848
156,0.96848
157,0.96847
158,0.96846
159,0.96846
160,0.96843
161,0.96843
162,0.96841
163,0.96841
164,0.96839
165,0.96838
166,0.96837
167,0.96836
168,0.96835
169,0.96835
170,0.96834
171,0.96832
172,0.96832
173,0.96831
174,0.9683
175,0.9683
176,0.96829
177,0.96828
178,0.96827
179,0.96825
180,0.96825
181,0.96824
182,0.96823
183,0.96823
184,0.96823
185,0.96822
186,0.96822
187,0.96822
188,0.96821
189,0.96821
190,0.9682
191,0.9682
192,0.9682
193,0.9682
194,0.96819
195,0.96819
196,0.96818
197,0.96818
198,0.96818
199,0.96818
200,0.96816
201,0.96816
202,0.96815
203,0.96815
204,0.96815
205,0.96815
206,0.96815
207,0.96814
208,0.96813
209,0.96813
210,0.96813
211,0.96813
212,0.96811
213,0.96811
214,0.9681
215,0.9681
216,0.9681
217,0.96809
218,0.96809
219,0.96809
220,0.96809
221,0.96809
222,0.96808
223,0.96808
224,0.96808
225,0.96808
226,0.96807
227,0.96806
228,0.96805
229,0.96805
230,0.96805
231,0.96804
232,0.96804
233,0.96804
234,0.96804
235,0.96804
236,0.96803
237,0.96802
238,0.968
239,0.968
240,0.96799
241,0.96799
242,0.96799
243,0.96798
244,0.96798
245,0.96797
246,0.96797
247,0.96797
248,0.96797
249,0.96796
250,0.96796
251,0.96795
252,0.96794
253,0.96794
254,0.96793
255,0.96793
256,0.96791
257,0.9679
258,0.96787
259,0.96786
260,0.96786
261,0.96786
262,0.96786
263,0.96786
264,0.96786
265,0.96786
266,0.96786
267,0.96786
268,0.96785
269,0.96784
270,0.96784
271,0.96784
272,0.96784
273,0.96783
274,0.96782
275,0.96781
276,0.96781
277,0.96781
278,0.9678
279,0.96779
280,0.96779
281,0.96778
282,0.96777
283,0.96777
284,0.96776
285,0.96776
286,0.96775
287,0.96774
288,0.96774
289,0.96774
290,0.96774
291,0.96774
292,0.96773
293,0.96773
294,0.96772
295,0.96772
296,0.96772
297,0.96772
298,0.96772
299,0.96772
300,0.96772
301,0.96772
302,0.96772
303,0.96772
304,0.96772
305,0.96772
306,0.96772
307,0.96772
308,0.96772
309,0.96772
310,0.96772
311,0.96772
312,0.96772
313,0.96772
314,0.96772
315,0.96772
316,0.96772
317,0.96772
318,0.96772
319,0.96772
320,0.96772
321,0.96772
322,0.96772
323,0.96772
324,0.96772
325,0.96772
326,0.96772
327,0.96772
328,0.96772
329,0.96772
330,0.96772
331,0.96772
332,0.96772
333,0.96772
334,0.96772
335,0.96772
336,0.96772
337,0.96772
338,0.96772
339,0.96772
340,0.96772
341,0.96772
342,0.96771
343,0.9677
344,0.9677
345,0.9677
346,0.9677
347,0.96769
348,0.96769
349,0.96769
350,0.96769
351,0.96768
352,0.96767
353,0.96767
354,0.96767
355,0.96767
356,0.96767
357,0.96767
358,0.96767
359,0.96767
360,0.96766
361,0.96766
362,0.96766
363,0.96766
364,0.96765
365,0.96765
366,0.96765
367,0.96765
368,0.96763
369,0.96763
370,0.96763
371,0.96763
372,0.96762
373,0.96762
374,0.96761
375,0.96761
376,0.96761
377,0.96761
378,0.9676
379,0.9676
380,0.9676
381,0.9676
382,0.96759
383,0.96759
384,0.96759
385,0.96759
386,0.96758
387,0.96758
388,0.96758
389,0.96758
390,0.96757
391,0.96757
392,0.96757
393,0.96757
394,0.96757
395,0.96757
396,0.96757
397,0.96757
398,0.96757
399,0.96757
400,0.96757
401,0.96757
402,0.96757
403,0.96757
404,0.96757
405,0.96757
406,0.96757
407,0.96757
408,0.96757
409,0.96757
410,0.96757
411,0.96757
412,0.96757
413,0.96757
414,0.96757
415,0.96757
416,0.96757
417,0.96757
418,0.96757
419,0.96757
420,0.96757
421,0.96757
422,0.96757
423,0.96757
424,0.96757
425,0.96757
426,0.96757
427,0.96757
428,0.96757
429,0.96757
430,0.96757
431,0.96757
432,0.96757
433,0.96757
434,0.96757
435,0.96757
436,0.96757
437,0.96757
438,0.96757
439,0.96757
440,0.96757
441,0.96757
442,0.96757
443,0.96757
444,0.96757
445,0.96757
446,0.96757
447,0.96757
448,0.96757
449,0.96757
450,0.96757
451,0.96757
452,0.96757
453,0.96757
454,0.96757
455,0.96757
456,0.96757
457,0.96757
458,0.96757
459,0.96757
460,0.96757
461,0.96757
462,0.96757
463,0.96757
464,0.96757
465,0.96757
466,0.96757
467,0.96757
468,0.96757
469,0.96757
470,0.96757
471,0.96757
472,0.96757
473,0.96757
474,0.96757
475,0.96757
476,0.96757
477,0.96757
478,0.96757
479,0.96757
480,0.96757
481,0.96757
482,0.96757
483,0.96757
484,0.96757
485,0.96757
486,0.96757
487,0.96757
488,0.96757
489,0.96757
490,0.96757
491,0.96757
492,0.96757
493,0.96757
494,0.96757
495,0.96757
496,0.96757
497,0.96757
498,0.96757
499,0.96757
500,0.96757
501,0.96757
502,0.96757
503,0.96757
504,0.96757
505,0.96757
506,0.96757
507,0.96757
508,0.96757
509,0.96757
510,0.96757
511,0.96757
512,0.96757
513,0.96757
514,0.96757
515,0.96757
516,0.96757
517,0.96757
518,0.96757
519,0.96757
520,0.96757
521,0.96757
522,0.96757
523,0.96757
524,0.96757
525,0.96757
526,0.96757
527,0.96757
528,0.96757
529,0.96757
530,0.96757
531,0.96757
532,0.96757
533,0.96757
534,0.96757
535,0.96757
536,0.96757
537,0.96757
538,0.96756
539,0.96756
540,0.96756
541,0.96756
542,0.96756
543,0.96756
544,0.96756
545,0.96756
546,0.96756
547,0.96756
548,0.96756
549,0.96756
550,0.96756
551,0.96756
552,0.96756
553,0.96756
554,0.96756
555,0.96756
556,0.96756
557,0.96756
558,0.96756
559,0.96754
560,0.96753
561,0.9675
562,0.9675
563,0.96749
564,0.96748
565,0.96746
566,0.96745
567,0.96743
568,0.96742
569,0.96742
570,0.96742
571,0.96738
572,0.96738
573,0.96738
574,0.96737
575,0.96736
576,0.96732
577,0.96731
578,0.9673
579,0.9673
580,0.9673
581,0.9673
582,0.9673
583,0.9673
584,0.96726
585,0.96725
586,0.96724
587,0.96722
588,0.96721
589,0.9672
590,0.96717
591,0.96716
592,0.96713
593,0.96711
594,0.96711
595,0.96711
596,0.9671
597,0.96709
598,0.96708
599,0.96708
600,0.96708
601,0.96702
602,0.96701
603,0.96699
604,0.96698
605,0.96697
606,0.96697
607,0.96691
608,0.96689
609,0.96688
610,0.96686
611,0.96682
612,0.9668
613,0.96678
614,0.96677
615,0.96675
616,0.96675
617,0.96675
618,0.96675
619,0.96675
620,0.96675
621,0.96675
622,0.96675
623,0.96675
624,0.96675
625,0.96675
626,0.96675
627,0.96674
628,0.9667
629,0.96668
630,0.96668
631,0.96666
632,0.96666
633,0.96664
634,0.96664
635,0.96662
636,0.96657
637,0.96656
638,0.96654
639,0.96651
640,0.96649
641,0.96649
642,0.96645
643,0.96644
644,0.9664
645,0.9664
646,0.96637
647,0.96637
648,0.96635
649,0.96633
650,0.96633
651,0.96633
652,0.96633
653,0.96631
654,0.96631
655,0.96631
656,0.96631
657,0.96631
658,0.96631
659,0.96631
660,0.96631
661,0.96631
662,0.96631
663,0.96631
664,0.96631
665,0.96631
666,0.96631
667,0.96631
668,0.96631
669,0.96631
670,0.96631
671,0.96631
672,0.96631
673,0.96631
674,0.96631
675,0.96631
676,0.96631
677,0.96631
678,0.96631
679,0.96631
680,0.96631
681,0.96631
682,0.96631
683,0.96631
684,0.96631
685,0.96631
686,0.96631
687,0.96631
688,0.96631
689,0.96631
690,0.96631
691,0.96631
692,0.96631
693,0.96631
694,0.96631
695,0.96631
696,0.96631
697,0.96631
698,0.96631
699,0.96631
700,0.96631
701,0.96631
702,0.96631
703,0.96631
704,0.9663
705,0.9663
706,0.9663
707,0.96628
708,0.96627
709,0.96626
710,0.96626
711,0.96623
712,0.96622
713,0.9662
714,0.9662
715,0.96619
716,0.96616
717,0.9661
718,0.96605
719,0.96605
720,0.96604
721,0.96602
722,0.96602
723,0.96602
724,0.96599
725,0.96597
726,0.96586
727,0.96584
728,0.9658
729,0.96576
730,0.96575
731,0.96575
732,0.96575
733,0.96575
734,0.96575
735,0.96575
736,0.96575
737,0.96575
738,0.96575
739,0.96575
740,0.96575
741,0.96575
742,0.96575
743,0.96575
744,0.96575
745,0.96575
746,0.96575
747,0.96575
748,0.96575
749,0.96575
750,0.96575
751,0.96575
752,0.96575
753,0.96575
754,0.96575
755,0.96575
756,0.96575
757,0.96575
758,0.96575
759,0.96575
760,0.96575
761,0.96575
762,0.96575
763,0.96575
764,0.96575
765,0.96575
766,0.96575
767,0.96575
768,0.96575
769,0.96575
770,0.96575
771,0.96575
772,0.96575
773,0.96575
774,0.96575
775,0.96575
776,0.96575
777,0.96575
778,0.96575
779,0.96575
780,0.96575
781,0.96575
782,0.96575
783,0.96575
784,0.96575
785,0.96575
786,0.96575
787,0.96575
788,0.96575
789,0.96575
790,0.96575
791,0.96575
792,0.96575
793,0.96575
794,0.96575
795,0.96571
796,0.96569
797,0.96562
798,0.96555
799,0.96553
800,0.9655
801,0.9655
802,0.96548
803,0.96545
804,0.96545
805,0.96545
806,0.96545
807,0.96545
808,0.96545
809,0.96545
810,0.96545
811,0.96545
812,0.96545
813,0.96545
814,0.96545
815,0.96545
816,0.96545
817,0.96545
818,0.9654
819,0.96538
820,0.96535
821,0.96528
822,0.96522
823,0.96521
824,0.96515
825,0.96515
826,0.96508
