rank,score
1,0.10021
2,0.10386
3,0.10583
4,0.10621
5,0.10763
6,0.10771
7,0.10784
8,0.10817
9,0.10826
10,0.10839
11,0.10853
12,0.10955
13,0.10988
14,0.10999
15,0.11029
16,0.11037
17,0.1104
18,0.11041
19,0.11045
20,0.11055
21,0.11059
22,0.11059
23,0.1106
24,0.11065
25,0.11066
26,0.111
27,0.11101
28,0.11102
29,0.11106
30,0.11108
31,0.11112
32,0.11112
33,0.11113
34,0.1112
35,0.1112
36,0.11138
37,0.11138
38,0.11142
39,0.11145
40,0.11152
41,0.11161
42,0.11163
43,0.11167
44,0.11168
45,0.11184
46,0.11187
47,0.11192
48,0.11193
49,0.11195
50,0.11198
51,0.11203
52,0.11205
53,0.11208
54,0.11211
55,0.11215
56,0.1122
57,0.11221
58,0.11232
59,0.11233
60,0.11252
61,0.11255
62,0.11256
63,0.11258
64,0.1126
65,0.11261
66,0.11262
67,0.11262
68,0.11262
69,0.11264
70,0.11264
71,0.11265
72,0.11268
73,0.11268
74,0.1127
75,0.11277
76,0.11277
77,0.11278
78,0.11284
79,0.11291
80,0.11308
81,0.1131
82,0.11312
83,0.11315
84,0.11325
85,0.11326
86,0.11328
87,0.1133
88,0.11331
89,0.11332
90,0.11337
91,0.11342
92,0.11345
93,0.11346
94,0.11348
95,0.11349
96,0.11359
97,0.11365
98,0.11366
99,0.1137
100,0.11375
101,0.11377
102,0.11384
103,0.11384
104,0.11397
105,0.11397
106,0.11415
107,0.11416
108,0.11426
109,0.11426
110,0.11433
111,0.11434
112,0.11435
113,0.11441
114,0.11441
115,0.11445
116,0.11446
117,0.11446
118,0.11447
119,0.11449
120,0.11451
121,0.11453
122,0.11455
123,0.11458
124,0.11462
125,0.11463
126,0.11468
127,0.11477
128,0.11479
129,0.11481
130,0.11481
131,0.11481
132,0.11485
133,0.11486
134,0.11487
135,0.11488
136,0.11495
137,0.11495
138,0.11496
139,0.11498
140,0.11498
141,0.11501
142,0.11501
143,0.11503
144,0.11504
145,0.11505
146,0.11506
147,0.11508
148,0.1151
149,0.1151
150,0.11516
151,0.11521
152,0.11523
153,0.11524
154,0.11526
155,0.11526
156,0.11527
157,0.11531
158,0.11532
159,0.11534
160,0.11541
161,0.11544
162,0.11546
163,0.11546
164,0.11551
165,0.11552
166,0.11554
167,0.11556
168,0.11556
169,0.11558
170,0.11559
171,0.1156
172,0.1156
173,0.1156
174,0.11561
175,0.11562
176,0.11565
177,0.11567
178,0.11569
179,0.11569
180,0.11571
181,0.11573
182,0.11577
183,0.11579
184,0.11581
185,0.11581
186,0.11591
187,0.11596
188,0.11597
189,0.116
190,0.116
191,0.116
192,0.11601
193,0.11607
194,0.11611
195,0.11614
196,0.11616
197,0.11619
198,0.11621
199,0.11622
200,0.11623
201,0.11623
202,0.11627
203,0.11627
204,0.11627
205,0.11627
206,0.11628
207,0.1163
208,0.11632
209,0.11633
210,0.11639
211,0.11639
212,0.11644
213,0.11644
214,0.11644
215,0.11647
216,0.11647
217,0.11648
218,0.11651
219,0.11651
220,0.11652
221,0.11653
222,0.11653
223,0.11653
224,0.11654
225,0.11655
226,0.11657
227,0.11658
228,0.11659
229,0.1166
230,0.11661
231,0.11663
232,0.11664
233,0.11668
234,0.1167
235,0.11674
236,0.11674
237,0.11674
238,0.11676
239,0.11676
240,0.11677
241,0.11677
242,0.11678
243,0.11679
244,0.11682
245,0.11683
246,0.11683
247,0.11683
248,0.11684
249,0.11685
250,0.11685
251,0.11685
252,0.11687
253,0.1169
254,0.11691
255,0.11691
256,0.11695
257,0.11699
258,0.117
259,0.117
260,0.11702
261,0.11702
262,0.11703
263,0.11704
264,0.11705
265,0.11705
266,0.11706
267,0.11707
268,0.11707
269,0.11708
270,0.11708
271,0.1171
272,0.1171
273,0.11711
274,0.11712
275,0.11713
276,0.11713
277,0.11714
278,0.11715
279,0.11715
280,0.11715
281,0.11715
282,0.11716
283,0.11718
284,0.11721
285,0.11722
286,0.11723
287,0.11723
288,0.11724
289,0.11726
290,0.11727
291,0.1173
292,0.1173
293,0.1173
294,0.11731
295,0.11731
296,0.11731
297,0.11731
298,0.11732
299,0.11733
300,0.11733
301,0.11734
302,0.11737
303,0.11737
304,0.1174
305,0.1174
306,0.11744
307,0.11746
308,0.11749
309,0.1175
310,0.11753
311,0.11754
312,0.11754
313,0.11755
314,0.11759
315,0.11759
316,0.11762
317,0.11764
318,0.11765
319,0.11766
320,0.11766
321,0.11767
322,0.11767
323,0.11768
324,0.11768
325,0.1177
326,0.1177
327,0.11772
328,0.11773
329,0.11773
330,0.11774
331,0.11774
332,0.11774
333,0.11775
334,0.11778
335,0.11782
336,0.11784
337,0.11787
338,0.11788
339,0.11789
340,0.11792
341,0.11794
342,0.11794
343,0.11794
344,0.11795
345,0.11796
346,0.11798
347,0.11799
348,0.11799
349,0.11801
350,0.11802
351,0.11802
352,0.11803
