rank,score
1,0.08932
2,0.08936
3,0.09072
4,0.09211
5,0.0931
6,0.09328
7,0.09334
8,0.09356
9,0.09436
10,0.09456
11,0.0948
12,0.09526
13,0.09563
14,0.09564
15,0.0957
16,0.0957
17,0.0957
18,0.0957
19,0.09574
20,0.0959
21,0.09596
22,0.09606
23,0.0961
24,0.09628
25,0.09631
26,0.09686
27,0.09691
28,0.09719
29,0.09721
30,0.09729
31,0.09735
32,0.09755
33,0.09755
34,0.09765
35,0.09767
36,0.0977
37,0.09781
38,0.09784
39,0.09793
40,0.09806
41,0.0981
42,0.09819
43,0.09819
44,0.09823
45,0.09824
46,0.09829
47,0.09843
48,0.09846
49,0.09853
50,0.09856
51,0.09857
52,0.09857
53,0.09859
54,0.0986
55,0.09861
56,0.09862
57,0.09862
58,0.0987
59,0.0987
60,0.09872
61,0.09875
62,0.09881
63,0.09899
64,0.09902
65,0.09907
66,0.0991
67,0.09913
68,0.09916
69,0.09927
70,0.09929
71,0.09936
72,0.09938
73,0.09941
74,0.09944
75,0.09947
76,0.09947
77,0.09948
78,0.09948
79,0.09954
80,0.09957
81,0.09958
82,0.09961
83,0.09962
84,0.09976
85,0.09977
86,0.09978
87,0.09979
88,0.09981
89,0.09983
90,0.09984
91,0.09985
92,0.0999
93,0.09995
94,0.10005
95,0.10006
96,0.10021
97,0.10022
98,0.10029
99,0.10031
100,0.10037
101,0.10037
102,0.10038
103,0.10042
104,0.10042
105,0.10044
106,0.10044
107,0.10045
108,0.10046
109,0.10049
110,0.10049
111,0.1005
112,0.10054
113,0.10056
114,0.10057
115,0.10057
116,0.10058
117,0.10063
118,0.10067
119,0.10067
120,0.10068
121,0.10071
122,0.10073
123,0.10073
124,0.10075
125,0.10077
126,0.1008
127,0.10084
128,0.10084
129,0.10085
130,0.10085
131,0.10086
132,0.10087
133,0.10087
134,0.10089
135,0.1009
136,0.10091
137,0.10092
138,0.10095
139,0.10095
140,0.10099
141,0.10107
142,0.10112
143,0.10114
144,0.10116
145,0.10118
146,0.10126
147,0.10127
148,0.10127
149,0.10128
150,0.10128
151,0.10132
152,0.10133
153,0.10135
154,0.10138
155,0.10142
156,0.10142
157,0.10144
158,0.10145
159,0.10146
160,0.10147
161,0.10148
162,0.10149
163,0.1015
164,0.10153
165,0.10154
166,0.10155
167,0.10155
168,0.10156
169,0.10157
170,0.10157
171,0.10159
172,0.1016
173,0.1016
174,0.1016
175,0.10161
176,0.10161
177,0.10162
178,0.10164
179,0.10165
180,0.10167
181,0.10167
182,0.10168
183,0.1017
184,0.10171
185,0.10172
186,0.10172
187,0.10174
188,0.10177
189,0.10178
190,0.10179
191,0.1018
192,0.1018
193,0.10182
194,0.10183
195,0.10183
