rank,score
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,0.97621
7,0.9482
8,0.92362
9,0.87949
10,0.87632
11,0.82663
12,0.82293
13,0.81263
14,0.80708
15,0.80708
16,0.80391
17,0.80285
18,0.80285
19,0.80021
20,0.78752
21,0.77695
22,0.77378
23,0.77219
24,0.77008
25,0.76955
26,0.76849
27,0.76797
28,0.76691
29,0.76638
30,0.76479
31,0.76479
32,0.76427
33,0.76374
34,0.76321
35,0.76321
36,0.76321
37,0.76162
38,0.76109
39,0.76109
40,0.76109
41,0.76109
42,0.76109
43,0.76109
44,0.76109
45,0.76109
46,0.76109
47,0.76109
48,0.76109
49,0.76109
50,0.76109
51,0.76109
52,0.76109
53,0.7603
54,0.76004
55,0.75898
56,0.75819
57,0.75739
58,0.7566
59,0.7566
60,0.75581
61,0.75528
62,0.75502
63,0.75449
64,0.75343
65,0.75211
66,0.75211
67,0.75211
68,0.75158
69,0.75158
70,0.75026
71,0.74947
72,0.74947
73,0.74894
74,0.74894
75,0.74841
76,0.74815
77,0.74815
78,0.74788
79,0.74735
80,0.74682
81,0.74682
82,0.74682
83,0.74656
84,0.74524
85,0.74524
86,0.74471
87,0.74365
88,0.74365
89,0.74365
90,0.74365
91,0.74365
92,0.74365
93,0.74207
94,0.74154
95,0.74101
96,0.74048
97,0.73995
98,0.73995
99,0.73942
100,0.73916
101,0.7389
102,0.73784
103,0.73784
104,0.73731
105,0.73731
106,0.73625
107,0.73625
108,0.73625
109,0.73625
110,0.73599
111,0.73599
112,0.73572
113,0.7352
114,0.7352
115,0.73493
116,0.73493
117,0.73467
118,0.73414
119,0.73414
120,0.73414
121,0.73414
122,0.73361
123,0.73361
124,0.73308
125,0.73308
126,0.73255
127,0.73255
128,0.73255
129,0.73255
130,0.73255
131,0.73255
132,0.73255
133,0.73255
134,0.73255
135,0.73255
136,0.73255
137,0.73255
138,0.73255
139,0.73255
140,0.73255
141,0.73255
142,0.73202
143,0.73202
144,0.73202
145,0.73202
146,0.73202
147,0.73202
148,0.73202
149,0.73202
150,0.73202
151,0.73202
152,0.73202
153,0.73202
154,0.73202
155,0.73202
156,0.73202
157,0.73202
158,0.73202
159,0.73202
160,0.73202
161,0.73202
162,0.73202
163,0.73202
164,0.73202
165,0.73202
166,0.73202
167,0.73202
168,0.73202
169,0.73202
170,0.73202
171,0.73202
172,0.73202
173,0.73202
174,0.73202
