rank,score
1,0.82907
2,0.82906
3,0.82853
4,0.82846
5,0.82834
6,0.82834
7,0.82829
8,0.82824
9,0.82823
10,0.82818
11,0.82815
12,0.82811
13,0.82808
14,0.82801
15,0.82799
16,0.82798
17,0.82795
18,0.82793
19,0.82792
20,0.82792
21,0.8279
22,0.82789
23,0.82788
24,0.82785
25,0.82785
26,0.82784
27,0.82783
28,0.8278
29,0.82779
30,0.82778
31,0.82778
32,0.82775
33,0.82775
34,0.82774
35,0.82771
36,0.82769
37,0.82768
38,0.82767
39,0.82767
40,0.82766
41,0.82766
42,0.82765
43,0.82765
44,0.82764
45,0.82761
46,0.82761
47,0.82761
48,0.8276
49,0.8276
50,0.8276
51,0.8276
52,0.8276
53,0.82759
54,0.82758
55,0.82758
56,0.82758
57,0.82758
58,0.82757
59,0.82756
60,0.82755
61,0.82755
62,0.82755
63,0.82754
64,0.82754
65,0.82752
66,0.82752
67,0.82751
68,0.82751
69,0.82751
70,0.82751
71,0.8275
72,0.82749
73,0.82748
74,0.82748
75,0.82748
76,0.82748
77,0.82747
78,0.82747
79,0.82747
80,0.82747
81,0.82747
82,0.82747
83,0.82746
84,0.82746
85,0.82745
86,0.82745
87,0.82745
88,0.82745
89,0.82745
90,0.82745
91,0.82744
92,0.82743
93,0.82743
94,0.82742
95,0.82742
96,0.82742
97,0.82741
98,0.82741
99,0.82741
100,0.82741
101,0.8274
102,0.8274
103,0.8274
104,0.82739
105,0.82739
106,0.82739
107,0.82739
108,0.82738
109,0.82738
110,0.82738
111,0.82738
112,0.82738
113,0.82738
114,0.82737
115,0.82737
116,0.82737
117,0.82736
118,0.82736
119,0.82736
120,0.82736
121,0.82736
122,0.82735
123,0.82733
124,0.82733
125,0.82733
126,0.82732
127,0.82731
128,0.82731
129,0.82731
130,0.82731
131,0.8273
132,0.8273
133,0.8273
134,0.8273
135,0.8273
136,0.8273
137,0.82729
138,0.82729
139,0.82729
140,0.82729
141,0.82729
142,0.82729
