rank,score
1,0.84532
2,0.84527
3,0.84488
4,0.84483
5,0.84416
6,0.84403
7,0.84396
8,0.84394
9,0.8439
10,0.84381
11,0.84377
12,0.84376
13,0.84374
14,0.84363
15,0.84357
16,0.84356
17,0.84352
18,0.8435
19,0.84344
20,0.84344
21,0.84336
22,0.84332
23,0.84332
24,0.8433
25,0.84329
26,0.84327
27,0.84326
28,0.84325
29,0.84325
30,0.84322
31,0.84321
32,0.8432
33,0.84319
34,0.84317
35,0.84316
36,0.84316
37,0.84315
38,0.84315
39,0.84313
40,0.84313
41,0.84312
42,0.84311
43,0.84311
44,0.84311
45,0.84311
46,0.84311
47,0.84308
48,0.84307
49,0.84307
50,0.84305
51,0.84305
52,0.84304
53,0.84304
54,0.84303
55,0.84303
56,0.84301
57,0.84301
58,0.84301
59,0.84301
60,0.843
61,0.843
62,0.843
63,0.843
64,0.84299
65,0.84298
66,0.84298
67,0.84298
68,0.84297
69,0.84297
70,0.84297
71,0.84297
72,0.84297
73,0.84297
74,0.84297
75,0.84296
76,0.84296
77,0.84295
78,0.84294
79,0.84294
80,0.84294
81,0.84294
82,0.84293
83,0.84293
84,0.84292
85,0.84292
86,0.84292
87,0.84292
88,0.84291
89,0.84291
90,0.8429
91,0.8429
92,0.8429
93,0.8429
94,0.84289
95,0.84289
96,0.84289
97,0.84289
98,0.84288
99,0.84288
100,0.84288
101,0.84288
102,0.84287
103,0.84287
104,0.84287
105,0.84287
106,0.84287
107,0.84287
108,0.84287
109,0.84287
110,0.84287
111,0.84287
112,0.84286
113,0.84286
114,0.84286
115,0.84286
116,0.84285
117,0.84285
118,0.84285
119,0.84285
120,0.84285
121,0.84285
122,0.84285
123,0.84285
124,0.84284
125,0.84284
126,0.84284
127,0.84284
128,0.84284
129,0.84284
130,0.84284
131,0.84284
132,0.84284
133,0.84284
134,0.84284
135,0.84283
136,0.84283
137,0.84283
138,0.84283
139,0.84283
140,0.84283
141,0.84283
142,0.84283
143,0.84283
144,0.84283
145,0.84283
146,0.84283
147,0.84283
148,0.84283
149,0.84283
150,0.84283
151,0.84283
152,0.84283
153,0.84283
154,0.84283
155,0.84283
156,0.84283
157,0.84283
158,0.84283
159,0.84283
160,0.84283
161,0.84283
162,0.84283
163,0.84283
164,0.84283
165,0.84283
166,0.84283
167,0.84283
168,0.84283
169,0.84283
170,0.84283
171,0.84283
172,0.84283
173,0.84283
174,0.84283
175,0.84283
176,0.84283
177,0.84283
178,0.84283
179,0.84283
180,0.84283
181,0.84283
182,0.84283
183,0.84283
184,0.84283
185,0.84283
186,0.84283
187,0.84283
188,0.84283
189,0.84283
190,0.84283
191,0.84283
192,0.84283
193,0.84283
194,0.84283
195,0.84283
196,0.84283
197,0.84283
198,0.84283
199,0.84283
200,0.84283
201,0.84283
202,0.84283
203,0.84283
204,0.84283
205,0.84283
206,0.84283
207,0.84283
208,0.84283
209,0.84283
210,0.84283
211,0.84283
212,0.84283
213,0.84283
214,0.84283
215,0.84283
216,0.84283
217,0.84283
218,0.84283
219,0.84283
220,0.84283
221,0.84283
222,0.84283
223,0.84283
224,0.84283
225,0.84283
226,0.84283
227,0.84283
228,0.84283
229,0.84283
230,0.84283
231,0.84283
232,0.84283
233,0.84283
234,0.84283
235,0.84283
236,0.84283
237,0.84283
238,0.84283
239,0.84283
240,0.84283
241,0.84283
242,0.84283
243,0.84283
244,0.84283
245,0.84283
246,0.84283
247,0.84283
248,0.84283
249,0.84283
250,0.84283
251,0.84283
252,0.84283
253,0.84283
254,0.84283
255,0.84283
256,0.84283
257,0.84283
258,0.84283
259,0.84283
260,0.84283
261,0.84283
262,0.84283
263,0.84283
264,0.84283
265,0.84283
266,0.84283
267,0.84283
268,0.84283
269,0.84283
270,0.84283
271,0.84283
272,0.84283
273,0.84283
274,0.84283
275,0.84283
276,0.84282
277,0.84282
278,0.84282
279,0.84282
280,0.84282
281,0.84282
282,0.84282
283,0.84282
284,0.84282
285,0.84282
286,0.84282
287,0.84282
288,0.84282
289,0.84282
290,0.84282
291,0.84282
292,0.84282
293,0.84282
294,0.84282
295,0.84282
296,0.84282
297,0.84282
298,0.84282
299,0.84282
300,0.84282
301,0.84282
302,0.84282
303,0.84282
304,0.84282
305,0.84282
306,0.84282
307,0.84282
308,0.84282
309,0.84282
310,0.84282
311,0.84282
312,0.84282
313,0.84282
314,0.84282
315,0.84282
316,0.84282
317,0.84282
318,0.84282
319,0.84282
320,0.84282
321,0.84282
322,0.84282
323,0.84282
324,0.84282
325,0.84282
326,0.84282
327,0.84282
328,0.84282
329,0.84282
330,0.84282
331,0.84282
332,0.84282
333,0.84282
334,0.84281
335,0.84281
336,0.84281
337,0.84281
338,0.84281
339,0.8428
340,0.8428
341,0.84279
342,0.84279
343,0.84278
344,0.84278
345,0.84278
346,0.84277
347,0.84277
348,0.84277
349,0.84277
350,0.84277
351,0.84276
352,0.84276
353,0.84276
354,0.84276
355,0.84276
356,0.84276
357,0.84276
358,0.84276
359,0.84275
360,0.84275
361,0.84275
362,0.84275
363,0.84275
364,0.84275
365,0.84275
366,0.84275
367,0.84275
368,0.84275
369,0.84275
370,0.84275
371,0.84275
372,0.84275
373,0.84275
374,0.84275
375,0.84275
376,0.84275
377,0.84275
378,0.84275
379,0.84275
380,0.84275
381,0.84275
382,0.84275
383,0.84275
384,0.84275
385,0.84275
386,0.84275
387,0.84275
388,0.84275
389,0.84275
390,0.84275
391,0.84275
392,0.84275
393,0.84275
394,0.84275
395,0.84275
396,0.84275
397,0.84275
398,0.84275
399,0.84275
400,0.84275
401,0.84275
402,0.84275
403,0.84275
404,0.84275
405,0.84275
406,0.84275
407,0.84275
408,0.84275
409,0.84275
410,0.84275
411,0.84275
412,0.84275
413,0.84275
414,0.84275
415,0.84275
416,0.84275
417,0.84275
418,0.84275
419,0.84275
420,0.84275
421,0.84275
422,0.84275
423,0.84275
424,0.84275
425,0.84275
426,0.84275
427,0.84275
428,0.84275
429,0.84275
430,0.84275
431,0.84275
432,0.84275
433,0.84275
434,0.84275
435,0.84275
436,0.84275
437,0.84275
438,0.84275
439,0.84275
440,0.84275
441,0.84275
442,0.84275
443,0.84275
444,0.84275
445,0.84275
446,0.84275
447,0.84275
448,0.84275
449,0.84275
450,0.84275
451,0.84275
452,0.84275
453,0.84275
454,0.84275
455,0.84275
456,0.84275
457,0.84275
458,0.84275
459,0.84275
460,0.84275
461,0.84275
462,0.84275
463,0.84275
464,0.84274
465,0.84274
466,0.84274
467,0.84274
468,0.84273
469,0.84272
470,0.84272
471,0.84272
472,0.8427
473,0.8427
474,0.8427
475,0.84269
476,0.84268
477,0.84268
478,0.84267
479,0.84267
480,0.84267
481,0.84267
482,0.84267
483,0.84267
484,0.84267
485,0.84266
486,0.84266
487,0.84266
488,0.84266
489,0.84266
490,0.84266
491,0.84266
492,0.84266
493,0.84266
494,0.84266
495,0.84266
496,0.84266
497,0.84266
498,0.84266
499,0.84266
500,0.84266
501,0.84266
502,0.84266
503,0.84266
504,0.84265
505,0.84265
506,0.84264
507,0.84264
508,0.84264
509,0.84264
510,0.84263
511,0.84263
512,0.84263
513,0.84263
514,0.84262
515,0.84262
516,0.84262
517,0.84262
518,0.84262
519,0.84262
520,0.84262
521,0.84262
522,0.84262
523,0.84262
524,0.84262
525,0.84262
526,0.84262
527,0.84262
528,0.84262
529,0.84262
530,0.84262
531,0.84262
532,0.84262
533,0.84262
534,0.84262
535,0.84262
536,0.84262
537,0.84262
538,0.84262
539,0.84262
540,0.84262
541,0.84262
542,0.84262
543,0.84262
544,0.84262
545,0.84262
546,0.84262
547,0.84262
548,0.84262
549,0.84262
550,0.84262
551,0.84262
552,0.84262
553,0.84262
554,0.84262
555,0.84262
556,0.84262
557,0.84262
558,0.84262
559,0.84262
560,0.84262
561,0.84262
562,0.84262
563,0.84262
564,0.84262
565,0.84262
566,0.84262
567,0.84262
568,0.84262
569,0.84262
570,0.84262
571,0.84262
572,0.84262
573,0.84262
574,0.84262
575,0.84262
576,0.84262
577,0.84262
578,0.84262
579,0.84262
580,0.84262
581,0.84262
582,0.84262
583,0.84262
584,0.84262
585,0.84262
586,0.84262
587,0.84262
588,0.8426
