rank,score
1,0.29755
2,0.30069
3,0.30629
4,0.3064
5,0.30664
6,0.3067
7,0.30714
8,0.30738
9,0.30758
10,0.30758
11,0.30782
12,0.30793
13,0.30842
14,0.30842
15,0.30842
16,0.30843
17,0.30845
18,0.30853
19,0.30859
20,0.30893
21,0.30897
22,0.30897
23,0.30903
24,0.30906
25,0.30906
26,0.3091
27,0.30916
28,0.30916
29,0.30918
30,0.30922
31,0.30922
32,0.30927
33,0.30933
34,0.30935
35,0.30936
36,0.30936
37,0.3094
38,0.30943
39,0.30948
40,0.30948
41,0.30949
42,0.30956
43,0.30958
44,0.30958
45,0.30958
46,0.30965
47,0.30966
48,0.30967
49,0.30968
50,0.30969
51,0.30972
52,0.30972
53,0.30973
54,0.30974
55,0.30974
56,0.30974
57,0.30975
58,0.30975
59,0.30976
60,0.30976
61,0.30978
62,0.30978
63,0.30979
64,0.3098
65,0.30981
66,0.30983
67,0.30983
68,0.30983
69,0.30985
70,0.30985
71,0.30987
72,0.30987
73,0.30988
74,0.30988
75,0.30991
76,0.30991
77,0.30992
78,0.30992
79,0.30992
80,0.30993
81,0.30994
82,0.30995
83,0.30996
84,0.30997
85,0.30998
86,0.30999
87,0.30999
88,0.30999
89,0.31
90,0.31
91,0.31
92,0.31
93,0.31002
94,0.31003
95,0.31003
96,0.31003
97,0.31004
98,0.31004
99,0.31005
100,0.31007
101,0.31007
102,0.31007
103,0.31007
104,0.31007
105,0.31009
106,0.3101
107,0.31011
108,0.31011
109,0.31012
110,0.31013
111,0.31015
112,0.31015
113,0.31015
114,0.31015
115,0.31016
116,0.31016
117,0.31016
118,0.31016
119,0.31017
120,0.31017
121,0.31018
122,0.31019
123,0.31019
124,0.31019
125,0.31019
126,0.31021
127,0.31021
128,0.31021
129,0.31022
130,0.31022
131,0.31023
132,0.31023
133,0.31023
134,0.31023
135,0.31023
136,0.31023
137,0.31023
138,0.31023
139,0.31023
140,0.31023
141,0.31023
142,0.31023
143,0.31023
144,0.31023
145,0.31023
146,0.31023
147,0.31024
148,0.31024
149,0.31024
150,0.31024
151,0.31024
152,0.31024
153,0.31024
154,0.31024
155,0.31024
156,0.31025
157,0.31025
158,0.31025
159,0.31025
160,0.31026
161,0.31026
162,0.31026
163,0.31026
164,0.31026
165,0.31026
166,0.31026
167,0.31027
168,0.31028
169,0.31028
170,0.31028
171,0.31029
172,0.31029
173,0.31029
174,0.31029
175,0.31029
176,0.31029
177,0.31029
178,0.3103
179,0.3103
180,0.3103
181,0.3103
182,0.3103
183,0.3103
184,0.3103
185,0.31031
186,0.31031
187,0.31031
188,0.31031
189,0.31031
190,0.31032
191,0.31032
192,0.31032
193,0.31032
194,0.31032
195,0.31032
196,0.31032
197,0.31032
198,0.31033
199,0.31033
200,0.31033
201,0.31033
202,0.31033
203,0.31033
204,0.31033
205,0.31033
206,0.31034
207,0.31034
208,0.31034
209,0.31034
210,0.31034
211,0.31034
212,0.31034
213,0.31034
214,0.31034
215,0.31034
216,0.31034
217,0.31035
218,0.31035
219,0.31035
220,0.31035
221,0.31035
222,0.31035
223,0.31035
224,0.31035
225,0.31035
226,0.31035
227,0.31035
228,0.31035
229,0.31035
230,0.31035
231,0.31035
232,0.31035
233,0.31035
234,0.31035
235,0.31035
236,0.31035
237,0.31035
238,0.31035
239,0.31035
240,0.31035
241,0.31035
242,0.31035
243,0.31035
244,0.31035
245,0.31035
246,0.31035
247,0.31035
248,0.31035
249,0.31035
250,0.31035
251,0.31035
252,0.31035
253,0.31035
254,0.31035
255,0.31035
256,0.31035
257,0.31035
258,0.31035
259,0.31035
260,0.31035
261,0.31035
262,0.31035
263,0.31035
264,0.31035
265,0.31035
266,0.31035
267,0.31035
268,0.31035
269,0.31035
270,0.31035
271,0.31035
272,0.31035
273,0.31035
274,0.31035
275,0.31035
276,0.31035
277,0.31035
278,0.31035
279,0.31035
280,0.31035
281,0.31035
282,0.31035
283,0.31035
284,0.31035
285,0.31035
286,0.31035
287,0.31035
288,0.31035
289,0.31035
290,0.31035
291,0.31035
292,0.31035
293,0.31035
294,0.31035
295,0.31035
296,0.31035
297,0.31035
298,0.31035
299,0.31035
300,0.31035
301,0.31035
302,0.31035
303,0.31035
304,0.31035
305,0.31035
306,0.31035
307,0.31035
308,0.31035
309,0.31035
310,0.31035
311,0.31035
312,0.31035
313,0.31035
314,0.31035
315,0.31035
316,0.31035
317,0.31035
318,0.31035
319,0.31035
320,0.31035
321,0.31035
322,0.31035
323,0.31035
324,0.31035
325,0.31035
