rank,score
1,0.28826
2,0.28976
3,0.28994
4,0.29405
5,0.29484
6,0.2952
7,0.2958
8,0.29595
9,0.29712
10,0.2978
11,0.29835
12,0.2994
13,0.29986
14,0.29992
15,0.30009
16,0.30024
17,0.3003
18,0.30042
19,0.30179
20,0.30193
21,0.30194
22,0.30273
23,0.30282
24,0.3034
25,0.30414
26,0.30416
27,0.3043
28,0.30459
29,0.30503
30,0.30508
31,0.30512
32,0.30523
33,0.30527
34,0.30528
35,0.30562
36,0.30594
37,0.30706
38,0.30725
39,0.30729
40,0.3074
41,0.30742
42,0.30747
43,0.30766
44,0.30768
45,0.30774
46,0.3078
47,0.30795
48,0.30833
49,0.30882
50,0.30883
51,0.30946
52,0.30959
53,0.30995
54,0.30997
55,0.31028
56,0.3103
57,0.31046
58,0.31056
59,0.31062
60,0.31074
61,0.31088
62,0.31091
63,0.31141
64,0.31144
65,0.31162
66,0.31172
67,0.31176
68,0.3127
69,0.31291
70,0.31317
71,0.31451
72,0.31453
73,0.31462
74,0.31474
75,0.31477
76,0.31477
77,0.31503
78,0.31517
79,0.31534
80,0.31539
81,0.31573
82,0.31651
83,0.3169
84,0.31699
85,0.31713
86,0.31729
87,0.3175
88,0.31761
89,0.31786
90,0.31815
91,0.31834
92,0.31841
93,0.31885
94,0.31903
95,0.32008
96,0.32038
97,0.3205
98,0.32052
99,0.32136
100,0.32187
101,0.32195
102,0.32216
103,0.32238
104,0.32295
105,0.32321
106,0.32383
107,0.32386
108,0.32447
109,0.32469
110,0.3259
111,0.32604
112,0.3272
113,0.32757
114,0.32804
115,0.32903
116,0.32958
117,0.32976
118,0.3301
119,0.33012
120,0.33129
121,0.33171
122,0.33172
123,0.33197
124,0.33241
125,0.33244
126,0.33279
127,0.3331
128,0.33334
129,0.33354
130,0.33362
131,0.33385
132,0.33401
133,0.33445
134,0.3358
135,0.33592
136,0.33657
137,0.33722
138,0.33732
139,0.33758
140,0.33795
141,0.33807
142,0.33809
143,0.33832
144,0.33918
145,0.34
146,0.34021
147,0.34043
148,0.34083
149,0.34118
150,0.34172
151,0.34294
152,0.34381
153,0.34451
154,0.34463
155,0.34469
156,0.34473
157,0.34482
158,0.34509
159,0.34511
160,0.34511
161,0.34526
162,0.3459
163,0.34594
164,0.34638
165,0.34659
166,0.34691
167,0.34697
168,0.34779
169,0.3486
170,0.34922
171,0.34981
172,0.35068
173,0.35143
174,0.35184
175,0.35193
176,0.35301
177,0.35346
178,0.35477
179,0.35803
180,0.35806
181,0.3587
182,0.35907
183,0.35928
184,0.35974
185,0.36051
186,0.36137
187,0.36155
188,0.36306
189,0.36391
190,0.36482
191,0.36553
192,0.36569
193,0.36623
194,0.3663
195,0.36655
196,0.36672
197,0.36687
198,0.36687
199,0.3672
200,0.3684
201,0.36842
202,0.36926
203,0.36932
204,0.37
205,0.37013
206,0.37115
207,0.37225
208,0.37417
209,0.37429
210,0.37445
211,0.37482
212,0.37532
213,0.37614
214,0.37657
215,0.37683
216,0.37706
217,0.37834
218,0.37858
219,0.37888
220,0.37892
221,0.37892
222,0.37938
223,0.3799
224,0.37997
225,0.38008
226,0.38019
227,0.38062
228,0.38081
229,0.38138
230,0.38177
231,0.38211
232,0.38246
233,0.38248
234,0.38339
235,0.38345
236,0.38396
237,0.38503
238,0.38554
239,0.38603
240,0.38605
241,0.38643
242,0.38761
243,0.38955
244,0.39041
245,0.39178
246,0.39186
247,0.39201
248,0.3929
249,0.39395
250,0.3942
251,0.39587
252,0.39603
253,0.39622
254,0.39673
255,0.39988
256,0.40085
257,0.40137
258,0.40181
259,0.40231
260,0.4028
261,0.40308
262,0.40368
263,0.404
264,0.40499
265,0.40611
266,0.40666
267,0.40699
268,0.40788
269,0.40867
270,0.40977
271,0.41032
272,0.41182
273,0.41222
274,0.41274
275,0.41375
276,0.41443
277,0.41467
278,0.41478
279,0.41559
280,0.42024
281,0.42081
282,0.42092
283,0.42135
284,0.42466
285,0.4273
286,0.42796
287,0.43195
288,0.43679
289,0.43691
290,0.43996
291,0.43997
292,0.44008
293,0.44008
294,0.44008
295,0.44014
296,0.44214
297,0.44234
298,0.44281
299,0.44424
300,0.44451
301,0.445
302,0.44734
303,0.44773
304,0.45234
305,0.46025
306,0.46157
307,0.46226
308,0.46612
309,0.46838
310,0.46977
311,0.4726
312,0.47563
313,0.47652
314,0.47652
315,0.47815
316,0.48207
317,0.48236
318,0.48415
319,0.48416
320,0.48491
321,0.48508
322,0.48675
323,0.48794
324,0.49082
325,0.49082
326,0.49098
327,0.49193
328,0.49542
329,0.49837
330,0.49842
331,0.50314
332,0.50664
333,0.50887
334,0.50895
335,0.51291
336,0.51434
337,0.51634
338,0.52141
339,0.523
340,0.52452
341,0.52692
342,0.5272
343,0.5272
344,0.5272
345,0.5272
346,0.5272
347,0.52721
348,0.52843
349,0.5286
350,0.53055
351,0.53154
352,0.53171
353,0.53189
354,0.53468
355,0.5347
356,0.5347
357,0.53473
358,0.53473
359,0.53474
360,0.53474
361,0.53477
362,0.53478
363,0.53479
364,0.5348
365,0.53484
366,0.53484
367,0.53487
368,0.53491
369,0.53491
370,0.53491
371,0.53491
372,0.53504
373,0.53518
374,0.53597
375,0.54065
376,0.54091
377,0.5417
378,0.54499
379,0.54524
380,0.54644
381,0.54726
382,0.54733
383,0.54762
384,0.54778
385,0.54925
386,0.54968
387,0.55083
388,0.55134
389,0.55234
390,0.55293
391,0.55454
392,0.55456
393,0.55456
394,0.55456
395,0.55463
396,0.55555
397,0.55578
398,0.55581
399,0.55583
400,0.55583
401,0.55744
402,0.55759
403,0.55765
404,0.55797
405,0.55834
406,0.55846
407,0.55851
408,0.55877
409,0.56
410,0.5646
411,0.56712
412,0.57341
413,0.57341
414,0.57682
415,0.57829
416,0.57829
417,0.58246
418,0.58271
419,0.58346
420,0.58461
421,0.58715
422,0.59472
423,0.59487
424,0.59949
425,0.60311
426,0.60843
427,0.61238
428,0.6133
429,0.61338
430,0.61522
431,0.61636
432,0.62014
433,0.62103
434,0.62109
435,0.62474
436,0.6306
437,0.63365
438,0.63995
439,0.64292
440,0.64455
441,0.64631
442,0.65189
443,0.65245
444,0.65245
445,0.65245
446,0.65245
447,0.65245
448,0.65507
449,0.65728
450,0.66671
451,0.67444
452,0.6747
453,0.67531
454,0.6773
455,0.67927
456,0.68186
457,0.68324
458,0.68324
459,0.68324
460,0.70067
461,0.70067
462,0.70067
463,0.70281
464,0.70602
465,0.72018
466,0.72149
467,0.72149
468,0.72149
469,0.72149
470,0.72149
471,0.72149
472,0.72149
473,0.72149
474,0.72149
475,0.72149
476,0.72149
477,0.72149
478,0.72149
479,0.72149
480,0.72149
481,0.72149
482,0.72262
483,0.7254
484,0.73359
485,0.74267
486,0.74347
487,0.76864
488,0.7694
489,0.7709
490,0.77158
491,0.77691
492,0.78262
493,0.78523
494,0.79091
495,0.79337
496,0.80084
497,0.8121
498,0.81619
499,0.82362
500,0.82822
501,0.83169
502,0.83408
503,0.87415
504,0.87685
505,0.87885
506,0.90042
507,0.90272
508,0.92122
509,0.94278
510,0.98442
511,1.00134
512,1.0183
513,1.0457
514,1.0566
515,1.08309
516,1.1498
517,1.19253
518,1.19253
519,1.22031
520,1.24912
521,1.24912
522,1.3432
523,1.41382
524,1.48337
525,1.55109
526,1.7211
527,2.42968
528,2.95652
529,4.94055
530,5.17177
