rank,score
1,0.2875
2,0.2886
3,0.28955
4,0.29388
5,0.29388
6,0.29407
7,0.29428
8,0.29453
9,0.29464
10,0.29705
11,0.29728
12,0.29856
13,0.2991
14,0.29934
15,0.29947
16,0.29959
17,0.30021
18,0.30028
19,0.30103
20,0.30154
21,0.30201
22,0.3022
23,0.30234
24,0.30257
25,0.3026
26,0.30282
27,0.30348
28,0.30367
29,0.30375
30,0.30398
31,0.3042
32,0.30425
33,0.30448
34,0.30459
35,0.30477
36,0.30584
37,0.30599
38,0.3061
39,0.30623
40,0.30625
41,0.30642
42,0.30649
43,0.30681
44,0.3069
45,0.30691
46,0.30693
47,0.30698
48,0.30722
49,0.30726
50,0.30771
51,0.30794
52,0.30795
53,0.30836
54,0.30874
55,0.30926
56,0.30929
57,0.30933
58,0.3094
59,0.30964
60,0.30972
61,0.30986
62,0.3099
63,0.31002
64,0.31007
65,0.3101
66,0.31022
67,0.31029
68,0.31055
69,0.31118
70,0.31138
71,0.3115
72,0.31157
73,0.3117
74,0.31326
75,0.31331
76,0.31343
77,0.31345
78,0.31359
79,0.31395
80,0.31397
81,0.31406
82,0.31516
83,0.31517
84,0.31534
85,0.31569
86,0.31598
87,0.31606
88,0.31639
89,0.31645
90,0.31652
91,0.31654
92,0.31679
93,0.31722
94,0.31765
95,0.31829
96,0.31855
97,0.31882
98,0.31938
99,0.31968
100,0.32018
101,0.32027
102,0.32073
103,0.32075
104,0.32132
105,0.32189
106,0.32197
107,0.32259
108,0.32272
109,0.32294
110,0.32348
111,0.32583
112,0.32632
113,0.32671
114,0.32688
115,0.32706
116,0.32811
117,0.32834
118,0.32906
119,0.33042
120,0.33049
121,0.33105
122,0.33151
123,0.33165
124,0.33172
125,0.33228
126,0.33235
127,0.33243
128,0.33261
129,0.33287
130,0.33288
131,0.33289
132,0.33312
133,0.33413
134,0.33418
135,0.33476
136,0.33546
137,0.33595
138,0.33617
139,0.33632
140,0.33682
141,0.33705
142,0.33752
143,0.33835
144,0.33836
145,0.3394
146,0.33992
147,0.34009
148,0.3403
149,0.34108
150,0.34121
151,0.34144
152,0.3425
153,0.34286
154,0.34349
155,0.34413
156,0.34467
157,0.34484
158,0.34485
159,0.34486
160,0.34486
161,0.34537
162,0.34552
163,0.34552
164,0.34579
165,0.34605
166,0.34636
167,0.3464
168,0.34644
169,0.34689
170,0.34826
171,0.34901
172,0.34947
173,0.35025
174,0.35065
175,0.3509
176,0.35118
177,0.35122
178,0.35357
179,0.35611
180,0.35704
181,0.35706
182,0.35786
183,0.35845
184,0.35922
185,0.35992
186,0.36018
187,0.36037
188,0.36042
189,0.36182
190,0.36244
191,0.36375
192,0.36385
193,0.36471
194,0.3648
195,0.36531
196,0.36532
197,0.36645
198,0.36768
199,0.36768
200,0.36772
201,0.36859
202,0.36882
203,0.36896
204,0.36905
205,0.36929
206,0.37035
207,0.3714
208,0.37164
209,0.37241
210,0.37329
211,0.37362
212,0.37408
213,0.37485
214,0.37512
215,0.37525
216,0.37621
217,0.3769
218,0.3772
219,0.3772
220,0.37802
221,0.3781
222,0.37814
223,0.3782
224,0.37888
225,0.37909
226,0.37942
227,0.37956
228,0.37991
229,0.38144
230,0.38163
231,0.3818
232,0.38185
233,0.38214
234,0.38235
235,0.38303
236,0.38307
237,0.38334
238,0.38441
239,0.38461
240,0.38533
241,0.38535
242,0.38652
243,0.38802
244,0.39036
245,0.39063
246,0.39185
247,0.39211
248,0.3927
249,0.39284
250,0.39354
251,0.39476
252,0.39601
253,0.39601
254,0.39604
255,0.39857
256,0.39866
257,0.40119
258,0.40149
259,0.40169
260,0.40287
261,0.40292
262,0.40421
263,0.40424
264,0.40433
265,0.40523
266,0.40594
267,0.40735
268,0.4075
269,0.40785
