rank,score
1,0.96782
2,0.81206
3,0.80475
4,0.80428
5,0.80171
6,0.80072
7,0.80036
8,0.79945
9,0.79929
10,0.79809
11,0.79806
12,0.79698
13,0.79668
14,0.79581
15,0.79483
16,0.79479
17,0.79454
18,0.79432
19,0.79358
20,0.7933
21,0.79291
22,0.7922
23,0.79172
24,0.79096
25,0.79021
26,0.79003
27,0.78894
28,0.78719
29,0.78702
30,0.78693
31,0.78676
32,0.78634
33,0.78609
34,0.78605
35,0.78588
36,0.78571
37,0.78557
38,0.78517
39,0.78402
40,0.78388
41,0.78352
42,0.78314
43,0.78248
44,0.78225
45,0.78191
46,0.78177
47,0.78172
48,0.78138
49,0.78105
50,0.78095
51,0.78093
52,0.78092
53,0.78004
54,0.78001
55,0.77983
56,0.77975
57,0.77959
58,0.77948
59,0.77927
60,0.77904
61,0.77864
62,0.7784
63,0.77838
64,0.77832
65,0.77821
66,0.77811
67,0.77805
68,0.77805
69,0.77803
70,0.77783
71,0.77782
72,0.77776
73,0.77757
74,0.77745
75,0.7774
76,0.77712
77,0.77697
78,0.7769
79,0.77673
80,0.77665
81,0.77636
82,0.77617
83,0.7761
84,0.77606
85,0.77601
86,0.77587
87,0.77566
88,0.77547
89,0.77545
90,0.77539
91,0.77532
92,0.7751
93,0.77491
94,0.77489
95,0.77466
96,0.77452
97,0.77449
98,0.77445
99,0.7744
100,0.77439
101,0.77438
102,0.77406
103,0.77398
104,0.7736
105,0.77332
106,0.77299
107,0.77298
108,0.77284
109,0.7728
110,0.77271
111,0.77247
112,0.77229
113,0.77218
114,0.77217
115,0.77215
116,0.77203
117,0.7719
118,0.77189
119,0.77175
120,0.77173
121,0.7717
122,0.77162
123,0.77161
124,0.77154
125,0.77108
126,0.77105
127,0.77096
128,0.77093
129,0.77092
130,0.77088
131,0.77088
132,0.7708
133,0.77051
134,0.7704
135,0.77035
136,0.77024
137,0.76994
138,0.76988
139,0.76979
140,0.76977
141,0.7697
142,0.76961
143,0.76956
144,0.76949
145,0.76944
146,0.76941
147,0.76927
148,0.76921
149,0.76919
150,0.76892
151,0.7688
152,0.7687
153,0.76863
154,0.76854
155,0.76853
156,0.7684
157,0.76828
158,0.76828
159,0.76826
160,0.76802
161,0.76767
162,0.76765
163,0.76764
164,0.76706
165,0.7669
166,0.76689
167,0.76673
168,0.76673
169,0.76671
170,0.76668
171,0.76664
172,0.76662
173,0.76651
174,0.76644
175,0.76641
176,0.76636
177,0.76614
178,0.76612
179,0.76604
180,0.76587
181,0.76583
182,0.76582
183,0.76569
184,0.76567
185,0.76559
186,0.76557
187,0.76537
188,0.76535
189,0.76526
190,0.76515
191,0.76515
192,0.76513
193,0.7651
194,0.76502
195,0.76499
196,0.76478
197,0.76473
198,0.76471
199,0.76467
200,0.76466
201,0.7646
202,0.76452
203,0.76446
204,0.76441
205,0.76427
206,0.76425
207,0.7642
208,0.76415
209,0.76411
210,0.76409
211,0.76407
212,0.76401
213,0.76378
214,0.76376
215,0.76364
216,0.76361
217,0.76359
218,0.76354
219,0.76348
220,0.76347
221,0.76343
222,0.76341
223,0.7634
224,0.76338
225,0.76338
226,0.76333
227,0.76327
228,0.76326
229,0.76326
230,0.76326
231,0.76326
232,0.76325
233,0.76324
234,0.76324
235,0.76322
236,0.76321
237,0.76321
238,0.76319
239,0.76318
240,0.76313
241,0.76313
242,0.76313
243,0.76312
244,0.7631
245,0.7631
246,0.76309
247,0.76307
248,0.76307
249,0.76307
250,0.76307
251,0.76306
252,0.76306
253,0.76305
254,0.76305
255,0.76305
256,0.76305
257,0.76305
258,0.76305
259,0.76305
260,0.76305
261,0.76305
262,0.76305
263,0.76305
264,0.76305
265,0.76305
266,0.76305
267,0.76305
268,0.76305
269,0.76305
270,0.76305
271,0.76305
272,0.76305
273,0.76305
274,0.76305
275,0.76305
276,0.76305
277,0.76305
278,0.76305
279,0.76304
280,0.76299
281,0.76298
282,0.76298
283,0.76296
284,0.76295
285,0.76295
286,0.76293
287,0.76292
288,0.76288
289,0.76287
290,0.76286
291,0.76284
292,0.76281
293,0.76279
294,0.76279
295,0.76276
296,0.76273
297,0.76271
298,0.76268
299,0.76267
300,0.76264
301,0.76264
302,0.76264
303,0.76264
304,0.76264
305,0.76264
306,0.76264
307,0.76264
308,0.76264
309,0.76264
310,0.76264
311,0.76264
312,0.76261
313,0.76259
314,0.76259
315,0.76251
316,0.76251
317,0.76251
318,0.76251
319,0.76251
320,0.76251
321,0.76251
322,0.76251
323,0.76251
324,0.76251
325,0.76245
326,0.76244
327,0.76234
328,0.76226
329,0.76225
330,0.76225
331,0.76225
332,0.76225
333,0.76225
334,0.76225
335,0.76225
336,0.76225
337,0.76225
338,0.76225
339,0.76225
340,0.76225
341,0.76225
342,0.76225
343,0.76225
344,0.76225
345,0.76225
346,0.76225
347,0.7622
348,0.7622
349,0.76219
350,0.76219
351,0.76202
352,0.76199
353,0.76198
354,0.76183
355,0.76136
356,0.76132
357,0.76108
358,0.76092
359,0.76091
360,0.7608
361,0.76073
362,0.76062
363,0.76059
364,0.76059
365,0.76048
366,0.76042
367,0.76033
368,0.76033
369,0.76029
370,0.76029
371,0.75998
372,0.7599
373,0.75989
374,0.75988
375,0.75987
376,0.75972
377,0.75962
378,0.75954
379,0.75938
380,0.75924
381,0.75919
382,0.75906
383,0.75899
384,0.75893
385,0.75889
386,0.75888
387,0.75881
388,0.75881
389,0.75881
390,0.75881
391,0.75881
392,0.75881
393,0.75881
394,0.7588
395,0.75874
396,0.75871
397,0.75866
398,0.75857
399,0.7579
400,0.7579
401,0.7579
402,0.75787
403,0.75787
404,0.75783
405,0.75777
406,0.75774
407,0.75774
408,0.75752
409,0.75752
410,0.75752
411,0.7575
412,0.75746
413,0.75727
414,0.75727
415,0.75718
416,0.75718
417,0.75718
418,0.75717
419,0.75716
420,0.75716
421,0.75716
422,0.75716
423,0.75716
424,0.75714
425,0.75713
426,0.75713
427,0.75713
428,0.75713
429,0.75713
430,0.75713
431,0.75713
432,0.75708
433,0.75701
434,0.75688
435,0.75677
436,0.75676
437,0.75676
438,0.75676
439,0.75676
440,0.75675
441,0.7567
442,0.75664
443,0.75652
444,0.75649
445,0.75647
446,0.75647
447,0.75627
448,0.7559
449,0.7559
450,0.7559
451,0.7559
452,0.7559
453,0.7559
454,0.7559
455,0.7559
456,0.7559
457,0.75575
458,0.75575
459,0.75574
460,0.75574
461,0.75574
462,0.75574
463,0.75574
464,0.75561
465,0.7556
466,0.75557
467,0.75524
468,0.75514
469,0.75498
470,0.7548
471,0.75474
472,0.75451
473,0.75435
474,0.75433
475,0.7542
476,0.75392
477,0.75356
478,0.75354
479,0.75354
480,0.75299
481,0.75287
482,0.75281
483,0.75277
484,0.75272
485,0.75272
486,0.75272
487,0.75272
488,0.75256
489,0.75211
490,0.75165
491,0.75095
492,0.75073
493,0.75069
494,0.75056
495,0.74954
496,0.74916
497,0.74907
498,0.74882
499,0.74838
500,0.74835
501,0.74831
502,0.74806
503,0.74787
504,0.74764
505,0.74764
506,0.74756
507,0.74636
508,0.74578
509,0.74546
510,0.74532
511,0.74455
512,0.74455
513,0.74455
514,0.74455
515,0.74455
516,0.74455
517,0.74358
518,0.74263
519,0.74056
520,0.74053
521,0.74049
522,0.73982
523,0.73924
524,0.73884
525,0.73776
526,0.73776
527,0.73237
528,0.73228
529,0.73197
530,0.73125
531,0.731
532,0.7299
533,0.72961
534,0.7296
535,0.72785
536,0.72767
537,0.72756
538,0.72746
539,0.72746
540,0.72746
541,0.72692
542,0.72692
543,0.72692
544,0.72692
545,0.72692
546,0.72692
547,0.72692
548,0.72692
549,0.72692
550,0.72692
551,0.72691
552,0.72665
553,0.72665
554,0.72656
555,0.72653
556,0.7258
557,0.72566
558,0.72518
559,0.72479
560,0.72427
561,0.72401
562,0.72355
563,0.72301
564,0.72273
565,0.72238
566,0.72238
567,0.72135
568,0.7201
569,0.72006
570,0.71933
571,0.71926
572,0.71868
573,0.71795
574,0.71677
575,0.71609
576,0.71601
577,0.71557
578,0.7155
579,0.71533
580,0.71419
581,0.71382
582,0.71327
583,0.7131
584,0.71291
585,0.71273
586,0.71255
587,0.71221
588,0.71178
589,0.71064
590,0.71053
591,0.71044
592,0.70995
593,0.70995
594,0.70995
595,0.70995
596,0.70995
597,0.70995
598,0.70995
599,0.70995
600,0.70995
601,0.70995
602,0.70968
603,0.70964
604,0.70808
605,0.70807
606,0.70735
607,0.70649
608,0.70615
609,0.70533
610,0.70454
611,0.70397
612,0.70288
613,0.70288
614,0.70256
615,0.7021
616,0.70167
617,0.70053
618,0.7
619,0.69949
620,0.69796
621,0.69739
622,0.69725
623,0.69693
624,0.69617
625,0.69599
626,0.69448
627,0.69377
628,0.69339
629,0.69305
630,0.691
631,0.68955
632,0.68857
633,0.68743
634,0.68734
635,0.68722
636,0.68713
637,0.68678
638,0.68678
639,0.68581
640,0.68568
641,0.68533
642,0.68514
643,0.68512
644,0.68124
645,0.68016
646,0.67991
647,0.6776
648,0.67662
649,0.67659
650,0.67259
651,0.67191
652,0.67173
653,0.67067
654,0.6698
655,0.66959
