rank,score
1,0.96946
2,0.81407
3,0.80697
4,0.80411
5,0.80355
6,0.80288
7,0.80242
8,0.80146
9,0.80116
10,0.8003
11,0.80013
12,0.79993
13,0.79915
14,0.79773
15,0.79695
16,0.79665
17,0.79603
18,0.79566
19,0.79549
20,0.79399
21,0.79382
22,0.79348
23,0.79328
24,0.79175
25,0.79167
26,0.79119
27,0.7904
28,0.79024
29,0.79022
30,0.79021
31,0.7887
32,0.78854
33,0.78776
34,0.78773
35,0.7876
36,0.78755
37,0.7874
38,0.78736
39,0.78711
40,0.78702
41,0.7866
42,0.78652
43,0.78642
44,0.78623
45,0.78611
46,0.78594
47,0.78584
48,0.78541
49,0.7854
50,0.78522
51,0.78518
52,0.78515
53,0.78394
54,0.78383
55,0.7836
56,0.78346
57,0.78308
58,0.78274
59,0.78269
60,0.78261
61,0.78257
62,0.7825
63,0.78246
64,0.7823
65,0.78212
66,0.78202
67,0.78199
68,0.78194
69,0.78179
70,0.78176
71,0.78167
72,0.78141
73,0.78131
74,0.78122
75,0.78062
76,0.78041
77,0.78025
78,0.78017
79,0.77999
80,0.77995
81,0.77993
82,0.7799
83,0.77987
84,0.77953
85,0.77947
86,0.77922
87,0.77907
88,0.77896
89,0.77855
90,0.7785
91,0.77847
92,0.77838
93,0.77823
94,0.77815
95,0.77805
96,0.77801
97,0.77793
98,0.77778
99,0.77765
100,0.77748
101,0.77743
102,0.77734
103,0.77731
104,0.77724
105,0.77713
106,0.77696
107,0.77692
108,0.77675
109,0.77671
110,0.77654
111,0.77644
112,0.77636
113,0.77624
114,0.7762
115,0.77606
116,0.77604
117,0.7757
118,0.7756
119,0.77516
120,0.77515
121,0.77488
122,0.77477
123,0.77471
124,0.77462
125,0.77458
126,0.77444
127,0.77437
128,0.77411
129,0.77402
130,0.77392
131,0.7739
132,0.77384
133,0.77369
134,0.77357
135,0.77348
136,0.77335
137,0.77329
138,0.77315
139,0.77308
140,0.77294
141,0.7728
142,0.77265
143,0.77258
144,0.77249
145,0.77246
146,0.77239
147,0.77233
