rank,score
1,1.95936
2,1.96028
3,2.04752
4,2.06701
5,2.08619
6,2.08857
7,2.09175
8,2.09323
9,2.09842
10,2.11465
11,2.11607
12,2.11638
13,2.11646
14,2.11958
15,2.11984
16,2.12229
17,2.12304
18,2.12447
19,2.12753
20,2.13112
21,2.13694
22,2.13796
23,2.13941
24,2.14198
25,2.14425
26,2.14552
27,2.14682
28,2.14714
29,2.15307
30,2.15452
31,2.16077
32,2.17335
33,2.17345
34,2.17345
35,2.17789
36,2.18183
37,2.18186
38,2.19219
39,2.2012
40,2.20736
41,2.20848
42,2.21013
43,2.21049
44,2.21279
45,2.2185
46,2.22151
47,2.22185
48,2.22187
49,2.2223
50,2.2232
51,2.22358
52,2.22394
53,2.22444
54,2.22565
55,2.22589
56,2.22601
57,2.22684
58,2.22684
59,2.22703
60,2.22728
61,2.22858
62,2.23006
63,2.23006
64,2.23011
65,2.23095
66,2.23145
67,2.23164
68,2.23231
69,2.23345
70,2.23348
71,2.23361
72,2.23364
73,2.23451
74,2.2351
75,2.23511
76,2.23526
77,2.23686
78,2.23695
79,2.23831
80,2.23858
81,2.23887
82,2.23942
83,2.23949
84,2.23972
85,2.24003
86,2.24122
87,2.24147
88,2.24152
89,2.24209
90,2.24213
91,2.24219
92,2.2423
93,2.24248
94,2.24302
95,2.2435
96,2.24376
97,2.24412
98,2.2449
99,2.24508
100,2.24583
101,2.24662
102,2.2467
103,2.24682
104,2.24682
105,2.24711
106,2.24732
107,2.24773
108,2.24793
109,2.24843
110,2.24867
111,2.24874
112,2.24876
113,2.24888
114,2.24889
115,2.24914
116,2.24918
117,2.24918
118,2.24955
119,2.24975
120,2.25019
121,2.25034
122,2.2504
123,2.2505
124,2.25084
125,2.25127
126,2.25175
127,2.25248
128,2.25331
129,2.25331
130,2.25416
131,2.2545
132,2.25455
133,2.25464
134,2.25556
135,2.25684
136,2.25689
137,2.25851
138,2.25922
139,2.2593
140,2.26003
141,2.26023
142,2.26029
143,2.26034
144,2.26051
145,2.26056
146,2.26111
147,2.2631
148,2.26344
149,2.26396
150,2.26409
151,2.26412
152,2.2652
153,2.26679
154,2.26812
155,2.26901
156,2.26913
157,2.26914
158,2.26973
159,2.27036
160,2.27176
161,2.27192
162,2.27439
163,2.27451
164,2.27535
165,2.27541
166,2.27594
167,2.27614
