rank,score
1,0.78
2,0.779
3,0.779
4,0.777
5,0.767
6,0.764
7,0.762
8,0.761
9,0.76
10,0.76
11,0.76
12,0.759
13,0.759
14,0.759
15,0.758
16,0.757
17,0.755
18,0.755
19,0.754
20,0.754
21,0.754
22,0.754
23,0.754
24,0.752
25,0.752
26,0.752
27,0.75
28,0.749
29,0.749
30,0.749
31,0.749
32,0.747
33,0.747
34,0.746
35,0.745
36,0.744
37,0.744
38,0.743
39,0.743
40,0.743
41,0.742
42,0.741
43,0.741
44,0.74
45,0.74
46,0.74
47,0.74
48,0.74
49,0.74
50,0.739
51,0.739
52,0.739
53,0.739
54,0.738
55,0.738
56,0.738
57,0.737
58,0.737
59,0.737
60,0.737
61,0.737
62,0.737
63,0.737
64,0.736
65,0.736
66,0.736
67,0.735
68,0.735
69,0.735
70,0.734
71,0.734
72,0.734
73,0.734
74,0.734
75,0.734
76,0.733
77,0.733
78,0.733
79,0.733
80,0.732
81,0.732
82,0.732
83,0.732
84,0.732
85,0.732
86,0.732
87,0.732
88,0.732
89,0.732
90,0.731
91,0.731
92,0.731
93,0.731
94,0.731
95,0.731
96,0.731
97,0.731
98,0.73
99,0.73
100,0.73
101,0.73
102,0.729
103,0.729
104,0.729
105,0.729
106,0.729
107,0.729
108,0.729
109,0.729
110,0.729
111,0.728
112,0.728
113,0.728
114,0.728
115,0.728
116,0.728
117,0.728
118,0.728
119,0.728
120,0.728
121,0.728
122,0.727
123,0.727
124,0.727
125,0.727
126,0.727
127,0.727
128,0.727
129,0.727
130,0.726
131,0.726
132,0.726
133,0.726
134,0.726
135,0.726
136,0.726
137,0.726
138,0.726
139,0.726
140,0.726
141,0.726
142,0.726
143,0.726
144,0.726
145,0.726
146,0.726
147,0.726
148,0.726
149,0.725
150,0.725
151,0.725
152,0.725
153,0.725
154,0.725
155,0.725
156,0.725
157,0.725
158,0.725
159,0.725
160,0.725
161,0.725
162,0.725
163,0.725
164,0.725
165,0.725
166,0.725
167,0.725
168,0.725
169,0.725
170,0.725
171,0.725
172,0.725
173,0.725
174,0.725
175,0.725
176,0.725
177,0.724
178,0.724
179,0.724
180,0.724
181,0.724
182,0.724
183,0.724
184,0.724
185,0.724
186,0.724
187,0.724
188,0.724
189,0.724
190,0.724
191,0.724
192,0.724
193,0.724
194,0.724
195,0.724
196,0.724
197,0.724
198,0.724
199,0.724
200,0.724
201,0.724
202,0.724
203,0.724
204,0.724
205,0.724
206,0.724
207,0.724
208,0.724
209,0.724
210,0.724
211,0.724
212,0.723
213,0.723
214,0.723
215,0.723
216,0.723
217,0.723
218,0.723
219,0.723
220,0.723
221,0.723
222,0.723
223,0.723
224,0.723
225,0.723
226,0.723
227,0.723
228,0.723
229,0.723
230,0.723
231,0.723
232,0.723
233,0.723
234,0.723
235,0.723
236,0.723
237,0.723
238,0.723
239,0.723
240,0.723
241,0.723
242,0.723
243,0.723
244,0.723
245,0.723
246,0.723
247,0.723
248,0.723
249,0.723
250,0.723
251,0.723
252,0.723
253,0.723
254,0.723
255,0.723
256,0.723
257,0.723
258,0.723
259,0.723
260,0.723
261,0.723
262,0.723
263,0.723
264,0.723
265,0.723
266,0.723
267,0.723
268,0.723
269,0.723
270,0.723
271,0.723
272,0.723
273,0.723
274,0.723
275,0.723
276,0.723
277,0.723
278,0.723
279,0.723
280,0.723
281,0.723
282,0.723
283,0.723
284,0.723
285,0.723
286,0.723
287,0.723
288,0.723
289,0.723
290,0.723
291,0.723
292,0.723
293,0.723
294,0.723
295,0.723
296,0.723
297,0.723
298,0.723
299,0.723
300,0.723
301,0.723
302,0.723
303,0.723
