rank,score
1,0.793
2,0.792
3,0.791
4,0.79
5,0.781
6,0.776
7,0.775
8,0.775
9,0.773
10,0.771
11,0.771
12,0.771
13,0.771
14,0.771
15,0.77
16,0.77
17,0.768
18,0.767
19,0.767
20,0.767
21,0.767
22,0.765
23,0.765
24,0.764
25,0.763
26,0.762
27,0.762
28,0.761
29,0.761
30,0.76
31,0.76
32,0.759
33,0.759
34,0.757
35,0.756
36,0.756
37,0.755
38,0.755
39,0.755
40,0.755
41,0.754
42,0.753
43,0.753
44,0.752
45,0.751
46,0.751
47,0.751
48,0.751
49,0.751
50,0.751
51,0.75
52,0.75
53,0.75
54,0.75
55,0.75
56,0.75
57,0.749
58,0.749
59,0.749
60,0.749
61,0.748
62,0.748
63,0.748
64,0.748
65,0.748
66,0.747
67,0.747
68,0.747
69,0.747
70,0.746
71,0.746
72,0.746
73,0.745
74,0.745
75,0.745
76,0.745
77,0.744
78,0.744
79,0.744
80,0.744
81,0.744
82,0.744
83,0.744
84,0.744
85,0.743
86,0.743
87,0.743
88,0.743
89,0.743
90,0.743
91,0.743
92,0.742
93,0.742
94,0.742
95,0.742
96,0.742
97,0.742
98,0.741
99,0.741
100,0.741
101,0.741
102,0.74
103,0.74
104,0.74
105,0.74
106,0.74
107,0.74
108,0.739
109,0.739
110,0.739
111,0.739
112,0.739
113,0.739
114,0.739
115,0.739
116,0.739
117,0.739
118,0.738
119,0.738
120,0.738
121,0.738
122,0.738
123,0.738
124,0.737
125,0.737
126,0.737
127,0.737
128,0.737
129,0.737
130,0.737
131,0.737
132,0.737
133,0.737
134,0.737
135,0.737
136,0.737
137,0.737
138,0.737
139,0.737
140,0.736
141,0.736
142,0.736
143,0.736
144,0.736
145,0.736
146,0.736
147,0.736
148,0.736
149,0.736
150,0.736
151,0.736
152,0.736
153,0.736
154,0.736
155,0.736
156,0.736
157,0.736
158,0.736
159,0.736
160,0.736
161,0.736
162,0.736
163,0.736
164,0.736
165,0.736
166,0.736
167,0.736
168,0.736
169,0.736
170,0.735
171,0.735
172,0.735
173,0.735
174,0.735
175,0.735
176,0.735
177,0.735
178,0.735
