rank,score
1,0.635
2,0.634
3,0.634
4,0.631
5,0.628
6,0.628
7,0.626
8,0.625
9,0.625
10,0.624
11,0.624
12,0.623
13,0.623
14,0.622
15,0.622
16,0.621
17,0.621
18,0.621
19,0.621
20,0.62
21,0.619
22,0.619
23,0.619
24,0.619
25,0.619
26,0.619
27,0.617
28,0.617
29,0.616
30,0.616
31,0.616
32,0.615
33,0.615
34,0.615
35,0.614
36,0.614
37,0.614
38,0.614
39,0.613
40,0.613
41,0.613
42,0.613
43,0.613
44,0.612
45,0.612
46,0.612
47,0.612
48,0.612
49,0.611
50,0.611
51,0.611
52,0.611
53,0.611
54,0.611
55,0.611
56,0.61
57,0.61
58,0.61
59,0.61
60,0.61
61,0.61
62,0.61
63,0.61
64,0.61
65,0.609
66,0.609
67,0.609
68,0.609
69,0.608
70,0.608
71,0.608
72,0.608
73,0.608
74,0.607
75,0.607
76,0.607
77,0.607
78,0.606
79,0.606
80,0.606
81,0.606
82,0.606
83,0.606
84,0.605
85,0.605
86,0.605
87,0.605
88,0.605
89,0.604
90,0.604
91,0.604
92,0.604
93,0.604
94,0.604
95,0.604
96,0.604
97,0.604
98,0.604
99,0.603
100,0.603
101,0.603
102,0.603
103,0.603
104,0.603
105,0.603
106,0.603
107,0.602
108,0.602
109,0.602
110,0.602
111,0.602
112,0.602
113,0.601
114,0.601
115,0.601
116,0.601
117,0.601
118,0.601
119,0.601
120,0.601
121,0.601
122,0.601
123,0.601
124,0.601
125,0.601
126,0.601
127,0.601
128,0.601
129,0.601
130,0.601
131,0.601
132,0.601
133,0.601
134,0.6
135,0.6
136,0.6
137,0.6
138,0.6
139,0.6
140,0.6
141,0.599
142,0.599
143,0.599
144,0.599
145,0.599
146,0.599
147,0.599
148,0.599
149,0.599
150,0.599
151,0.599
152,0.598
153,0.598
154,0.598
155,0.598
156,0.598
157,0.598
158,0.598
159,0.598
160,0.598
161,0.598
162,0.598
163,0.598
164,0.598
165,0.598
166,0.598
167,0.598
168,0.598
169,0.598
170,0.598
171,0.598
172,0.598
173,0.598
174,0.598
175,0.598
176,0.598
177,0.598
178,0.597
179,0.597
180,0.597
181,0.597
182,0.597
183,0.597
184,0.597
185,0.597
186,0.597
187,0.597
188,0.597
189,0.597
190,0.597
191,0.597
192,0.597
193,0.597
194,0.597
195,0.597
196,0.597
197,0.597
198,0.597
199,0.597
200,0.597
201,0.597
202,0.597
203,0.597
204,0.597
205,0.597
206,0.597
207,0.597
208,0.597
209,0.597
210,0.597
211,0.597
212,0.597
213,0.597
214,0.597
215,0.597
216,0.597
217,0.597
218,0.597
219,0.597
220,0.597
221,0.597
222,0.597
223,0.597
224,0.597
225,0.597
226,0.597
227,0.597
228,0.597
229,0.597
230,0.597
231,0.597
232,0.597
233,0.597
234,0.597
235,0.597
236,0.597
237,0.597
238,0.597
239,0.597
240,0.597
241,0.597
242,0.597
243,0.597
244,0.597
245,0.597
246,0.597
247,0.597
248,0.597
249,0.597
250,0.597
251,0.597
252,0.597
253,0.597
254,0.597
255,0.597
256,0.597
257,0.597
258,0.597
259,0.597
260,0.597
261,0.597
262,0.597
263,0.597
264,0.597
265,0.597
266,0.597
267,0.597
268,0.597
269,0.597
270,0.597
271,0.597
272,0.597
273,0.597
274,0.597
275,0.597
276,0.597
277,0.597
278,0.597
279,0.597
280,0.597
281,0.597
282,0.597
283,0.597
284,0.597
285,0.597
286,0.597
287,0.597
288,0.597
289,0.597
290,0.597
291,0.597
292,0.597
293,0.597
294,0.597
295,0.597
296,0.597
297,0.597
298,0.597
299,0.597
300,0.597
301,0.597
302,0.597
303,0.597
304,0.597
305,0.597
306,0.597
307,0.597
308,0.597
309,0.597
310,0.597
311,0.597
312,0.597
313,0.597
314,0.597
315,0.597
316,0.597
317,0.597
318,0.597
319,0.597
320,0.597
321,0.597
322,0.597
323,0.597
324,0.597
325,0.597
326,0.597
327,0.597
328,0.597
329,0.597
330,0.597
331,0.597
332,0.597
333,0.597
334,0.597
335,0.597
336,0.597
337,0.597
338,0.597
339,0.597
340,0.597
341,0.597
342,0.597
343,0.597
344,0.597
345,0.597
346,0.597
347,0.597
348,0.597
349,0.597
350,0.597
351,0.597
352,0.597
353,0.597
354,0.597
355,0.597
356,0.597
357,0.597
358,0.597
359,0.597
360,0.597
361,0.597
362,0.597
363,0.597
364,0.597
365,0.597
366,0.597
367,0.597
368,0.597
369,0.597
370,0.596
371,0.596
372,0.596
373,0.596
374,0.596
375,0.596
376,0.596
377,0.596
378,0.596
379,0.596
380,0.596
381,0.596
382,0.596
383,0.596
384,0.596
385,0.596
386,0.596
387,0.596
388,0.596
389,0.596
390,0.596
391,0.596
392,0.596
393,0.596
394,0.596
395,0.596
396,0.596
397,0.596
398,0.596
399,0.596
400,0.596
401,0.596
402,0.596
403,0.596
404,0.596
405,0.596
406,0.596
407,0.596
408,0.596
409,0.596
410,0.596
411,0.596
412,0.596
413,0.596
414,0.596
415,0.596
416,0.596
417,0.596
418,0.596
419,0.596
420,0.596
421,0.596
422,0.596
423,0.596
424,0.596
425,0.596
426,0.596
427,0.596
428,0.596
429,0.596
430,0.596
431,0.596
432,0.596
433,0.596
434,0.596
435,0.596
436,0.596
437,0.596
438,0.596
439,0.596
440,0.596
441,0.596
442,0.596
443,0.596
444,0.596
445,0.596
446,0.596
447,0.596
448,0.596
449,0.596
450,0.596
451,0.596
452,0.596
453,0.596
454,0.596
455,0.596
456,0.596
457,0.596
458,0.596
459,0.596
460,0.596
461,0.596
462,0.596
463,0.596
464,0.596
465,0.596
466,0.596
467,0.596
468,0.596
469,0.596
470,0.596
471,0.596
472,0.596
473,0.596
474,0.596
475,0.596
476,0.596
477,0.596
478,0.596
479,0.596
480,0.596
481,0.596
482,0.596
483,0.596
484,0.596
485,0.596
486,0.596
487,0.596
488,0.596
489,0.596
490,0.596
491,0.596
492,0.595
493,0.595
494,0.595
495,0.595
496,0.595
497,0.594
498,0.594
499,0.594
500,0.594
501,0.594
502,0.593
503,0.592
504,0.592
505,0.592
506,0.592
507,0.592
508,0.592
509,0.592
510,0.591
511,0.591
512,0.591
513,0.591
514,0.591
515,0.591
516,0.591
517,0.591
518,0.591
519,0.591
520,0.591
521,0.591
522,0.591
523,0.591
524,0.591
525,0.591
526,0.591
527,0.591
528,0.591
529,0.591
530,0.591
531,0.591
532,0.591
533,0.591
534,0.591
535,0.591
536,0.591
537,0.591
538,0.591
539,0.591
540,0.591
541,0.591
542,0.591
543,0.591
544,0.591
545,0.591
546,0.591
547,0.591
548,0.591
549,0.591
550,0.591
551,0.59
552,0.59
553,0.59
554,0.59
555,0.59
556,0.59
557,0.59
558,0.59
559,0.59
560,0.59
561,0.59
562,0.59
563,0.59
564,0.59
565,0.59
566,0.59
567,0.59
568,0.59
569,0.59
570,0.59
571,0.59
572,0.59
573,0.59
574,0.59
575,0.59
576,0.59
577,0.59
578,0.59
579,0.59
580,0.59
581,0.59
582,0.59
583,0.59
584,0.59
585,0.59
586,0.59
587,0.59
588,0.59
589,0.59
590,0.59
591,0.59
592,0.59
593,0.59
594,0.589
595,0.589
596,0.589
597,0.589
598,0.589
599,0.589
600,0.589
601,0.589
602,0.589
603,0.589
604,0.589
605,0.589
606,0.589
607,0.589
608,0.589
609,0.589
610,0.589
611,0.589
612,0.589
613,0.589
614,0.589
615,0.589
616,0.589
617,0.589
618,0.589
619,0.589
620,0.589
621,0.589
622,0.589
623,0.589
624,0.589
625,0.589
626,0.589
627,0.589
628,0.588
629,0.588
630,0.588
631,0.588
632,0.588
633,0.588
634,0.587
635,0.587
636,0.587
637,0.587
638,0.587
639,0.586
640,0.586
641,0.586
642,0.586
643,0.586
644,0.586
645,0.586
646,0.586
647,0.586
648,0.586
649,0.586
650,0.586
651,0.586
652,0.586
653,0.586
654,0.586
655,0.586
656,0.586
657,0.586
658,0.586
659,0.586
660,0.586
661,0.586
662,0.586
663,0.586
664,0.586
665,0.586
666,0.586
667,0.586
668,0.586
669,0.586
670,0.586
671,0.586
672,0.586
673,0.586
674,0.586
675,0.586
676,0.586
677,0.586
678,0.586
679,0.586
680,0.586
681,0.586
682,0.586
683,0.586
684,0.586
685,0.585
686,0.585
687,0.585
688,0.585
689,0.585
690,0.585
691,0.585
692,0.585
693,0.585
694,0.585
695,0.585
696,0.585
697,0.585
698,0.585
699,0.585
700,0.585
701,0.585
702,0.585
703,0.585
704,0.585
705,0.585
706,0.585
707,0.585
708,0.585
709,0.585
710,0.585
711,0.585
712,0.585
713,0.585
714,0.585
715,0.585
716,0.585
717,0.585
718,0.585
719,0.585
720,0.585
721,0.585
722,0.585
723,0.585
724,0.585
725,0.585
726,0.585
727,0.585
728,0.585
729,0.585
730,0.585
731,0.585
732,0.585
733,0.585
734,0.585
735,0.585
736,0.585
737,0.585
738,0.585
739,0.585
740,0.585
741,0.585
742,0.585
743,0.585
744,0.585
745,0.585
746,0.585
747,0.585
748,0.585
749,0.585
750,0.585
751,0.585
752,0.585
753,0.585
754,0.585
755,0.585
756,0.585
757,0.585
758,0.585
759,0.585
760,0.585
761,0.585
762,0.585
763,0.585
764,0.585
765,0.585
766,0.585
767,0.585
768,0.585
769,0.585
770,0.585
771,0.585
772,0.585
773,0.585
774,0.585
775,0.585
776,0.585
777,0.584
778,0.584
779,0.584
780,0.584
781,0.584
782,0.584
783,0.584
784,0.584
785,0.584
786,0.584
787,0.584
788,0.584
789,0.584
790,0.584
791,0.583
792,0.583
793,0.583
794,0.583
795,0.583
796,0.583
797,0.583
798,0.582
799,0.582
800,0.582
801,0.582
802,0.582
803,0.581
804,0.581
805,0.58
806,0.579
807,0.579
808,0.578
809,0.578
810,0.578
811,0.577
812,0.577
813,0.577
814,0.575
815,0.574
816,0.572
817,0.572
818,0.568
819,0.567
820,0.567
821,0.566
822,0.565
823,0.565
824,0.565
825,0.564
826,0.561
827,0.561
828,0.551
829,0.548
830,0.546
831,0.546
832,0.546
833,0.545
834,0.544
835,0.544
836,0.54
837,0.537
838,0.536
839,0.536
840,0.533
841,0.528
842,0.523
843,0.523
844,0.519
845,0.518
846,0.518
847,0.518
848,0.516
849,0.515
850,0.515
851,0.514
852,0.514
853,0.513
854,0.512
855,0.511
856,0.508
857,0.507
858,0.507
859,0.505
860,0.505
861,0.501
862,0.498
863,0.498
864,0.497
865,0.497
866,0.496
867,0.494
868,0.494
869,0.492
870,0.49
871,0.488
872,0.488
873,0.486
874,0.481
875,0.481
876,0.471
877,0.47
878,0.467
879,0.464
880,0.462
881,0.461
882,0.46
883,0.459
884,0.452
885,0.451
886,0.448
887,0.441
888,0.441
889,0.44
890,0.437
891,0.431
892,0.43
893,0.429
894,0.428
895,0.425
896,0.424
897,0.42
898,0.42
899,0.419
900,0.418
901,0.418
902,0.418
903,0.418
904,0.417
905,0.417
906,0.416
907,0.416
908,0.416
909,0.416
910,0.416
911,0.416
912,0.416
913,0.416
914,0.416
915,0.416
916,0.416
917,0.416
918,0.416
919,0.416
920,0.416
921,0.416
922,0.416
923,0.416
924,0.416
925,0.416
926,0.416
927,0.416
928,0.416
929,0.416
930,0.416
931,0.416
932,0.416
933,0.416
934,0.416
935,0.416
936,0.416
937,0.416
938,0.416
939,0.416
940,0.416
